epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1679676236708,2023-03-24T11:43:56.708,18.3,-0.964,0.252,-0.075
1679676236748,2023-03-24T11:43:56.748,18.34,-0.96,0.244,-0.079
1679676236768,2023-03-24T11:43:56.768,18.36,-0.959,0.24,-0.084
1679676236808,2023-03-24T11:43:56.808,18.4,-0.96,0.225,-0.11
1679676236828,2023-03-24T11:43:56.828,18.42,-0.96,0.227,-0.124
1679676236848,2023-03-24T11:43:56.848,18.44,-0.968,0.232,-0.129
1679676236868,2023-03-24T11:43:56.868,18.46,-0.974,0.238,-0.122
1679676236908,2023-03-24T11:43:56.908,18.5,-0.964,0.264,-0.113
1679676236928,2023-03-24T11:43:56.928,18.52,-0.953,0.264,-0.107
1679676236948,2023-03-24T11:43:56.948,18.54,-0.94,0.271,-0.105
1679676236968,2023-03-24T11:43:56.968,18.56,-0.925,0.294,-0.115
1679676236988,2023-03-24T11:43:56.988,18.58,-0.902,0.324,-0.114
1679676237008,2023-03-24T11:43:57.008,18.6,-0.881,0.36,-0.097
1679676237048,2023-03-24T11:43:57.048,18.64,-0.948,0.326,-0.019
1679676237068,2023-03-24T11:43:57.068,18.66,-1.019,0.255,-0.026
1679676237148,2023-03-24T11:43:57.148,18.74,-0.895,0.321,0.002
1679676237168,2023-03-24T11:43:57.168,18.76,-0.877,0.309,-0.002
1679676237188,2023-03-24T11:43:57.188,18.78,-0.891,0.294,-0.009
1679676237208,2023-03-24T11:43:57.208,18.8,-0.904,0.283,-0.016
1679676237388,2023-03-24T11:43:57.388,18.98,-1.011,0.516,-0.028
1679676237408,2023-03-24T11:43:57.408,19,-1.065,0.478,-0.099
1679676237428,2023-03-24T11:43:57.428,19.02,-1.036,0.391,-0.102
1679676237448,2023-03-24T11:43:57.448,19.04,-0.912,0.331,-0.18
1679676237468,2023-03-24T11:43:57.468,19.06,-0.852,0.287,-0.283
1679676237488,2023-03-24T11:43:57.488,19.08,-0.841,0.222,-0.356
1679676237508,2023-03-24T11:43:57.508,19.1,-0.898,0.229,-0.416
1679676237528,2023-03-24T11:43:57.528,19.12,-0.934,0.259,-0.403
1679676237548,2023-03-24T11:43:57.548,19.14,-0.881,0.279,-0.289
1679676237568,2023-03-24T11:43:57.568,19.16,-0.912,0.372,-0.206
1679676237588,2023-03-24T11:43:57.588,19.18,-0.913,0.391,-0.181
1679676237608,2023-03-24T11:43:57.608,19.2,-0.913,0.324,-0.212
1679676237628,2023-03-24T11:43:57.628,19.22,-0.953,0.247,-0.225
1679676237648,2023-03-24T11:43:57.648,19.24,-0.925,0.18,-0.204
1679676237708,2023-03-24T11:43:57.708,19.3,-0.99,0.151,-0.129
1679676237728,2023-03-24T11:43:57.728,19.32,-1.057,0.189,-0.137
1679676237748,2023-03-24T11:43:57.748,19.34,-1.056,0.212,-0.085
1679676237768,2023-03-24T11:43:57.768,19.36,-1.052,0.171,-0.109
1679676237788,2023-03-24T11:43:57.788,19.38,-1.045,0.187,-0.183
1679676237808,2023-03-24T11:43:57.808,19.4,-0.988,0.221,-0.191
1679676237828,2023-03-24T11:43:57.828,19.42,-0.921,0.213,-0.198
1679676237848,2023-03-24T11:43:57.848,19.44,-0.839,0.221,-0.199
1679676237868,2023-03-24T11:43:57.868,19.46,-0.768,0.243,-0.281
1679676237888,2023-03-24T11:43:57.888,19.48,-0.742,0.344,-0.397
