,p_accelerometer_time,p_accelerometer_x,p_accelerometer_y,p_accelerometer_z
0,2023-05-10 13:34:46.956,9.426797,3.420088,-2.3950195
1,2023-05-10 13:34:46.974,9.412427,3.415298,-2.3854396
2,2023-05-10 13:34:47.006,9.398057,3.420088,-2.3902297
3,2023-05-10 13:34:47.023,9.407638,3.410508,-2.3902297
4,2023-05-10 13:34:47.038,9.398057,3.4296682,-2.3662794
5,2023-05-10 13:34:47.056,9.383687,3.439248,-2.3950195
6,2023-05-10 13:34:47.077,9.402847,3.4536183,-2.4093897
7,2023-05-10 13:34:47.095,9.417217,3.4344583,-2.4093897
8,2023-05-10 13:34:47.127,9.417217,3.4248781,-2.3710694
9,2023-05-10 13:34:47.151,9.412427,3.4440382,-2.3614893
10,2023-05-10 13:34:47.176,9.417217,3.4440382,-2.3998096
11,2023-05-10 13:34:47.177,9.407638,3.4488282,-2.3998096
12,2023-05-10 13:34:47.196,9.398057,3.4775686,-2.3806496
13,2023-05-10 13:34:47.229,9.402847,3.4871485,-2.3806496
14,2023-05-10 13:34:47.238,9.412427,3.4727786,-2.4045997
15,2023-05-10 13:34:47.271,9.402847,3.4775686,-2.4045997
16,2023-05-10 13:34:47.294,9.402847,3.4679885,-2.4189699
17,2023-05-10 13:34:47.307,9.407638,3.4440382,-2.4045997
18,2023-05-10 13:34:47.322,9.422008,3.420088,-2.4045997
19,2023-05-10 13:34:47.354,9.422008,3.4296682,-2.4045997
20,2023-05-10 13:34:47.371,9.412427,3.415298,-2.3998096
21,2023-05-10 13:34:47.390,9.402847,3.4248781,-2.3710694
22,2023-05-10 13:34:47.405,9.359736,3.4536183,-2.3614893
23,2023-05-10 13:34:47.421,9.359736,3.5206788,-2.3614893
24,2023-05-10 13:34:47.441,9.388477,3.5015187,-2.4141798
25,2023-05-10 13:34:47.477,9.407638,3.4727786,-2.4812403
26,2023-05-10 13:34:47.489,9.441168,3.439248,-2.4620802
27,2023-05-10 13:34:47.505,9.431587,3.415298,-2.4093897
28,2023-05-10 13:34:47.537,9.445957,3.3865578,-2.3710694
29,2023-05-10 13:34:47.554,9.412427,3.3769777,-2.3758595
30,2023-05-10 13:34:47.571,9.402847,3.4009278,-2.3471193
31,2023-05-10 13:34:47.595,9.417217,3.4248781,-2.3902297
32,2023-05-10 13:34:47.605,9.407638,3.4296682,-2.4045997
33,2023-05-10 13:34:47.622,9.407638,3.4296682,-2.4189699
34,2023-05-10 13:34:47.660,9.407638,3.420088,-2.4189699
35,2023-05-10 13:34:47.670,9.398057,3.4488282,-2.43813
36,2023-05-10 13:34:47.692,9.374106,3.4536183,-2.42376
37,2023-05-10 13:34:47.707,9.378897,3.439248,-2.4045997
38,2023-05-10 13:34:47.726,9.393267,3.420088,-2.4141798
39,2023-05-10 13:34:47.753,9.402847,3.410508,-2.4045997
40,2023-05-10 13:34:47.773,9.402847,3.4057178,-2.4333398
41,2023-05-10 13:34:47.812,9.417217,3.4057178,-2.42855
42,2023-05-10 13:34:47.822,9.426797,3.396138,-2.3950195
43,2023-05-10 13:34:47.836,9.417217,3.3865578,-2.3950195
44,2023-05-10 13:34:47.855,9.412427,3.3769777,-2.3758595
45,2023-05-10 13:34:47.879,9.431587,3.3769777,-2.3950195
46,2023-05-10 13:34:47.886,9.422008,3.3817677,-2.3902297
47,2023-05-10 13:34:47.923,9.431587,3.3817677,-2.4141798
48,2023-05-10 13:34:47.939,9.431587,3.3673975,-2.4093897
49,2023-05-10 13:34:47.954,9.402847,3.3673975,-2.4189699
50,2023-05-10 13:34:47.971,9.407638,3.3817677,-2.3998096
51,2023-05-10 13:34:47.989,9.431587,3.396138,-2.4189699
52,2023-05-10 13:34:48.019,9.417217,3.4057178,-2.43813
53,2023-05-10 13:34:48.043,9.398057,3.415298,-2.4333398
54,2023-05-10 13:34:48.057,9.412427,3.439248,-2.4189699
55,2023-05-10 13:34:48.071,9.417217,3.4536183,-2.43813
56,2023-05-10 13:34:48.102,9.393267,3.4584084,-2.42855
57,2023-05-10 13:34:48.121,9.369317,3.4536183,-2.42376
58,2023-05-10 13:34:48.137,9.374106,3.439248,-2.4572902
59,2023-05-10 13:34:48.156,9.412427,3.4536183,-2.4572902
60,2023-05-10 13:34:48.174,9.431587,3.4296682,-2.4333398
61,2023-05-10 13:34:48.209,9.445957,3.3817677,-2.42855
62,2023-05-10 13:34:48.219,9.436378,3.3530276,-2.44292
63,2023-05-10 13:34:48.238,9.431587,3.3242872,-2.43813
64,2023-05-10 13:34:48.262,9.4507475,3.300337,-2.3950195
65,2023-05-10 13:34:48.294,9.460327,3.2811768,-2.3375392
66,2023-05-10 13:34:48.295,9.431587,3.3147073,-2.3662794
67,2023-05-10 13:34:48.326,9.412427,3.3769777,-2.3710694
68,2023-05-10 13:34:48.340,9.422008,3.415298,-2.43813
69,2023-05-10 13:34:48.363,9.393267,3.4344583,-2.4860303
70,2023-05-10 13:34:48.387,9.383687,3.439248,-2.4620802
71,2023-05-10 13:34:48.405,9.402847,3.4584084,-2.42855
72,2023-05-10 13:34:48.433,9.388477,3.4775686,-2.42855
73,2023-05-10 13:34:48.458,9.393267,3.4631984,-2.44292
74,2023-05-10 13:34:48.468,9.402847,3.4871485,-2.4333398
75,2023-05-10 13:34:48.488,9.417217,3.4679885,-2.4525
76,2023-05-10 13:34:48.504,9.426797,3.4440382,-2.4093897
