epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679945296864,2023-03-27T14:28:16.864,0.000,-0.564,-0.328,-0.179
1679945296884,2023-03-27T14:28:16.884,0.020,-0.781,-0.221,-0.023
1679945296904,2023-03-27T14:28:16.904,0.040,-0.111,-0.579,-0.606
1679945296924,2023-03-27T14:28:16.924,0.060,0.248,-0.290,-1.040
1679945296944,2023-03-27T14:28:16.944,0.080,0.434,0.640,-1.307
1679945296964,2023-03-27T14:28:16.964,0.100,0.553,0.831,-0.934
1679945296984,2023-03-27T14:28:16.984,0.120,-0.206,0.583,-0.667
1679945297004,2023-03-27T14:28:17.004,0.140,-1.944,0.389,-1.139
1679945297024,2023-03-27T14:28:17.024,0.160,-2.698,0.023,-1.353
1679945297044,2023-03-27T14:28:17.044,0.180,-1.829,-0.347,-0.964
1679945297064,2023-03-27T14:28:17.064,0.200,0.198,-0.514,-0.511
1679945297084,2023-03-27T14:28:17.084,0.220,1.410,-1.002,-0.278
1679945297104,2023-03-27T14:28:17.104,0.240,1.886,-2.386,0.179
1679945297124,2023-03-27T14:28:17.124,0.260,1.094,-3.129,1.040
1679945297144,2023-03-27T14:28:17.144,0.280,0.743,-2.736,0.884
1679945297164,2023-03-27T14:28:17.164,0.300,0.606,-1.475,0.812
1679945297184,2023-03-27T14:28:17.184,0.320,0.800,-0.522,1.231
1679945297204,2023-03-27T14:28:17.204,0.340,1.178,-0.065,1.662
1679945297224,2023-03-27T14:28:17.224,0.360,1.147,0.690,1.181
1679945297244,2023-03-27T14:28:17.244,0.380,0.617,0.667,0.556
1679945297264,2023-03-27T14:28:17.264,0.400,0.903,0.103,-0.114
1679945297284,2023-03-27T14:28:17.284,0.420,0.598,-0.648,0.271
1679945297304,2023-03-27T14:28:17.304,0.440,1.239,-1.284,0.926
1679945297324,2023-03-27T14:28:17.324,0.460,2.188,-1.132,1.288
1679945297344,2023-03-27T14:28:17.344,0.480,2.858,-0.042,1.147
1679945297364,2023-03-27T14:28:17.364,0.500,4.139,0.335,0.846
1679945297384,2023-03-27T14:28:17.384,0.520,4.390,0.442,0.991
1679945297404,2023-03-27T14:28:17.404,0.540,4.341,0.373,0.602
1679945297424,2023-03-27T14:28:17.424,0.560,3.979,0.366,-0.255
1679945297444,2023-03-27T14:28:17.444,0.580,2.851,-0.827,-0.781
1679945297464,2023-03-27T14:28:17.464,0.600,1.627,-1.517,-0.835
1679945297484,2023-03-27T14:28:17.484,0.620,1.528,-1.376,-1.025
1679945297504,2023-03-27T14:28:17.504,0.640,1.818,-0.156,-1.437
1679945297524,2023-03-27T14:28:17.524,0.660,2.580,1.814,-1.837
1679945297544,2023-03-27T14:28:17.544,0.680,3.262,2.268,-1.307
1679945297564,2023-03-27T14:28:17.564,0.700,3.262,1.730,-0.659
1679945297584,2023-03-27T14:28:17.584,0.720,2.214,1.322,-1.124
1679945297604,2023-03-27T14:28:17.604,0.740,0.720,-0.072,-2.713
1679945297624,2023-03-27T14:28:17.624,0.760,-0.549,-1.380,-2.999
1679945297644,2023-03-27T14:28:17.644,0.780,-0.286,-1.444,-2.008
1679945297664,2023-03-27T14:28:17.664,0.800,1.547,0.770,-1.719
1679945297684,2023-03-27T14:28:17.684,0.820,2.931,3.296,-1.951
1679945297704,2023-03-27T14:28:17.704,0.840,2.340,3.506,-1.513
1679945297724,2023-03-27T14:28:17.724,0.860,0.492,1.471,-1.833
1679945297744,2023-03-27T14:28:17.744,0.880,-0.865,1.059,-2.279
1679945297764,2023-03-27T14:28:17.764,0.900,-0.911,0.461,-2.275
1679945297784,2023-03-27T14:28:17.784,0.920,-0.545,-0.187,-2.717
1679945297804,2023-03-27T14:28:17.804,0.940,0.019,0.111,-3.845
1679945297824,2023-03-27T14:28:17.824,0.960,0.534,0.473,-2.912
1679945297844,2023-03-27T14:28:17.844,0.980,1.555,1.463,-2.801
1679945297864,2023-03-27T14:28:17.864,1.000,1.292,2.576,-2.500
1679945297884,2023-03-27T14:28:17.884,1.020,0.080,2.031,-1.959
1679945297904,2023-03-27T14:28:17.904,1.040,-1.418,0.865,-2.077
1679945297924,2023-03-27T14:28:17.924,1.060,-2.104,0.675,-2.241
1679945297944,2023-03-27T14:28:17.944,1.080,-0.457,1.578,-2.157
1679945297964,2023-03-27T14:28:17.964,1.100,1.482,2.111,-2.816
1679945297984,2023-03-27T14:28:17.984,1.120,1.886,1.696,-3.388
1679945298004,2023-03-27T14:28:18.004,1.140,0.800,1.079,-1.940
1679945298024,2023-03-27T14:28:18.024,1.160,0.911,0.602,-1.486
1679945298044,2023-03-27T14:28:18.044,1.180,0.892,1.315,-1.418
1679945298064,2023-03-27T14:28:18.064,1.200,0.762,1.894,-1.646
1679945298084,2023-03-27T14:28:18.084,1.220,0.240,0.819,-1.410
1679945298104,2023-03-27T14:28:18.104,1.240,-0.480,-1.829,-0.263
1679945298124,2023-03-27T14:28:18.124,1.260,-0.541,-3.537,0.655
1679945298144,2023-03-27T14:28:18.144,1.280,0.293,-3.125,-0.042
1679945298164,2023-03-27T14:28:18.164,1.300,-0.248,-3.011,-1.513
1679945298184,2023-03-27T14:28:18.184,1.320,-1.662,-3.163,-1.456
1679945298204,2023-03-27T14:28:18.204,1.340,-1.677,-3.357,-0.602
1679945298224,2023-03-27T14:28:18.224,1.360,-0.770,-2.553,0.030
1679945298244,2023-03-27T14:28:18.244,1.380,0.305,-0.114,0.149
1679945298264,2023-03-27T14:28:18.264,1.400,1.677,0.530,0.362
1679945298284,2023-03-27T14:28:18.284,1.420,2.542,0.450,1.406
1679945298304,2023-03-27T14:28:18.304,1.440,2.428,-0.629,1.742
1679945298324,2023-03-27T14:28:18.324,1.460,2.176,-1.635,0.983
1679945298344,2023-03-27T14:28:18.344,1.480,2.134,-2.546,0.274
1679945298364,2023-03-27T14:28:18.364,1.500,1.883,-3.083,0.503
1679945298384,2023-03-27T14:28:18.384,1.520,2.127,-2.416,1.303
1679945298404,2023-03-27T14:28:18.404,1.540,3.175,-1.284,1.383
1679945298424,2023-03-27T14:28:18.424,1.560,3.559,-0.320,1.612
1679945298444,2023-03-27T14:28:18.444,1.580,2.839,-0.050,1.734
1679945298464,2023-03-27T14:28:18.464,1.600,2.008,-0.633,1.528
1679945298484,2023-03-27T14:28:18.484,1.620,1.010,-1.372,1.288
1679945298504,2023-03-27T14:28:18.504,1.640,0.831,-1.917,0.534
1679945298524,2023-03-27T14:28:18.524,1.660,0.846,-1.688,-0.267
1679945298544,2023-03-27T14:28:18.544,1.680,0.709,-1.536,0.160
1679945298564,2023-03-27T14:28:18.564,1.700,1.700,-0.469,0.838
1679945298584,2023-03-27T14:28:18.584,1.720,2.447,1.067,0.564
1679945298604,2023-03-27T14:28:18.604,1.740,1.886,0.987,0.663
1679945298624,2023-03-27T14:28:18.624,1.760,1.185,0.305,0.602
1679945298644,2023-03-27T14:28:18.644,1.780,1.067,-0.351,0.530
1679945298664,2023-03-27T14:28:18.664,1.800,1.361,-0.640,0.934
1679945298684,2023-03-27T14:28:18.684,1.820,1.585,-0.194,0.686
1679945298704,2023-03-27T14:28:18.704,1.840,1.654,-0.705,-0.549
1679945298724,2023-03-27T14:28:18.724,1.860,1.231,-1.665,-0.941
1679945298744,2023-03-27T14:28:18.744,1.880,1.418,-1.094,-0.347
1679945298764,2023-03-27T14:28:18.764,1.900,2.797,0.370,-0.412
1679945298784,2023-03-27T14:28:18.784,1.920,2.374,1.463,-0.518
1679945298804,2023-03-27T14:28:18.804,1.940,0.827,1.071,-0.663
1679945298824,2023-03-27T14:28:18.824,1.960,-1.002,-0.130,-0.762
1679945298844,2023-03-27T14:28:18.844,1.980,-2.207,-0.922,-0.716
1679945298864,2023-03-27T14:28:18.864,2.000,-1.399,-0.785,-0.659
1679945298884,2023-03-27T14:28:18.884,2.020,-0.347,-1.197,-1.330
1679945298904,2023-03-27T14:28:18.904,2.040,-0.724,-2.458,-2.035
1679945298924,2023-03-27T14:28:18.924,2.060,-0.983,-3.003,-1.639
1679945298944,2023-03-27T14:28:18.944,2.080,0.053,-1.212,-1.574
1679945298964,2023-03-27T14:28:18.964,2.100,0.766,1.037,-1.437
1679945298984,2023-03-27T14:28:18.984,2.120,-0.030,0.774,-1.075
1679945299004,2023-03-27T14:28:19.004,2.140,-0.213,-0.290,-0.339
1679945299024,2023-03-27T14:28:19.024,2.160,0.423,-0.351,0.225
1679945299044,2023-03-27T14:28:19.044,2.180,0.716,-0.011,0.545
1679945299064,2023-03-27T14:28:19.064,2.200,0.926,-0.069,0.385
1679945299084,2023-03-27T14:28:19.084,2.220,1.014,-0.633,-0.625
1679945299104,2023-03-27T14:28:19.104,2.240,0.819,-0.191,-1.604
1679945299124,2023-03-27T14:28:19.124,2.260,0.743,0.983,-1.452
1679945299144,2023-03-27T14:28:19.144,2.280,0.979,1.364,-1.090
1679945299164,2023-03-27T14:28:19.164,2.300,1.037,1.239,-0.438
1679945299184,2023-03-27T14:28:19.184,2.320,1.071,0.595,0.061
1679945299204,2023-03-27T14:28:19.204,2.340,0.964,0.004,0.526
1679945299224,2023-03-27T14:28:19.224,2.360,1.292,-0.762,0.747
1679945299244,2023-03-27T14:28:19.244,2.380,1.959,-0.766,0.351
1679945299264,2023-03-27T14:28:19.264,2.400,2.210,-0.701,-0.766
1679945299284,2023-03-27T14:28:19.284,2.420,1.837,-1.349,-1.574
1679945299304,2023-03-27T14:28:19.304,2.440,0.877,-0.960,-0.785
1679945299324,2023-03-27T14:28:19.324,2.460,1.361,0.819,-0.160
1679945299344,2023-03-27T14:28:19.344,2.480,1.814,1.803,0.175
1679945299364,2023-03-27T14:28:19.364,2.500,0.995,0.579,0.442
1679945299384,2023-03-27T14:28:19.384,2.520,0.560,0.099,0.602
1679945299404,2023-03-27T14:28:19.404,2.540,1.292,-1.136,0.960
