epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679944756407,2023-03-27T14:19:16.407,0.000,0.415,-1.974,0.278
1679944756427,2023-03-27T14:19:16.427,0.020,0.389,-1.993,0.259
1679944756447,2023-03-27T14:19:16.447,0.040,0.038,-2.355,0.309
1679944756467,2023-03-27T14:19:16.467,0.060,-0.236,-2.569,0.267
1679944756487,2023-03-27T14:19:16.487,0.080,0.042,-2.618,0.274
1679944756507,2023-03-27T14:19:16.507,0.100,0.747,-2.218,0.175
1679944756527,2023-03-27T14:19:16.527,0.120,0.945,-1.845,-0.221
1679944756547,2023-03-27T14:19:16.547,0.140,0.633,-2.005,-0.370
1679944756567,2023-03-27T14:19:16.567,0.160,0.240,-2.527,-0.442
1679944756587,2023-03-27T14:19:16.587,0.180,0.111,-2.904,-0.320
1679944756607,2023-03-27T14:19:16.607,0.200,-0.587,-2.683,-0.034
1679944756627,2023-03-27T14:19:16.627,0.220,-0.926,-1.753,0.065
1679944756647,2023-03-27T14:19:16.647,0.240,-0.629,-0.675,0.091
1679944756667,2023-03-27T14:19:16.667,0.260,-0.290,0.351,0.050
1679944756687,2023-03-27T14:19:16.687,0.280,0.091,0.198,-0.229
1679944756707,2023-03-27T14:19:16.707,0.300,0.126,-0.415,-0.438
1679944756727,2023-03-27T14:19:16.727,0.320,-0.141,-0.145,-0.255
1679944756747,2023-03-27T14:19:16.747,0.340,-0.484,0.027,0.133
1679944756767,2023-03-27T14:19:16.767,0.360,-0.705,-0.046,0.400
1679944756787,2023-03-27T14:19:16.787,0.380,-0.419,-0.015,0.454
1679944756807,2023-03-27T14:19:16.807,0.400,0.015,0.130,0.290
1679944756827,2023-03-27T14:19:16.827,0.420,0.358,1.018,0.252
1679944756847,2023-03-27T14:19:16.847,0.440,0.812,2.218,0.160
1679944756867,2023-03-27T14:19:16.867,0.460,0.716,2.759,0.381
1679944756887,2023-03-27T14:19:16.887,0.480,0.423,3.114,0.701
1679944756907,2023-03-27T14:19:16.907,0.500,0.335,3.072,0.614
1679944756927,2023-03-27T14:19:16.927,0.520,0.274,2.668,0.267
1679944756947,2023-03-27T14:19:16.947,0.540,0.160,2.523,-0.206
1679944756967,2023-03-27T14:19:16.967,0.560,0.252,2.828,-0.465
1679944756987,2023-03-27T14:19:16.987,0.580,0.526,2.839,-0.705
1679944757007,2023-03-27T14:19:17.007,0.600,0.614,2.359,-0.724
1679944757027,2023-03-27T14:19:17.027,0.620,0.892,2.176,-0.640
1679944757047,2023-03-27T14:19:17.047,0.640,0.816,1.932,-0.690
1679944757067,2023-03-27T14:19:17.067,0.660,0.301,1.528,-0.728
1679944757087,2023-03-27T14:19:17.087,0.680,-0.171,1.117,-0.438
1679944757107,2023-03-27T14:19:17.107,0.700,-0.011,1.197,-0.179
1679944757127,2023-03-27T14:19:17.127,0.720,0.061,1.094,-0.168
1679944757147,2023-03-27T14:19:17.147,0.740,0.118,1.113,-0.366
1679944757167,2023-03-27T14:19:17.167,0.760,0.530,2.016,-0.690
1679944757187,2023-03-27T14:19:17.187,0.780,0.476,2.184,-0.941
1679944757207,2023-03-27T14:19:17.207,0.800,0.156,2.241,-1.044
1679944757227,2023-03-27T14:19:17.227,0.820,0.004,1.951,-1.204
1679944757247,2023-03-27T14:19:17.247,0.840,-0.141,1.604,-1.079
1679944757267,2023-03-27T14:19:17.267,0.860,-0.126,1.563,-1.002
1679944757287,2023-03-27T14:19:17.287,0.880,-0.160,1.269,-0.911
1679944757307,2023-03-27T14:19:17.307,0.900,-0.183,1.239,-0.709
1679944757327,2023-03-27T14:19:17.327,0.920,-0.072,1.578,-0.366
1679944757347,2023-03-27T14:19:17.347,0.940,-0.210,1.517,-0.011
1679944757367,2023-03-27T14:19:17.367,0.960,-0.579,0.842,0.255
1679944757387,2023-03-27T14:19:17.387,0.980,-0.648,0.011,0.396
1679944757407,2023-03-27T14:19:17.407,1.000,-0.606,-0.301,0.408
1679944757427,2023-03-27T14:19:17.427,1.020,-0.595,-0.252,0.187
1679944757447,2023-03-27T14:19:17.447,1.040,-0.274,0.777,-0.107
1679944757467,2023-03-27T14:19:17.467,1.060,0.434,2.363,-0.198
