epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679945097855,2023-03-27T14:24:57.855,0.000,0.400,1.810,-0.305
1679945097875,2023-03-27T14:24:57.875,0.020,0.171,1.711,-0.404
1679945097895,2023-03-27T14:24:57.895,0.040,0.252,1.982,-0.313
1679945097915,2023-03-27T14:24:57.915,0.060,-0.313,1.166,-0.111
1679945097935,2023-03-27T14:24:57.935,0.080,-0.880,0.076,0.126
1679945097955,2023-03-27T14:24:57.955,0.100,-1.079,-0.236,0.259
1679945097975,2023-03-27T14:24:57.975,0.120,-1.155,-0.301,0.263
1679945097995,2023-03-27T14:24:57.995,0.140,-1.029,-0.575,-0.065
1679945098015,2023-03-27T14:24:58.015,0.160,-0.899,-0.621,-0.678
1679945098035,2023-03-27T14:24:58.035,0.180,0.103,3.194,-1.250
1679945098055,2023-03-27T14:24:58.055,0.200,0.652,5.133,-1.448
1679945098075,2023-03-27T14:24:58.075,0.220,0.404,5.114,-1.216
1679945098095,2023-03-27T14:24:58.095,0.240,-0.335,4.764,-0.652
1679945098115,2023-03-27T14:24:58.115,0.260,-0.640,4.425,-0.450
1679945098135,2023-03-27T14:24:58.135,0.280,-0.743,3.308,-0.663
1679945098155,2023-03-27T14:24:58.155,0.300,-1.254,1.212,-0.720
1679945098175,2023-03-27T14:24:58.175,0.320,-0.918,-0.183,-0.701
1679945098195,2023-03-27T14:24:58.195,0.340,0.328,0.301,-0.796
1679945098215,2023-03-27T14:24:58.215,0.360,1.227,1.376,-0.865
1679945098235,2023-03-27T14:24:58.235,0.380,0.671,1.109,-0.777
1679945098255,2023-03-27T14:24:58.255,0.400,0.225,1.860,-0.591
1679945098275,2023-03-27T14:24:58.275,0.420,0.111,2.675,-0.419
1679945098295,2023-03-27T14:24:58.295,0.440,-0.061,2.900,-0.381
1679945098315,2023-03-27T14:24:58.315,0.460,-0.034,1.833,-0.282
1679945098335,2023-03-27T14:24:58.335,0.480,-0.057,1.231,-0.183
1679945098355,2023-03-27T14:24:58.355,0.500,-0.057,1.242,-0.095
1679945098375,2023-03-27T14:24:58.375,0.520,-0.171,0.534,-0.080
1679945098395,2023-03-27T14:24:58.395,0.540,-0.255,-0.274,-0.358
1679945098415,2023-03-27T14:24:58.415,0.560,-0.076,-0.309,-0.412
1679945098435,2023-03-27T14:24:58.435,0.580,0.149,-0.004,-0.400
1679945098455,2023-03-27T14:24:58.455,0.600,0.587,0.800,-0.617
1679945098475,2023-03-27T14:24:58.475,0.620,0.373,1.273,-0.354
1679945098495,2023-03-27T14:24:58.495,0.640,0.183,1.296,0.206
1679945098515,2023-03-27T14:24:58.515,0.660,0.179,0.835,0.492
1679945098535,2023-03-27T14:24:58.535,0.680,0.050,0.015,0.347
1679945098555,2023-03-27T14:24:58.555,0.700,-0.004,-0.099,0.088
1679945098575,2023-03-27T14:24:58.575,0.720,0.114,0.442,-0.118
1679945098595,2023-03-27T14:24:58.595,0.740,-0.057,0.934,-0.046
1679945098615,2023-03-27T14:24:58.615,0.760,-0.072,1.334,0.137
1679945098635,2023-03-27T14:24:58.635,0.780,-0.095,0.682,0.168
1679945098655,2023-03-27T14:24:58.655,0.800,-0.038,0.404,0.152
1679945098675,2023-03-27T14:24:58.675,0.820,-0.088,0.019,0.126
1679945098695,2023-03-27T14:24:58.695,0.840,-0.027,-0.816,0.130
1679945098715,2023-03-27T14:24:58.715,0.860,-0.278,-1.570,0.206
1679945098735,2023-03-27T14:24:58.735,0.880,-0.133,-0.823,0.095
1679945098755,2023-03-27T14:24:58.755,0.900,0.282,0.023,-0.057
1679945098775,2023-03-27T14:24:58.775,0.920,0.415,0.393,-0.057
1679945098795,2023-03-27T14:24:58.795,0.940,0.373,0.408,0.084
1679945098815,2023-03-27T14:24:58.815,0.960,-0.027,-0.130,0.133
1679945098835,2023-03-27T14:24:58.835,0.980,-0.225,-0.434,0.080
1679945098855,2023-03-27T14:24:58.855,1.000,-0.271,-0.164,-0.088
1679945098875,2023-03-27T14:24:58.875,1.020,-0.484,-0.522,-0.118
