epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679945097774,2023-03-27T14:24:57.774,0.000,0.911,0.560,-0.545
1679945097794,2023-03-27T14:24:57.794,0.020,1.174,0.774,0.225
1679945097814,2023-03-27T14:24:57.814,0.040,1.136,0.053,-0.114
1679945097834,2023-03-27T14:24:57.834,0.060,1.261,-0.076,-0.274
1679945097854,2023-03-27T14:24:57.854,0.080,1.391,-0.244,-0.286
1679945097874,2023-03-27T14:24:57.874,0.100,1.597,-0.857,-0.404
1679945097894,2023-03-27T14:24:57.894,0.120,1.917,-0.678,-0.396
1679945097914,2023-03-27T14:24:57.914,0.140,2.111,-0.602,-0.126
1679945097934,2023-03-27T14:24:57.934,0.160,2.218,-1.441,0.091
1679945097954,2023-03-27T14:24:57.954,0.180,2.313,-1.608,0.187
1679945097974,2023-03-27T14:24:57.974,0.200,2.283,-1.098,0.038
1679945097994,2023-03-27T14:24:57.994,0.220,2.066,-1.227,-0.202
1679945098014,2023-03-27T14:24:58.014,0.240,1.898,-1.189,-0.499
1679945098034,2023-03-27T14:24:58.034,0.260,1.833,-0.945,-0.766
1679945098054,2023-03-27T14:24:58.054,0.280,1.757,-0.530,-1.033
1679945098074,2023-03-27T14:24:58.074,0.300,1.616,-0.492,-1.117
1679945098094,2023-03-27T14:24:58.094,0.320,1.277,-0.941,-1.162
1679945098114,2023-03-27T14:24:58.114,0.340,0.667,-1.330,-1.056
1679945098134,2023-03-27T14:24:58.134,0.360,0.191,-1.128,-0.617
1679945098154,2023-03-27T14:24:58.154,0.380,0.107,-0.808,-0.282
1679945098174,2023-03-27T14:24:58.174,0.400,0.438,-0.293,-0.290
1679945098194,2023-03-27T14:24:58.194,0.420,0.636,-0.183,-0.454
1679945098214,2023-03-27T14:24:58.214,0.440,1.185,-0.095,-0.682
1679945098234,2023-03-27T14:24:58.234,0.460,1.764,-0.038,-0.716
1679945098254,2023-03-27T14:24:58.254,0.480,2.043,-0.575,-0.678
1679945098274,2023-03-27T14:24:58.274,0.500,1.966,-0.869,-0.614
1679945098294,2023-03-27T14:24:58.294,0.520,1.284,-1.040,-0.389
1679945098314,2023-03-27T14:24:58.314,0.540,0.941,-1.044,-0.271
1679945098334,2023-03-27T14:24:58.334,0.560,1.105,-1.277,-0.229
1679945098354,2023-03-27T14:24:58.354,0.580,1.383,-1.364,-0.236
1679945098374,2023-03-27T14:24:58.374,0.600,1.631,-1.361,-0.412
1679945098394,2023-03-27T14:24:58.394,0.620,1.784,-0.861,-0.713
1679945098414,2023-03-27T14:24:58.414,0.640,1.726,-0.503,-0.724
1679945098434,2023-03-27T14:24:58.434,0.660,1.719,-0.450,-0.838
1679945098454,2023-03-27T14:24:58.454,0.680,1.479,-0.423,-0.709
1679945098474,2023-03-27T14:24:58.474,0.700,1.155,-0.549,-0.461
1679945098494,2023-03-27T14:24:58.494,0.720,0.473,-1.136,-0.187
1679945098514,2023-03-27T14:24:58.514,0.740,0.484,-1.288,0.011
1679945098534,2023-03-27T14:24:58.534,0.760,1.124,-0.457,-0.027
1679945098554,2023-03-27T14:24:58.554,0.780,1.646,0.819,-0.118
1679945098574,2023-03-27T14:24:58.574,0.800,1.936,0.926,-0.541
1679945098594,2023-03-27T14:24:58.594,0.820,1.982,0.911,-0.659
1679945098614,2023-03-27T14:24:58.614,0.840,1.555,0.225,-0.347
1679945098634,2023-03-27T14:24:58.634,0.860,1.273,-0.469,-0.541
1679945098654,2023-03-27T14:24:58.654,0.880,1.056,-0.804,-0.530
1679945098674,2023-03-27T14:24:58.674,0.900,0.945,-0.873,-0.446
1679945098694,2023-03-27T14:24:58.694,0.920,0.926,-0.816,-0.534
1679945098714,2023-03-27T14:24:58.714,0.940,1.128,-0.655,-0.850
1679945098734,2023-03-27T14:24:58.734,0.960,1.288,-0.286,-0.911
1679945098754,2023-03-27T14:24:58.754,0.980,0.903,0.095,-0.930
1679945098774,2023-03-27T14:24:58.774,1.000,0.861,0.419,-0.938
1679945098794,2023-03-27T14:24:58.794,1.020,0.823,0.781,-0.621
1679945098814,2023-03-27T14:24:58.814,1.040,0.507,0.404,-0.286
1679945098834,2023-03-27T14:24:58.834,1.060,0.412,0.278,-0.271
1679945098854,2023-03-27T14:24:58.854,1.080,0.602,0.324,-0.633
1679945098874,2023-03-27T14:24:58.874,1.100,0.621,0.255,-0.880
1679945098894,2023-03-27T14:24:58.894,1.120,0.747,-0.595,-0.686
1679945098914,2023-03-27T14:24:58.914,1.140,0.816,-1.006,-0.675
1679945098934,2023-03-27T14:24:58.934,1.160,0.964,-1.025,-0.785
1679945098954,2023-03-27T14:24:58.954,1.180,1.395,-1.033,-0.743
1679945098974,2023-03-27T14:24:58.974,1.200,1.673,-0.789,-0.751
1679945098994,2023-03-27T14:24:58.994,1.220,1.509,-0.393,-0.709
1679945099014,2023-03-27T14:24:59.014,1.240,1.113,0.229,-0.751
1679945099034,2023-03-27T14:24:59.034,1.260,0.488,0.126,-0.957
1679945099054,2023-03-27T14:24:59.054,1.280,0.274,-0.236,-0.915
1679945099074,2023-03-27T14:24:59.074,1.300,0.396,0.179,-0.690
1679945099094,2023-03-27T14:24:59.094,1.320,0.267,0.823,-0.556
1679945099114,2023-03-27T14:24:59.114,1.340,0.366,0.949,-0.595
1679945099134,2023-03-27T14:24:59.134,1.360,0.518,0.751,-0.842
1679945099154,2023-03-27T14:24:59.154,1.380,0.827,0.332,-0.716
1679945099174,2023-03-27T14:24:59.174,1.400,0.667,-0.412,-0.671
1679945099194,2023-03-27T14:24:59.194,1.420,0.667,-1.002,-0.785
1679945099214,2023-03-27T14:24:59.214,1.440,0.793,-1.425,-0.553
1679945099234,2023-03-27T14:24:59.234,1.460,1.075,-0.579,-0.255
1679945099254,2023-03-27T14:24:59.254,1.480,0.915,0.431,-0.030
1679945099274,2023-03-27T14:24:59.274,1.500,0.713,1.048,0.057
1679945099294,2023-03-27T14:24:59.294,1.520,0.591,1.105,-0.171
1679945099314,2023-03-27T14:24:59.314,1.540,0.335,1.128,-0.141
1679945099334,2023-03-27T14:24:59.334,1.560,0.393,1.044,-0.034
1679945099354,2023-03-27T14:24:59.354,1.580,0.610,1.151,-0.088
1679945099374,2023-03-27T14:24:59.374,1.600,0.625,1.010,-0.061
1679945099394,2023-03-27T14:24:59.394,1.620,0.850,0.915,-0.152
1679945099414,2023-03-27T14:24:59.414,1.640,1.052,1.071,-0.335
1679945099434,2023-03-27T14:24:59.434,1.660,0.846,0.739,-0.313
1679945099454,2023-03-27T14:24:59.454,1.680,0.907,0.724,-0.248
1679945099474,2023-03-27T14:24:59.474,1.700,0.941,0.827,-0.145
