epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679946614331,2023-03-27T14:50:14.331,0.000,-4.337,2.477,0.957
1679946614351,2023-03-27T14:50:14.351,0.020,-3.887,4.264,1.688
1679946614371,2023-03-27T14:50:14.371,0.040,-3.098,3.929,2.542
1679946614391,2023-03-27T14:50:14.391,0.060,-2.172,0.617,2.542
1679946614411,2023-03-27T14:50:14.411,0.080,-0.431,-3.255,0.716
1679946614431,2023-03-27T14:50:14.431,0.100,1.341,-3.708,-1.894
1679946614451,2023-03-27T14:50:14.451,0.120,2.020,-1.250,-4.257
1679946614471,2023-03-27T14:50:14.471,0.140,2.622,2.020,-5.461
1679946614491,2023-03-27T14:50:14.491,0.160,2.550,2.839,-5.011
1679946614511,2023-03-27T14:50:14.511,0.180,2.302,2.111,-2.946
1679946614531,2023-03-27T14:50:14.531,0.200,1.010,1.181,-0.595
1679946614551,2023-03-27T14:50:14.551,0.220,-0.812,1.044,0.796
1679946614571,2023-03-27T14:50:14.571,0.240,-1.902,1.486,1.341
1679946614591,2023-03-27T14:50:14.591,0.260,-1.437,1.570,1.559
1679946614611,2023-03-27T14:50:14.611,0.280,-0.412,1.425,1.681
1679946614631,2023-03-27T14:50:14.631,0.300,0.282,0.507,1.620
1679946614651,2023-03-27T14:50:14.651,0.320,0.930,-0.396,1.357
1679946614671,2023-03-27T14:50:14.671,0.340,2.755,-0.541,0.705
1679946614691,2023-03-27T14:50:14.691,0.360,3.598,-1.139,-0.072
1679946614711,2023-03-27T14:50:14.711,0.380,3.335,-1.090,-0.709
1679946614731,2023-03-27T14:50:14.731,0.400,2.534,-0.377,-1.090
1679946614751,2023-03-27T14:50:14.751,0.420,1.704,0.713,-1.056
1679946614771,2023-03-27T14:50:14.771,0.440,0.873,0.210,-0.278
1679946614791,2023-03-27T14:50:14.791,0.460,0.507,-1.940,0.896
1679946614811,2023-03-27T14:50:14.811,0.480,1.341,-3.201,1.551
1679946614831,2023-03-27T14:50:14.831,0.500,1.959,-2.553,1.673
1679946614851,2023-03-27T14:50:14.851,0.520,2.184,-1.867,1.532
1679946614871,2023-03-27T14:50:14.871,0.540,1.627,-2.325,1.806
1679946614891,2023-03-27T14:50:14.891,0.560,0.968,-3.106,2.188
1679946614911,2023-03-27T14:50:14.911,0.580,1.231,-3.335,2.470
1679946614931,2023-03-27T14:50:14.931,0.600,1.635,-4.013,2.599
1679946614951,2023-03-27T14:50:14.951,0.620,2.077,-3.628,2.778
1679946614971,2023-03-27T14:50:14.971,0.640,2.351,-2.252,2.774
1679946614991,2023-03-27T14:50:14.991,0.660,1.726,-2.313,2.054
1679946615011,2023-03-27T14:50:15.011,0.680,0.393,-2.618,0.084
1679946615031,2023-03-27T14:50:15.031,0.700,-2.309,-3.742,-2.313
1679946615051,2023-03-27T14:50:15.051,0.720,-4.607,-3.788,-3.838
1679946615071,2023-03-27T14:50:15.071,0.740,-5.572,-3.407,-5.351
1679946615091,2023-03-27T14:50:15.091,0.760,-7.165,-2.146,-6.898
1679946615111,2023-03-27T14:50:15.111,0.780,-6.738,3.194,-6.585
1679946615131,2023-03-27T14:50:15.131,0.800,-3.876,6.288,-3.559
