epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679946011342,2023-03-27T14:40:11.342,0.000,-0.385,2.851,-0.072
1679946011362,2023-03-27T14:40:11.362,0.020,-0.469,2.553,0.107
1679946011382,2023-03-27T14:40:11.382,0.040,-0.602,1.723,0.217
1679946011402,2023-03-27T14:40:11.402,0.060,-0.061,0.572,0.095
1679946011422,2023-03-27T14:40:11.422,0.080,0.469,-0.099,0.053
1679946011442,2023-03-27T14:40:11.442,0.100,0.175,-0.671,0.118
1679946011462,2023-03-27T14:40:11.462,0.120,-0.274,-0.671,0.053
1679946011482,2023-03-27T14:40:11.482,0.140,-0.293,-0.476,-0.042
1679946011502,2023-03-27T14:40:11.502,0.160,-0.171,-0.366,-0.019
1679946011522,2023-03-27T14:40:11.522,0.180,-0.164,-0.274,0.072
1679946011542,2023-03-27T14:40:11.542,0.200,-0.377,-0.968,0.099
1679946011562,2023-03-27T14:40:11.562,0.220,-0.541,-1.246,0.240
1679946011582,2023-03-27T14:40:11.582,0.240,0.290,-1.326,0.191
1679946011602,2023-03-27T14:40:11.602,0.260,1.349,-1.280,0.175
1679946011622,2023-03-27T14:40:11.622,0.280,0.846,1.212,0.156
1679946011642,2023-03-27T14:40:11.642,0.300,-0.766,4.066,-0.476
1679946011662,2023-03-27T14:40:11.662,0.320,-1.349,4.638,-0.953
1679946011682,2023-03-27T14:40:11.682,0.340,-0.187,4.585,-1.242
1679946011702,2023-03-27T14:40:11.702,0.360,0.819,4.367,-1.593
1679946011722,2023-03-27T14:40:11.722,0.380,0.907,3.445,-1.829
1679946011742,2023-03-27T14:40:11.742,0.400,0.473,0.941,-1.075
1679946011762,2023-03-27T14:40:11.762,0.420,0.530,-1.582,0.419
1679946011782,2023-03-27T14:40:11.782,0.440,1.258,-0.537,1.280
1679946011802,2023-03-27T14:40:11.802,0.460,1.258,3.373,1.204
1679946011822,2023-03-27T14:40:11.822,0.480,0.728,5.667,0.343
1679946011842,2023-03-27T14:40:11.842,0.500,0.549,3.525,-0.183
1679946011862,2023-03-27T14:40:11.862,0.520,0.560,-0.137,-0.290
1679946011882,2023-03-27T14:40:11.882,0.540,0.377,-2.813,-0.232
1679946011902,2023-03-27T14:40:11.902,0.560,0.122,-4.028,0.122
1679946011922,2023-03-27T14:40:11.922,0.580,0.164,-3.418,0.762
1679946011942,2023-03-27T14:40:11.942,0.600,0.644,-0.823,0.861
1679946011962,2023-03-27T14:40:11.962,0.620,0.869,1.582,0.888
1679946011982,2023-03-27T14:40:11.982,0.640,0.941,2.934,0.808
1679946012002,2023-03-27T14:40:12.002,0.660,0.526,2.580,0.537
1679946012022,2023-03-27T14:40:12.022,0.680,-0.343,0.278,0.419
1679946012042,2023-03-27T14:40:12.042,0.700,-0.907,-1.589,0.324
1679946012062,2023-03-27T14:40:12.062,0.720,-0.983,-1.547,0.019
1679946012082,2023-03-27T14:40:12.082,0.740,-0.446,0.213,-0.255
1679946012102,2023-03-27T14:40:12.102,0.760,0.194,1.997,-0.354
1679946012122,2023-03-27T14:40:12.122,0.780,0.503,2.839,-0.244
1679946012142,2023-03-27T14:40:12.142,0.800,0.469,2.511,-0.217
1679946012162,2023-03-27T14:40:12.162,0.820,0.213,0.873,-0.023
1679946012182,2023-03-27T14:40:12.182,0.840,-0.179,-0.827,0.328
1679946012202,2023-03-27T14:40:12.202,0.860,-0.431,-1.242,0.537
1679946012222,2023-03-27T14:40:12.222,0.880,-0.431,-1.120,0.633
1679946012242,2023-03-27T14:40:12.242,0.900,-0.313,-1.239,0.595
1679946012262,2023-03-27T14:40:12.262,0.920,0.244,-1.174,0.316
1679946012282,2023-03-27T14:40:12.282,0.940,0.747,-0.751,0.050
1679946012302,2023-03-27T14:40:12.302,0.960,0.537,-0.354,0.191
1679946012322,2023-03-27T14:40:12.322,0.980,-0.130,-0.137,0.431
1679946012342,2023-03-27T14:40:12.342,1.000,-0.796,-0.553,0.644
1679946012362,2023-03-27T14:40:12.362,1.020,-1.021,-2.378,1.082
1679946012382,2023-03-27T14:40:12.382,1.040,-0.812,-3.605,1.456
1679946012402,2023-03-27T14:40:12.402,1.060,-0.644,-3.388,1.246
1679946012422,2023-03-27T14:40:12.422,1.080,0.069,-2.660,0.777
1679946012442,2023-03-27T14:40:12.442,1.100,0.438,-1.886,0.705
1679946012462,2023-03-27T14:40:12.462,1.120,-0.328,-1.814,0.926
1679946012482,2023-03-27T14:40:12.482,1.140,-1.315,-2.622,0.991
1679946012502,2023-03-27T14:40:12.502,1.160,-2.039,-3.883,0.869
1679946012522,2023-03-27T14:40:12.522,1.180,-2.043,-3.910,0.854
1679946012542,2023-03-27T14:40:12.542,1.200,-1.094,-2.588,0.823
1679946012562,2023-03-27T14:40:12.562,1.220,0.404,-0.484,0.713
1679946012582,2023-03-27T14:40:12.582,1.240,1.475,0.995,0.511
1679946012602,2023-03-27T14:40:12.602,1.260,1.288,0.015,0.343
1679946012622,2023-03-27T14:40:12.622,1.280,0.027,-2.622,0.659
1679946012642,2023-03-27T14:40:12.642,1.300,-0.804,-3.487,1.181
1679946012662,2023-03-27T14:40:12.662,1.320,-0.595,-2.824,1.139
1679946012682,2023-03-27T14:40:12.682,1.340,-0.122,-2.188,0.819
1679946012702,2023-03-27T14:40:12.702,1.360,-0.114,-1.124,0.709
1679946012722,2023-03-27T14:40:12.722,1.380,-0.065,-1.361,1.086
1679946012742,2023-03-27T14:40:12.742,1.400,0.305,-2.565,1.601
1679946012762,2023-03-27T14:40:12.762,1.420,0.263,-2.717,1.536
1679946012782,2023-03-27T14:40:12.782,1.440,-0.038,-1.505,1.204
1679946012802,2023-03-27T14:40:12.802,1.460,-0.686,-0.850,0.930
1679946012822,2023-03-27T14:40:12.822,1.480,-1.307,-1.421,0.701
1679946012842,2023-03-27T14:40:12.842,1.500,-1.315,-2.340,0.709
1679946012862,2023-03-27T14:40:12.862,1.520,-1.018,-2.104,0.892
1679946012882,2023-03-27T14:40:12.882,1.540,-0.694,-1.330,1.113
1679946012902,2023-03-27T14:40:12.902,1.560,-0.579,-1.673,1.322
1679946012922,2023-03-27T14:40:12.922,1.580,-0.633,-1.806,1.498
1679946012942,2023-03-27T14:40:12.942,1.600,-0.743,-1.669,1.543
1679946012962,2023-03-27T14:40:12.962,1.620,-1.170,-2.264,1.338
1679946012982,2023-03-27T14:40:12.982,1.640,-1.730,-2.725,1.235
1679946013002,2023-03-27T14:40:13.002,1.660,-2.203,-3.056,1.139
1679946013022,2023-03-27T14:40:13.022,1.680,-2.043,-3.068,1.094
1679946013042,2023-03-27T14:40:13.042,1.700,-1.212,-2.207,0.873
1679946013062,2023-03-27T14:40:13.062,1.720,0.240,-1.220,0.549
1679946013082,2023-03-27T14:40:13.082,1.740,1.006,0.236,0.366
1679946013102,2023-03-27T14:40:13.102,1.760,0.415,1.326,0.309
1679946013122,2023-03-27T14:40:13.122,1.780,-0.046,1.239,0.427
1679946013142,2023-03-27T14:40:13.142,1.800,0.038,0.998,0.389
1679946013162,2023-03-27T14:40:13.162,1.820,0.301,1.528,0.061
1679946013182,2023-03-27T14:40:13.182,1.840,0.503,2.043,-0.366
1679946013202,2023-03-27T14:40:13.202,1.860,0.682,2.066,-0.800
1679946013222,2023-03-27T14:40:13.222,1.880,1.109,2.104,-0.934
1679946013242,2023-03-27T14:40:13.242,1.900,1.639,3.316,-0.777
1679946013262,2023-03-27T14:40:13.262,1.920,1.627,4.851,-0.903
1679946013282,2023-03-27T14:40:13.282,1.940,1.136,4.600,-0.995
1679946013302,2023-03-27T14:40:13.302,1.960,0.549,3.914,-0.991
1679946013322,2023-03-27T14:40:13.322,1.980,0.091,3.586,-0.976
1679946013342,2023-03-27T14:40:13.342,2.000,0.179,3.639,-1.048
1679946013362,2023-03-27T14:40:13.362,2.020,0.606,3.887,-1.139
1679946013382,2023-03-27T14:40:13.382,2.040,1.021,2.976,-0.827
1679946013402,2023-03-27T14:40:13.402,2.060,1.075,1.974,-0.332
1679946013422,2023-03-27T14:40:13.422,2.080,0.686,1.715,0.030
1679946013442,2023-03-27T14:40:13.442,2.100,0.271,0.732,-0.023
1679946013462,2023-03-27T14:40:13.462,2.120,0.187,0.004,-0.210
1679946013482,2023-03-27T14:40:13.482,2.140,0.499,-1.109,-0.210
1679946013502,2023-03-27T14:40:13.502,2.160,1.098,-2.329,-0.099
1679946013522,2023-03-27T14:40:13.522,2.180,1.601,-2.447,0.027
1679946013542,2023-03-27T14:40:13.542,2.200,2.130,-2.104,0.149
1679946013562,2023-03-27T14:40:13.562,2.220,1.528,-2.702,0.309
1679946013582,2023-03-27T14:40:13.582,2.240,0.373,-2.950,0.492
1679946013602,2023-03-27T14:40:13.602,2.260,-0.370,-2.553,0.484
1679946013622,2023-03-27T14:40:13.622,2.280,-1.467,-1.521,0.728
1679946013642,2023-03-27T14:40:13.642,2.300,-2.942,-0.503,0.678
1679946013662,2023-03-27T14:40:13.662,2.320,-1.528,2.180,0.019
1679946013682,2023-03-27T14:40:13.682,2.340,-0.686,1.345,-0.282
1679946013702,2023-03-27T14:40:13.702,2.360,0.030,5.713,0.046
1679946013722,2023-03-27T14:40:13.722,2.380,2.359,21.117,-1.002
1679946013742,2023-03-27T14:40:13.742,2.400,1.018,30.396,-2.309
1679946013762,2023-03-27T14:40:13.762,2.420,-2.241,22.123,-2.645
1679946013782,2023-03-27T14:40:13.782,2.440,0.046,18.643,-1.429
1679946013802,2023-03-27T14:40:13.802,2.460,1.593,13.457,1.258
1679946013822,2023-03-27T14:40:13.822,2.480,2.050,0.438,2.450
1679946013842,2023-03-27T14:40:13.842,2.500,2.820,-6.136,1.966
1679946013862,2023-03-27T14:40:13.862,2.520,4.223,-2.374,1.159
1679946013882,2023-03-27T14:40:13.882,2.540,4.043,6.204,0.034
1679946013902,2023-03-27T14:40:13.902,2.560,1.829,10.305,-0.838
1679946013922,2023-03-27T14:40:13.922,2.580,0.503,8.754,-0.884
1679946013942,2023-03-27T14:40:13.942,2.600,-0.701,2.405,-0.412
1679946013962,2023-03-27T14:40:13.962,2.620,-2.294,-3.144,0.682
1679946013982,2023-03-27T14:40:13.982,2.640,-1.650,-5.648,1.650
1679946014002,2023-03-27T14:40:14.002,2.660,0.259,-3.956,1.044
1679946014022,2023-03-27T14:40:14.022,2.680,0.057,-0.987,-0.404
1679946014042,2023-03-27T14:40:14.042,2.700,-0.838,1.018,-1.063
1679946014062,2023-03-27T14:40:14.062,2.720,-1.574,1.166,-1.463
1679946014082,2023-03-27T14:40:14.082,2.740,-3.308,-0.575,-1.349
1679946014102,2023-03-27T14:40:14.102,2.760,-5.118,-5.644,-0.556
1679946014122,2023-03-27T14:40:14.122,2.780,-6.280,-11.090,0.301
1679946014142,2023-03-27T14:40:14.142,2.800,-7.572,-17.317,1.307
1679946014162,2023-03-27T14:40:14.162,2.820,-7.797,-21.120,2.923
1679946014182,2023-03-27T14:40:14.182,2.840,-0.103,-14.074,3.735
1679946014202,2023-03-27T14:40:14.202,2.860,4.043,-4.878,2.340
1679946014222,2023-03-27T14:40:14.222,2.880,1.482,-2.500,0.949
1679946014242,2023-03-27T14:40:14.242,2.900,-0.126,-1.989,0.606
1679946014262,2023-03-27T14:40:14.262,2.920,0.400,-2.130,0.770
1679946014282,2023-03-27T14:40:14.282,2.940,0.507,-4.055,0.796
1679946014302,2023-03-27T14:40:14.302,2.960,0.236,-7.020,1.139
1679946014322,2023-03-27T14:40:14.322,2.980,0.888,-5.373,1.357
1679946014342,2023-03-27T14:40:14.342,3.000,1.486,-2.591,0.690
1679946014362,2023-03-27T14:40:14.362,3.020,0.160,-1.261,-0.076
1679946014382,2023-03-27T14:40:14.382,3.040,-1.143,0.080,-0.400
1679946014402,2023-03-27T14:40:14.402,3.060,-1.532,-0.537,-0.328
1679946014422,2023-03-27T14:40:14.422,3.080,-1.528,-2.946,0.080
1679946014442,2023-03-27T14:40:14.442,3.100,-1.441,-4.646,0.587
1679946014462,2023-03-27T14:40:14.462,3.120,-1.159,-5.442,1.185
1679946014482,2023-03-27T14:40:14.482,3.140,-0.373,-4.935,1.776
1679946014502,2023-03-27T14:40:14.502,3.160,0.888,-3.091,1.681
1679946014522,2023-03-27T14:40:14.522,3.180,0.339,-0.675,0.983
1679946014542,2023-03-27T14:40:14.542,3.200,-0.404,-0.160,0.046
1679946014562,2023-03-27T14:40:14.562,3.220,-0.633,-1.700,-0.499
1679946014582,2023-03-27T14:40:14.582,3.240,-1.277,-1.841,0.111
1679946014602,2023-03-27T14:40:14.602,3.260,-1.136,-0.393,0.179
1679946014622,2023-03-27T14:40:14.622,3.280,-0.774,-0.530,-0.053
1679946014642,2023-03-27T14:40:14.642,3.300,-1.696,1.082,-0.065
1679946014662,2023-03-27T14:40:14.662,3.320,-1.761,1.040,-0.088
1679946014682,2023-03-27T14:40:14.682,3.340,-1.421,0.736,0.476
1679946014702,2023-03-27T14:40:14.702,3.360,-1.280,1.502,0.484
1679946014722,2023-03-27T14:40:14.722,3.380,-1.380,1.178,0.248
1679946014742,2023-03-27T14:40:14.742,3.400,-0.846,0.758,0.255
1679946014762,2023-03-27T14:40:14.762,3.420,-0.568,0.492,0.183
1679946014782,2023-03-27T14:40:14.782,3.440,-0.644,-1.044,0.065
1679946014802,2023-03-27T14:40:14.802,3.460,-1.166,-0.968,0.221
1679946014822,2023-03-27T14:40:14.822,3.480,-1.223,0.781,0.377
1679946014842,2023-03-27T14:40:14.842,3.500,-0.724,0.979,0.278
1679946014862,2023-03-27T14:40:14.862,3.520,-0.945,1.707,0.168
1679946014882,2023-03-27T14:40:14.882,3.540,-0.800,1.212,-0.011
1679946014902,2023-03-27T14:40:14.902,3.560,0.084,-0.614,0.099
1679946014922,2023-03-27T14:40:14.922,3.580,1.174,-1.723,0.522
1679946014942,2023-03-27T14:40:14.942,3.600,1.284,-2.031,1.044
1679946014962,2023-03-27T14:40:14.962,3.620,0.404,-2.287,0.983
1679946014982,2023-03-27T14:40:14.982,3.640,-0.038,-2.077,0.827
1679946015002,2023-03-27T14:40:15.002,3.660,-0.145,-2.024,0.728
1679946015022,2023-03-27T14:40:15.022,3.680,-0.297,-2.382,0.709
1679946015042,2023-03-27T14:40:15.042,3.700,-0.091,-2.119,0.655
1679946015062,2023-03-27T14:40:15.062,3.720,0.667,-1.223,0.286
1679946015082,2023-03-27T14:40:15.082,3.740,0.998,-1.166,0.027
1679946015102,2023-03-27T14:40:15.102,3.760,0.610,-1.037,-0.145
1679946015122,2023-03-27T14:40:15.122,3.780,0.149,-0.884,-0.248
1679946015142,2023-03-27T14:40:15.142,3.800,0.145,-0.579,-0.076
1679946015162,2023-03-27T14:40:15.162,3.820,0.793,0.960,-0.008
1679946015182,2023-03-27T14:40:15.182,3.840,1.185,2.599,-0.263
1679946015202,2023-03-27T14:40:15.202,3.860,0.050,4.139,-0.499
1679946015222,2023-03-27T14:40:15.222,3.880,-0.949,5.728,-0.633
1679946015242,2023-03-27T14:40:15.242,3.900,-0.831,5.857,-0.553
1679946015262,2023-03-27T14:40:15.262,3.920,-0.248,4.924,-0.377
1679946015282,2023-03-27T14:40:15.282,3.940,0.377,3.175,-0.252
1679946015302,2023-03-27T14:40:15.302,3.960,0.762,1.105,-0.145
1679946015322,2023-03-27T14:40:15.322,3.980,0.968,-0.198,-0.027
1679946015342,2023-03-27T14:40:15.342,4.000,0.827,-0.271,-0.038
1679946015362,2023-03-27T14:40:15.362,4.020,0.206,1.029,-0.198
1679946015382,2023-03-27T14:40:15.382,4.040,-0.240,3.056,-0.473
1679946015402,2023-03-27T14:40:15.402,4.060,-0.232,3.342,-0.575
1679946015422,2023-03-27T14:40:15.422,4.080,0.179,1.559,-0.545
1679946015442,2023-03-27T14:40:15.442,4.100,0.652,-0.282,-0.232
1679946015462,2023-03-27T14:40:15.462,4.120,0.396,-0.118,-0.008
1679946015482,2023-03-27T14:40:15.482,4.140,0.126,-0.103,-0.111
1679946015502,2023-03-27T14:40:15.502,4.160,0.213,0.099,0.015
1679946015522,2023-03-27T14:40:15.522,4.180,0.518,1.349,0.240
1679946015542,2023-03-27T14:40:15.542,4.200,0.514,2.218,0.232
1679946015562,2023-03-27T14:40:15.562,4.220,0.255,1.883,0.034
1679946015582,2023-03-27T14:40:15.582,4.240,0.149,2.561,-0.042
1679946015602,2023-03-27T14:40:15.602,4.260,-0.027,2.873,-0.034
1679946015622,2023-03-27T14:40:15.622,4.280,0.385,2.264,-0.191
1679946015642,2023-03-27T14:40:15.642,4.300,0.366,1.509,-0.210
1679946015662,2023-03-27T14:40:15.662,4.320,-0.244,1.612,-0.210
1679946015682,2023-03-27T14:40:15.682,4.340,-0.930,2.820,-0.682
1679946015702,2023-03-27T14:40:15.702,4.360,-1.860,5.191,-1.200
1679946015722,2023-03-27T14:40:15.722,4.380,-2.107,7.637,-1.856
1679946015742,2023-03-27T14:40:15.742,4.400,-2.096,8.948,-2.237
1679946015762,2023-03-27T14:40:15.762,4.420,-1.361,8.807,-1.982
1679946015782,2023-03-27T14:40:15.782,4.440,-0.560,7.016,-1.410
1679946015802,2023-03-27T14:40:15.802,4.460,-0.084,3.666,-0.716
1679946015822,2023-03-27T14:40:15.822,4.480,0.114,-0.282,0.069
1679946015842,2023-03-27T14:40:15.842,4.500,0.080,-1.383,0.617
1679946015862,2023-03-27T14:40:15.862,4.520,-0.606,-0.396,0.556
1679946015882,2023-03-27T14:40:15.882,4.540,-1.204,0.861,-0.084
1679946015902,2023-03-27T14:40:15.902,4.560,-0.804,3.929,-0.553
1679946015922,2023-03-27T14:40:15.922,4.580,0.061,6.521,-0.838
1679946015942,2023-03-27T14:40:15.942,4.600,0.069,6.048,-0.705
1679946015962,2023-03-27T14:40:15.962,4.620,-0.133,3.723,-0.320
1679946015982,2023-03-27T14:40:15.982,4.640,0.149,0.659,0.088
1679946016002,2023-03-27T14:40:16.002,4.660,0.663,-2.088,0.393
1679946016022,2023-03-27T14:40:16.022,4.680,0.686,-3.209,0.545
1679946016042,2023-03-27T14:40:16.042,4.700,0.198,-2.329,0.564
1679946016062,2023-03-27T14:40:16.062,4.720,0.088,-0.027,0.232
1679946016082,2023-03-27T14:40:16.082,4.740,0.019,1.136,-0.309
1679946016102,2023-03-27T14:40:16.102,4.760,-0.278,0.328,-0.499
1679946016122,2023-03-27T14:40:16.122,4.780,-0.164,-1.345,-0.137
1679946016142,2023-03-27T14:40:16.142,4.800,1.265,-1.551,0.259
1679946016162,2023-03-27T14:40:16.162,4.820,1.913,-2.435,0.724
1679946016182,2023-03-27T14:40:16.182,4.840,1.471,-2.599,1.147
1679946016202,2023-03-27T14:40:16.202,4.860,0.724,-2.835,1.128
1679946016222,2023-03-27T14:40:16.222,4.880,0.408,-3.624,0.998
1679946016242,2023-03-27T14:40:16.242,4.900,0.187,-3.361,0.880
1679946016262,2023-03-27T14:40:16.262,4.920,0.427,-1.970,0.602
1679946016282,2023-03-27T14:40:16.282,4.940,0.880,-1.261,0.484
1679946016302,2023-03-27T14:40:16.302,4.960,1.280,-1.791,0.854
1679946016322,2023-03-27T14:40:16.322,4.980,1.208,-2.816,1.265
1679946016342,2023-03-27T14:40:16.342,5.000,0.899,-3.518,1.353
1679946016362,2023-03-27T14:40:16.362,5.020,0.377,-4.165,1.364
1679946016382,2023-03-27T14:40:16.382,5.040,-0.297,-4.630,1.399
1679946016402,2023-03-27T14:40:16.402,5.060,0.156,-3.155,1.418
1679946016422,2023-03-27T14:40:16.422,5.080,1.284,-1.349,1.178
1679946016442,2023-03-27T14:40:16.442,5.100,1.338,-0.819,0.949
1679946016462,2023-03-27T14:40:16.462,5.120,0.835,-0.347,0.709
1679946016482,2023-03-27T14:40:16.482,5.140,0.339,-1.090,0.625
1679946016502,2023-03-27T14:40:16.502,5.160,0.076,-2.866,0.854
1679946016522,2023-03-27T14:40:16.522,5.180,-0.137,-3.277,1.006
1679946016542,2023-03-27T14:40:16.542,5.200,-0.404,-3.152,0.991
1679946016562,2023-03-27T14:40:16.562,5.220,-0.724,-2.500,1.056
1679946016582,2023-03-27T14:40:16.582,5.240,-0.880,-1.909,0.949
1679946016602,2023-03-27T14:40:16.602,5.260,-1.185,-2.508,0.892
1679946016622,2023-03-27T14:40:16.622,5.280,-1.185,-3.479,1.025
1679946016642,2023-03-27T14:40:16.642,5.300,-0.896,-4.390,1.246
1679946016662,2023-03-27T14:40:16.662,5.320,-0.347,-3.567,1.269
1679946016682,2023-03-27T14:40:16.682,5.340,-0.293,-2.721,0.991
1679946016702,2023-03-27T14:40:16.702,5.360,-0.804,-3.178,0.854
1679946016722,2023-03-27T14:40:16.722,5.380,-1.120,-2.584,0.987
1679946016742,2023-03-27T14:40:16.742,5.400,-1.231,-1.467,0.964
1679946016762,2023-03-27T14:40:16.762,5.420,-1.456,-0.667,0.987
1679946016782,2023-03-27T14:40:16.782,5.440,-1.326,-0.987,1.067
1679946016802,2023-03-27T14:40:16.802,5.460,-0.724,-2.340,1.159
1679946016822,2023-03-27T14:40:16.822,5.480,-0.339,-3.201,1.376
1679946016842,2023-03-27T14:40:16.842,5.500,-0.091,-2.862,1.509
1679946016862,2023-03-27T14:40:16.862,5.520,0.145,-1.829,1.124
1679946016882,2023-03-27T14:40:16.882,5.540,0.480,-1.059,0.694
1679946016902,2023-03-27T14:40:16.902,5.560,0.354,-1.136,0.701
1679946016922,2023-03-27T14:40:16.922,5.580,0.305,-0.907,0.743
1679946016942,2023-03-27T14:40:16.942,5.600,0.465,-0.678,0.492
1679946016962,2023-03-27T14:40:16.962,5.620,0.831,-0.419,0.377
1679946016982,2023-03-27T14:40:16.982,5.640,0.983,0.053,0.305
1679946017002,2023-03-27T14:40:17.002,5.660,0.964,0.347,0.091
1679946017022,2023-03-27T14:40:17.022,5.680,0.915,0.934,-0.271
1679946017042,2023-03-27T14:40:17.042,5.700,1.376,1.963,-0.514
1679946017062,2023-03-27T14:40:17.062,5.720,2.332,2.885,-0.800
1679946017082,2023-03-27T14:40:17.082,5.740,2.504,2.854,-1.155
1679946017102,2023-03-27T14:40:17.102,5.760,1.688,2.618,-1.330
1679946017122,2023-03-27T14:40:17.122,5.780,0.930,2.146,-1.162
1679946017142,2023-03-27T14:40:17.142,5.800,0.568,2.210,-0.705
1679946017162,2023-03-27T14:40:17.162,5.820,0.972,3.479,-0.671
1679946017182,2023-03-27T14:40:17.182,5.840,1.742,3.880,-0.762
1679946017202,2023-03-27T14:40:17.202,5.860,1.810,3.556,-0.938
1679946017222,2023-03-27T14:40:17.222,5.880,1.010,2.710,-0.785
1679946017242,2023-03-27T14:40:17.242,5.900,-0.232,1.944,-0.476
1679946017262,2023-03-27T14:40:17.262,5.920,-0.545,1.886,-0.514
1679946017282,2023-03-27T14:40:17.282,5.940,0.301,3.117,-0.648
1679946017302,2023-03-27T14:40:17.302,5.960,1.166,4.024,-0.621
1679946017322,2023-03-27T14:40:17.322,5.980,1.570,2.774,-0.568
1679946017342,2023-03-27T14:40:17.342,6.000,1.486,1.101,-0.400
1679946017362,2023-03-27T14:40:17.362,6.020,0.888,-0.335,-0.008
1679946017382,2023-03-27T14:40:17.382,6.040,0.393,-1.361,0.556
