epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679945752031,2023-03-27T14:35:52.031,0.000,1.437,-1.978,0.732
1679945752051,2023-03-27T14:35:52.051,0.020,1.947,-1.959,0.831
1679945752071,2023-03-27T14:35:52.071,0.040,2.942,-1.025,0.617
1679945752091,2023-03-27T14:35:52.091,0.060,3.216,-0.198,0.381
1679945752111,2023-03-27T14:35:52.111,0.080,2.988,-0.480,0.217
1679945752131,2023-03-27T14:35:52.131,0.100,4.215,-0.507,-0.091
1679945752151,2023-03-27T14:35:52.151,0.120,5.011,-0.953,-0.366
1679945752171,2023-03-27T14:35:52.171,0.140,4.912,-2.229,0.621
1679945752191,2023-03-27T14:35:52.191,0.160,4.558,-3.247,1.841
1679945752211,2023-03-27T14:35:52.211,0.180,5.267,-3.518,2.229
1679945752231,2023-03-27T14:35:52.231,0.200,6.178,-2.561,1.429
1679945752251,2023-03-27T14:35:52.251,0.220,6.704,-0.274,0.160
1679945752271,2023-03-27T14:35:52.271,0.240,6.124,1.970,-0.823
1679945752291,2023-03-27T14:35:52.291,0.260,4.874,2.683,-1.063
1679945752311,2023-03-27T14:35:52.311,0.280,4.078,1.200,-0.541
1679945752331,2023-03-27T14:35:52.331,0.300,4.211,-2.024,1.124
1679945752351,2023-03-27T14:35:52.351,0.320,4.413,-4.893,2.809
1679945752371,2023-03-27T14:35:52.371,0.340,4.981,-5.869,3.441
1679945752391,2023-03-27T14:35:52.391,0.360,5.347,-4.459,3.228
1679945752411,2023-03-27T14:35:52.411,0.380,5.290,-2.066,2.649
1679945752431,2023-03-27T14:35:52.431,0.400,5.389,0.861,2.287
1679945752451,2023-03-27T14:35:52.451,0.420,5.297,1.349,3.316
1679945752471,2023-03-27T14:35:52.471,0.440,4.204,-2.348,4.604
1679945752491,2023-03-27T14:35:52.491,0.460,2.458,-6.250,5.503
1679945752511,2023-03-27T14:35:52.511,0.480,2.256,-8.197,5.998
1679945752531,2023-03-27T14:35:52.531,0.500,2.511,-7.542,5.636
1679945752551,2023-03-27T14:35:52.551,0.520,2.538,-5.495,4.486
1679945752571,2023-03-27T14:35:52.571,0.540,2.470,-3.556,3.117
1679945752591,2023-03-27T14:35:52.591,0.560,2.988,-2.161,2.397
1679945752611,2023-03-27T14:35:52.611,0.580,3.895,-2.123,2.835
1679945752631,2023-03-27T14:35:52.631,0.600,4.402,-3.133,3.403
1679945752651,2023-03-27T14:35:52.651,0.620,4.489,-4.889,3.739
1679945752671,2023-03-27T14:35:52.671,0.640,4.223,-5.534,3.975
1679945752691,2023-03-27T14:35:52.691,0.660,3.918,-5.682,4.005
1679945752711,2023-03-27T14:35:52.711,0.680,2.961,-5.434,3.144
1679945752731,2023-03-27T14:35:52.731,0.700,2.363,-3.952,1.986
1679945752751,2023-03-27T14:35:52.751,0.720,3.098,-1.208,0.907
1679945752771,2023-03-27T14:35:52.771,0.740,3.403,-0.034,1.364
1679945752791,2023-03-27T14:35:52.791,0.760,3.175,-1.326,1.421
1679945752811,2023-03-27T14:35:52.811,0.780,3.460,-2.062,1.246
1679945752831,2023-03-27T14:35:52.831,0.800,3.571,-2.885,1.341
