epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679945502596,2023-03-27T14:31:42.596,0.000,-0.206,0.434,0.366
1679945502616,2023-03-27T14:31:42.616,0.020,-0.354,0.118,0.354
1679945502636,2023-03-27T14:31:42.636,0.040,-0.758,-0.152,0.713
1679945502656,2023-03-27T14:31:42.656,0.060,-1.334,-0.358,1.075
1679945502676,2023-03-27T14:31:42.676,0.080,-1.936,-1.204,1.227
1679945502696,2023-03-27T14:31:42.696,0.100,-1.246,-1.715,1.189
1679945502716,2023-03-27T14:31:42.716,0.120,-0.187,-1.810,1.246
1679945502736,2023-03-27T14:31:42.736,0.140,0.065,-1.604,1.387
1679945502756,2023-03-27T14:31:42.756,0.160,0.290,-0.732,1.330
1679945502776,2023-03-27T14:31:42.776,0.180,-0.248,-0.343,1.395
1679945502796,2023-03-27T14:31:42.796,0.200,-0.686,-0.697,1.429
1679945502816,2023-03-27T14:31:42.816,0.220,0.309,-0.404,1.288
1679945502836,2023-03-27T14:31:42.836,0.240,1.513,-0.457,0.877
1679945502856,2023-03-27T14:31:42.856,0.260,1.902,-0.343,0.027
1679945502876,2023-03-27T14:31:42.876,0.280,1.662,-0.648,-0.926
1679945502896,2023-03-27T14:31:42.896,0.300,1.159,-1.162,-1.246
1679945502916,2023-03-27T14:31:42.916,0.320,0.995,-1.681,-0.606
1679945502936,2023-03-27T14:31:42.936,0.340,0.918,-0.995,-0.248
1679945502956,2023-03-27T14:31:42.956,0.360,1.208,-0.400,-0.076
1679945502976,2023-03-27T14:31:42.976,0.380,1.681,0.461,0.511
1679945502996,2023-03-27T14:31:42.996,0.400,2.557,1.654,0.495
1679945503016,2023-03-27T14:31:43.016,0.420,3.270,2.504,-0.297
1679945503036,2023-03-27T14:31:43.036,0.440,4.737,5.274,-1.361
1679945503056,2023-03-27T14:31:43.056,0.460,4.832,5.080,-2.439
1679945503076,2023-03-27T14:31:43.076,0.480,3.483,3.773,-3.327
1679945503096,2023-03-27T14:31:43.096,0.500,3.803,3.979,-3.952
1679945503116,2023-03-27T14:31:43.116,0.520,3.559,2.389,-4.543
1679945503136,2023-03-27T14:31:43.136,0.540,3.399,0.690,-5.252
1679945503156,2023-03-27T14:31:43.156,0.560,3.841,1.067,-5.808
1679945503176,2023-03-27T14:31:43.176,0.580,3.777,1.753,-5.960
1679945503196,2023-03-27T14:31:43.196,0.600,2.660,1.555,-5.568
1679945503216,2023-03-27T14:31:43.216,0.620,1.578,1.494,-4.794
1679945503236,2023-03-27T14:31:43.236,0.640,1.059,1.479,-3.963
1679945503256,2023-03-27T14:31:43.256,0.660,0.816,0.659,-3.152
1679945503276,2023-03-27T14:31:43.276,0.680,1.254,0.583,-2.428
1679945503296,2023-03-27T14:31:43.296,0.700,1.898,0.164,-1.871
1679945503316,2023-03-27T14:31:43.316,0.720,2.153,-0.998,-1.273
