epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679945502569,2023-03-27T14:31:42.569,0.000,3.064,3.338,-1.784
1679945502589,2023-03-27T14:31:42.589,0.020,2.870,2.847,-2.633
1679945502609,2023-03-27T14:31:42.609,0.040,2.088,0.457,-2.298
1679945502629,2023-03-27T14:31:42.629,0.060,2.027,0.362,-2.515
1679945502649,2023-03-27T14:31:42.649,0.080,3.087,2.168,-2.816
1679945502669,2023-03-27T14:31:42.669,0.100,3.457,2.431,-2.588
1679945502689,2023-03-27T14:31:42.689,0.120,2.027,0.008,-2.321
1679945502709,2023-03-27T14:31:42.709,0.140,0.591,-2.759,-2.313
1679945502729,2023-03-27T14:31:42.729,0.160,1.505,-2.325,-1.764
1679945502749,2023-03-27T14:31:42.749,0.180,3.335,1.437,-1.662
1679945502769,2023-03-27T14:31:42.769,0.200,4.844,4.375,-1.341
1679945502789,2023-03-27T14:31:42.789,0.220,4.451,4.497,-0.213
1679945502809,2023-03-27T14:31:42.809,0.240,2.431,3.205,0.713
1679945502829,2023-03-27T14:31:42.829,0.260,0.697,0.907,1.246
1679945502849,2023-03-27T14:31:42.849,0.280,0.107,-2.572,3.296
1679945502869,2023-03-27T14:31:42.869,0.300,-0.621,-4.939,5.777
1679945502889,2023-03-27T14:31:42.889,0.320,-1.258,-3.354,7.241
1679945502909,2023-03-27T14:31:42.909,0.340,2.805,1.547,8.700
1679945502929,2023-03-27T14:31:42.929,0.360,7.626,4.821,9.535
1679945502949,2023-03-27T14:31:42.949,0.380,6.749,3.190,9.341
1679945502969,2023-03-27T14:31:42.969,0.400,4.101,-1.448,9.413
1679945502989,2023-03-27T14:31:42.989,0.420,1.913,-4.466,9.139
1679945503009,2023-03-27T14:31:43.009,0.440,1.296,-4.566,8.780
1679945503029,2023-03-27T14:31:43.029,0.460,1.570,-3.430,8.312
1679945503049,2023-03-27T14:31:43.049,0.480,2.008,-2.104,7.142
1679945503069,2023-03-27T14:31:43.069,0.500,3.331,-0.777,6.101
1679945503089,2023-03-27T14:31:43.089,0.520,4.524,-0.255,5.598
1679945503109,2023-03-27T14:31:43.109,0.540,4.291,-0.835,5.568
1679945503129,2023-03-27T14:31:43.129,0.560,2.847,-1.189,5.777
1679945503149,2023-03-27T14:31:43.149,0.580,1.387,-0.892,5.949
1679945503169,2023-03-27T14:31:43.169,0.600,1.334,-0.050,6.319
1679945503189,2023-03-27T14:31:43.189,0.620,0.873,1.094,6.532
1679945503209,2023-03-27T14:31:43.209,0.640,0.899,2.652,5.812
1679945503229,2023-03-27T14:31:43.229,0.660,2.054,3.746,4.546
1679945503249,2023-03-27T14:31:43.249,0.680,1.608,3.331,2.466
1679945503269,2023-03-27T14:31:43.269,0.700,-0.080,0.865,-0.053
1679945503289,2023-03-27T14:31:43.289,0.720,-2.611,-2.820,-2.912
1679945503309,2023-03-27T14:31:43.309,0.740,-5.522,-5.156,-6.513
1679945503329,2023-03-27T14:31:43.329,0.760,-7.142,-4.710,-10.191
1679945503349,2023-03-27T14:31:43.349,0.780,-6.277,-3.274,-13.281
1679945503369,2023-03-27T14:31:43.369,0.800,-4.901,-2.641,-15.655
1679945503389,2023-03-27T14:31:43.389,0.820,-4.524,-2.702,-16.883
1679945503409,2023-03-27T14:31:43.409,0.840,-4.379,-3.011,-17.290
1679945503429,2023-03-27T14:31:43.429,0.860,-3.617,-2.473,-16.349
1679945503449,2023-03-27T14:31:43.449,0.880,-3.102,-1.014,-14.771
