epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679950183868,2023-03-27T15:49:43.868,0.000,-0.751,0.781,0.141
1679950183888,2023-03-27T15:49:43.888,0.020,-0.819,0.473,0.385
1679950183908,2023-03-27T15:49:43.908,0.040,-0.595,0.202,0.575
1679950183928,2023-03-27T15:49:43.928,0.060,-0.465,0.229,0.633
1679950183948,2023-03-27T15:49:43.948,0.080,-0.370,0.621,0.545
1679950183968,2023-03-27T15:49:43.968,0.100,-0.210,0.583,0.217
1679950183988,2023-03-27T15:49:43.988,0.120,-0.042,0.488,0.015
1679950184008,2023-03-27T15:49:44.008,0.140,0.427,0.484,-0.072
1679950184028,2023-03-27T15:49:44.028,0.160,0.789,0.423,0.042
1679950184048,2023-03-27T15:49:44.048,0.180,0.606,0.412,0.305
1679950184068,2023-03-27T15:49:44.068,0.200,0.633,0.267,0.461
1679950184088,2023-03-27T15:49:44.088,0.220,1.139,-0.217,0.427
1679950184108,2023-03-27T15:49:44.108,0.240,1.623,-0.019,0.431
1679950184128,2023-03-27T15:49:44.128,0.260,1.269,0.309,0.564
1679950184148,2023-03-27T15:49:44.148,0.280,0.743,-0.316,0.514
1679950184168,2023-03-27T15:49:44.168,0.300,1.162,-0.091,0.377
1679950184188,2023-03-27T15:49:44.188,0.320,1.551,-0.091,0.385
1679950184208,2023-03-27T15:49:44.208,0.340,1.597,-0.393,0.263
1679950184228,2023-03-27T15:49:44.228,0.360,1.502,-0.286,0.015
1679950184248,2023-03-27T15:49:44.248,0.380,1.132,0.160,-0.099
1679950184268,2023-03-27T15:49:44.268,0.400,0.446,0.385,0.000
1679950184288,2023-03-27T15:49:44.288,0.420,0.030,0.469,0.141
1679950184308,2023-03-27T15:49:44.308,0.440,-0.107,0.099,0.282
1679950184328,2023-03-27T15:49:44.328,0.460,0.152,-0.015,-0.042
1679950184348,2023-03-27T15:49:44.348,0.480,0.389,0.194,-0.534
1679950184368,2023-03-27T15:49:44.368,0.500,0.072,0.149,-0.785
1679950184388,2023-03-27T15:49:44.388,0.520,-0.499,0.114,-0.606
1679950184408,2023-03-27T15:49:44.408,0.540,-1.071,0.347,-0.313
1679950184428,2023-03-27T15:49:44.428,0.560,-1.505,0.419,-0.023
1679950184448,2023-03-27T15:49:44.448,0.580,-0.884,-0.027,0.259
1679950184468,2023-03-27T15:49:44.468,0.600,0.324,-0.732,0.122
1679950184488,2023-03-27T15:49:44.488,0.620,1.151,-0.922,-0.271
