epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679951110910,2023-03-27T16:05:10.910,0.000,-0.842,2.374,0.522
1679951110930,2023-03-27T16:05:10.930,0.020,-1.509,2.496,0.709
1679951110950,2023-03-27T16:05:10.950,0.040,-2.134,1.742,1.604
1679951110970,2023-03-27T16:05:10.970,0.060,-2.302,0.949,2.908
1679951110990,2023-03-27T16:05:10.990,0.080,-1.814,0.675,3.727
1679951111010,2023-03-27T16:05:11.010,0.100,0.015,0.705,4.013
1679951111030,2023-03-27T16:05:11.030,0.120,3.232,-0.305,4.207
1679951111050,2023-03-27T16:05:11.050,0.140,5.335,-0.976,4.070
1679951111070,2023-03-27T16:05:11.070,0.160,6.894,-1.216,3.323
1679951111090,2023-03-27T16:05:11.090,0.180,7.351,-1.208,2.893
1679951111110,2023-03-27T16:05:11.110,0.200,7.309,-1.223,2.908
1679951111130,2023-03-27T16:05:11.130,0.220,8.140,-1.311,2.748
1679951111150,2023-03-27T16:05:11.150,0.240,8.590,-2.553,2.550
1679951111170,2023-03-27T16:05:11.170,0.260,7.325,-2.424,2.527
1679951111190,2023-03-27T16:05:11.190,0.280,5.313,-1.860,2.793
1679951111210,2023-03-27T16:05:11.210,0.300,5.263,-2.290,2.565
1679951111230,2023-03-27T16:05:11.230,0.320,6.582,-3.022,1.444
1679951111250,2023-03-27T16:05:11.250,0.340,6.829,-2.645,0.236
1679951111270,2023-03-27T16:05:11.270,0.360,3.575,-2.409,0.366
1679951111290,2023-03-27T16:05:11.290,0.380,-0.850,-1.650,1.139
1679951111310,2023-03-27T16:05:11.310,0.400,-5.122,0.015,1.482
1679951111330,2023-03-27T16:05:11.330,0.420,-6.498,0.995,1.139
1679951111350,2023-03-27T16:05:11.350,0.440,-4.836,0.808,-0.061
1679951111370,2023-03-27T16:05:11.370,0.460,-2.332,0.076,-1.258
1679951111390,2023-03-27T16:05:11.390,0.480,-1.006,-0.419,-1.947
