epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679951272900,2023-03-27T16:07:52.900,0.000,-0.945,0.614,0.213
1679951272920,2023-03-27T16:07:52.920,0.020,-0.621,0.690,0.156
1679951272940,2023-03-27T16:07:52.940,0.040,-0.648,0.541,-0.164
1679951272960,2023-03-27T16:07:52.960,0.060,-0.812,0.351,-0.057
1679951272980,2023-03-27T16:07:52.980,0.080,-1.338,0.526,0.141
1679951273000,2023-03-27T16:07:53.000,0.100,-1.322,0.221,0.343
1679951273020,2023-03-27T16:07:53.020,0.120,-1.044,-0.617,0.579
1679951273040,2023-03-27T16:07:53.040,0.140,-0.911,-0.903,0.762
1679951273060,2023-03-27T16:07:53.060,0.160,-1.128,-0.514,0.869
1679951273080,2023-03-27T16:07:53.080,0.180,-1.787,-0.229,0.938
1679951273100,2023-03-27T16:07:53.100,0.200,-1.532,0.107,1.204
1679951273120,2023-03-27T16:07:53.120,0.220,-1.117,0.377,1.616
1679951273140,2023-03-27T16:07:53.140,0.240,-0.701,-0.282,2.077
1679951273160,2023-03-27T16:07:53.160,0.260,-0.415,-0.354,2.576
1679951273180,2023-03-27T16:07:53.180,0.280,-0.499,-0.400,3.121
1679951273200,2023-03-27T16:07:53.200,0.300,-0.111,-1.315,3.834
1679951273220,2023-03-27T16:07:53.220,0.320,0.617,-2.393,4.630
1679951273240,2023-03-27T16:07:53.240,0.340,1.052,-3.091,5.568
1679951273260,2023-03-27T16:07:53.260,0.360,0.293,-2.969,6.570
1679951273280,2023-03-27T16:07:53.280,0.380,-1.867,-2.550,7.656
1679951273300,2023-03-27T16:07:53.300,0.400,-3.479,-2.188,8.704
1679951273320,2023-03-27T16:07:53.320,0.420,-3.841,-0.465,9.169
1679951273340,2023-03-27T16:07:53.340,0.440,-3.453,-0.675,8.491
1679951273360,2023-03-27T16:07:53.360,0.460,-3.670,-1.524,7.344
1679951273380,2023-03-27T16:07:53.380,0.480,-4.425,-1.852,6.513
1679951273400,2023-03-27T16:07:53.400,0.500,-4.634,-2.500,6.120
1679951273420,2023-03-27T16:07:53.420,0.520,-4.882,-2.153,5.877
1679951273440,2023-03-27T16:07:53.440,0.540,-4.665,-1.551,5.499
1679951273460,2023-03-27T16:07:53.460,0.560,-3.312,-2.611,5.320
1679951273480,2023-03-27T16:07:53.480,0.580,-3.617,-1.749,4.851
1679951273500,2023-03-27T16:07:53.500,0.600,-3.929,-0.789,4.040
1679951273520,2023-03-27T16:07:53.520,0.620,-3.460,-1.014,3.434
1679951273540,2023-03-27T16:07:53.540,0.640,-3.209,-1.341,3.544
1679951273560,2023-03-27T16:07:53.560,0.660,-3.666,-0.899,3.708
1679951273580,2023-03-27T16:07:53.580,0.680,-4.775,-0.652,3.213
1679951273600,2023-03-27T16:07:53.600,0.700,-6.627,-0.663,2.508
1679951273620,2023-03-27T16:07:53.620,0.720,-7.771,-0.030,2.428
1679951273640,2023-03-27T16:07:53.640,0.740,-7.508,0.568,3.319
1679951273660,2023-03-27T16:07:53.660,0.760,-6.368,-0.526,4.695
1679951273680,2023-03-27T16:07:53.680,0.780,-5.816,-1.772,5.358
1679951273700,2023-03-27T16:07:53.700,0.800,-6.258,-1.185,5.438
1679951273720,2023-03-27T16:07:53.720,0.820,-7.961,-0.366,5.236
1679951273740,2023-03-27T16:07:53.740,0.840,-9.036,0.160,4.535
1679951273760,2023-03-27T16:07:53.760,0.860,-8.960,-0.213,3.601
1679951273780,2023-03-27T16:07:53.780,0.880,-9.409,-0.011,2.858
1679951273800,2023-03-27T16:07:53.800,0.900,-9.752,0.130,2.645
1679951273820,2023-03-27T16:07:53.820,0.920,-9.916,-0.099,2.355
1679951273840,2023-03-27T16:07:53.840,0.940,-9.585,0.343,2.092
1679951273860,2023-03-27T16:07:53.860,0.960,-9.063,0.640,1.864
1679951273880,2023-03-27T16:07:53.880,0.980,-8.068,0.240,1.745
1679951273900,2023-03-27T16:07:53.900,1.000,-5.358,0.667,2.248
1679951273920,2023-03-27T16:07:53.920,1.020,-4.120,1.414,2.896
1679951273940,2023-03-27T16:07:53.940,1.040,-2.721,0.328,3.243
1679951273960,2023-03-27T16:07:53.960,1.060,-1.033,2.153,2.721
1679951273980,2023-03-27T16:07:53.980,1.080,0.149,3.529,1.860
1679951274000,2023-03-27T16:07:54.000,1.100,0.831,5.503,0.995
1679951274020,2023-03-27T16:07:54.020,1.120,2.165,7.976,0.126
1679951274040,2023-03-27T16:07:54.040,1.140,2.439,7.999,-0.728
1679951274060,2023-03-27T16:07:54.060,1.160,0.957,8.270,-2.233
1679951274080,2023-03-27T16:07:54.080,1.180,1.460,4.981,-3.342
1679951274100,2023-03-27T16:07:54.100,1.200,4.318,1.437,-3.716
1679951274120,2023-03-27T16:07:54.120,1.220,2.355,1.848,-3.529
1679951274140,2023-03-27T16:07:54.140,1.240,-2.050,3.891,-3.209
1679951274160,2023-03-27T16:07:54.160,1.260,-2.809,1.139,-2.835
1679951274180,2023-03-27T16:07:54.180,1.280,-1.075,-3.628,-2.752
1679951274200,2023-03-27T16:07:54.200,1.300,-0.640,-1.898,-3.285
1679951274220,2023-03-27T16:07:54.220,1.320,-0.149,-0.530,-3.628
1679951274240,2023-03-27T16:07:54.240,1.340,1.818,0.061,-3.552
1679951274260,2023-03-27T16:07:54.260,1.360,2.050,-0.248,-3.159
