epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679950884010,2023-03-27T16:01:24.010,0.000,0.476,-0.145,0.526
1679950884030,2023-03-27T16:01:24.030,0.020,0.339,-0.133,0.678
1679950884050,2023-03-27T16:01:24.050,0.040,0.187,-0.194,0.511
1679950884070,2023-03-27T16:01:24.070,0.060,0.202,-0.213,0.393
1679950884090,2023-03-27T16:01:24.090,0.080,0.629,-0.168,0.309
1679950884110,2023-03-27T16:01:24.110,0.100,0.705,-0.156,0.309
1679950884130,2023-03-27T16:01:24.130,0.120,0.343,-0.168,0.370
1679950884150,2023-03-27T16:01:24.150,0.140,-0.015,-0.183,0.373
1679950884170,2023-03-27T16:01:24.170,0.160,-0.286,-0.461,0.446
1679950884190,2023-03-27T16:01:24.190,0.180,-0.194,-0.758,0.415
1679950884210,2023-03-27T16:01:24.210,0.200,-0.076,-0.675,0.438
1679950884230,2023-03-27T16:01:24.230,0.220,-0.267,-0.755,0.469
1679950884250,2023-03-27T16:01:24.250,0.240,-0.629,-1.067,0.545
1679950884270,2023-03-27T16:01:24.270,0.260,-0.640,-1.117,0.663
1679950884290,2023-03-27T16:01:24.290,0.280,-0.316,-1.452,0.686
1679950884310,2023-03-27T16:01:24.310,0.300,-0.271,-1.246,0.675
1679950884330,2023-03-27T16:01:24.330,0.320,-0.911,-0.777,0.648
1679950884350,2023-03-27T16:01:24.350,0.340,-0.827,-0.736,0.595
1679950884370,2023-03-27T16:01:24.370,0.360,-0.271,-0.690,0.560
1679950884390,2023-03-27T16:01:24.390,0.380,-0.072,-0.652,0.606
1679950884410,2023-03-27T16:01:24.410,0.400,-0.255,-0.362,0.583
1679950884430,2023-03-27T16:01:24.430,0.420,-0.492,-0.069,0.587
1679950884450,2023-03-27T16:01:24.450,0.440,-0.438,-0.240,0.545
1679950884470,2023-03-27T16:01:24.470,0.460,0.187,-0.427,0.514
1679950884490,2023-03-27T16:01:24.490,0.480,0.579,-0.267,0.465
1679950884510,2023-03-27T16:01:24.510,0.500,0.606,0.156,0.381
1679950884530,2023-03-27T16:01:24.530,0.520,0.636,0.179,0.431
1679950884550,2023-03-27T16:01:24.550,0.540,0.396,-0.023,0.514
1679950884570,2023-03-27T16:01:24.570,0.560,0.328,-0.297,0.495
1679950884590,2023-03-27T16:01:24.590,0.580,0.175,-0.244,0.514
1679950884610,2023-03-27T16:01:24.610,0.600,-0.099,-0.194,0.595
1679950884630,2023-03-27T16:01:24.630,0.620,-0.015,-0.091,0.553
1679950884650,2023-03-27T16:01:24.650,0.640,0.042,-0.278,0.545
1679950884670,2023-03-27T16:01:24.670,0.660,0.232,-0.572,0.476
1679950884690,2023-03-27T16:01:24.690,0.680,-0.004,-0.160,0.412
1679950884710,2023-03-27T16:01:24.710,0.700,-0.240,0.008,0.480
1679950884730,2023-03-27T16:01:24.730,0.720,-0.278,-0.156,0.610
1679950884750,2023-03-27T16:01:24.750,0.740,-0.122,-0.423,0.655
1679950884770,2023-03-27T16:01:24.770,0.760,0.019,-0.415,0.545
1679950884790,2023-03-27T16:01:24.790,0.780,0.221,-0.290,0.473
1679950884810,2023-03-27T16:01:24.810,0.800,-0.095,-0.141,0.499
1679950884830,2023-03-27T16:01:24.830,0.820,-0.229,0.107,0.556
1679950884850,2023-03-27T16:01:24.850,0.840,-0.050,-0.171,0.492
1679950884870,2023-03-27T16:01:24.870,0.860,0.347,-0.419,0.320
1679950884890,2023-03-27T16:01:24.890,0.880,-0.293,0.130,0.149
1679950884910,2023-03-27T16:01:24.910,0.900,-0.816,0.255,0.076
1679950884930,2023-03-27T16:01:24.930,0.920,-0.305,-0.160,-0.072
1679950884950,2023-03-27T16:01:24.950,0.940,-0.011,-0.240,-0.122
1679950884970,2023-03-27T16:01:24.970,0.960,-0.282,0.076,-0.187
1679950884990,2023-03-27T16:01:24.990,0.980,-0.511,0.023,-0.149
1679950885010,2023-03-27T16:01:25.010,1.000,-0.518,-0.038,0.061
1679950885030,2023-03-27T16:01:25.030,1.020,0.114,-0.278,0.179
1679950885050,2023-03-27T16:01:25.050,1.040,0.530,-0.583,0.069
1679950885070,2023-03-27T16:01:25.070,1.060,0.244,-0.579,-0.118
1679950885090,2023-03-27T16:01:25.090,1.080,-0.084,-0.351,-0.050
1679950885110,2023-03-27T16:01:25.110,1.100,-0.221,-0.271,0.122
1679950885130,2023-03-27T16:01:25.130,1.120,-0.232,-0.347,0.202
1679950885150,2023-03-27T16:01:25.150,1.140,0.000,-0.431,0.160
1679950885170,2023-03-27T16:01:25.170,1.160,-0.004,-0.313,-0.004
1679950885190,2023-03-27T16:01:25.190,1.180,0.011,-0.271,-0.114
1679950885210,2023-03-27T16:01:25.210,1.200,0.171,-0.450,-0.088
1679950885230,2023-03-27T16:01:25.230,1.220,0.168,-0.454,-0.019
1679950885250,2023-03-27T16:01:25.250,1.240,-0.088,-0.267,0.061
1679950885270,2023-03-27T16:01:25.270,1.260,-0.213,-0.217,0.122
1679950885290,2023-03-27T16:01:25.290,1.280,-0.183,-0.259,0.175
1679950885310,2023-03-27T16:01:25.310,1.300,0.011,-0.290,0.050
1679950885330,2023-03-27T16:01:25.330,1.320,0.305,-0.358,0.008
1679950885350,2023-03-27T16:01:25.350,1.340,0.408,-0.217,0.050
1679950885370,2023-03-27T16:01:25.370,1.360,0.011,-0.107,0.080
1679950885390,2023-03-27T16:01:25.390,1.380,-0.168,0.038,0.202
1679950885410,2023-03-27T16:01:25.410,1.400,0.259,-0.377,0.156
1679950885430,2023-03-27T16:01:25.430,1.420,0.183,-0.107,-0.030
1679950885450,2023-03-27T16:01:25.450,1.440,-0.553,0.164,-0.042
