epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679951439164,2023-03-27T16:10:39.164,0.000,-0.610,0.000,0.061
1679951439184,2023-03-27T16:10:39.184,0.020,-0.366,-0.305,0.061
1679951439204,2023-03-27T16:10:39.204,0.040,-0.305,-0.305,0.122
1679951439224,2023-03-27T16:10:39.224,0.060,-0.305,-0.244,0.366
1679951439244,2023-03-27T16:10:39.244,0.080,-0.488,-0.122,0.366
1679951439264,2023-03-27T16:10:39.264,0.100,-0.366,-0.244,0.427
1679951439284,2023-03-27T16:10:39.284,0.120,0.244,-0.488,0.488
1679951439304,2023-03-27T16:10:39.304,0.140,0.427,-0.549,0.549
1679951439324,2023-03-27T16:10:39.324,0.160,0.671,-0.732,0.610
1679951439344,2023-03-27T16:10:39.344,0.180,0.793,-0.549,0.671
1679951439364,2023-03-27T16:10:39.364,0.200,0.427,-0.305,0.854
1679951439384,2023-03-27T16:10:39.384,0.220,0.488,-0.549,0.976
1679951439404,2023-03-27T16:10:39.404,0.240,0.305,-0.549,0.915
1679951439424,2023-03-27T16:10:39.424,0.260,-0.915,-0.061,0.732
1679951439444,2023-03-27T16:10:39.444,0.280,-1.159,-0.183,0.427
1679951439464,2023-03-27T16:10:39.464,0.300,-0.427,-0.305,0.122
1679951439484,2023-03-27T16:10:39.484,0.320,-0.061,-0.061,0.122
1679951439504,2023-03-27T16:10:39.504,0.340,-0.366,0.122,0.305
1679951439524,2023-03-27T16:10:39.524,0.360,-0.671,-0.061,0.732
1679951439544,2023-03-27T16:10:39.544,0.380,-0.671,0.000,1.037
1679951439564,2023-03-27T16:10:39.564,0.400,-0.061,0.061,1.098
1679951439584,2023-03-27T16:10:39.584,0.420,1.098,-0.244,0.915
1679951439604,2023-03-27T16:10:39.604,0.440,1.402,-0.244,0.671
1679951439624,2023-03-27T16:10:39.624,0.460,0.793,-0.244,0.793
1679951439644,2023-03-27T16:10:39.644,0.480,0.305,-0.244,1.037
1679951439664,2023-03-27T16:10:39.664,0.500,0.000,-0.122,1.159
1679951439684,2023-03-27T16:10:39.684,0.520,-0.183,0.000,1.037
1679951439704,2023-03-27T16:10:39.704,0.540,-0.549,-0.244,0.854
1679951439724,2023-03-27T16:10:39.724,0.560,-0.488,-0.305,0.610
