epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679952976657,2023-03-27T16:36:16.657,0.000,0.431,0.724,-0.842
1679952976677,2023-03-27T16:36:16.677,0.020,0.130,0.938,-1.536
1679952976697,2023-03-27T16:36:16.697,0.040,-0.297,1.574,-0.587
1679952976717,2023-03-27T16:36:16.717,0.060,-0.854,1.864,0.434
1679952976737,2023-03-27T16:36:16.737,0.080,-0.762,2.462,1.490
1679952976757,2023-03-27T16:36:16.757,0.100,-0.732,2.866,3.540
1679952976777,2023-03-27T16:36:16.777,0.120,-1.120,2.599,5.838
1679952976797,2023-03-27T16:36:16.797,0.140,-0.838,0.625,6.662
1679952976817,2023-03-27T16:36:16.817,0.160,1.025,-1.303,4.855
1679952976837,2023-03-27T16:36:16.837,0.180,2.828,-2.340,1.707
1679952976857,2023-03-27T16:36:16.857,0.200,2.462,-2.710,-0.690
1679952976877,2023-03-27T16:36:16.877,0.220,0.575,-3.438,-1.604
1679952976897,2023-03-27T16:36:16.897,0.240,-1.033,-5.625,-1.757
1679952976917,2023-03-27T16:36:16.917,0.260,-0.210,-5.423,-1.925
1679952976937,2023-03-27T16:36:16.937,0.280,2.424,-2.931,-2.771
1679952976957,2023-03-27T16:36:16.957,0.300,4.398,-1.437,-4.036
1679952976977,2023-03-27T16:36:16.977,0.320,5.141,-0.534,-4.916
1679952976997,2023-03-27T16:36:16.997,0.340,3.941,0.518,-3.925
1679952977017,2023-03-27T16:36:17.017,0.360,-0.415,1.037,-0.377
1679952977037,2023-03-27T16:36:17.037,0.380,-2.092,2.542,2.043
1679952977057,2023-03-27T16:36:17.057,0.400,1.098,3.830,-1.117
1679952977077,2023-03-27T16:36:17.077,0.420,5.351,7.873,-5.888
1679952977097,2023-03-27T16:36:17.097,0.440,6.578,12.740,-7.550
1679952977117,2023-03-27T16:36:17.117,0.460,3.129,11.117,-6.303
1679952977137,2023-03-27T16:36:17.137,0.480,-0.732,6.315,-3.944
1679952977157,2023-03-27T16:36:17.157,0.500,-1.856,3.095,-1.818
1679952977177,2023-03-27T16:36:17.177,0.520,0.316,2.626,-1.665
1679952977197,2023-03-27T16:36:17.197,0.540,2.462,2.591,-2.519
1679952977217,2023-03-27T16:36:17.217,0.560,1.787,1.471,-2.435
1679952977237,2023-03-27T16:36:17.237,0.580,-0.736,-1.075,-1.486
1679952977257,2023-03-27T16:36:17.257,0.600,-1.848,-2.793,-0.667
1679952977277,2023-03-27T16:36:17.277,0.620,-0.762,-2.569,-0.194
1679952977297,2023-03-27T16:36:17.297,0.640,0.606,-1.738,0.111
1679952977317,2023-03-27T16:36:17.317,0.660,1.132,-1.886,0.522
1679952977337,2023-03-27T16:36:17.337,0.680,0.446,-3.377,0.987
1679952977357,2023-03-27T16:36:17.357,0.700,0.095,-4.158,1.643
1679952977377,2023-03-27T16:36:17.377,0.720,0.610,-3.849,2.069
1679952977397,2023-03-27T16:36:17.397,0.740,0.808,-4.013,2.020
1679952977417,2023-03-27T16:36:17.417,0.760,0.682,-4.291,1.734
1679952977437,2023-03-27T16:36:17.437,0.780,0.869,-3.178,1.296
1679952977457,2023-03-27T16:36:17.457,0.800,0.911,-1.860,0.583
1679952977477,2023-03-27T16:36:17.477,0.820,0.831,-0.926,-0.179
1679952977497,2023-03-27T16:36:17.497,0.840,0.659,-0.385,-0.850
1679952977517,2023-03-27T16:36:17.517,0.860,0.716,0.541,-1.098
1679952977537,2023-03-27T16:36:17.537,0.880,0.918,1.399,-0.842
1679952977557,2023-03-27T16:36:17.557,0.900,1.098,1.368,-0.705
1679952977577,2023-03-27T16:36:17.577,0.920,0.880,0.309,-0.907
1679952977597,2023-03-27T16:36:17.597,0.940,0.903,0.091,-1.166
1679952977617,2023-03-27T16:36:17.617,0.960,1.212,1.113,-1.231
1679952977637,2023-03-27T16:36:17.637,0.980,0.720,1.277,-0.941
1679952977657,2023-03-27T16:36:17.657,1.000,0.000,0.976,-0.335
1679952977677,2023-03-27T16:36:17.677,1.020,0.130,1.094,0.099
1679952977697,2023-03-27T16:36:17.697,1.040,0.507,1.402,0.343
1679952977717,2023-03-27T16:36:17.717,1.060,0.701,2.066,0.473
1679952977737,2023-03-27T16:36:17.737,1.080,0.450,1.646,0.431
1679952977757,2023-03-27T16:36:17.757,1.100,0.362,1.128,0.404
1679952977777,2023-03-27T16:36:17.777,1.120,0.564,-0.198,0.038
1679952977797,2023-03-27T16:36:17.797,1.140,0.484,-2.024,-0.373
1679952977817,2023-03-27T16:36:17.817,1.160,0.633,-2.104,-0.678
1679952977837,2023-03-27T16:36:17.837,1.180,0.362,-1.658,-0.861
1679952977857,2023-03-27T16:36:17.857,1.200,0.053,-0.697,-0.667
1679952977877,2023-03-27T16:36:17.877,1.220,-0.118,0.358,-0.263
1679952977897,2023-03-27T16:36:17.897,1.240,-0.431,0.579,0.396
1679952977917,2023-03-27T16:36:17.917,1.260,-0.553,0.393,1.193
1679952977937,2023-03-27T16:36:17.937,1.280,-0.274,0.267,1.825
1679952977957,2023-03-27T16:36:17.957,1.300,0.080,0.606,1.978
1679952977977,2023-03-27T16:36:17.977,1.320,0.313,1.185,1.482
1679952977997,2023-03-27T16:36:17.997,1.340,0.149,1.010,0.636
1679952978017,2023-03-27T16:36:18.017,1.360,0.175,0.922,-0.179
1679952978037,2023-03-27T16:36:18.037,1.380,0.316,1.101,-0.690
