epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679956032349,2023-03-27T17:27:12.349,0.000,-0.042,-1.654,-2.458
1679956032369,2023-03-27T17:27:12.369,0.020,0.072,-1.540,-2.199
1679956032389,2023-03-27T17:27:12.389,0.040,0.454,-1.982,-2.386
1679956032409,2023-03-27T17:27:12.409,0.060,0.846,-1.601,-2.839
1679956032429,2023-03-27T17:27:12.429,0.080,1.143,-1.178,-2.870
1679956032449,2023-03-27T17:27:12.449,0.100,0.610,-0.781,-2.405
1679956032469,2023-03-27T17:27:12.469,0.120,-0.053,-0.598,-1.677
1679956032489,2023-03-27T17:27:12.489,0.140,-0.480,-0.995,-0.949
1679956032509,2023-03-27T17:27:12.509,0.160,-0.682,-0.838,-0.659
1679956032529,2023-03-27T17:27:12.529,0.180,-0.152,-0.899,-0.827
1679956032549,2023-03-27T17:27:12.549,0.200,0.880,-1.528,-1.082
1679956032569,2023-03-27T17:27:12.569,0.220,1.982,-1.684,-1.414
1679956032589,2023-03-27T17:27:12.589,0.240,2.153,-1.063,-1.532
1679956032609,2023-03-27T17:27:12.609,0.260,1.829,-1.033,-1.631
1679956032629,2023-03-27T17:27:12.629,0.280,1.425,-1.239,-2.066
1679956032649,2023-03-27T17:27:12.649,0.300,1.418,-0.232,-2.039
1679956032669,2023-03-27T17:27:12.669,0.320,1.345,0.595,-1.524
1679956032689,2023-03-27T17:27:12.689,0.340,1.277,0.854,-0.777
1679956032709,2023-03-27T17:27:12.709,0.360,0.960,1.463,-0.202
1679956032729,2023-03-27T17:27:12.729,0.380,0.457,1.944,0.202
1679956032749,2023-03-27T17:27:12.749,0.400,0.320,1.875,0.267
1679956032769,2023-03-27T17:27:12.769,0.420,0.141,1.505,0.431
1679956032789,2023-03-27T17:27:12.789,0.440,-0.404,1.597,0.572
1679956032809,2023-03-27T17:27:12.809,0.460,-0.991,1.113,0.278
1679956032829,2023-03-27T17:27:12.829,0.480,1.181,0.495,-0.629
1679956032849,2023-03-27T17:27:12.849,0.500,7.332,0.046,2.912
1679956032869,2023-03-27T17:27:12.869,0.520,2.329,0.332,2.736
1679956032889,2023-03-27T17:27:12.889,0.540,-0.526,1.109,0.865
1679956032909,2023-03-27T17:27:12.909,0.560,-0.915,-1.330,0.373
1679956032929,2023-03-27T17:27:12.929,0.580,-1.761,1.921,0.370
1679956032949,2023-03-27T17:27:12.949,0.600,-0.678,0.739,0.983
1679956032969,2023-03-27T17:27:12.969,0.620,0.240,-1.570,0.751
1679956032989,2023-03-27T17:27:12.989,0.640,-0.678,-0.655,0.328
1679956033009,2023-03-27T17:27:13.009,0.660,-1.231,0.442,0.381
1679956033029,2023-03-27T17:27:13.029,0.680,-0.979,0.553,0.480
1679956033049,2023-03-27T17:27:13.049,0.700,-0.168,-0.869,0.488
1679956033069,2023-03-27T17:27:13.069,0.720,-0.278,-1.239,1.117
1679956033089,2023-03-27T17:27:13.089,0.740,-0.888,-0.004,1.589
1679956033109,2023-03-27T17:27:13.109,0.760,-0.675,0.606,1.193
1679956033129,2023-03-27T17:27:13.129,0.780,-0.019,0.286,0.720
1679956033149,2023-03-27T17:27:13.149,0.800,-0.431,-0.827,1.189
1679956033169,2023-03-27T17:27:13.169,0.820,-1.456,-0.899,1.669
