epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679954887165,2023-03-27T17:08:07.165,0.000,24.558,4.977,44.592
1679954887185,2023-03-27T17:08:07.185,0.020,24.337,4.345,44.566
1679954887205,2023-03-27T17:08:07.205,0.040,25.297,2.950,44.775
1679954887225,2023-03-27T17:08:07.225,0.060,28.190,5.625,44.272
1679954887245,2023-03-27T17:08:07.245,0.080,31.399,10.461,45.602
1679954887265,2023-03-27T17:08:07.265,0.100,35.621,15.156,45.522
1679954887285,2023-03-27T17:08:07.285,0.120,39.383,20.335,44.817
1679954887305,2023-03-27T17:08:07.305,0.140,38.525,16.235,42.092
1679954887325,2023-03-27T17:08:07.325,0.160,34.013,5.766,39.695
1679954887345,2023-03-27T17:08:07.345,0.180,31.311,2.652,33.990
1679954887365,2023-03-27T17:08:07.365,0.200,30.976,4.611,28.788
1679954887385,2023-03-27T17:08:07.385,0.220,31.585,9.729,24.962
1679954887405,2023-03-27T17:08:07.405,0.240,30.686,11.978,24.051
1679954887425,2023-03-27T17:08:07.425,0.260,30.290,17.515,25.297
1679954887445,2023-03-27T17:08:07.445,0.280,31.730,27.069,26.178
1679954887465,2023-03-27T17:08:07.465,0.300,32.130,26.650,25.072
1679954887485,2023-03-27T17:08:07.485,0.320,31.749,17.851,24.101
1679954887505,2023-03-27T17:08:07.505,0.340,31.208,16.673,26.387
1679954887525,2023-03-27T17:08:07.525,0.360,29.787,19.150,28.251
1679954887545,2023-03-27T17:08:07.545,0.380,26.993,16.349,27.664
1679954887565,2023-03-27T17:08:07.565,0.400,25.389,9.516,24.493
1679954887585,2023-03-27T17:08:07.585,0.420,23.380,-1.574,19.939
1679954887605,2023-03-27T17:08:07.605,0.440,20.892,-7.534,15.922
1679954887625,2023-03-27T17:08:07.625,0.460,18.792,-5.614,12.210
1679954887645,2023-03-27T17:08:07.645,0.480,16.273,-2.683,9.364
1679954887665,2023-03-27T17:08:07.665,0.500,15.922,-2.740,6.082
1679954887685,2023-03-27T17:08:07.685,0.520,16.258,-1.803,5.004
1679954887705,2023-03-27T17:08:07.705,0.540,15.758,3.807,5.934
1679954887725,2023-03-27T17:08:07.725,0.560,16.387,10.846,6.856
1679954887745,2023-03-27T17:08:07.745,0.580,14.489,9.844,5.183
1679954887765,2023-03-27T17:08:07.765,0.600,8.483,-4.432,1.673
1679954887785,2023-03-27T17:08:07.785,0.620,3.902,-14.752,-0.152
1679954887805,2023-03-27T17:08:07.805,0.640,3.293,-10.290,-1.010
1679954887825,2023-03-27T17:08:07.825,0.660,3.800,-2.999,-3.087
