epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679954246052,2023-03-27T16:57:26.052,0.000,0.770,-0.095,0.225
1679954246072,2023-03-27T16:57:26.072,0.020,0.812,-0.492,-0.461
1679954246092,2023-03-27T16:57:26.092,0.040,2.043,-0.606,-1.220
1679954246112,2023-03-27T16:57:26.112,0.060,2.355,-1.235,-1.467
1679954246132,2023-03-27T16:57:26.132,0.080,2.066,-0.610,-0.998
1679954246152,2023-03-27T16:57:26.152,0.100,3.685,0.511,-0.313
1679954246172,2023-03-27T16:57:26.172,0.120,3.662,-0.328,0.252
1679954246192,2023-03-27T16:57:26.192,0.140,3.579,-1.433,0.114
1679954246212,2023-03-27T16:57:26.212,0.160,3.910,-1.543,-0.446
1679954246232,2023-03-27T16:57:26.232,0.180,2.744,-1.037,-0.671
1679954246252,2023-03-27T16:57:26.252,0.200,2.340,-0.042,-0.671
1679954246272,2023-03-27T16:57:26.272,0.220,1.322,0.495,-0.492
1679954246292,2023-03-27T16:57:26.292,0.240,-0.358,1.109,-0.556
1679954246312,2023-03-27T16:57:26.312,0.260,-0.069,1.014,-1.429
1679954246332,2023-03-27T16:57:26.332,0.280,-1.452,1.753,-2.168
1679954246352,2023-03-27T16:57:26.352,0.300,-1.974,3.579,-2.611
1679954246372,2023-03-27T16:57:26.372,0.320,-2.980,4.158,-3.152
1679954246392,2023-03-27T16:57:26.392,0.340,-2.153,3.274,-4.627
1679954246412,2023-03-27T16:57:26.412,0.360,-0.183,2.973,-6.151
1679954246432,2023-03-27T16:57:26.432,0.380,1.955,3.464,-6.822
1679954246452,2023-03-27T16:57:26.452,0.400,3.780,2.325,-7.275
1679954246472,2023-03-27T16:57:26.472,0.420,2.801,1.677,-7.329
1679954246492,2023-03-27T16:57:26.492,0.440,2.870,-0.122,-7.633
1679954246512,2023-03-27T16:57:26.512,0.460,3.346,-0.644,-7.992
