epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679954246038,2023-03-27T16:57:26.038,0.000,4.539,10.156,-0.857
1679954246058,2023-03-27T16:57:26.058,0.020,3.800,7.736,-1.578
1679954246078,2023-03-27T16:57:26.078,0.040,3.784,6.277,-1.715
1679954246098,2023-03-27T16:57:26.098,0.060,3.773,4.912,-0.922
1679954246118,2023-03-27T16:57:26.118,0.080,3.487,4.924,0.434
1679954246138,2023-03-27T16:57:26.138,0.100,3.460,5.960,0.808
1679954246158,2023-03-27T16:57:26.158,0.120,2.858,4.074,0.450
1679954246178,2023-03-27T16:57:26.178,0.140,2.134,1.467,0.137
1679954246198,2023-03-27T16:57:26.198,0.160,1.536,-0.316,0.377
1679954246218,2023-03-27T16:57:26.218,0.180,1.300,0.050,1.185
1679954246238,2023-03-27T16:57:26.238,0.200,1.463,1.997,1.806
1679954246258,2023-03-27T16:57:26.258,0.220,1.170,1.749,1.738
1679954246278,2023-03-27T16:57:26.278,0.240,0.667,1.246,1.380
1679954246298,2023-03-27T16:57:26.298,0.260,0.534,2.092,0.705
1679954246318,2023-03-27T16:57:26.318,0.280,0.461,2.893,0.335
1679954246338,2023-03-27T16:57:26.338,0.300,0.484,4.623,0.541
1679954246358,2023-03-27T16:57:26.358,0.320,0.431,6.220,1.033
1679954246378,2023-03-27T16:57:26.378,0.340,0.076,4.486,2.275
1679954246398,2023-03-27T16:57:26.398,0.360,-1.498,-2.210,3.460
1679954246418,2023-03-27T16:57:26.418,0.380,-1.925,-1.734,3.712
1679954246438,2023-03-27T16:57:26.438,0.400,-0.850,1.905,3.910
1679954246458,2023-03-27T16:57:26.458,0.420,-1.441,2.828,3.133
1679954246478,2023-03-27T16:57:26.478,0.440,-0.983,4.146,1.856
1679954246498,2023-03-27T16:57:26.498,0.460,-0.644,3.502,0.979
1679954246518,2023-03-27T16:57:26.518,0.480,-0.362,2.046,0.808
1679954246538,2023-03-27T16:57:26.538,0.500,0.404,2.443,0.957
1679954246558,2023-03-27T16:57:26.558,0.520,1.319,4.440,1.086
1679954246578,2023-03-27T16:57:26.578,0.540,2.214,6.505,1.082
1679954246598,2023-03-27T16:57:26.598,0.560,2.416,7.245,0.575
1679954246618,2023-03-27T16:57:26.618,0.580,2.565,7.439,-0.293
1679954246638,2023-03-27T16:57:26.638,0.600,2.748,7.588,-1.242
1679954246658,2023-03-27T16:57:26.658,0.620,2.431,7.111,-1.909
1679954246678,2023-03-27T16:57:26.678,0.640,1.966,6.235,-2.088
