epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679953227185,2023-03-27T16:40:27.185,0.000,-0.648,-0.964,-0.099
1679953227205,2023-03-27T16:40:27.205,0.020,-0.625,-0.640,-0.316
1679953227225,2023-03-27T16:40:27.225,0.040,-0.034,-0.236,-0.328
1679953227245,2023-03-27T16:40:27.245,0.060,0.774,0.149,-0.393
1679953227265,2023-03-27T16:40:27.265,0.080,0.244,-0.065,-0.187
1679953227285,2023-03-27T16:40:27.285,0.100,0.011,-0.518,0.126
1679953227305,2023-03-27T16:40:27.305,0.120,0.301,0.202,0.042
1679953227325,2023-03-27T16:40:27.325,0.140,0.842,0.335,-0.297
1679953227345,2023-03-27T16:40:27.345,0.160,0.979,-0.309,-0.442
1679953227365,2023-03-27T16:40:27.365,0.180,0.636,-0.282,-0.099
1679953227385,2023-03-27T16:40:27.385,0.200,0.099,0.164,0.232
1679953227405,2023-03-27T16:40:27.405,0.220,0.335,-0.499,0.133
1679953227425,2023-03-27T16:40:27.425,0.240,0.583,-0.957,-0.362
1679953227445,2023-03-27T16:40:27.445,0.260,1.540,-0.686,-0.949
1679953227465,2023-03-27T16:40:27.465,0.280,1.067,-0.236,-0.758
1679953227485,2023-03-27T16:40:27.485,0.300,0.396,0.716,-0.004
1679953227505,2023-03-27T16:40:27.505,0.320,-1.200,0.179,0.027
1679953227525,2023-03-27T16:40:27.525,0.340,-1.932,-0.194,-0.530
1679953227545,2023-03-27T16:40:27.545,0.360,-1.280,0.400,-0.675
1679953227565,2023-03-27T16:40:27.565,0.380,0.697,0.278,-0.655
1679953227585,2023-03-27T16:40:27.585,0.400,0.362,-0.080,-0.267
1679953227605,2023-03-27T16:40:27.605,0.420,-0.313,0.034,0.091
1679953227625,2023-03-27T16:40:27.625,0.440,0.168,-0.164,-0.126
1679953227645,2023-03-27T16:40:27.645,0.460,0.034,0.080,-0.274
1679953227665,2023-03-27T16:40:27.665,0.480,0.290,0.122,-0.354
1679953227685,2023-03-27T16:40:27.685,0.500,0.755,-0.259,-0.610
1679953227705,2023-03-27T16:40:27.705,0.520,0.278,-0.111,-0.713
1679953227725,2023-03-27T16:40:27.725,0.540,0.530,0.979,-0.732
1679953227745,2023-03-27T16:40:27.745,0.560,0.438,0.534,-0.728
1679953227765,2023-03-27T16:40:27.765,0.580,0.473,0.046,-0.930
1679953227785,2023-03-27T16:40:27.785,0.600,1.021,-0.053,-1.151
1679953227805,2023-03-27T16:40:27.805,0.620,1.833,-0.389,-1.456
1679953227825,2023-03-27T16:40:27.825,0.640,0.987,-0.614,-1.669
1679953227845,2023-03-27T16:40:27.845,0.660,0.091,0.057,-1.604
1679953227865,2023-03-27T16:40:27.865,0.680,-1.288,0.903,-1.421
1679953227885,2023-03-27T16:40:27.885,0.700,-2.858,1.597,-1.010
1679953227905,2023-03-27T16:40:27.905,0.720,-3.098,1.623,-0.930
1679953227925,2023-03-27T16:40:27.925,0.740,-2.477,1.174,-1.395
1679953227945,2023-03-27T16:40:27.945,0.760,-0.652,0.846,-2.245
1679953227965,2023-03-27T16:40:27.965,0.780,0.808,0.065,-3.018
1679953227985,2023-03-27T16:40:27.985,0.800,2.363,0.160,-3.430
1679953228005,2023-03-27T16:40:28.005,0.820,2.896,0.899,-3.605
1679953228025,2023-03-27T16:40:28.025,0.840,3.304,0.629,-3.826
1679953228045,2023-03-27T16:40:28.045,0.860,5.373,-0.484,-3.929
1679953228065,2023-03-27T16:40:28.065,0.880,6.547,-0.861,-3.316
1679953228085,2023-03-27T16:40:28.085,0.900,5.659,-0.796,-1.772
1679953228105,2023-03-27T16:40:28.105,0.920,4.493,-0.770,-0.046
1679953228125,2023-03-27T16:40:28.125,0.940,4.066,-0.781,0.621
1679953228145,2023-03-27T16:40:28.145,0.960,4.859,-1.688,0.168
1679953228165,2023-03-27T16:40:28.165,0.980,4.950,-1.441,-0.530
1679953228185,2023-03-27T16:40:28.185,1.000,5.103,-0.774,-1.227
1679953228205,2023-03-27T16:40:28.205,1.020,3.975,0.122,-1.383
1679953228225,2023-03-27T16:40:28.225,1.040,2.774,0.198,-1.540
1679953228245,2023-03-27T16:40:28.245,1.060,0.968,0.713,-1.280
1679953228265,2023-03-27T16:40:28.265,1.080,-0.587,1.242,-0.332
1679953228285,2023-03-27T16:40:28.285,1.100,-0.907,1.311,0.633
1679953228305,2023-03-27T16:40:28.305,1.120,-1.185,0.747,1.109
1679953228325,2023-03-27T16:40:28.325,1.140,-0.339,0.591,1.067
1679953228345,2023-03-27T16:40:28.345,1.160,0.648,1.044,0.796
1679953228365,2023-03-27T16:40:28.365,1.180,1.803,0.423,0.575
1679953228385,2023-03-27T16:40:28.385,1.200,1.197,-0.644,0.675
1679953228405,2023-03-27T16:40:28.405,1.220,0.495,0.206,0.606
1679953228425,2023-03-27T16:40:28.425,1.240,0.248,0.812,-0.015
1679953228445,2023-03-27T16:40:28.445,1.260,-1.471,0.945,-0.252
1679953228465,2023-03-27T16:40:28.465,1.280,-2.100,1.139,-0.354
1679953228485,2023-03-27T16:40:28.485,1.300,-2.652,2.561,-0.198
1679953228505,2023-03-27T16:40:28.505,1.320,-3.563,2.534,-0.171
1679953228525,2023-03-27T16:40:28.525,1.340,-4.108,1.475,0.301
1679953228545,2023-03-27T16:40:28.545,1.360,-5.156,0.675,1.056
1679953228565,2023-03-27T16:40:28.565,1.380,-5.789,1.959,1.452
1679953228585,2023-03-27T16:40:28.585,1.400,-5.534,2.351,1.322
1679953228605,2023-03-27T16:40:28.605,1.420,-5.091,1.700,1.124
1679953228625,2023-03-27T16:40:28.625,1.440,-5.339,1.669,1.322
1679953228645,2023-03-27T16:40:28.645,1.460,-4.737,1.387,1.551
1679953228665,2023-03-27T16:40:28.665,1.480,-4.425,1.193,1.559
1679953228685,2023-03-27T16:40:28.685,1.500,-4.825,1.658,1.174
1679953228705,2023-03-27T16:40:28.705,1.520,-4.390,1.848,0.877
1679953228725,2023-03-27T16:40:28.725,1.540,-5.945,2.245,0.960
1679953228745,2023-03-27T16:40:28.745,1.560,-7.809,3.201,1.029
1679953228765,2023-03-27T16:40:28.765,1.580,-9.813,3.594,0.751
1679953228785,2023-03-27T16:40:28.785,1.600,-11.905,4.280,0.534
1679953228805,2023-03-27T16:40:28.805,1.620,-12.732,5.232,0.495
1679953228825,2023-03-27T16:40:28.825,1.640,-12.774,5.480,0.366
1679953228845,2023-03-27T16:40:28.845,1.660,-12.348,5.191,0.030
1679953228865,2023-03-27T16:40:28.865,1.680,-11.185,5.145,-0.423
1679953228885,2023-03-27T16:40:28.885,1.700,-10.789,3.967,-0.606
1679953228905,2023-03-27T16:40:28.905,1.720,-10.301,4.032,-0.690
1679953228925,2023-03-27T16:40:28.925,1.740,-9.874,4.668,-0.854
1679953228945,2023-03-27T16:40:28.945,1.760,-10.351,4.341,-0.648
1679953228965,2023-03-27T16:40:28.965,1.780,-11.261,4.089,0.008
1679953228985,2023-03-27T16:40:28.985,1.800,-11.917,4.017,0.732
1679953229005,2023-03-27T16:40:29.005,1.820,-10.324,3.990,0.877
1679953229025,2023-03-27T16:40:29.025,1.840,-7.092,2.401,0.625
1679953229045,2023-03-27T16:40:29.045,1.860,-4.306,1.700,0.366
1679953229065,2023-03-27T16:40:29.065,1.880,-2.744,0.957,0.316
1679953229085,2023-03-27T16:40:29.085,1.900,-2.443,0.934,0.252
1679953229105,2023-03-27T16:40:29.105,1.920,-2.668,1.056,0.252
1679953229125,2023-03-27T16:40:29.125,1.940,-2.283,1.574,0.187
1679953229145,2023-03-27T16:40:29.145,1.960,-2.645,1.448,0.240
1679953229165,2023-03-27T16:40:29.165,1.980,-2.995,1.254,0.194
1679953229185,2023-03-27T16:40:29.185,2.000,-2.710,1.040,0.168
1679953229205,2023-03-27T16:40:29.205,2.020,-2.401,0.549,-0.030
1679953229225,2023-03-27T16:40:29.225,2.040,-1.376,0.804,0.061
1679953229245,2023-03-27T16:40:29.245,2.060,-0.065,0.564,0.194
1679953229265,2023-03-27T16:40:29.265,2.080,1.086,0.038,-0.103
1679953229285,2023-03-27T16:40:29.285,2.100,1.303,-0.141,-0.457
1679953229305,2023-03-27T16:40:29.305,2.120,1.753,0.252,-0.663
1679953229325,2023-03-27T16:40:29.325,2.140,0.972,-0.206,-0.301
1679953229345,2023-03-27T16:40:29.345,2.160,0.595,-0.088,-0.061
1679953229365,2023-03-27T16:40:29.365,2.180,1.582,0.362,-0.206
1679953229385,2023-03-27T16:40:29.385,2.200,3.007,0.545,-0.236
1679953229405,2023-03-27T16:40:29.405,2.220,4.040,-1.105,-0.038
1679953229425,2023-03-27T16:40:29.425,2.240,5.488,-2.820,0.206
1679953229445,2023-03-27T16:40:29.445,2.260,5.918,-2.378,0.320
1679953229465,2023-03-27T16:40:29.465,2.280,7.363,-2.504,-0.175
1679953229485,2023-03-27T16:40:29.485,2.300,8.868,-3.304,-0.713
1679953229505,2023-03-27T16:40:29.505,2.320,11.067,-3.826,-1.056
1679953229525,2023-03-27T16:40:29.525,2.340,11.654,-3.209,-1.002
1679953229545,2023-03-27T16:40:29.545,2.360,10.103,-3.407,-0.556
1679953229565,2023-03-27T16:40:29.565,2.380,9.562,-3.293,-0.499
1679953229585,2023-03-27T16:40:29.585,2.400,9.466,-3.144,-0.526
1679953229605,2023-03-27T16:40:29.605,2.420,8.129,-3.026,-0.088
1679953229625,2023-03-27T16:40:29.625,2.440,8.003,-3.323,0.191
1679953229645,2023-03-27T16:40:29.645,2.460,9.451,-4.051,0.118
1679953229665,2023-03-27T16:40:29.665,2.480,10.171,-3.087,0.088
1679953229685,2023-03-27T16:40:29.685,2.500,10.934,-3.323,-0.019
1679953229705,2023-03-27T16:40:29.705,2.520,10.682,-4.181,-0.381
1679953229725,2023-03-27T16:40:29.725,2.540,9.809,-3.388,-0.781
1679953229745,2023-03-27T16:40:29.745,2.560,9.204,-2.191,-1.090
1679953229765,2023-03-27T16:40:29.765,2.580,8.655,-3.205,-0.903
1679953229785,2023-03-27T16:40:29.785,2.600,7.839,-3.780,-0.332
1679953229805,2023-03-27T16:40:29.805,2.620,8.670,-2.832,0.065
1679953229845,2023-03-27T16:40:29.845,2.660,8.678,-2.858,-0.537
1679953229865,2023-03-27T16:40:29.865,2.680,8.319,-2.008,-0.686
1679953229885,2023-03-27T16:40:29.885,2.700,6.380,-2.146,-0.633
1679953229905,2023-03-27T16:40:29.905,2.720,5.503,-2.115,-0.427
1679953229925,2023-03-27T16:40:29.925,2.740,5.655,-1.803,-0.194
1679953229945,2023-03-27T16:40:29.945,2.760,5.171,-1.730,0.091
1679953230005,2023-03-27T16:40:30.005,2.820,3.910,-1.471,0.191
1679953230025,2023-03-27T16:40:30.025,2.840,2.458,-1.311,0.362
1679953230045,2023-03-27T16:40:30.045,2.860,1.185,-0.766,0.724
1679953230065,2023-03-27T16:40:30.065,2.880,0.377,-0.713,0.896
1679953230125,2023-03-27T16:40:30.125,2.940,-2.279,0.301,1.265
