epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679955045058,2023-03-27T17:10:45.058,0.000,-5.149,46.319,-6.604
1679955045078,2023-03-27T17:10:45.078,0.020,-5.595,51.021,-4.726
1679955045098,2023-03-27T17:10:45.098,0.040,0.248,75.385,-1.986
1679955045118,2023-03-27T17:10:45.118,0.060,1.974,86.692,-2.504
1679955045138,2023-03-27T17:10:45.138,0.080,-2.576,79.383,-4.543
1679955045158,2023-03-27T17:10:45.158,0.100,0.953,67.763,-7.675
1679955045178,2023-03-27T17:10:45.178,0.120,4.284,51.010,-8.205
1679955045198,2023-03-27T17:10:45.198,0.140,6.082,42.329,-7.824
1679955045218,2023-03-27T17:10:45.218,0.160,10.705,43.422,-9.992
1679955045238,2023-03-27T17:10:45.238,0.180,11.406,35.934,-7.713
1679955045258,2023-03-27T17:10:45.258,0.200,13.937,33.197,-3.091
1679955045278,2023-03-27T17:10:45.278,0.220,13.053,29.688,-7.008
1679955045298,2023-03-27T17:10:45.298,0.240,5.332,-12.130,-17.793
1679955045318,2023-03-27T17:10:45.318,0.260,-1.303,-57.988,-20.587
1679955045338,2023-03-27T17:10:45.338,0.280,7.915,-44.238,-17.694
1679955045358,2023-03-27T17:10:45.358,0.300,16.361,-28.895,-27.633
1679955045378,2023-03-27T17:10:45.378,0.320,21.696,-29.497,-30.758
1679955045398,2023-03-27T17:10:45.398,0.340,31.159,-52.984,-37.130
1679955045418,2023-03-27T17:10:45.418,0.360,34.325,-84.215,-34.573
1679955045438,2023-03-27T17:10:45.438,0.380,32.199,-94.337,-32.908
1679955045458,2023-03-27T17:10:45.458,0.400,29.802,-84.131,-21.433
1679955045478,2023-03-27T17:10:45.478,0.420,23.571,-62.641,-5.114
1679955045498,2023-03-27T17:10:45.498,0.440,11.139,-39.691,3.354
1679955045518,2023-03-27T17:10:45.518,0.460,2.919,-36.982,-1.970
1679955045538,2023-03-27T17:10:45.538,0.480,-3.053,-69.093,-9.143
1679955045558,2023-03-27T17:10:45.558,0.500,1.208,-80.313,-7.458
1679955045578,2023-03-27T17:10:45.578,0.520,5.739,-67.146,-3.018
1679955045598,2023-03-27T17:10:45.598,0.540,2.904,-54.977,6.864
1679955045618,2023-03-27T17:10:45.618,0.560,-7.851,-49.497,15.415
1679955045638,2023-03-27T17:10:45.638,0.580,-14.848,-36.715,23.338
1679955045658,2023-03-27T17:10:45.658,0.600,-10.701,-17.039,27.576
1679955045678,2023-03-27T17:10:45.678,0.620,-9.867,-16.021,29.798
1679955045698,2023-03-27T17:10:45.698,0.640,-10.141,-17.889,29.642
1679955045718,2023-03-27T17:10:45.718,0.660,-5.785,-19.874,27.393
1679955045738,2023-03-27T17:10:45.738,0.680,-4.562,-31.707,24.028
1679955045758,2023-03-27T17:10:45.758,0.700,-3.464,-30.305,22.603
1679955045778,2023-03-27T17:10:45.778,0.720,0.865,-2.252,27.069
1679955045798,2023-03-27T17:10:45.798,0.740,6.014,27.329,31.212
1679955045818,2023-03-27T17:10:45.818,0.760,9.428,30.640,32.942
1679955045838,2023-03-27T17:10:45.838,0.780,9.398,5.793,31.120
1679955045858,2023-03-27T17:10:45.858,0.800,10.137,-14.581,28.582
1679955045878,2023-03-27T17:10:45.878,0.820,15.522,-14.848,26.273
1679955045898,2023-03-27T17:10:45.898,0.840,19.714,-6.204,21.551
1679955045918,2023-03-27T17:10:45.918,0.860,21.433,-3.910,16.364
1679955045938,2023-03-27T17:10:45.938,0.880,24.322,-10.819,15.705
1679955045958,2023-03-27T17:10:45.958,0.900,24.520,-11.837,12.752
1679955045978,2023-03-27T17:10:45.978,0.920,24.047,2.504,13.106
