epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1679955647427,2023-03-27T17:20:47.427,0.000,-40.225,42.873,124.874
1679955647447,2023-03-27T17:20:47.447,0.020,-41.730,43.567,124.874
1679955647467,2023-03-27T17:20:47.467,0.040,-36.528,52.207,124.874
1679955647487,2023-03-27T17:20:47.487,0.060,-8.994,72.397,124.874
1679955647507,2023-03-27T17:20:47.507,0.080,15.282,90.915,124.874
1679955647527,2023-03-27T17:20:47.527,0.100,21.086,99.417,124.874
1679955647547,2023-03-27T17:20:47.547,0.120,16.025,94.623,124.874
1679955647567,2023-03-27T17:20:47.567,0.140,7.732,83.399,120.027
1679955647587,2023-03-27T17:20:47.587,0.160,11.936,65.027,109.238
1679955647607,2023-03-27T17:20:47.607,0.180,21.822,48.041,96.269
1679955647627,2023-03-27T17:20:47.627,0.200,27.584,36.056,81.330
1679955647647,2023-03-27T17:20:47.647,0.220,29.371,34.889,69.390
1679955647667,2023-03-27T17:20:47.667,0.240,23.392,35.511,63.590
1679955647687,2023-03-27T17:20:47.687,0.260,16.002,24.177,57.649
1679955647707,2023-03-27T17:20:47.707,0.280,16.745,9.318,47.477
1679955647727,2023-03-27T17:20:47.727,0.300,20.084,-2.325,35.671
1679955647747,2023-03-27T17:20:47.747,0.320,19.394,0.530,14.489
1679955647767,2023-03-27T17:20:47.767,0.340,12.691,16.932,-11.227
1679955647787,2023-03-27T17:20:47.787,0.360,-5.248,24.268,-32.306
1679955647807,2023-03-27T17:20:47.807,0.380,-32.039,-4.695,-50.621
1679955647827,2023-03-27T17:20:47.827,0.400,-49.867,-38.956,-76.524
1679955647847,2023-03-27T17:20:47.847,0.420,-50.271,-51.155,-104.219
1679955647867,2023-03-27T17:20:47.867,0.440,-41.993,-60.313,-124.874
1679955647887,2023-03-27T17:20:47.887,0.460,-33.091,-75.938,-124.874
1679955647907,2023-03-27T17:20:47.907,0.480,-23.232,-103.464,-124.497
1679955647927,2023-03-27T17:20:47.927,0.500,-17.591,-124.874,-124.867
1679955647947,2023-03-27T17:20:47.947,0.520,-15.648,-124.874,-124.874
1679955647967,2023-03-27T17:20:47.967,0.540,-11.513,-124.143,-124.870
1679955647987,2023-03-27T17:20:47.987,0.560,-8.704,-117.919,-124.874
1679955648007,2023-03-27T17:20:48.007,0.580,-10.976,-118.952,-124.874
1679955648027,2023-03-27T17:20:48.027,0.600,-10.530,-124.874,-124.874
1679955648047,2023-03-27T17:20:48.047,0.620,-8.758,-124.874,-124.874
1679955648067,2023-03-27T17:20:48.067,0.640,-3.380,-123.800,-124.874
1679955648087,2023-03-27T17:20:48.087,0.660,11.349,-98.277,-124.874
1679955648107,2023-03-27T17:20:48.107,0.680,25.050,-80.899,-124.874
1679955648127,2023-03-27T17:20:48.127,0.700,24.573,-114.954,-124.874
1679955648147,2023-03-27T17:20:48.147,0.720,10.991,-124.874,-124.874
1679955648167,2023-03-27T17:20:48.167,0.740,0.286,-124.714,-124.874
1679955648187,2023-03-27T17:20:48.187,0.760,-4.253,-124.585,-124.874
1679955648207,2023-03-27T17:20:48.207,0.780,-8.990,-124.874,-116.486
1679955648227,2023-03-27T17:20:48.227,0.800,-10.503,-124.874,-95.141
1679955648247,2023-03-27T17:20:48.247,0.820,-3.167,-124.870,-76.700
1679955648267,2023-03-27T17:20:48.267,0.840,12.771,-111.239,-62.691
1679955648287,2023-03-27T17:20:48.287,0.860,30.972,-69.101,-49.512
1679955648307,2023-03-27T17:20:48.307,0.880,44.348,-39.600,-34.615
1679955648327,2023-03-27T17:20:48.327,0.900,48.899,-25.297,-19.699
1679955648347,2023-03-27T17:20:48.347,0.920,46.193,-13.392,-5.000
1679955648367,2023-03-27T17:20:48.367,0.940,42.340,-4.756,5.351
1679955648387,2023-03-27T17:20:48.387,0.960,42.401,-0.930,12.630
1679955648407,2023-03-27T17:20:48.407,0.980,42.355,0.911,18.072
1679955648427,2023-03-27T17:20:48.427,1.000,40.351,4.055,22.309
1679955648447,2023-03-27T17:20:48.447,1.020,37.679,8.068,24.535
1679955648467,2023-03-27T17:20:48.467,1.040,38.117,13.963,19.341
1679955648487,2023-03-27T17:20:48.487,1.060,36.284,25.877,19.520
1679955648507,2023-03-27T17:20:48.507,1.080,41.425,42.393,18.708
1679955648527,2023-03-27T17:20:48.527,1.100,46.921,65.541,14.188
1679955648547,2023-03-27T17:20:48.547,1.120,38.765,89.413,2.908
1679955648567,2023-03-27T17:20:48.567,1.140,9.482,104.607,-12.473
1679955648587,2023-03-27T17:20:48.587,1.160,-19.242,119.165,-40.480
