epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1680277148670,2023-03-31T10:39:08.670,0.000,-0.274,0.122,-0.156
1680277148690,2023-03-31T10:39:08.690,0.020,0.011,0.202,0.152
1680277148710,2023-03-31T10:39:08.710,0.040,0.267,0.061,0.225
1680277148730,2023-03-31T10:39:08.730,0.060,0.232,-0.202,0.305
1680277148750,2023-03-31T10:39:08.750,0.080,-0.023,-0.259,0.160
1680277148770,2023-03-31T10:39:08.770,0.100,0.011,-0.080,0.030
1680277148790,2023-03-31T10:39:08.790,0.120,0.160,-0.206,0.057
1680277148810,2023-03-31T10:39:08.810,0.140,0.351,-0.434,0.126
1680277148830,2023-03-31T10:39:08.830,0.160,0.476,-0.476,0.343
1680277148850,2023-03-31T10:39:08.850,0.180,0.476,-0.450,0.320
1680277148870,2023-03-31T10:39:08.870,0.200,0.309,-0.431,0.084
1680277148890,2023-03-31T10:39:08.890,0.220,0.183,-0.168,-0.103
1680277148910,2023-03-31T10:39:08.910,0.240,0.396,0.042,-0.126
1680277148930,2023-03-31T10:39:08.930,0.260,0.610,0.038,0.088
1680277148950,2023-03-31T10:39:08.950,0.280,0.583,-0.069,0.225
1680277148970,2023-03-31T10:39:08.970,0.300,0.598,-0.191,0.244
1680277148990,2023-03-31T10:39:08.990,0.320,0.587,-0.282,0.271
1680277149010,2023-03-31T10:39:09.010,0.340,0.442,-0.309,0.221
1680277149030,2023-03-31T10:39:09.030,0.360,0.282,-0.313,0.164
1680277149050,2023-03-31T10:39:09.050,0.380,0.118,-0.267,0.210
1680277149070,2023-03-31T10:39:09.070,0.400,0.038,-0.160,0.217
1680277149090,2023-03-31T10:39:09.090,0.420,0.050,-0.145,0.210
1680277149110,2023-03-31T10:39:09.110,0.440,0.202,-0.137,0.202
1680277149130,2023-03-31T10:39:09.130,0.460,0.088,-0.034,0.118
1680277149150,2023-03-31T10:39:09.150,0.480,0.038,0.019,0.118
1680277149170,2023-03-31T10:39:09.170,0.500,0.130,-0.046,0.194
1680277149190,2023-03-31T10:39:09.190,0.520,0.202,-0.149,0.252
1680277149210,2023-03-31T10:39:09.210,0.540,0.278,-0.171,0.293
1680277149230,2023-03-31T10:39:09.230,0.560,0.339,-0.183,0.408
1680277149250,2023-03-31T10:39:09.250,0.580,0.248,-0.244,0.282
1680277149270,2023-03-31T10:39:09.270,0.600,0.198,-0.263,0.263
1680277149290,2023-03-31T10:39:09.290,0.620,0.232,-0.225,0.328
1680277149310,2023-03-31T10:39:09.310,0.640,0.248,-0.213,0.297
1680277149330,2023-03-31T10:39:09.330,0.660,0.339,-0.244,0.282
1680277149350,2023-03-31T10:39:09.350,0.680,0.248,-0.301,0.301
1680277149370,2023-03-31T10:39:09.370,0.700,0.236,-0.320,0.313
1680277149390,2023-03-31T10:39:09.390,0.720,0.213,-0.252,0.328
1680277149410,2023-03-31T10:39:09.410,0.740,0.118,-0.225,0.293
1680277149430,2023-03-31T10:39:09.430,0.760,0.072,-0.263,0.301
1680277149450,2023-03-31T10:39:09.450,0.780,0.099,-0.236,0.385
1680277149470,2023-03-31T10:39:09.470,0.800,0.057,-0.206,0.465
1680277149490,2023-03-31T10:39:09.490,0.820,0.057,-0.198,0.431
1680277149510,2023-03-31T10:39:09.510,0.840,-0.030,-0.290,0.366
1680277149530,2023-03-31T10:39:09.530,0.860,-0.069,-0.225,0.335
1680277149550,2023-03-31T10:39:09.550,0.880,0.072,-0.126,0.259
1680277149570,2023-03-31T10:39:09.570,0.900,0.168,-0.149,0.362
1680277149590,2023-03-31T10:39:09.590,0.920,0.069,-0.152,0.450
1680277149610,2023-03-31T10:39:09.610,0.940,-0.053,-0.095,0.419
1680277149630,2023-03-31T10:39:09.630,0.960,-0.084,-0.343,0.248
1680277149650,2023-03-31T10:39:09.650,0.980,-0.072,-0.572,0.069
1680277149670,2023-03-31T10:39:09.670,1.000,0.156,-0.175,0.168
1680277149690,2023-03-31T10:39:09.690,1.020,0.179,0.095,0.370
1680277149710,2023-03-31T10:39:09.710,1.040,0.107,0.050,0.553
1680277149730,2023-03-31T10:39:09.730,1.060,-0.011,-0.171,0.434
1680277149750,2023-03-31T10:39:09.750,1.080,-0.080,-0.545,0.111
1680277149770,2023-03-31T10:39:09.770,1.100,-0.023,-0.648,0.034
1680277149790,2023-03-31T10:39:09.790,1.120,0.191,-0.332,0.362
1680277149810,2023-03-31T10:39:09.810,1.140,0.385,-0.118,0.724
