epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1680279296379,2023-03-31T11:14:56.379,0.000,0.846,1.014,-2.256
1680279296399,2023-03-31T11:14:56.399,0.020,1.010,0.568,-2.862
1680279296419,2023-03-31T11:14:56.419,0.040,0.972,0.454,-2.115
1680279296439,2023-03-31T11:14:56.439,0.060,1.151,0.442,-1.925
1680279296459,2023-03-31T11:14:56.459,0.080,1.292,0.720,-2.161
1680279296479,2023-03-31T11:14:56.479,0.100,1.700,0.652,-2.595
1680279296499,2023-03-31T11:14:56.499,0.120,2.104,0.335,-2.820
1680279296519,2023-03-31T11:14:56.519,0.140,2.351,0.004,-2.790
1680279296539,2023-03-31T11:14:56.539,0.160,2.500,-0.046,-2.904
1680279296559,2023-03-31T11:14:56.559,0.180,2.572,0.217,-2.954
1680279296579,2023-03-31T11:14:56.579,0.200,2.755,0.084,-2.915
1680279296599,2023-03-31T11:14:56.599,0.220,2.893,-0.095,-2.950
1680279296619,2023-03-31T11:14:56.619,0.240,2.885,0.274,-3.121
1680279296639,2023-03-31T11:14:56.639,0.260,2.946,0.800,-3.274
1680279296659,2023-03-31T11:14:56.659,0.280,2.912,0.358,-3.239
1680279296679,2023-03-31T11:14:56.679,0.300,2.367,-0.804,-2.984
1680279296699,2023-03-31T11:14:56.699,0.320,1.704,-1.258,-2.786
1680279296719,2023-03-31T11:14:56.719,0.340,1.136,-1.433,-2.538
1680279296739,2023-03-31T11:14:56.739,0.360,0.671,-1.921,-2.382
1680279296759,2023-03-31T11:14:56.759,0.380,0.267,-2.054,-1.715
1680279296779,2023-03-31T11:14:56.779,0.400,0.431,-1.860,-1.341
1680279296799,2023-03-31T11:14:56.799,0.420,0.812,-1.502,-1.067
1680279296819,2023-03-31T11:14:56.819,0.440,1.707,-0.823,-0.857
1680279296839,2023-03-31T11:14:56.839,0.460,2.332,-0.156,-0.918
1680279296859,2023-03-31T11:14:56.859,0.480,2.058,-0.461,-0.537
1680279296879,2023-03-31T11:14:56.879,0.500,1.482,-1.521,0.114
1680279296899,2023-03-31T11:14:56.899,0.520,0.812,-2.329,0.556
1680279296919,2023-03-31T11:14:56.919,0.540,0.941,-2.256,0.633
1680279296939,2023-03-31T11:14:56.939,0.560,1.856,-0.934,-0.271
1680279296959,2023-03-31T11:14:56.959,0.580,2.927,0.732,-1.482
1680279296979,2023-03-31T11:14:56.979,0.600,3.582,1.402,-2.656
1680279296999,2023-03-31T11:14:56.999,0.620,3.857,1.353,-3.567
1680279297019,2023-03-31T11:14:57.019,0.640,3.697,1.380,-3.880
1680279297039,2023-03-31T11:14:57.039,0.660,3.205,1.261,-3.708
1680279297059,2023-03-31T11:14:57.059,0.680,2.515,1.052,-3.277
1680279297079,2023-03-31T11:14:57.079,0.700,1.441,0.473,-2.565
1680279297099,2023-03-31T11:14:57.099,0.720,0.579,0.130,-2.012
1680279297119,2023-03-31T11:14:57.119,0.740,0.370,0.766,-1.787
1680279297139,2023-03-31T11:14:57.139,0.760,0.495,1.315,-1.772
1680279297159,2023-03-31T11:14:57.159,0.780,0.126,1.029,-1.357
1680279297179,2023-03-31T11:14:57.179,0.800,-0.545,0.572,-0.892
1680279297199,2023-03-31T11:14:57.199,0.820,-1.105,0.004,-0.709
1680279297219,2023-03-31T11:14:57.219,0.840,-1.220,-0.595,-0.499
1680279297239,2023-03-31T11:14:57.239,0.860,-0.922,-0.823,-0.328
1680279297259,2023-03-31T11:14:57.259,0.880,-0.236,-0.743,-0.133
1680279297279,2023-03-31T11:14:57.279,0.900,0.720,-0.030,-0.191
1680279297299,2023-03-31T11:14:57.299,0.920,1.361,0.934,-0.671
1680279297319,2023-03-31T11:14:57.319,0.940,2.016,1.162,-1.711
1680279297339,2023-03-31T11:14:57.339,0.960,2.847,1.090,-2.748
1680279297359,2023-03-31T11:14:57.359,0.980,3.491,0.667,-3.441
1680279297379,2023-03-31T11:14:57.379,1.000,3.796,0.152,-3.761
1680279297399,2023-03-31T11:14:57.399,1.020,4.066,0.065,-3.746
1680279297419,2023-03-31T11:14:57.419,1.040,4.120,0.221,-3.384
1680279297439,2023-03-31T11:14:57.439,1.060,3.731,0.202,-2.748
1680279297459,2023-03-31T11:14:57.459,1.080,3.045,-0.259,-1.944
1680279297479,2023-03-31T11:14:57.479,1.100,1.947,-0.274,-1.330
1680279297499,2023-03-31T11:14:57.499,1.120,0.995,-0.484,-0.789
1680279297519,2023-03-31T11:14:57.519,1.140,0.556,-0.983,-0.701
1680279297539,2023-03-31T11:14:57.539,1.160,0.385,-0.758,-1.086
1680279297559,2023-03-31T11:14:57.559,1.180,0.514,-0.347,-1.296
1680279297579,2023-03-31T11:14:57.579,1.200,0.694,0.030,-1.292
1680279297599,2023-03-31T11:14:57.599,1.220,1.010,0.434,-1.189
1680279297619,2023-03-31T11:14:57.619,1.240,1.193,0.556,-1.155
1680279297639,2023-03-31T11:14:57.639,1.260,1.574,0.667,-1.147
1680279297659,2023-03-31T11:14:57.659,1.280,2.111,1.040,-0.991
1680279297679,2023-03-31T11:14:57.679,1.300,2.683,1.505,-0.682
1680279297699,2023-03-31T11:14:57.699,1.320,3.018,1.635,-0.286
1680279297719,2023-03-31T11:14:57.719,1.340,2.938,1.742,0.053
1680279297739,2023-03-31T11:14:57.739,1.360,2.755,1.704,0.343
1680279297759,2023-03-31T11:14:57.759,1.380,2.710,1.799,0.217
1680279297779,2023-03-31T11:14:57.779,1.400,2.542,1.883,0.042
1680279297799,2023-03-31T11:14:57.799,1.420,2.260,2.107,-0.122
1680279297819,2023-03-31T11:14:57.819,1.440,1.707,2.043,-0.004
1680279297839,2023-03-31T11:14:57.839,1.460,0.930,1.368,0.423
1680279297859,2023-03-31T11:14:57.859,1.480,-0.095,0.122,0.835
1680279297879,2023-03-31T11:14:57.879,1.500,-1.086,-0.682,1.117
1680279297899,2023-03-31T11:14:57.899,1.520,-1.437,-0.960,1.071
1680279297919,2023-03-31T11:14:57.919,1.540,-1.582,-0.976,0.781
1680279297939,2023-03-31T11:14:57.939,1.560,-1.749,-1.197,0.511
1680279297959,2023-03-31T11:14:57.959,1.580,-2.062,-1.810,0.152
1680279297979,2023-03-31T11:14:57.979,1.600,-2.046,-2.157,-0.088
1680279297999,2023-03-31T11:14:57.999,1.620,-1.707,-2.222,-0.427
1680279298019,2023-03-31T11:14:58.019,1.640,-1.261,-2.138,-0.701
1680279298039,2023-03-31T11:14:58.039,1.660,-0.880,-2.332,-1.018
1680279298059,2023-03-31T11:14:58.059,1.680,-0.473,-2.237,-1.197
1680279298079,2023-03-31T11:14:58.079,1.700,-0.130,-1.833,-1.376
1680279298099,2023-03-31T11:14:58.099,1.720,-0.229,-1.673,-1.494
1680279298119,2023-03-31T11:14:58.119,1.740,-0.271,-1.787,-1.437
1680279298139,2023-03-31T11:14:58.139,1.760,-0.194,-2.062,-1.471
1680279298159,2023-03-31T11:14:58.159,1.780,0.080,-2.382,-1.551
1680279298179,2023-03-31T11:14:58.179,1.800,0.499,-1.997,-1.860
1680279298199,2023-03-31T11:14:58.199,1.820,0.800,-0.579,-1.818
1680279298219,2023-03-31T11:14:58.219,1.840,0.941,-0.671,-1.608
1680279298239,2023-03-31T11:14:58.239,1.860,1.239,-0.454,-1.402
1680279298259,2023-03-31T11:14:58.259,1.880,1.284,0.027,-1.120
1680279298279,2023-03-31T11:14:58.279,1.900,0.957,-0.122,-0.568
1680279298299,2023-03-31T11:14:58.299,1.920,0.389,-0.888,0.023
1680279298319,2023-03-31T11:14:58.319,1.940,0.095,-0.534,0.415
1680279298339,2023-03-31T11:14:58.339,1.960,0.328,0.046,0.534
1680279298359,2023-03-31T11:14:58.359,1.980,0.846,0.164,0.290
1680279298379,2023-03-31T11:14:58.379,2.000,1.170,0.659,0.011
1680279298399,2023-03-31T11:14:58.399,2.020,1.143,1.597,-0.381
