epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1680279758618,2023-03-31T11:22:38.618,0.000,1.334,1.650,-0.991
1680279758638,2023-03-31T11:22:38.638,0.020,1.124,1.471,-1.204
1680279758658,2023-03-31T11:22:38.658,0.040,1.239,1.220,-0.869
1680279758678,2023-03-31T11:22:38.678,0.060,1.353,1.010,-0.534
1680279758698,2023-03-31T11:22:38.698,0.080,1.391,1.101,-0.751
1680279758718,2023-03-31T11:22:38.718,0.100,1.555,1.601,-1.113
1680279758738,2023-03-31T11:22:38.738,0.120,1.639,1.768,-1.197
1680279758758,2023-03-31T11:22:38.758,0.140,1.524,1.654,-1.071
1680279758778,2023-03-31T11:22:38.778,0.160,1.395,1.593,-0.922
1680279758798,2023-03-31T11:22:38.798,0.180,0.998,1.418,-0.781
1680279758818,2023-03-31T11:22:38.818,0.200,0.644,1.189,-0.602
1680279758838,2023-03-31T11:22:38.838,0.220,0.446,1.227,-0.473
1680279758858,2023-03-31T11:22:38.858,0.240,0.484,1.269,-0.488
1680279758878,2023-03-31T11:22:38.878,0.260,0.606,1.341,-0.366
1680279758898,2023-03-31T11:22:38.898,0.280,0.522,1.300,-0.259
1680279758918,2023-03-31T11:22:38.918,0.300,0.309,1.010,-0.229
1680279758938,2023-03-31T11:22:38.938,0.320,0.263,0.831,-0.171
1680279758958,2023-03-31T11:22:38.958,0.340,0.309,0.606,-0.175
1680279758978,2023-03-31T11:22:38.978,0.360,0.408,0.564,-0.244
1680279758998,2023-03-31T11:22:38.998,0.380,0.389,0.347,-0.271
1680279759018,2023-03-31T11:22:39.018,0.400,0.484,0.431,-0.377
1680279759038,2023-03-31T11:22:39.038,0.420,0.686,0.835,-0.648
1680279759058,2023-03-31T11:22:39.058,0.440,0.636,0.816,-0.819
1680279759078,2023-03-31T11:22:39.078,0.460,0.217,-0.080,-0.644
1680279759098,2023-03-31T11:22:39.098,0.480,-0.053,-0.724,-0.427
1680279759118,2023-03-31T11:22:39.118,0.500,0.103,-0.629,-0.480
1680279759138,2023-03-31T11:22:39.138,0.520,0.598,-0.290,-0.713
1680279759158,2023-03-31T11:22:39.158,0.540,0.785,-0.160,-0.827
1680279759178,2023-03-31T11:22:39.178,0.560,0.774,-0.332,-1.014
1680279759198,2023-03-31T11:22:39.198,0.580,0.804,-0.084,-1.094
1680279759218,2023-03-31T11:22:39.218,0.600,0.766,-0.069,-1.254
1680279759238,2023-03-31T11:22:39.238,0.620,0.869,-0.621,-1.147
1680279759258,2023-03-31T11:22:39.258,0.640,1.094,-0.537,-0.812
1680279759278,2023-03-31T11:22:39.278,0.660,1.071,-0.446,-0.671
1680279759298,2023-03-31T11:22:39.298,0.680,1.101,-0.728,-0.640
1680279759318,2023-03-31T11:22:39.318,0.700,1.441,-0.621,-0.736
1680279759338,2023-03-31T11:22:39.338,0.720,1.738,-0.187,-1.067
1680279759358,2023-03-31T11:22:39.358,0.740,1.841,-0.118,-1.212
1680279759378,2023-03-31T11:22:39.378,0.760,1.353,-0.621,-1.216
1680279759398,2023-03-31T11:22:39.398,0.780,0.903,-1.082,-1.059
1680279759418,2023-03-31T11:22:39.418,0.800,0.873,-1.159,-1.010
1680279759438,2023-03-31T11:22:39.438,0.820,1.075,-0.972,-0.976
1680279759458,2023-03-31T11:22:39.458,0.840,1.197,-0.747,-1.120
1680279759478,2023-03-31T11:22:39.478,0.860,1.155,-0.903,-0.823
