epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1680278454585,2023-03-31T11:00:54.585,0.000,2.184,1.452,-1.326
1680278454605,2023-03-31T11:00:54.605,0.020,1.875,1.433,-1.128
1680278454625,2023-03-31T11:00:54.625,0.040,1.940,1.513,-0.728
1680278454645,2023-03-31T11:00:54.645,0.060,1.879,1.700,-0.545
1680278454665,2023-03-31T11:00:54.665,0.080,1.700,1.715,-0.495
1680278454685,2023-03-31T11:00:54.685,0.100,1.707,2.180,-1.128
1680278454705,2023-03-31T11:00:54.705,0.120,2.191,2.458,-1.620
1680278454725,2023-03-31T11:00:54.725,0.140,2.496,2.877,-2.054
1680278454745,2023-03-31T11:00:54.745,0.160,2.168,3.194,-1.711
1680278454765,2023-03-31T11:00:54.765,0.180,1.704,2.313,-1.101
1680278454785,2023-03-31T11:00:54.785,0.200,1.258,1.852,-0.473
1680278454805,2023-03-31T11:00:54.805,0.220,1.109,1.776,-0.263
1680278454825,2023-03-31T11:00:54.825,0.240,1.250,1.902,-0.457
1680278454845,2023-03-31T11:00:54.845,0.260,1.540,1.955,-0.823
1680278454865,2023-03-31T11:00:54.865,0.280,1.482,1.963,-1.254
1680278454885,2023-03-31T11:00:54.885,0.300,1.368,1.482,-1.151
1680278454905,2023-03-31T11:00:54.905,0.320,1.322,1.616,-1.502
1680278454925,2023-03-31T11:00:54.925,0.340,1.319,2.466,-1.875
1680278454945,2023-03-31T11:00:54.945,0.360,1.479,1.784,-2.043
1680278454965,2023-03-31T11:00:54.965,0.380,1.738,1.543,-1.944
1680278454985,2023-03-31T11:00:54.985,0.400,1.966,1.212,-1.978
1680278455005,2023-03-31T11:00:55.005,0.420,2.104,0.511,-1.753
1680278455025,2023-03-31T11:00:55.025,0.440,2.298,0.678,-1.841
1680278455045,2023-03-31T11:00:55.045,0.460,2.351,1.082,-1.883
1680278455065,2023-03-31T11:00:55.065,0.480,2.123,0.777,-1.677
1680278455085,2023-03-31T11:00:55.085,0.500,1.837,0.595,-1.482
1680278455105,2023-03-31T11:00:55.105,0.520,1.753,0.865,-1.421
1680278455125,2023-03-31T11:00:55.125,0.540,1.662,1.117,-1.387
1680278455145,2023-03-31T11:00:55.145,0.560,1.620,1.155,-1.353
1680278455165,2023-03-31T11:00:55.165,0.580,1.627,1.429,-1.269
1680278455185,2023-03-31T11:00:55.185,0.600,1.486,1.791,-1.120
1680278455205,2023-03-31T11:00:55.205,0.620,0.998,1.795,-0.823
1680278455225,2023-03-31T11:00:55.225,0.640,0.652,1.418,-0.454
1680278455245,2023-03-31T11:00:55.245,0.660,0.572,1.014,-0.229
1680278455265,2023-03-31T11:00:55.265,0.680,0.659,0.892,-0.152
1680278455285,2023-03-31T11:00:55.285,0.700,0.945,1.368,-0.202
1680278455305,2023-03-31T11:00:55.305,0.720,1.220,1.723,-0.381
1680278455325,2023-03-31T11:00:55.325,0.740,1.292,1.559,-0.377
1680278455345,2023-03-31T11:00:55.345,0.760,1.204,1.471,-0.389
1680278455365,2023-03-31T11:00:55.365,0.780,1.284,1.578,-0.526
1680278455385,2023-03-31T11:00:55.385,0.800,1.162,1.486,-0.488
1680278455405,2023-03-31T11:00:55.405,0.820,1.056,1.326,-0.526
1680278455425,2023-03-31T11:00:55.425,0.840,1.002,1.159,-0.690
1680278455445,2023-03-31T11:00:55.445,0.860,0.671,0.819,-0.694
1680278455465,2023-03-31T11:00:55.465,0.880,0.442,0.556,-0.667
1680278455485,2023-03-31T11:00:55.485,0.900,0.339,0.686,-0.644
1680278455505,2023-03-31T11:00:55.505,0.920,0.133,0.385,-0.511
1680278455525,2023-03-31T11:00:55.525,0.940,-0.404,-0.454,-0.431
1680278455545,2023-03-31T11:00:55.545,0.960,-0.766,-1.048,-0.423
1680278455565,2023-03-31T11:00:55.565,0.980,-0.716,-1.280,-0.655
1680278455585,2023-03-31T11:00:55.585,1.000,-0.633,-1.528,-0.690
1680278455605,2023-03-31T11:00:55.605,1.020,-0.301,-1.841,-0.686
1680278455625,2023-03-31T11:00:55.625,1.040,0.248,-1.742,-1.056
1680278455645,2023-03-31T11:00:55.645,1.060,0.644,-1.460,-1.391
1680278455665,2023-03-31T11:00:55.665,1.080,0.865,-1.444,-1.764
1680278455685,2023-03-31T11:00:55.685,1.100,1.174,-1.837,-2.428
1680278455705,2023-03-31T11:00:55.705,1.120,1.490,-1.875,-2.797
1680278455725,2023-03-31T11:00:55.725,1.140,1.597,-1.974,-2.691
1680278455745,2023-03-31T11:00:55.745,1.160,1.471,-2.450,-2.294
1680278455765,2023-03-31T11:00:55.765,1.180,1.376,-2.439,-1.966
1680278455785,2023-03-31T11:00:55.785,1.200,1.482,-2.199,-1.894
1680278455805,2023-03-31T11:00:55.805,1.220,1.441,-2.149,-1.803
1680278455825,2023-03-31T11:00:55.825,1.240,1.540,-1.524,-1.925
1680278455845,2023-03-31T11:00:55.845,1.260,1.300,-1.265,-1.921
1680278455865,2023-03-31T11:00:55.865,1.280,1.018,-1.463,-1.681
1680278455885,2023-03-31T11:00:55.885,1.300,0.804,-1.559,-1.185
