epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1680280128825,2023-03-31T11:28:48.825,0.000,1.601,-1.604,-0.145
1680280128845,2023-03-31T11:28:48.845,0.020,1.540,-1.627,-0.293
1680280128865,2023-03-31T11:28:48.865,0.040,1.482,-2.050,-0.252
1680280128885,2023-03-31T11:28:48.885,0.060,1.582,-2.081,-0.427
1680280128905,2023-03-31T11:28:48.905,0.080,1.692,-1.707,-0.454
1680280128925,2023-03-31T11:28:48.925,0.100,1.582,-1.307,-0.385
1680280128945,2023-03-31T11:28:48.945,0.120,1.429,-1.204,-0.301
1680280128965,2023-03-31T11:28:48.965,0.140,1.277,-1.120,-0.198
1680280128985,2023-03-31T11:28:48.985,0.160,1.178,-1.082,-0.164
1680280129005,2023-03-31T11:28:49.005,0.180,1.189,-1.162,-0.171
1680280129025,2023-03-31T11:28:49.025,0.200,1.059,-1.075,-0.152
1680280129045,2023-03-31T11:28:49.045,0.220,0.755,-0.911,-0.030
1680280129065,2023-03-31T11:28:49.065,0.240,0.454,-0.949,0.194
1680280129085,2023-03-31T11:28:49.085,0.260,0.305,-0.979,0.332
1680280129105,2023-03-31T11:28:49.105,0.280,0.198,-0.945,0.507
1680280129125,2023-03-31T11:28:49.125,0.300,0.122,-0.716,0.579
1680280129145,2023-03-31T11:28:49.145,0.320,-0.305,-0.389,0.564
1680280129165,2023-03-31T11:28:49.165,0.340,-0.842,0.072,0.503
1680280129185,2023-03-31T11:28:49.185,0.360,-1.117,0.682,0.514
1680280129205,2023-03-31T11:28:49.205,0.380,-1.212,1.208,0.556
1680280129225,2023-03-31T11:28:49.225,0.400,-1.105,1.463,0.724
1680280129245,2023-03-31T11:28:49.245,0.420,-0.915,1.433,0.835
1680280129265,2023-03-31T11:28:49.265,0.440,-0.857,1.155,0.770
1680280129285,2023-03-31T11:28:49.285,0.460,-1.010,0.918,0.716
1680280129305,2023-03-31T11:28:49.305,0.480,-1.239,0.488,0.743
1680280129325,2023-03-31T11:28:49.325,0.500,-0.964,0.023,0.694
1680280129345,2023-03-31T11:28:49.345,0.520,-0.293,-0.152,0.484
1680280129365,2023-03-31T11:28:49.365,0.540,-0.107,0.011,0.560
1680280129385,2023-03-31T11:28:49.385,0.560,-0.781,0.122,0.846
1680280129405,2023-03-31T11:28:49.405,0.580,-1.181,-0.004,1.059
1680280129425,2023-03-31T11:28:49.425,0.600,-1.063,-0.271,1.124
1680280129445,2023-03-31T11:28:49.445,0.620,-0.751,-0.328,0.972
1680280129465,2023-03-31T11:28:49.465,0.640,-0.408,-0.267,0.785
1680280129485,2023-03-31T11:28:49.485,0.660,-0.107,-0.217,0.663
1680280129505,2023-03-31T11:28:49.505,0.680,0.061,-0.339,0.644
1680280129525,2023-03-31T11:28:49.525,0.700,-0.023,-0.393,0.697
1680280129545,2023-03-31T11:28:49.545,0.720,-0.160,-0.492,0.842
1680280129565,2023-03-31T11:28:49.565,0.740,-0.019,-0.507,1.002
1680280129585,2023-03-31T11:28:49.585,0.760,0.282,-0.667,1.059
1680280129605,2023-03-31T11:28:49.605,0.780,0.316,-0.953,1.117
1680280129625,2023-03-31T11:28:49.625,0.800,0.137,-1.181,1.086
1680280129645,2023-03-31T11:28:49.645,0.820,-0.069,-1.193,1.090
1680280129665,2023-03-31T11:28:49.665,0.840,-0.160,-1.033,1.033
1680280129685,2023-03-31T11:28:49.685,0.860,-0.194,-0.899,0.972
1680280129705,2023-03-31T11:28:49.705,0.880,-0.072,-0.899,1.033
1680280129725,2023-03-31T11:28:49.725,0.900,0.000,-0.949,1.014
1680280129745,2023-03-31T11:28:49.745,0.920,-0.122,-0.983,1.029
1680280129765,2023-03-31T11:28:49.765,0.940,-0.191,-0.736,0.987
1680280129785,2023-03-31T11:28:49.785,0.960,-0.118,-0.598,0.903
1680280129805,2023-03-31T11:28:49.805,0.980,-0.126,-0.465,0.857
1680280129825,2023-03-31T11:28:49.825,1.000,-0.194,-0.488,0.812
1680280129845,2023-03-31T11:28:49.845,1.020,-0.297,-0.404,0.869
1680280129865,2023-03-31T11:28:49.865,1.040,-0.297,-0.335,0.831
1680280129885,2023-03-31T11:28:49.885,1.060,-0.320,-0.313,0.827
1680280129905,2023-03-31T11:28:49.905,1.080,-0.347,-0.286,0.728
1680280129925,2023-03-31T11:28:49.925,1.100,-0.514,-0.274,0.678
1680280129945,2023-03-31T11:28:49.945,1.120,-0.518,-0.324,0.713
1680280129965,2023-03-31T11:28:49.965,1.140,-0.408,-0.278,0.694
1680280129985,2023-03-31T11:28:49.985,1.160,-0.290,-0.111,0.709
1680280130005,2023-03-31T11:28:50.005,1.180,-0.221,-0.038,0.793
1680280130025,2023-03-31T11:28:50.025,1.200,-0.244,-0.072,0.831
1680280130045,2023-03-31T11:28:50.045,1.220,-0.206,0.008,0.922
1680280130065,2023-03-31T11:28:50.065,1.240,-0.065,0.076,0.903
1680280130085,2023-03-31T11:28:50.085,1.260,-0.069,0.111,0.838
1680280130105,2023-03-31T11:28:50.105,1.280,-0.084,0.111,0.835
1680280130125,2023-03-31T11:28:50.125,1.300,-0.084,-0.034,0.827
1680280130145,2023-03-31T11:28:50.145,1.320,-0.248,-0.114,0.838
