epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1680280763324,2023-03-31T11:39:23.324,0.000,0.274,-0.320,0.332
1680280763344,2023-03-31T11:39:23.344,0.020,0.152,-0.278,0.141
1680280763364,2023-03-31T11:39:23.364,0.040,0.034,-0.099,0.309
1680280763384,2023-03-31T11:39:23.384,0.060,0.042,-0.008,0.259
1680280763404,2023-03-31T11:39:23.404,0.080,0.091,0.126,0.175
1680280763424,2023-03-31T11:39:23.424,0.100,0.088,0.156,0.168
1680280763444,2023-03-31T11:39:23.444,0.120,0.027,0.084,0.164
1680280763464,2023-03-31T11:39:23.464,0.140,0.000,-0.065,0.187
1680280763484,2023-03-31T11:39:23.484,0.160,-0.019,-0.187,0.206
1680280763504,2023-03-31T11:39:23.504,0.180,-0.030,-0.137,0.137
1680280763524,2023-03-31T11:39:23.524,0.200,0.019,-0.164,0.061
1680280763544,2023-03-31T11:39:23.544,0.220,0.118,-0.187,0.137
1680280763564,2023-03-31T11:39:23.564,0.240,0.213,-0.191,0.274
1680280763584,2023-03-31T11:39:23.584,0.260,0.156,-0.389,0.381
1680280763604,2023-03-31T11:39:23.604,0.280,0.076,-0.438,0.301
1680280763624,2023-03-31T11:39:23.624,0.300,0.126,-0.347,0.313
1680280763644,2023-03-31T11:39:23.644,0.320,0.103,-0.511,0.328
1680280763664,2023-03-31T11:39:23.664,0.340,0.080,-0.636,0.415
1680280763684,2023-03-31T11:39:23.684,0.360,0.164,-0.617,0.480
1680280763704,2023-03-31T11:39:23.704,0.380,0.263,-0.617,0.526
1680280763724,2023-03-31T11:39:23.724,0.400,0.202,-0.793,0.427
1680280763744,2023-03-31T11:39:23.744,0.420,0.290,-0.595,0.434
1680280763764,2023-03-31T11:39:23.764,0.440,0.351,-0.545,0.476
1680280763784,2023-03-31T11:39:23.784,0.460,0.111,-0.614,0.354
1680280763804,2023-03-31T11:39:23.804,0.480,0.164,-0.602,0.373
1680280763824,2023-03-31T11:39:23.824,0.500,0.267,-0.503,0.480
1680280763844,2023-03-31T11:39:23.844,0.520,0.274,-0.381,0.499
1680280763864,2023-03-31T11:39:23.864,0.540,0.004,-0.278,0.305
1680280763884,2023-03-31T11:39:23.884,0.560,-0.095,-0.244,-0.046
1680280763904,2023-03-31T11:39:23.904,0.580,0.069,-0.511,-0.187
1680280763924,2023-03-31T11:39:23.924,0.600,0.385,-0.640,0.091
1680280763944,2023-03-31T11:39:23.944,0.620,0.495,-0.286,0.423
1680280763964,2023-03-31T11:39:23.964,0.640,0.198,0.111,0.545
1680280763984,2023-03-31T11:39:23.984,0.660,-0.084,0.072,0.335
1680280764004,2023-03-31T11:39:24.004,0.680,-0.149,-0.076,0.095
1680280764024,2023-03-31T11:39:24.024,0.700,-0.072,-0.206,0.202
1680280764044,2023-03-31T11:39:24.044,0.720,0.210,-0.381,0.438
1680280764064,2023-03-31T11:39:24.064,0.740,0.328,-0.503,0.534
1680280764084,2023-03-31T11:39:24.084,0.760,0.168,-0.640,0.408
1680280764104,2023-03-31T11:39:24.104,0.780,0.179,-0.549,0.286
1680280764124,2023-03-31T11:39:24.124,0.800,0.156,-0.404,0.259
1680280764144,2023-03-31T11:39:24.144,0.820,0.244,-0.320,0.248
1680280764164,2023-03-31T11:39:24.164,0.840,0.206,-0.316,0.377
1680280764184,2023-03-31T11:39:24.184,0.860,0.065,-0.537,0.377
1680280764204,2023-03-31T11:39:24.204,0.880,0.030,-0.652,0.343
1680280764224,2023-03-31T11:39:24.224,0.900,0.030,-0.644,0.366
1680280764244,2023-03-31T11:39:24.244,0.920,0.030,-0.697,0.313
1680280764264,2023-03-31T11:39:24.264,0.940,0.011,-0.709,0.351
1680280764284,2023-03-31T11:39:24.284,0.960,0.099,-0.534,0.389
1680280764304,2023-03-31T11:39:24.304,0.980,0.244,-0.313,0.343
1680280764324,2023-03-31T11:39:24.324,1.000,0.202,-0.183,0.366
1680280764344,2023-03-31T11:39:24.344,1.020,-0.042,0.019,0.324
1680280764364,2023-03-31T11:39:24.364,1.040,-0.274,0.019,0.332
1680280764384,2023-03-31T11:39:24.384,1.060,-0.252,-0.103,0.232
1680280764404,2023-03-31T11:39:24.404,1.080,-0.213,-0.122,0.107
1680280764424,2023-03-31T11:39:24.424,1.100,-0.179,-0.175,0.057
1680280764444,2023-03-31T11:39:24.444,1.120,-0.057,-0.152,0.061
1680280764464,2023-03-31T11:39:24.464,1.140,0.023,0.019,0.034
1680280764484,2023-03-31T11:39:24.484,1.160,0.095,0.069,0.072
1680280764504,2023-03-31T11:39:24.504,1.180,0.030,0.107,0.107
1680280764524,2023-03-31T11:39:24.524,1.200,0.019,0.152,0.137
1680280764544,2023-03-31T11:39:24.544,1.220,-0.088,0.133,0.027
1680280764564,2023-03-31T11:39:24.564,1.240,-0.137,-0.015,0.072
1680280764584,2023-03-31T11:39:24.584,1.260,-0.080,-0.076,0.118
1680280764604,2023-03-31T11:39:24.604,1.280,-0.023,-0.099,0.080
1680280764624,2023-03-31T11:39:24.624,1.300,0.072,-0.008,0.030
1680280764644,2023-03-31T11:39:24.644,1.320,0.099,-0.034,0.000
1680280764664,2023-03-31T11:39:24.664,1.340,0.069,0.015,0.114
1680280764684,2023-03-31T11:39:24.684,1.360,0.088,0.076,0.301
1680280764704,2023-03-31T11:39:24.704,1.380,0.122,-0.084,0.316
1680280764724,2023-03-31T11:39:24.724,1.400,0.179,-0.038,0.252
1680280764744,2023-03-31T11:39:24.744,1.420,0.069,0.004,0.191
1680280764764,2023-03-31T11:39:24.764,1.440,-0.008,0.042,0.168
1680280764784,2023-03-31T11:39:24.784,1.460,0.057,-0.061,0.225
1680280764804,2023-03-31T11:39:24.804,1.480,0.111,-0.118,0.274
1680280764824,2023-03-31T11:39:24.824,1.500,0.236,-0.061,0.328
1680280764844,2023-03-31T11:39:24.844,1.520,0.149,0.076,0.293
1680280764864,2023-03-31T11:39:24.864,1.540,-0.038,0.053,0.099
1680280764884,2023-03-31T11:39:24.884,1.560,-0.065,-0.278,-0.107
1680280764904,2023-03-31T11:39:24.904,1.580,0.252,-0.278,0.072
1680280764924,2023-03-31T11:39:24.924,1.600,0.541,0.065,0.332
1680280764944,2023-03-31T11:39:24.944,1.620,0.499,0.297,0.412
1680280764964,2023-03-31T11:39:24.964,1.640,0.187,0.354,0.240
1680280764984,2023-03-31T11:39:24.984,1.660,0.030,0.320,-0.099
1680280765004,2023-03-31T11:39:25.004,1.680,0.015,0.149,-0.057
1680280765024,2023-03-31T11:39:25.024,1.700,-0.122,-0.423,0.202
1680280765044,2023-03-31T11:39:25.044,1.720,0.191,-0.560,0.328
1680280765064,2023-03-31T11:39:25.064,1.740,0.488,-0.339,0.396
1680280765084,2023-03-31T11:39:25.084,1.760,0.316,-0.248,0.293
1680280765104,2023-03-31T11:39:25.104,1.780,0.114,0.027,0.111
1680280765124,2023-03-31T11:39:25.124,1.800,0.282,0.286,0.050
1680280765144,2023-03-31T11:39:25.144,1.820,0.332,0.206,0.278
1680280765164,2023-03-31T11:39:25.164,1.840,0.267,0.053,0.457
1680280765184,2023-03-31T11:39:25.184,1.860,0.130,-0.282,0.385
1680280765204,2023-03-31T11:39:25.204,1.880,0.194,-0.255,0.293
1680280765224,2023-03-31T11:39:25.224,1.900,0.171,-0.206,0.282
1680280765244,2023-03-31T11:39:25.244,1.920,0.145,-0.286,0.198
1680280765264,2023-03-31T11:39:25.264,1.940,0.324,-0.271,0.278
1680280765284,2023-03-31T11:39:25.284,1.960,0.454,-0.400,0.301
1680280765304,2023-03-31T11:39:25.304,1.980,0.400,-0.217,0.290
1680280765324,2023-03-31T11:39:25.324,2.000,0.263,0.004,0.160
1680280765344,2023-03-31T11:39:25.344,2.020,0.095,0.011,0.156
1680280765364,2023-03-31T11:39:25.364,2.040,0.156,-0.171,0.309
1680280765384,2023-03-31T11:39:25.384,2.060,0.191,-0.351,0.263
1680280765404,2023-03-31T11:39:25.404,2.080,0.290,-0.278,0.255
1680280765424,2023-03-31T11:39:25.424,2.100,0.343,-0.339,0.370
1680280765444,2023-03-31T11:39:25.444,2.120,0.183,-0.225,0.248
1680280765464,2023-03-31T11:39:25.464,2.140,0.267,-0.023,0.259
1680280765484,2023-03-31T11:39:25.484,2.160,0.332,-0.019,0.339
1680280765504,2023-03-31T11:39:25.504,2.180,0.324,-0.027,0.194
1680280765524,2023-03-31T11:39:25.524,2.200,0.377,0.023,0.084
1680280765544,2023-03-31T11:39:25.544,2.220,0.514,0.255,0.225
1680280765564,2023-03-31T11:39:25.564,2.240,0.278,-0.038,0.263
1680280765584,2023-03-31T11:39:25.584,2.260,0.091,-0.099,0.160
1680280765604,2023-03-31T11:39:25.604,2.280,0.217,-0.061,0.099
1680280765624,2023-03-31T11:39:25.624,2.300,0.396,-0.088,0.027
1680280765644,2023-03-31T11:39:25.644,2.320,0.530,-0.080,0.019
1680280765664,2023-03-31T11:39:25.664,2.340,0.423,-0.130,-0.206
1680280765684,2023-03-31T11:39:25.684,2.360,0.198,-0.179,-0.476
1680280765704,2023-03-31T11:39:25.704,2.380,0.617,0.339,-0.149
1680280765724,2023-03-31T11:39:25.724,2.400,0.602,0.232,0.488
1680280765744,2023-03-31T11:39:25.744,2.420,0.152,0.000,0.404
1680280765764,2023-03-31T11:39:25.764,2.440,0.053,0.152,-0.069
1680280765784,2023-03-31T11:39:25.784,2.460,0.293,0.213,0.038
1680280765804,2023-03-31T11:39:25.804,2.480,0.137,-0.072,0.290
1680280765824,2023-03-31T11:39:25.824,2.500,0.149,-0.088,0.614
