epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1680280763297,2023-03-31T11:39:23.297,0.000,1.723,0.084,-0.457
1680280763317,2023-03-31T11:39:23.317,0.020,1.273,0.126,-0.511
1680280763337,2023-03-31T11:39:23.337,0.040,0.964,0.610,-0.629
1680280763357,2023-03-31T11:39:23.357,0.060,0.903,0.438,-0.575
1680280763377,2023-03-31T11:39:23.377,0.080,1.280,0.335,-0.694
1680280763397,2023-03-31T11:39:23.397,0.100,1.513,0.617,-0.758
1680280763417,2023-03-31T11:39:23.417,0.120,1.650,1.364,-0.739
1680280763437,2023-03-31T11:39:23.437,0.140,1.559,1.566,-0.625
1680280763457,2023-03-31T11:39:23.457,0.160,1.441,1.593,-0.614
1680280763477,2023-03-31T11:39:23.477,0.180,1.242,1.482,-0.583
1680280763497,2023-03-31T11:39:23.497,0.200,1.319,1.151,-0.522
1680280763517,2023-03-31T11:39:23.517,0.220,1.456,1.151,-0.663
1680280763537,2023-03-31T11:39:23.537,0.240,1.471,1.502,-0.713
1680280763557,2023-03-31T11:39:23.557,0.260,1.974,2.298,-1.018
1680280763577,2023-03-31T11:39:23.577,0.280,1.814,2.801,-0.854
1680280763597,2023-03-31T11:39:23.597,0.300,1.597,2.165,-0.831
1680280763617,2023-03-31T11:39:23.617,0.320,1.284,1.482,-0.846
1680280763637,2023-03-31T11:39:23.637,0.340,0.286,0.347,-0.789
1680280763657,2023-03-31T11:39:23.657,0.360,-0.156,-1.147,-0.838
1680280763677,2023-03-31T11:39:23.677,0.380,0.206,-1.582,-1.014
1680280763697,2023-03-31T11:39:23.697,0.400,0.293,-1.784,-1.029
1680280763717,2023-03-31T11:39:23.717,0.420,0.080,-2.134,-1.014
1680280763737,2023-03-31T11:39:23.737,0.440,0.347,-2.153,-1.010
1680280763757,2023-03-31T11:39:23.757,0.460,0.290,-1.947,-1.174
1680280763777,2023-03-31T11:39:23.777,0.480,0.316,-1.639,-1.143
1680280763797,2023-03-31T11:39:23.797,0.500,0.362,-1.109,-1.086
1680280763817,2023-03-31T11:39:23.817,0.520,0.194,-0.789,-1.105
