epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1680281836045,2023-03-31T11:57:16.045,0.000,0.400,-0.088,0.141
1680281836065,2023-03-31T11:57:16.065,0.020,0.469,-0.011,0.442
1680281836085,2023-03-31T11:57:16.085,0.040,0.282,0.057,0.206
1680281836105,2023-03-31T11:57:16.105,0.060,0.183,0.019,0.179
1680281836125,2023-03-31T11:57:16.125,0.080,0.111,-0.198,0.286
1680281836145,2023-03-31T11:57:16.145,0.100,-0.015,-0.301,0.461
1680281836165,2023-03-31T11:57:16.165,0.120,-0.053,-0.091,0.381
1680281836185,2023-03-31T11:57:16.185,0.140,-0.069,-0.259,0.328
1680281836205,2023-03-31T11:57:16.205,0.160,-0.023,-0.518,0.316
1680281836225,2023-03-31T11:57:16.225,0.180,-0.023,-0.522,0.358
1680281836245,2023-03-31T11:57:16.245,0.200,0.046,-0.362,0.412
1680281836265,2023-03-31T11:57:16.265,0.220,0.065,-0.335,0.518
1680281836285,2023-03-31T11:57:16.285,0.240,0.030,-0.343,0.476
1680281836305,2023-03-31T11:57:16.305,0.260,0.057,-0.198,0.518
1680281836325,2023-03-31T11:57:16.325,0.280,0.137,-0.187,0.480
1680281836345,2023-03-31T11:57:16.345,0.300,0.278,-0.202,0.434
1680281836365,2023-03-31T11:57:16.365,0.320,0.354,-0.179,0.328
1680281836385,2023-03-31T11:57:16.385,0.340,0.370,-0.389,0.301
1680281836405,2023-03-31T11:57:16.405,0.360,0.408,-0.187,0.309
1680281836425,2023-03-31T11:57:16.425,0.380,0.240,-0.015,0.347
1680281836445,2023-03-31T11:57:16.445,0.400,0.065,-0.130,0.347
1680281836465,2023-03-31T11:57:16.465,0.420,0.030,-0.160,0.240
1680281836485,2023-03-31T11:57:16.485,0.440,0.030,-0.354,0.168
1680281836505,2023-03-31T11:57:16.505,0.460,0.004,-0.408,0.217
1680281836525,2023-03-31T11:57:16.525,0.480,0.084,-0.252,0.175
1680281836545,2023-03-31T11:57:16.545,0.500,0.114,-0.263,0.137
1680281836565,2023-03-31T11:57:16.565,0.520,0.088,-0.522,0.217
1680281836585,2023-03-31T11:57:16.585,0.540,0.084,-0.434,0.259
1680281836605,2023-03-31T11:57:16.605,0.560,0.004,-0.343,0.221
1680281836625,2023-03-31T11:57:16.625,0.580,-0.004,-0.450,0.206
1680281836645,2023-03-31T11:57:16.645,0.600,0.072,-0.431,0.263
