epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1680282403099,2023-03-31T12:06:43.099,0.000,0.808,-0.659,0.450
1680282403119,2023-03-31T12:06:43.119,0.020,0.743,-0.431,0.591
1680282403139,2023-03-31T12:06:43.139,0.040,0.625,-0.842,0.636
1680282403159,2023-03-31T12:06:43.159,0.060,0.655,-1.120,0.541
1680282403179,2023-03-31T12:06:43.179,0.080,0.941,-0.953,0.636
1680282403199,2023-03-31T12:06:43.199,0.100,0.770,-0.450,0.694
1680282403219,2023-03-31T12:06:43.219,0.120,0.316,-0.076,0.427
1680282403239,2023-03-31T12:06:43.239,0.140,0.053,-0.152,0.431
1680282403259,2023-03-31T12:06:43.259,0.160,0.465,-0.339,0.473
1680282403279,2023-03-31T12:06:43.279,0.180,0.614,0.114,0.149
1680282403299,2023-03-31T12:06:43.299,0.200,0.080,0.758,-0.095
1680282403319,2023-03-31T12:06:43.319,0.220,-0.149,0.591,-0.229
1680282403339,2023-03-31T12:06:43.339,0.240,-0.328,0.320,-0.126
1680282403359,2023-03-31T12:06:43.359,0.260,-0.313,0.198,0.000
1680282403379,2023-03-31T12:06:43.379,0.280,-0.232,0.065,-0.236
1680282403399,2023-03-31T12:06:43.399,0.300,0.019,-0.194,-0.514
1680282403419,2023-03-31T12:06:43.419,0.320,0.038,-0.427,-0.568
1680282403439,2023-03-31T12:06:43.439,0.340,-0.202,-0.324,-0.480
1680282403459,2023-03-31T12:06:43.459,0.360,-0.271,-0.202,-0.400
1680282403479,2023-03-31T12:06:43.479,0.380,-0.221,-0.168,-0.339
1680282403499,2023-03-31T12:06:43.499,0.400,-0.293,-0.316,-0.309
1680282403519,2023-03-31T12:06:43.519,0.420,-0.415,-0.621,-0.457
1680282403539,2023-03-31T12:06:43.539,0.440,-0.343,-0.838,-0.659
1680282403559,2023-03-31T12:06:43.559,0.460,-0.309,-0.915,-0.663
1680282403579,2023-03-31T12:06:43.579,0.480,-0.335,-1.002,-0.690
1680282403599,2023-03-31T12:06:43.599,0.500,-0.050,-1.109,-0.614
1680282403619,2023-03-31T12:06:43.619,0.520,-0.053,-0.899,-0.595
1680282403639,2023-03-31T12:06:43.639,0.540,-0.217,-0.564,-0.736
1680282403659,2023-03-31T12:06:43.659,0.560,-0.111,-0.320,-0.781
1680282403679,2023-03-31T12:06:43.679,0.580,-0.038,-0.575,-0.804
1680282403699,2023-03-31T12:06:43.699,0.600,-0.118,-0.732,-0.755
1680282403719,2023-03-31T12:06:43.719,0.620,-0.019,-0.907,-0.770
1680282403739,2023-03-31T12:06:43.739,0.640,0.088,-1.124,-0.758
1680282403759,2023-03-31T12:06:43.759,0.660,0.545,-1.132,-0.473
1680282403779,2023-03-31T12:06:43.779,0.680,0.877,-1.353,-0.282
1680282403799,2023-03-31T12:06:43.799,0.700,0.804,-1.490,-0.282
1680282403819,2023-03-31T12:06:43.819,0.720,0.499,-1.159,-0.385
1680282403839,2023-03-31T12:06:43.839,0.740,0.625,-1.280,-0.499
1680282403859,2023-03-31T12:06:43.859,0.760,0.896,-1.414,-0.575
1680282403879,2023-03-31T12:06:43.879,0.780,1.067,-1.353,-0.537
1680282403899,2023-03-31T12:06:43.899,0.800,1.383,-1.284,-0.366
1680282403919,2023-03-31T12:06:43.919,0.820,1.345,-1.056,-0.263
1680282403939,2023-03-31T12:06:43.939,0.840,1.033,-0.823,-0.297
1680282403959,2023-03-31T12:06:43.959,0.860,1.018,-0.686,-0.271
1680282403979,2023-03-31T12:06:43.979,0.880,1.216,-0.713,-0.156
1680282403999,2023-03-31T12:06:43.999,0.900,1.037,-0.564,-0.130
1680282404019,2023-03-31T12:06:44.019,0.920,0.869,-0.305,-0.069
1680282404039,2023-03-31T12:06:44.039,0.940,0.892,-0.046,0.080
1680282404059,2023-03-31T12:06:44.059,0.960,0.755,0.313,0.160
1680282404079,2023-03-31T12:06:44.079,0.980,0.431,0.252,0.309
1680282404099,2023-03-31T12:06:44.099,1.000,0.210,-0.091,0.423
1680282404119,2023-03-31T12:06:44.119,1.020,0.549,-0.328,0.396
1680282404139,2023-03-31T12:06:44.139,1.040,0.739,-0.107,0.252
1680282404159,2023-03-31T12:06:44.159,1.060,0.610,0.274,0.183
1680282404179,2023-03-31T12:06:44.179,1.080,0.492,0.145,0.248
1680282404199,2023-03-31T12:06:44.199,1.100,0.476,-0.126,0.179
1680282404219,2023-03-31T12:06:44.219,1.120,0.362,-0.141,0.206
1680282404239,2023-03-31T12:06:44.239,1.140,0.324,0.114,0.328
1680282404259,2023-03-31T12:06:44.259,1.160,0.050,0.240,0.202
1680282404279,2023-03-31T12:06:44.279,1.180,0.008,0.000,0.118
1680282404299,2023-03-31T12:06:44.299,1.200,0.598,-0.347,0.225
1680282404319,2023-03-31T12:06:44.319,1.220,0.720,-0.175,0.187
1680282404339,2023-03-31T12:06:44.339,1.240,0.221,0.423,0.145
1680282404359,2023-03-31T12:06:44.359,1.260,-0.316,0.675,0.103
1680282404379,2023-03-31T12:06:44.379,1.280,-0.610,0.217,0.011
1680282404399,2023-03-31T12:06:44.399,1.300,-0.663,0.023,0.046
1680282404419,2023-03-31T12:06:44.419,1.320,-0.675,0.476,0.011
1680282404439,2023-03-31T12:06:44.439,1.340,-0.758,0.465,0.019
1680282404459,2023-03-31T12:06:44.459,1.360,-0.739,0.244,0.168
1680282404479,2023-03-31T12:06:44.479,1.380,-0.663,0.278,0.351
1680282404499,2023-03-31T12:06:44.499,1.400,-0.522,0.194,0.404
1680282404519,2023-03-31T12:06:44.519,1.420,-0.419,-0.069,0.431
1680282404539,2023-03-31T12:06:44.539,1.440,-0.213,-0.023,0.534
1680282404559,2023-03-31T12:06:44.559,1.460,-0.137,0.202,0.610
1680282404579,2023-03-31T12:06:44.579,1.480,-0.103,0.309,0.583
1680282404599,2023-03-31T12:06:44.599,1.500,-0.328,0.187,0.522
1680282404619,2023-03-31T12:06:44.619,1.520,-0.663,-0.065,0.591
1680282404639,2023-03-31T12:06:44.639,1.540,-0.770,0.133,0.701
1680282404659,2023-03-31T12:06:44.659,1.560,-0.823,0.720,0.743
1680282404679,2023-03-31T12:06:44.679,1.580,-0.915,0.846,0.831
1680282404699,2023-03-31T12:06:44.699,1.600,-0.728,0.473,0.793
1680282404719,2023-03-31T12:06:44.719,1.620,-0.488,0.259,0.755
1680282404739,2023-03-31T12:06:44.739,1.640,-0.503,0.309,0.831
1680282404759,2023-03-31T12:06:44.759,1.660,-0.313,0.480,1.018
1680282404779,2023-03-31T12:06:44.779,1.680,-0.168,0.564,1.105
1680282404799,2023-03-31T12:06:44.799,1.700,-0.137,0.514,1.261
1680282404819,2023-03-31T12:06:44.819,1.720,0.286,0.297,1.372
1680282404839,2023-03-31T12:06:44.839,1.740,0.320,0.328,1.220
1680282404859,2023-03-31T12:06:44.859,1.760,-0.297,0.514,0.957
1680282404879,2023-03-31T12:06:44.879,1.780,-0.476,0.640,1.063
1680282404899,2023-03-31T12:06:44.899,1.800,-0.328,0.564,1.246
1680282404919,2023-03-31T12:06:44.919,1.820,-0.080,0.248,1.296
1680282404939,2023-03-31T12:06:44.939,1.840,0.091,0.042,1.185
1680282404959,2023-03-31T12:06:44.959,1.860,-0.011,-0.011,0.896
1680282404979,2023-03-31T12:06:44.979,1.880,-0.217,-0.145,0.747
