epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1680283683258,2023-03-31T12:28:03.258,0.000,1.139,-0.964,0.850
1680283683278,2023-03-31T12:28:03.278,0.020,0.903,-1.303,0.541
1680283683298,2023-03-31T12:28:03.298,0.040,1.479,-0.861,1.018
1680283683318,2023-03-31T12:28:03.318,0.060,1.791,-0.598,1.151
1680283683338,2023-03-31T12:28:03.338,0.080,1.601,-0.347,1.052
1680283683358,2023-03-31T12:28:03.358,0.100,1.231,0.050,0.998
1680283683378,2023-03-31T12:28:03.378,0.120,0.800,0.343,0.690
1680283683398,2023-03-31T12:28:03.398,0.140,0.625,-0.038,0.271
1680283683418,2023-03-31T12:28:03.418,0.160,-0.076,-0.320,0.072
1680283683438,2023-03-31T12:28:03.438,0.180,-0.716,-0.255,-0.335
1680283683458,2023-03-31T12:28:03.458,0.200,-0.922,-0.328,-0.655
1680283683478,2023-03-31T12:28:03.478,0.220,-1.117,-0.130,-0.762
1680283683498,2023-03-31T12:28:03.498,0.240,-1.441,-0.015,-0.968
1680283683518,2023-03-31T12:28:03.518,0.260,-1.947,-0.252,-1.326
1680283683538,2023-03-31T12:28:03.538,0.280,-2.104,-0.404,-1.341
1680283683558,2023-03-31T12:28:03.558,0.300,-1.963,-0.313,-1.677
1680283683578,2023-03-31T12:28:03.578,0.320,-1.780,-0.785,-2.123
1680283683598,2023-03-31T12:28:03.598,0.340,-1.406,-1.315,-1.993
1680283683618,2023-03-31T12:28:03.618,0.360,-0.907,-1.227,-1.818
1680283683638,2023-03-31T12:28:03.638,0.380,-0.476,-1.067,-1.677
1680283683658,2023-03-31T12:28:03.658,0.400,0.171,-0.755,-1.296
1680283683678,2023-03-31T12:28:03.678,0.420,1.040,-0.126,-0.709
1680283683698,2023-03-31T12:28:03.698,0.440,1.288,0.476,-0.171
1680283683718,2023-03-31T12:28:03.718,0.460,1.067,0.743,0.046
1680283683738,2023-03-31T12:28:03.738,0.480,0.827,0.739,0.008
1680283683758,2023-03-31T12:28:03.758,0.500,0.549,0.835,-0.008
1680283683778,2023-03-31T12:28:03.778,0.520,0.393,0.774,0.072
1680283683798,2023-03-31T12:28:03.798,0.540,-0.015,0.476,0.206
1680283683818,2023-03-31T12:28:03.818,0.560,-0.274,0.221,0.114
1680283683838,2023-03-31T12:28:03.838,0.580,-0.488,0.126,-0.103
1680283683858,2023-03-31T12:28:03.858,0.600,-0.511,-0.107,0.019
1680283683878,2023-03-31T12:28:03.878,0.620,-0.297,-0.293,0.480
1680283683898,2023-03-31T12:28:03.898,0.640,-0.111,-0.252,0.629
1680283683918,2023-03-31T12:28:03.918,0.660,0.050,-0.111,0.701
1680283683938,2023-03-31T12:28:03.938,0.680,0.130,-0.038,0.758
1680283683958,2023-03-31T12:28:03.958,0.700,0.076,-0.038,0.705
1680283683978,2023-03-31T12:28:03.978,0.720,0.099,-0.133,0.633
1680283683998,2023-03-31T12:28:03.998,0.740,0.053,-0.259,0.507
1680283684018,2023-03-31T12:28:04.018,0.760,0.168,-0.438,0.476
1680283684038,2023-03-31T12:28:04.038,0.780,0.507,-0.332,0.697
1680283684058,2023-03-31T12:28:04.058,0.800,0.564,-0.282,0.701
1680283684078,2023-03-31T12:28:04.078,0.820,0.290,-0.385,0.701
1680283684098,2023-03-31T12:28:04.098,0.840,0.065,-0.347,0.671
1680283684118,2023-03-31T12:28:04.118,0.860,-0.065,-0.339,0.591
1680283684138,2023-03-31T12:28:04.138,0.880,-0.118,-0.278,0.659
1680283684158,2023-03-31T12:28:04.158,0.900,0.030,0.023,0.667
1680283684178,2023-03-31T12:28:04.178,0.920,-0.091,0.080,0.629
1680283684198,2023-03-31T12:28:04.198,0.940,-0.149,-0.168,0.728
1680283684218,2023-03-31T12:28:04.218,0.960,0.145,0.061,0.998
1680283684238,2023-03-31T12:28:04.238,0.980,0.412,0.328,0.949
1680283684258,2023-03-31T12:28:04.258,1.000,0.046,0.042,0.621
1680283684278,2023-03-31T12:28:04.278,1.020,-0.168,-0.217,0.614
1680283684298,2023-03-31T12:28:04.298,1.040,-0.053,0.152,0.838
1680283684318,2023-03-31T12:28:04.318,1.060,-0.080,0.412,0.857
1680283684338,2023-03-31T12:28:04.338,1.080,-0.351,0.168,0.610
1680283684358,2023-03-31T12:28:04.358,1.100,-0.469,0.000,0.393
1680283684378,2023-03-31T12:28:04.378,1.120,-0.568,-0.023,0.183
1680283684398,2023-03-31T12:28:04.398,1.140,-0.663,-0.111,-0.050
1680283684418,2023-03-31T12:28:04.418,1.160,-0.808,-0.236,0.030
1680283684438,2023-03-31T12:28:04.438,1.180,-0.461,-0.080,0.347
1680283684458,2023-03-31T12:28:04.458,1.200,-0.480,-0.061,0.225
1680283684478,2023-03-31T12:28:04.478,1.220,-0.633,-0.286,0.042
1680283684498,2023-03-31T12:28:04.498,1.240,-0.575,-0.274,0.225
1680283684518,2023-03-31T12:28:04.518,1.260,-0.446,-0.114,0.450
1680283684538,2023-03-31T12:28:04.538,1.280,-0.396,0.061,0.442
1680283684558,2023-03-31T12:28:04.558,1.300,-0.370,0.103,0.286
1680283684578,2023-03-31T12:28:04.578,1.320,-0.473,0.057,0.149
1680283684598,2023-03-31T12:28:04.598,1.340,-0.648,0.183,0.053
1680283684618,2023-03-31T12:28:04.618,1.360,-0.808,0.221,-0.107
1680283684638,2023-03-31T12:28:04.638,1.380,-0.800,0.179,-0.103
1680283684658,2023-03-31T12:28:04.658,1.400,-0.633,0.278,-0.065
1680283684678,2023-03-31T12:28:04.678,1.420,-0.579,0.286,-0.183
1680283684698,2023-03-31T12:28:04.698,1.440,-0.614,0.198,-0.274
1680283684718,2023-03-31T12:28:04.718,1.460,-0.789,0.278,-0.267
1680283684738,2023-03-31T12:28:04.738,1.480,-1.136,0.537,-0.339
1680283684758,2023-03-31T12:28:04.758,1.500,-0.838,0.850,-0.389
1680283684778,2023-03-31T12:28:04.778,1.520,-0.240,1.593,-0.358
1680283684798,2023-03-31T12:28:04.798,1.540,-0.271,1.486,-0.347
1680283684818,2023-03-31T12:28:04.818,1.560,-0.488,0.938,-0.171
1680283684838,2023-03-31T12:28:04.838,1.580,-0.579,0.595,-0.061
1680283684858,2023-03-31T12:28:04.858,1.600,-0.465,0.171,-0.191
1680283684878,2023-03-31T12:28:04.878,1.620,-0.084,-0.415,-0.263
1680283684898,2023-03-31T12:28:04.898,1.640,0.682,-0.389,0.168
1680283684918,2023-03-31T12:28:04.918,1.660,1.185,0.095,0.713
1680283684938,2023-03-31T12:28:04.938,1.680,1.231,0.389,1.014
1680283684958,2023-03-31T12:28:04.958,1.700,1.212,0.240,0.896
1680283684978,2023-03-31T12:28:04.978,1.720,1.155,-0.034,0.518
1680283684998,2023-03-31T12:28:04.998,1.740,1.025,-0.545,0.137
1680283685018,2023-03-31T12:28:05.018,1.760,0.796,-1.056,-0.145
1680283685038,2023-03-31T12:28:05.038,1.780,0.587,-1.086,0.050
1680283685058,2023-03-31T12:28:05.058,1.800,0.781,-0.614,0.385
1680283685078,2023-03-31T12:28:05.078,1.820,0.842,-0.240,0.404
1680283685098,2023-03-31T12:28:05.098,1.840,0.675,-0.347,0.160
1680283685118,2023-03-31T12:28:05.118,1.860,0.808,-0.282,0.263
1680283685138,2023-03-31T12:28:05.138,1.880,0.896,-0.072,0.423
1680283685158,2023-03-31T12:28:05.158,1.900,0.789,0.084,0.537
1680283685178,2023-03-31T12:28:05.178,1.920,0.518,0.149,0.560
1680283685198,2023-03-31T12:28:05.198,1.940,0.278,0.042,0.347
1680283685218,2023-03-31T12:28:05.218,1.960,0.122,-0.019,0.202
1680283685238,2023-03-31T12:28:05.238,1.980,-0.038,-0.091,0.023
1680283685258,2023-03-31T12:28:05.258,2.000,0.011,-0.347,0.053
1680283685278,2023-03-31T12:28:05.278,2.020,0.252,-0.313,0.107
1680283685298,2023-03-31T12:28:05.298,2.040,0.259,-0.290,0.088
1680283685318,2023-03-31T12:28:05.318,2.060,0.206,-0.457,0.168
1680283685338,2023-03-31T12:28:05.338,2.080,0.286,-0.537,0.206
1680283685358,2023-03-31T12:28:05.358,2.100,0.038,-0.636,0.187
1680283685378,2023-03-31T12:28:05.378,2.120,0.008,-0.617,0.149
1680283685398,2023-03-31T12:28:05.398,2.140,0.000,-0.526,0.084
1680283685418,2023-03-31T12:28:05.418,2.160,-0.259,-0.736,0.000
1680283685438,2023-03-31T12:28:05.438,2.180,-0.400,-0.995,0.141
1680283685458,2023-03-31T12:28:05.458,2.200,-0.122,-1.280,0.187
1680283685478,2023-03-31T12:28:05.478,2.220,0.274,-1.395,-0.080
1680283685498,2023-03-31T12:28:05.498,2.240,0.252,-1.452,-0.133
1680283685518,2023-03-31T12:28:05.518,2.260,0.434,-0.880,0.225
1680283685538,2023-03-31T12:28:05.538,2.280,0.694,-0.099,0.393
1680283685558,2023-03-31T12:28:05.558,2.300,0.518,0.236,0.282
1680283685578,2023-03-31T12:28:05.578,2.320,0.316,0.297,0.267
1680283685598,2023-03-31T12:28:05.598,2.340,0.248,0.290,0.217
1680283685618,2023-03-31T12:28:05.618,2.360,0.137,0.091,0.244
1680283685638,2023-03-31T12:28:05.638,2.380,-0.198,-0.164,0.152
1680283685658,2023-03-31T12:28:05.658,2.400,-0.431,-0.213,0.111
1680283685678,2023-03-31T12:28:05.678,2.420,-0.145,-0.240,0.069
1680283685698,2023-03-31T12:28:05.698,2.440,-0.076,-0.297,0.053
