epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1680378161030,2023-04-01T14:42:41.030,0.000,1.707,-1.704,-0.324
1680378161050,2023-04-01T14:42:41.050,0.020,1.570,-1.742,-0.720
1680378161070,2023-04-01T14:42:41.070,0.040,0.800,-1.768,-0.911
1680378161090,2023-04-01T14:42:41.090,0.060,0.156,-1.509,-0.701
1680378161110,2023-04-01T14:42:41.110,0.080,0.282,-2.024,-0.938
1680378161130,2023-04-01T14:42:41.130,0.100,0.457,-2.081,-1.079
1680378161150,2023-04-01T14:42:41.150,0.120,0.835,-1.124,-0.755
1680378161170,2023-04-01T14:42:41.170,0.140,0.427,-1.029,-0.446
1680378161190,2023-04-01T14:42:41.190,0.160,0.293,-2.649,-0.069
1680378161210,2023-04-01T14:42:41.210,0.180,0.133,-3.857,0.320
1680378161230,2023-04-01T14:42:41.230,0.200,-0.175,-3.697,0.404
1680378161250,2023-04-01T14:42:41.250,0.220,0.099,-2.862,-0.553
1680378161270,2023-04-01T14:42:41.270,0.240,0.274,-3.197,-1.128
1680378161290,2023-04-01T14:42:41.290,0.260,0.960,-2.073,-1.307
1680378161310,2023-04-01T14:42:41.310,0.280,0.354,-0.454,-1.254
1680378161330,2023-04-01T14:42:41.330,0.300,0.640,0.126,-1.490
1680378161350,2023-04-01T14:42:41.350,0.320,1.254,0.884,-1.681
1680378161370,2023-04-01T14:42:41.370,0.340,1.578,1.993,-1.646
1680378161390,2023-04-01T14:42:41.390,0.360,1.963,2.058,-1.284
1680378161410,2023-04-01T14:42:41.410,0.380,1.711,1.101,-1.014
1680378161430,2023-04-01T14:42:41.430,0.400,1.029,0.899,-1.239
1680378161450,2023-04-01T14:42:41.450,0.420,0.686,0.838,-1.684
1680378161470,2023-04-01T14:42:41.470,0.440,0.796,-1.338,-1.822
1680378161490,2023-04-01T14:42:41.490,0.460,0.495,-2.946,-1.120
1680378161510,2023-04-01T14:42:41.510,0.480,0.899,-3.091,-0.415
1680378161530,2023-04-01T14:42:41.530,0.500,0.160,-2.679,-0.324
1680378161550,2023-04-01T14:42:41.550,0.520,-0.213,-1.970,-0.473
1680378161570,2023-04-01T14:42:41.570,0.540,-0.473,-2.740,-0.351
1680378161590,2023-04-01T14:42:41.590,0.560,-0.899,-3.956,0.046
1680378161610,2023-04-01T14:42:41.610,0.580,-1.044,-5.396,0.682
1680378161630,2023-04-01T14:42:41.630,0.600,-1.223,-5.991,1.216
1680378161650,2023-04-01T14:42:41.650,0.620,-1.261,-6.021,1.555
1680378161670,2023-04-01T14:42:41.670,0.640,-1.418,-6.246,1.947
1680378161690,2023-04-01T14:42:41.690,0.660,-1.524,-6.715,2.104
1680378161710,2023-04-01T14:42:41.710,0.680,-1.521,-7.184,2.245
1680378161730,2023-04-01T14:42:41.730,0.700,-1.303,-6.940,2.489
1680378161750,2023-04-01T14:42:41.750,0.720,-1.254,-6.608,2.622
1680378161770,2023-04-01T14:42:41.770,0.740,-0.911,-6.147,2.443
1680378161790,2023-04-01T14:42:41.790,0.760,-0.434,-5.431,2.226
1680378161810,2023-04-01T14:42:41.810,0.780,0.232,-4.184,1.700
1680378161830,2023-04-01T14:42:41.830,0.800,0.465,-2.984,1.330
1680378161850,2023-04-01T14:42:41.850,0.820,0.652,-1.768,0.831
1680378161870,2023-04-01T14:42:41.870,0.840,1.353,-0.072,0.030
1680378161890,2023-04-01T14:42:41.890,0.860,2.119,1.749,-1.223
1680378161910,2023-04-01T14:42:41.910,0.880,2.572,3.662,-2.088
1680378161930,2023-04-01T14:42:41.930,0.900,2.668,5.316,-2.691
1680378161950,2023-04-01T14:42:41.950,0.920,2.721,6.475,-3.114
1680378161970,2023-04-01T14:42:41.970,0.940,3.003,7.511,-3.388
1680378161990,2023-04-01T14:42:41.990,0.960,2.664,7.508,-3.841
1680378162010,2023-04-01T14:42:42.010,0.980,2.523,6.631,-3.883
1680378162030,2023-04-01T14:42:42.030,1.000,2.382,5.941,-4.063
1680378162050,2023-04-01T14:42:42.050,1.020,1.726,5.861,-4.280
1680378162070,2023-04-01T14:42:42.070,1.040,1.513,6.277,-4.036
1680378162090,2023-04-01T14:42:42.090,1.060,1.532,6.178,-3.605
1680378162110,2023-04-01T14:42:42.110,1.080,1.361,4.813,-2.950
1680378162130,2023-04-01T14:42:42.130,1.100,1.014,3.095,-2.611
1680378162150,2023-04-01T14:42:42.150,1.120,1.033,2.420,-2.530
1680378162170,2023-04-01T14:42:42.170,1.140,1.025,3.018,-2.782
1680378162190,2023-04-01T14:42:42.190,1.160,1.242,3.540,-3.011
1680378162210,2023-04-01T14:42:42.210,1.180,1.132,3.415,-2.489
1680378162230,2023-04-01T14:42:42.230,1.200,1.341,3.537,-1.978
1680378162250,2023-04-01T14:42:42.250,1.220,1.841,3.700,-2.081
1680378162270,2023-04-01T14:42:42.270,1.240,1.825,3.552,-2.397
1680378162290,2023-04-01T14:42:42.290,1.260,1.681,2.896,-2.664
1680378162310,2023-04-01T14:42:42.310,1.280,2.096,2.980,-2.599
1680378162330,2023-04-01T14:42:42.330,1.300,2.431,3.415,-2.443
1680378162350,2023-04-01T14:42:42.350,1.320,2.191,3.944,-2.409
1680378162370,2023-04-01T14:42:42.370,1.340,2.481,4.768,-2.546
1680378162390,2023-04-01T14:42:42.390,1.360,2.363,5.160,-2.626
1680378162410,2023-04-01T14:42:42.410,1.380,2.378,4.425,-2.309
1680378162430,2023-04-01T14:42:42.430,1.400,2.569,3.559,-1.940
1680378162450,2023-04-01T14:42:42.450,1.420,2.584,2.797,-1.235
1680378162470,2023-04-01T14:42:42.470,1.440,2.511,2.031,-0.896
1680378162490,2023-04-01T14:42:42.490,1.460,2.546,1.665,-0.831
1680378162510,2023-04-01T14:42:42.510,1.480,2.157,1.322,-0.793
1680378162530,2023-04-01T14:42:42.530,1.500,2.024,1.040,-0.587
1680378162550,2023-04-01T14:42:42.550,1.520,1.768,0.976,-0.354
1680378162570,2023-04-01T14:42:42.570,1.540,1.867,1.056,-0.610
1680378162590,2023-04-01T14:42:42.590,1.560,1.582,0.804,-0.743
1680378162610,2023-04-01T14:42:42.610,1.580,1.029,0.030,-1.079
1680378162630,2023-04-01T14:42:42.630,1.600,0.896,-0.168,-1.399
1680378162650,2023-04-01T14:42:42.650,1.620,0.751,1.010,-1.288
1680378162670,2023-04-01T14:42:42.670,1.640,0.602,1.909,-0.915
1680378162690,2023-04-01T14:42:42.690,1.660,0.781,1.174,-0.686
1680378162710,2023-04-01T14:42:42.710,1.680,0.762,-1.955,-0.030
1680378162730,2023-04-01T14:42:42.730,1.700,0.526,-5.187,0.739
1680378162750,2023-04-01T14:42:42.750,1.720,0.210,-6.067,1.132
1680378162770,2023-04-01T14:42:42.770,1.740,-0.480,-5.286,0.789
1680378162790,2023-04-01T14:42:42.790,1.760,-0.446,-3.731,-0.038
1680378162810,2023-04-01T14:42:42.810,1.780,-0.008,-1.181,-0.842
1680378162830,2023-04-01T14:42:42.830,1.800,0.160,0.915,-1.368
1680378162850,2023-04-01T14:42:42.850,1.820,0.606,1.231,-1.738
1680378162870,2023-04-01T14:42:42.870,1.840,0.785,0.263,-1.734
1680378162890,2023-04-01T14:42:42.890,1.860,0.854,-0.564,-1.608
1680378162910,2023-04-01T14:42:42.910,1.880,0.774,-0.808,-1.212
1680378162930,2023-04-01T14:42:42.930,1.900,0.271,-0.777,-0.877
1680378162950,2023-04-01T14:42:42.950,1.920,0.812,-0.522,-1.155
