epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1680379623528,2023-04-01T15:07:03.528,0.000,14.672,-39.821,0.244
1680379623548,2023-04-01T15:07:03.548,0.020,16.109,-36.288,0.682
1680379623568,2023-04-01T15:07:03.568,0.040,16.277,-18.811,2.492
1680379623588,2023-04-01T15:07:03.588,0.060,7.839,-5.107,-3.098
1680379623608,2023-04-01T15:07:03.608,0.080,5.240,0.267,-4.413
1680379623628,2023-04-01T15:07:03.628,0.100,4.783,-1.677,-0.568
1680379623648,2023-04-01T15:07:03.648,0.120,3.662,-3.582,0.480
1680379623668,2023-04-01T15:07:03.668,0.140,3.129,-4.238,0.149
1680379623688,2023-04-01T15:07:03.688,0.160,2.275,-4.066,-0.789
1680379623708,2023-04-01T15:07:03.708,0.180,0.030,-3.293,-1.902
1680379623728,2023-04-01T15:07:03.728,0.200,-2.188,-3.472,-2.229
1680379623748,2023-04-01T15:07:03.748,0.220,-1.128,-3.102,-2.603
1680379623768,2023-04-01T15:07:03.768,0.240,0.084,-2.077,-4.074
1680379623788,2023-04-01T15:07:03.788,0.260,0.915,-0.156,-4.425
1680379623808,2023-04-01T15:07:03.808,0.280,1.059,0.789,-4.707
1680379623828,2023-04-01T15:07:03.828,0.300,0.198,-0.640,-4.204
1680379623848,2023-04-01T15:07:03.848,0.320,-0.480,-2.485,-3.335
1680379623868,2023-04-01T15:07:03.868,0.340,-0.446,-3.990,-2.710
1680379623888,2023-04-01T15:07:03.888,0.360,0.213,-4.684,-2.511
1680379623908,2023-04-01T15:07:03.908,0.380,0.991,-3.662,-2.671
1680379623928,2023-04-01T15:07:03.928,0.400,1.383,-0.758,-2.862
1680379623948,2023-04-01T15:07:03.948,0.420,0.926,1.654,-2.946
1680379623968,2023-04-01T15:07:03.968,0.440,0.930,2.012,-2.927
1680379623988,2023-04-01T15:07:03.988,0.460,0.827,0.511,-2.382
1680379624008,2023-04-01T15:07:04.008,0.480,0.553,-1.178,-1.711
1680379624028,2023-04-01T15:07:04.028,0.500,0.297,-2.633,-0.938
1680379624048,2023-04-01T15:07:04.048,0.520,0.732,-3.121,-0.537
1680379624068,2023-04-01T15:07:04.068,0.540,2.027,-2.721,-0.705
1680379624088,2023-04-01T15:07:04.088,0.560,2.268,-3.472,-0.796
1680379624108,2023-04-01T15:07:04.108,0.580,2.172,-4.032,-0.644
1680379624128,2023-04-01T15:07:04.128,0.600,1.113,-3.472,-0.141
1680379624148,2023-04-01T15:07:04.148,0.620,0.370,-2.622,0.118
1680379624168,2023-04-01T15:07:04.168,0.640,0.057,-2.271,0.248
1680379624188,2023-04-01T15:07:04.188,0.660,-0.316,-2.618,0.271
1680379624208,2023-04-01T15:07:04.208,0.680,-0.191,-2.439,-0.053
1680379624228,2023-04-01T15:07:04.228,0.700,0.118,-2.092,-0.473
1680379624248,2023-04-01T15:07:04.248,0.720,0.705,-2.660,-0.789
1680379624268,2023-04-01T15:07:04.268,0.740,0.636,-3.693,-0.899
1680379624288,2023-04-01T15:07:04.288,0.760,0.682,-3.990,-0.804
1680379624308,2023-04-01T15:07:04.308,0.780,0.823,-4.192,-0.953
1680379624328,2023-04-01T15:07:04.328,0.800,1.825,-2.443,-1.071
1680379624348,2023-04-01T15:07:04.348,0.820,2.100,4.466,-0.126
1680379624368,2023-04-01T15:07:04.368,0.840,3.857,11.345,-1.959
1680379624388,2023-04-01T15:07:04.388,0.860,5.976,19.211,-4.432
1680379624408,2023-04-01T15:07:04.408,0.880,7.035,22.740,-7.961
1680379624428,2023-04-01T15:07:04.428,0.900,8.197,20.602,-8.285
1680379624448,2023-04-01T15:07:04.448,0.920,10.362,21.448,-6.799
1680379624468,2023-04-01T15:07:04.468,0.940,9.760,21.905,-6.334
1680379624488,2023-04-01T15:07:04.488,0.960,12.401,30.149,-5.522
1680379624508,2023-04-01T15:07:04.508,0.980,10.564,41.886,-8.918
1680379624528,2023-04-01T15:07:04.528,1.000,8.095,32.691,-8.037
1680379624548,2023-04-01T15:07:04.548,1.020,8.773,17.252,-6.246
1680379624568,2023-04-01T15:07:04.568,1.040,4.878,9.268,-7.370
1680379624588,2023-04-01T15:07:04.588,1.060,3.556,4.909,-7.691
1680379624608,2023-04-01T15:07:04.608,1.080,3.247,0.857,-6.936
1680379624628,2023-04-01T15:07:04.628,1.100,2.706,-3.906,-6.837
1680379624648,2023-04-01T15:07:04.648,1.120,3.434,-5.152,-5.636
1680379624668,2023-04-01T15:07:04.668,1.140,2.142,-4.444,-3.906
1680379624688,2023-04-01T15:07:04.688,1.160,-0.987,-2.824,-1.239
1680379624708,2023-04-01T15:07:04.708,1.180,-6.212,-5.922,2.237
1680379624728,2023-04-01T15:07:04.728,1.200,-6.673,-11.543,3.171
1680379624748,2023-04-01T15:07:04.748,1.220,-5.728,-11.848,1.540
1680379624768,2023-04-01T15:07:04.768,1.240,-6.574,-11.928,0.499
1680379624788,2023-04-01T15:07:04.788,1.260,-6.433,-12.702,-0.046
1680379624808,2023-04-01T15:07:04.808,1.280,-6.502,-12.283,-0.655
1680379624828,2023-04-01T15:07:04.828,1.300,-6.189,-11.875,-1.101
1680379624848,2023-04-01T15:07:04.848,1.320,-5.800,-11.071,-0.789
1680379624868,2023-04-01T15:07:04.868,1.340,-5.964,-10.579,-0.271
1680379624888,2023-04-01T15:07:04.888,1.360,-5.743,-8.415,0.564
1680379624908,2023-04-01T15:07:04.908,1.380,-4.733,-6.757,0.149
1680379624928,2023-04-01T15:07:04.928,1.400,-2.588,-6.010,-0.351
1680379624948,2023-04-01T15:07:04.948,1.420,-1.162,-4.550,-0.667
1680379624968,2023-04-01T15:07:04.968,1.440,0.114,-3.034,-0.857
1680379624988,2023-04-01T15:07:04.988,1.460,0.785,-2.447,-1.292
1680379625008,2023-04-01T15:07:05.008,1.480,1.395,-1.475,-1.181
1680379625028,2023-04-01T15:07:05.028,1.500,1.273,-0.293,-1.029
1680379625048,2023-04-01T15:07:05.048,1.520,0.827,-1.326,-0.972
1680379625068,2023-04-01T15:07:05.068,1.540,0.004,-1.700,-0.259
1680379625088,2023-04-01T15:07:05.088,1.560,-0.823,-0.434,0.084
1680379625108,2023-04-01T15:07:05.108,1.580,-0.042,-1.242,-0.313
1680379625128,2023-04-01T15:07:05.128,1.600,0.747,-2.374,-0.069
1680379625148,2023-04-01T15:07:05.148,1.620,-0.114,-2.847,0.370
1680379625168,2023-04-01T15:07:05.168,1.640,-0.755,-2.858,0.583
1680379625188,2023-04-01T15:07:05.188,1.660,-0.008,-1.780,0.091
1680379625208,2023-04-01T15:07:05.208,1.680,0.499,-1.361,-0.370
1680379625228,2023-04-01T15:07:05.228,1.700,0.431,-1.048,-0.354
1680379625248,2023-04-01T15:07:05.248,1.720,-0.027,-1.223,-0.191
1680379625268,2023-04-01T15:07:05.268,1.740,-0.332,-2.008,-0.152
1680379625288,2023-04-01T15:07:05.288,1.760,-0.152,-1.482,-0.240
1680379625308,2023-04-01T15:07:05.308,1.780,0.213,-0.046,-0.362
1680379625328,2023-04-01T15:07:05.328,1.800,0.545,0.065,-0.297
1680379625348,2023-04-01T15:07:05.348,1.820,0.244,-0.286,-0.023
1680379625368,2023-04-01T15:07:05.368,1.840,-0.545,-0.671,0.133
1680379625388,2023-04-01T15:07:05.388,1.860,-0.991,-1.955,-0.015
1680379625408,2023-04-01T15:07:05.408,1.880,-1.178,-2.473,-0.229
1680379625428,2023-04-01T15:07:05.428,1.900,-0.968,-1.749,-0.274
1680379625448,2023-04-01T15:07:05.448,1.920,-0.480,-1.216,-0.202
1680379625468,2023-04-01T15:07:05.468,1.940,-0.179,-0.968,0.145
1680379625488,2023-04-01T15:07:05.488,1.960,0.393,-0.835,0.042
1680379625508,2023-04-01T15:07:05.508,1.980,0.415,-0.450,0.114
1680379625528,2023-04-01T15:07:05.528,2.000,0.171,-0.171,0.038
1680379625548,2023-04-01T15:07:05.548,2.020,0.290,-0.210,-0.175
1680379625568,2023-04-01T15:07:05.568,2.040,0.225,0.042,-0.408
1680379625588,2023-04-01T15:07:05.588,2.060,0.008,0.419,-0.339
1680379625608,2023-04-01T15:07:05.608,2.080,-0.042,0.263,-0.377
1680379625628,2023-04-01T15:07:05.628,2.100,-0.229,-0.118,-0.297
1680379625648,2023-04-01T15:07:05.648,2.120,-0.655,-0.480,-0.057
1680379625668,2023-04-01T15:07:05.668,2.140,-1.250,-1.067,0.042
1680379625688,2023-04-01T15:07:05.688,2.160,-1.006,-0.972,-0.225
1680379625708,2023-04-01T15:07:05.708,2.180,-0.145,-0.454,-0.499
