epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1680378831753,2023-04-01T14:53:51.753,0.000,0.248,0.198,-2.077
1680378831773,2023-04-01T14:53:51.773,0.020,0.408,0.278,-2.374
1680378831793,2023-04-01T14:53:51.793,0.040,0.187,-0.152,-2.359
1680378831813,2023-04-01T14:53:51.813,0.060,0.232,0.122,-2.005
1680378831833,2023-04-01T14:53:51.833,0.080,0.446,0.823,-1.498
1680378831853,2023-04-01T14:53:51.853,0.100,0.838,0.896,-1.200
1680378831873,2023-04-01T14:53:51.873,0.120,0.998,0.930,-1.139
1680378831893,2023-04-01T14:53:51.893,0.140,0.991,1.178,-1.124
1680378831913,2023-04-01T14:53:51.913,0.160,0.987,1.139,-1.132
1680378831933,2023-04-01T14:53:51.933,0.180,1.113,0.892,-1.033
1680378831953,2023-04-01T14:53:51.953,0.200,1.151,0.686,-0.991
1680378831973,2023-04-01T14:53:51.973,0.220,1.086,0.480,-1.063
1680378831993,2023-04-01T14:53:51.993,0.240,0.968,0.255,-1.033
1680378832013,2023-04-01T14:53:52.013,0.260,0.873,0.297,-0.991
1680378832033,2023-04-01T14:53:52.033,0.280,0.770,0.404,-1.010
1680378832053,2023-04-01T14:53:52.053,0.300,0.739,0.564,-0.979
1680378832073,2023-04-01T14:53:52.073,0.320,0.903,1.033,-0.846
1680378832093,2023-04-01T14:53:52.093,0.340,1.265,0.884,-0.598
1680378832113,2023-04-01T14:53:52.113,0.360,1.570,0.244,-0.572
1680378832133,2023-04-01T14:53:52.133,0.380,1.612,-0.114,-0.640
1680378832153,2023-04-01T14:53:52.153,0.400,1.597,-0.229,-0.728
1680378832173,2023-04-01T14:53:52.173,0.420,1.646,-0.271,-0.446
1680378832193,2023-04-01T14:53:52.193,0.440,1.357,0.175,-0.454
1680378832213,2023-04-01T14:53:52.213,0.460,1.178,0.617,-0.537
1680378832233,2023-04-01T14:53:52.233,0.480,0.873,0.255,-0.541
1680378832253,2023-04-01T14:53:52.253,0.500,0.606,0.171,-0.614
1680378832273,2023-04-01T14:53:52.273,0.520,0.713,0.225,-0.617
1680378832293,2023-04-01T14:53:52.293,0.540,0.861,0.686,-0.438
1680378832313,2023-04-01T14:53:52.313,0.560,1.162,0.880,-0.366
1680378832333,2023-04-01T14:53:52.333,0.580,1.540,0.941,-0.255
1680378832353,2023-04-01T14:53:52.353,0.600,1.833,0.343,-0.198
1680378832373,2023-04-01T14:53:52.373,0.620,1.913,-0.484,-0.282
1680378832393,2023-04-01T14:53:52.393,0.640,1.646,-0.877,-0.503
1680378832413,2023-04-01T14:53:52.413,0.660,1.105,-0.271,-0.770
1680378832433,2023-04-01T14:53:52.433,0.680,0.701,0.644,-0.781
1680378832453,2023-04-01T14:53:52.453,0.700,0.549,0.488,-0.907
1680378832473,2023-04-01T14:53:52.473,0.720,0.636,0.313,-0.899
1680378832493,2023-04-01T14:53:52.493,0.740,0.823,0.271,-0.739
1680378832513,2023-04-01T14:53:52.513,0.760,1.010,-0.118,-0.549
1680378832533,2023-04-01T14:53:52.533,0.780,1.067,-0.537,-0.652
1680378832553,2023-04-01T14:53:52.553,0.800,1.025,-0.499,-0.865
1680378832573,2023-04-01T14:53:52.573,0.820,0.915,0.034,-0.892
1680378832593,2023-04-01T14:53:52.593,0.840,0.884,0.442,-0.979
1680378832613,2023-04-01T14:53:52.613,0.860,0.884,0.503,-1.059
1680378832633,2023-04-01T14:53:52.633,0.880,0.991,0.179,-0.941
1680378832653,2023-04-01T14:53:52.653,0.900,1.059,-0.434,-0.907
1680378832673,2023-04-01T14:53:52.673,0.920,0.869,-0.339,-0.957
1680378832693,2023-04-01T14:53:52.693,0.940,0.591,0.126,-1.002
1680378832713,2023-04-01T14:53:52.713,0.960,0.644,0.450,-0.903
1680378832733,2023-04-01T14:53:52.733,0.980,0.705,0.175,-0.888
1680378832753,2023-04-01T14:53:52.753,1.000,0.793,-0.385,-0.938
1680378832773,2023-04-01T14:53:52.773,1.020,0.922,-0.187,-0.953
1680378832793,2023-04-01T14:53:52.793,1.040,0.831,-0.050,-1.120
1680378832813,2023-04-01T14:53:52.813,1.060,0.739,-0.046,-1.307
1680378832833,2023-04-01T14:53:52.833,1.080,0.789,-0.232,-1.178
1680378832853,2023-04-01T14:53:52.853,1.100,0.907,-0.309,-0.968
1680378832873,2023-04-01T14:53:52.873,1.120,1.025,-0.354,-0.800
1680378832893,2023-04-01T14:53:52.893,1.140,1.018,-0.050,-0.667
1680378832913,2023-04-01T14:53:52.913,1.160,0.899,-0.050,-0.732
1680378832933,2023-04-01T14:53:52.933,1.180,0.743,-0.141,-0.995
1680378832953,2023-04-01T14:53:52.953,1.200,0.343,-0.111,-1.254
1680378832973,2023-04-01T14:53:52.973,1.220,0.160,0.019,-1.178
1680378832993,2023-04-01T14:53:52.993,1.240,0.236,-0.305,-1.223
1680378833013,2023-04-01T14:53:53.013,1.260,0.354,-0.488,-1.315
1680378833033,2023-04-01T14:53:53.033,1.280,0.362,-0.152,-1.242
1680378833053,2023-04-01T14:53:53.053,1.300,0.514,0.213,-1.189
1680378833073,2023-04-01T14:53:53.073,1.320,0.575,-0.179,-1.200
1680378833093,2023-04-01T14:53:53.093,1.340,0.507,-0.564,-1.231
1680378833113,2023-04-01T14:53:53.113,1.360,0.393,-0.370,-1.113
1680378833133,2023-04-01T14:53:53.133,1.380,0.297,-0.339,-1.117
1680378833153,2023-04-01T14:53:53.153,1.400,0.232,0.076,-1.132
1680378833173,2023-04-01T14:53:53.173,1.420,0.362,0.545,-1.136
1680378833193,2023-04-01T14:53:53.193,1.440,0.263,0.644,-1.037
1680378833213,2023-04-01T14:53:53.213,1.460,0.335,-0.030,-0.957
1680378833233,2023-04-01T14:53:53.233,1.480,0.267,-0.606,-1.094
1680378833253,2023-04-01T14:53:53.253,1.500,0.198,-0.293,-1.223
1680378833273,2023-04-01T14:53:53.273,1.520,0.274,-0.347,-1.235
1680378833293,2023-04-01T14:53:53.293,1.540,0.419,-0.213,-1.159
1680378833313,2023-04-01T14:53:53.313,1.560,0.412,0.175,-1.124
1680378833333,2023-04-01T14:53:53.333,1.580,0.316,0.716,-1.025
1680378833353,2023-04-01T14:53:53.353,1.600,0.415,0.808,-0.808
1680378833373,2023-04-01T14:53:53.373,1.620,0.499,0.293,-0.663
1680378833393,2023-04-01T14:53:53.393,1.640,0.522,-0.202,-0.747
1680378833413,2023-04-01T14:53:53.413,1.660,0.534,-0.171,-0.777
1680378833433,2023-04-01T14:53:53.433,1.680,0.393,0.217,-0.789
1680378833453,2023-04-01T14:53:53.453,1.700,0.362,0.568,-0.732
1680378833473,2023-04-01T14:53:53.473,1.720,0.583,0.366,-0.667
1680378833493,2023-04-01T14:53:53.493,1.740,0.869,0.305,-0.530
1680378833513,2023-04-01T14:53:53.513,1.760,0.960,0.232,-0.450
1680378833533,2023-04-01T14:53:53.533,1.780,0.880,0.057,-0.583
1680378833553,2023-04-01T14:53:53.553,1.800,0.877,0.038,-0.587
1680378833573,2023-04-01T14:53:53.573,1.820,0.884,0.103,-0.461
1680378833593,2023-04-01T14:53:53.593,1.840,0.808,0.111,-0.507
1680378833613,2023-04-01T14:53:53.613,1.860,0.686,0.156,-0.663
1680378833633,2023-04-01T14:53:53.633,1.880,0.461,0.252,-0.884
1680378833653,2023-04-01T14:53:53.653,1.900,0.389,0.267,-0.926
1680378833673,2023-04-01T14:53:53.673,1.920,0.511,0.255,-0.861
1680378833693,2023-04-01T14:53:53.693,1.940,0.537,0.263,-0.850
1680378833713,2023-04-01T14:53:53.713,1.960,0.583,0.370,-0.781
1680378833733,2023-04-01T14:53:53.733,1.980,0.644,0.503,-0.762
1680378833753,2023-04-01T14:53:53.753,2.000,0.694,0.404,-0.766
1680378833773,2023-04-01T14:53:53.773,2.020,0.838,0.366,-0.701
1680378833793,2023-04-01T14:53:53.793,2.040,0.850,0.324,-0.732
1680378833813,2023-04-01T14:53:53.813,2.060,0.892,0.225,-0.770
1680378833833,2023-04-01T14:53:53.833,2.080,0.888,0.263,-0.675
1680378833853,2023-04-01T14:53:53.853,2.100,0.739,0.213,-0.800
1680378833873,2023-04-01T14:53:53.873,2.120,0.766,0.103,-0.911
1680378833893,2023-04-01T14:53:53.893,2.140,0.652,0.210,-0.949
1680378833913,2023-04-01T14:53:53.913,2.160,0.663,0.427,-0.831
1680378833933,2023-04-01T14:53:53.933,2.180,0.957,0.011,-0.663
1680378833953,2023-04-01T14:53:53.953,2.200,1.139,-0.659,-0.579
1680378833973,2023-04-01T14:53:53.973,2.220,1.033,-0.854,-0.705
1680378833993,2023-04-01T14:53:53.993,2.240,0.751,-0.050,-0.949
1680378834013,2023-04-01T14:53:54.013,2.260,0.591,0.888,-1.025
1680378834033,2023-04-01T14:53:54.033,2.280,0.720,0.877,-0.838
1680378834053,2023-04-01T14:53:54.053,2.300,1.033,0.141,-0.545
1680378834073,2023-04-01T14:53:54.073,2.320,1.239,-0.328,-0.553
1680378834093,2023-04-01T14:53:54.093,2.340,1.235,-0.221,-0.591
1680378834113,2023-04-01T14:53:54.113,2.360,1.014,0.149,-0.625
1680378834133,2023-04-01T14:53:54.133,2.380,0.755,0.454,-0.755
1680378834153,2023-04-01T14:53:54.153,2.400,0.709,0.389,-0.781
1680378834173,2023-04-01T14:53:54.173,2.420,0.804,-0.019,-0.682
1680378834193,2023-04-01T14:53:54.193,2.440,0.915,0.103,-0.572
1680378834213,2023-04-01T14:53:54.213,2.460,1.082,0.282,-0.377
1680378834233,2023-04-01T14:53:54.233,2.480,1.166,0.240,-0.225
1680378834253,2023-04-01T14:53:54.253,2.500,1.086,0.244,-0.290
1680378834273,2023-04-01T14:53:54.273,2.520,0.918,0.118,-0.564
1680378834293,2023-04-01T14:53:54.293,2.540,0.861,0.011,-0.617
1680378834313,2023-04-01T14:53:54.313,2.560,0.945,0.099,-0.465
1680378834333,2023-04-01T14:53:54.333,2.580,1.044,-0.244,-0.408
1680378834353,2023-04-01T14:53:54.353,2.600,1.166,-0.316,-0.568
1680378834373,2023-04-01T14:53:54.373,2.620,1.090,-0.099,-0.690
1680378834393,2023-04-01T14:53:54.393,2.640,0.930,-0.053,-0.758
1680378834413,2023-04-01T14:53:54.413,2.660,0.796,-0.088,-0.667
1680378834433,2023-04-01T14:53:54.433,2.680,0.762,0.057,-0.457
1680378834453,2023-04-01T14:53:54.453,2.700,0.766,0.297,-0.553
1680378834473,2023-04-01T14:53:54.473,2.720,0.739,0.537,-0.564
1680378834493,2023-04-01T14:53:54.493,2.740,0.918,0.545,-0.431
1680378834513,2023-04-01T14:53:54.513,2.760,0.964,0.381,-0.476
1680378834533,2023-04-01T14:53:54.533,2.780,0.934,0.145,-0.526
1680378834553,2023-04-01T14:53:54.553,2.800,0.968,0.221,-0.545
1680378834573,2023-04-01T14:53:54.573,2.820,0.930,0.000,-0.671
1680378834593,2023-04-01T14:53:54.593,2.840,0.835,-0.198,-0.827
1680378834613,2023-04-01T14:53:54.613,2.860,0.827,-0.354,-0.915
1680378834633,2023-04-01T14:53:54.633,2.880,0.846,0.000,-0.831
1680378834653,2023-04-01T14:53:54.653,2.900,0.949,0.038,-0.701
1680378834673,2023-04-01T14:53:54.673,2.920,0.918,-0.023,-0.823
1680378834693,2023-04-01T14:53:54.693,2.940,0.785,0.198,-0.934
1680378834713,2023-04-01T14:53:54.713,2.960,0.728,0.339,-0.892
1680378834733,2023-04-01T14:53:54.733,2.980,0.736,0.015,-0.903
1680378834753,2023-04-01T14:53:54.753,3.000,0.819,0.004,-0.774
1680378834773,2023-04-01T14:53:54.773,3.020,0.736,0.248,-0.922
1680378834793,2023-04-01T14:53:54.793,3.040,0.796,0.446,-0.968
1680378834813,2023-04-01T14:53:54.813,3.060,0.758,0.038,-0.793
1680378834833,2023-04-01T14:53:54.833,3.080,0.713,-0.030,-0.694
1680378834853,2023-04-01T14:53:54.853,3.100,0.568,0.457,-0.854
1680378834873,2023-04-01T14:53:54.873,3.120,0.606,0.419,-0.953
1680378834893,2023-04-01T14:53:54.893,3.140,0.918,0.232,-0.945
1680378834913,2023-04-01T14:53:54.913,3.160,1.307,0.076,-0.697
1680378834933,2023-04-01T14:53:54.933,3.180,1.463,-0.263,-0.606
1680378834953,2023-04-01T14:53:54.953,3.200,1.338,-0.423,-0.560
1680378834973,2023-04-01T14:53:54.973,3.220,1.166,-0.625,-0.507
1680378834993,2023-04-01T14:53:54.993,3.240,1.094,-0.743,-0.339
1680378835013,2023-04-01T14:53:55.013,3.260,1.014,-0.259,-0.316
1680378835033,2023-04-01T14:53:55.033,3.280,0.808,0.091,-0.461
1680378835053,2023-04-01T14:53:55.053,3.300,0.960,0.156,-0.514
1680378835073,2023-04-01T14:53:55.073,3.320,1.132,0.164,-0.400
1680378835093,2023-04-01T14:53:55.093,3.340,1.227,-0.111,-0.259
1680378835113,2023-04-01T14:53:55.113,3.360,1.242,-0.088,-0.423
1680378835133,2023-04-01T14:53:55.133,3.380,1.220,0.198,-0.442
1680378835153,2023-04-01T14:53:55.153,3.400,1.307,0.187,-0.236
1680378835173,2023-04-01T14:53:55.173,3.420,1.505,-0.164,-0.069
1680378835193,2023-04-01T14:53:55.193,3.440,1.540,-0.130,0.000
1680378835213,2023-04-01T14:53:55.213,3.460,1.376,0.320,-0.019
1680378835233,2023-04-01T14:53:55.233,3.480,1.280,0.545,-0.114
1680378835253,2023-04-01T14:53:55.253,3.500,1.280,0.736,-0.221
1680378835273,2023-04-01T14:53:55.273,3.520,1.288,1.303,-0.072
1680378835293,2023-04-01T14:53:55.293,3.540,1.014,1.585,-0.347
1680378835313,2023-04-01T14:53:55.313,3.560,0.842,1.128,-0.716
1680378835333,2023-04-01T14:53:55.333,3.580,0.930,0.480,-0.930
1680378835353,2023-04-01T14:53:55.353,3.600,1.098,0.373,-0.941
1680378835373,2023-04-01T14:53:55.373,3.620,1.246,0.232,-0.907
1680378835393,2023-04-01T14:53:55.393,3.640,1.250,0.229,-0.899
1680378835413,2023-04-01T14:53:55.413,3.660,1.334,0.415,-0.816
1680378835433,2023-04-01T14:53:55.433,3.680,1.391,0.503,-0.705
1680378835453,2023-04-01T14:53:55.453,3.700,1.254,0.271,-0.678
1680378835473,2023-04-01T14:53:55.473,3.720,1.044,-0.107,-0.812
1680378835493,2023-04-01T14:53:55.493,3.740,0.796,-0.042,-1.113
1680378835513,2023-04-01T14:53:55.513,3.760,0.709,0.030,-1.079
1680378835533,2023-04-01T14:53:55.533,3.780,0.789,-0.473,-0.800
1680378835553,2023-04-01T14:53:55.553,3.800,1.120,-0.534,-0.549
1680378835573,2023-04-01T14:53:55.573,3.820,1.349,-0.290,-0.461
1680378835593,2023-04-01T14:53:55.593,3.840,1.482,-0.358,-0.636
1680378835613,2023-04-01T14:53:55.613,3.860,1.425,-0.404,-0.831
1680378835633,2023-04-01T14:53:55.633,3.880,1.147,0.133,-1.079
1680378835653,2023-04-01T14:53:55.653,3.900,0.922,-0.191,-1.280
1680378835673,2023-04-01T14:53:55.673,3.920,0.633,-0.918,-1.227
1680378835693,2023-04-01T14:53:55.693,3.940,0.347,-0.930,-1.349
1680378835713,2023-04-01T14:53:55.713,3.960,0.252,-0.362,-1.463
1680378835733,2023-04-01T14:53:55.733,3.980,0.427,0.347,-1.357
1680378835753,2023-04-01T14:53:55.753,4.000,0.865,0.301,-1.101
1680378835773,2023-04-01T14:53:55.773,4.020,1.147,-0.438,-0.995
1680378835793,2023-04-01T14:53:55.793,4.040,1.204,-0.800,-0.949
1680378835813,2023-04-01T14:53:55.813,4.060,1.109,-0.888,-1.120
1680378835833,2023-04-01T14:53:55.833,4.080,0.770,-0.465,-1.170
1680378835853,2023-04-01T14:53:55.853,4.100,0.564,0.030,-1.174
1680378835873,2023-04-01T14:53:55.873,4.120,0.488,-0.210,-1.242
1680378835893,2023-04-01T14:53:55.893,4.140,0.549,-0.168,-1.208
1680378835913,2023-04-01T14:53:55.913,4.160,0.682,0.297,-1.109
1680378835933,2023-04-01T14:53:55.933,4.180,0.896,0.560,-0.911
1680378835953,2023-04-01T14:53:55.953,4.200,0.953,0.297,-0.884
1680378835973,2023-04-01T14:53:55.973,4.220,0.949,0.290,-0.995
1680378835993,2023-04-01T14:53:55.993,4.240,0.964,0.389,-1.075
1680378836013,2023-04-01T14:53:56.013,4.260,0.983,0.526,-0.911
1680378836033,2023-04-01T14:53:56.033,4.280,0.968,0.560,-0.686
1680378836053,2023-04-01T14:53:56.053,4.300,0.918,0.972,-0.781
1680378836073,2023-04-01T14:53:56.073,4.320,0.903,1.383,-0.877
1680378836093,2023-04-01T14:53:56.093,4.340,0.911,1.452,-0.972
1680378836113,2023-04-01T14:53:56.113,4.360,0.766,1.387,-1.151
1680378836133,2023-04-01T14:53:56.133,4.380,0.766,1.136,-1.155
1680378836153,2023-04-01T14:53:56.153,4.400,0.595,0.960,-1.261
1680378836173,2023-04-01T14:53:56.173,4.420,0.465,1.006,-1.353
1680378836193,2023-04-01T14:53:56.193,4.440,0.743,1.059,-1.296
1680378836213,2023-04-01T14:53:56.213,4.460,1.098,0.507,-0.960
1680378836233,2023-04-01T14:53:56.233,4.480,1.368,0.351,-0.617
1680378836253,2023-04-01T14:53:56.253,4.500,1.254,1.063,-0.591
1680378836273,2023-04-01T14:53:56.273,4.520,1.086,1.368,-0.854
1680378836293,2023-04-01T14:53:56.293,4.540,0.968,1.082,-0.991
1680378836313,2023-04-01T14:53:56.313,4.560,0.922,0.309,-1.014
1680378836333,2023-04-01T14:53:56.333,4.580,0.838,-0.324,-1.109
1680378836353,2023-04-01T14:53:56.353,4.600,0.530,-0.396,-1.479
1680378836373,2023-04-01T14:53:56.373,4.620,0.206,0.206,-1.753
1680378836393,2023-04-01T14:53:56.393,4.640,0.213,0.835,-1.482
1680378836413,2023-04-01T14:53:56.413,4.660,0.377,0.636,-1.151
1680378836433,2023-04-01T14:53:56.433,4.680,0.598,-0.065,-0.930
1680378836453,2023-04-01T14:53:56.453,4.700,0.915,-0.373,-0.736
1680378836473,2023-04-01T14:53:56.473,4.720,0.972,-0.332,-0.690
1680378836493,2023-04-01T14:53:56.493,4.740,0.918,0.252,-0.640
1680378836513,2023-04-01T14:53:56.513,4.760,0.934,0.301,-0.518
1680378836533,2023-04-01T14:53:56.533,4.780,0.888,-0.225,-0.332
1680378836553,2023-04-01T14:53:56.553,4.800,0.823,-0.747,-0.381
1680378836573,2023-04-01T14:53:56.573,4.820,0.598,-0.617,-0.625
1680378836593,2023-04-01T14:53:56.593,4.840,0.648,0.019,-0.861
1680378836613,2023-04-01T14:53:56.613,4.860,0.770,0.168,-0.793
1680378836633,2023-04-01T14:53:56.633,4.880,0.686,-0.297,-0.739
1680378836653,2023-04-01T14:53:56.653,4.900,0.762,-0.469,-0.629
1680378836673,2023-04-01T14:53:56.673,4.920,0.804,-0.522,-0.514
1680378836693,2023-04-01T14:53:56.693,4.940,0.678,-0.617,-0.442
1680378836713,2023-04-01T14:53:56.713,4.960,0.663,0.004,-0.244
1680378836733,2023-04-01T14:53:56.733,4.980,0.766,0.476,-0.061
1680378836753,2023-04-01T14:53:56.753,5.000,0.796,0.678,0.011
1680378836773,2023-04-01T14:53:56.773,5.020,0.896,0.495,0.008
1680378836793,2023-04-01T14:53:56.793,5.040,0.907,0.244,-0.095
1680378836813,2023-04-01T14:53:56.813,5.060,0.777,0.156,-0.221
1680378836833,2023-04-01T14:53:56.833,5.080,0.694,-0.316,-0.293
1680378836853,2023-04-01T14:53:56.853,5.100,0.636,0.057,-0.385
1680378836873,2023-04-01T14:53:56.873,5.120,0.697,0.617,-0.248
1680378836893,2023-04-01T14:53:56.893,5.140,0.896,0.457,-0.084
1680378836913,2023-04-01T14:53:56.913,5.160,1.029,0.252,-0.191
1680378836933,2023-04-01T14:53:56.933,5.180,1.014,0.206,-0.400
1680378836953,2023-04-01T14:53:56.953,5.200,0.907,0.149,-0.507
1680378836973,2023-04-01T14:53:56.973,5.220,0.804,0.179,-0.572
1680378836993,2023-04-01T14:53:56.993,5.240,0.762,-0.019,-0.488
1680378837013,2023-04-01T14:53:57.013,5.260,0.659,-0.339,-0.636
1680378837033,2023-04-01T14:53:57.033,5.280,0.621,-0.377,-0.804
1680378837053,2023-04-01T14:53:57.053,5.300,0.655,-0.057,-0.785
1680378837073,2023-04-01T14:53:57.073,5.320,0.697,-0.133,-0.705
1680378837093,2023-04-01T14:53:57.093,5.340,0.621,-0.354,-0.846
1680378837113,2023-04-01T14:53:57.113,5.360,0.461,-0.080,-0.987
1680378837133,2023-04-01T14:53:57.133,5.380,0.480,0.053,-0.915
1680378837153,2023-04-01T14:53:57.153,5.400,0.625,-0.309,-0.857
1680378837173,2023-04-01T14:53:57.173,5.420,0.728,-0.526,-0.934
1680378837193,2023-04-01T14:53:57.193,5.440,0.621,-0.640,-1.014
1680378837213,2023-04-01T14:53:57.213,5.460,0.575,-0.431,-1.155
1680378837233,2023-04-01T14:53:57.233,5.480,0.583,-0.282,-1.021
1680378837253,2023-04-01T14:53:57.253,5.500,0.610,-0.385,-0.873
1680378837273,2023-04-01T14:53:57.273,5.520,0.583,-0.537,-0.918
1680378837293,2023-04-01T14:53:57.293,5.540,0.534,-0.492,-1.101
1680378837313,2023-04-01T14:53:57.313,5.560,0.450,-0.084,-1.258
1680378837333,2023-04-01T14:53:57.333,5.580,0.545,0.168,-1.040
1680378837353,2023-04-01T14:53:57.353,5.600,0.530,-0.393,-1.067
1680378837373,2023-04-01T14:53:57.373,5.620,0.370,-0.892,-1.242
1680378837393,2023-04-01T14:53:57.393,5.640,-0.038,-0.587,-1.467
1680378837413,2023-04-01T14:53:57.413,5.660,-0.290,0.126,-1.631
1680378837433,2023-04-01T14:53:57.433,5.680,-0.015,0.545,-1.433
1680378837453,2023-04-01T14:53:57.453,5.700,0.373,0.290,-1.170
1680378837473,2023-04-01T14:53:57.473,5.720,0.857,0.046,-0.831
1680378837493,2023-04-01T14:53:57.493,5.740,1.292,0.069,-0.518
1680378837513,2023-04-01T14:53:57.513,5.760,1.502,0.130,-0.351
1680378837533,2023-04-01T14:53:57.533,5.780,1.437,0.133,-0.301
1680378837553,2023-04-01T14:53:57.553,5.800,1.239,0.198,-0.343
1680378837573,2023-04-01T14:53:57.573,5.820,1.166,0.255,-0.290
1680378837593,2023-04-01T14:53:57.593,5.840,1.113,0.595,-0.156
1680378837613,2023-04-01T14:53:57.613,5.860,1.216,0.884,-0.076
1680378837633,2023-04-01T14:53:57.633,5.880,1.322,0.957,0.042
1680378837653,2023-04-01T14:53:57.653,5.900,1.433,1.105,0.240
1680378837673,2023-04-01T14:53:57.673,5.920,1.696,0.842,0.461
1680378837693,2023-04-01T14:53:57.693,5.940,1.742,0.701,0.499
1680378837713,2023-04-01T14:53:57.713,5.960,1.818,0.800,0.503
1680378837733,2023-04-01T14:53:57.733,5.980,1.898,0.888,0.534
1680378837753,2023-04-01T14:53:57.753,6.000,1.997,1.303,0.617
1680378837773,2023-04-01T14:53:57.773,6.020,1.944,1.635,0.682
1680378837793,2023-04-01T14:53:57.793,6.040,1.879,1.540,0.747
1680378837813,2023-04-01T14:53:57.813,6.060,1.944,1.509,0.922
1680378837833,2023-04-01T14:53:57.833,6.080,2.172,1.635,1.273
1680378837853,2023-04-01T14:53:57.853,6.100,2.416,1.578,1.578
1680378837873,2023-04-01T14:53:57.873,6.120,2.530,1.928,1.547
1680378837893,2023-04-01T14:53:57.893,6.140,2.649,2.329,1.574
1680378837913,2023-04-01T14:53:57.913,6.160,2.839,2.264,1.768
1680378837933,2023-04-01T14:53:57.933,6.180,3.171,2.550,2.218
1680378837953,2023-04-01T14:53:57.953,6.200,3.716,3.190,2.778
1680378837973,2023-04-01T14:53:57.973,6.220,4.360,3.918,3.056
1680378837993,2023-04-01T14:53:57.993,6.240,4.851,5.145,3.346
1680378838013,2023-04-01T14:53:58.013,6.260,5.091,6.109,3.693
1680378838033,2023-04-01T14:53:58.033,6.280,5.232,6.787,3.975
1680378838053,2023-04-01T14:53:58.053,6.300,5.465,7.298,4.253
1680378838073,2023-04-01T14:53:58.073,6.320,6.467,7.298,5.145
1680378838093,2023-04-01T14:53:58.093,6.340,8.018,6.311,6.261
1680378838113,2023-04-01T14:53:58.113,6.360,9.508,5.979,7.496
1680378838133,2023-04-01T14:53:58.133,6.380,10.957,5.880,8.758
1680378838153,2023-04-01T14:53:58.153,6.400,11.951,2.687,9.928
1680378838173,2023-04-01T14:53:58.173,6.420,11.917,0.869,9.798
1680378838193,2023-04-01T14:53:58.193,6.440,13.803,2.268,10.507
1680378838213,2023-04-01T14:53:58.213,6.460,17.713,-0.964,13.083
1680378838233,2023-04-01T14:53:58.233,6.480,22.290,-9.257,16.833
1680378838253,2023-04-01T14:53:58.253,6.500,26.658,-18.049,20.629
1680378838273,2023-04-01T14:53:58.273,6.520,27.942,-19.581,23.971
