epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1680377473543,2023-04-01T14:31:13.543,0.000,0.053,0.697,-1.803
1680377473563,2023-04-01T14:31:13.563,0.020,-0.091,0.595,-2.207
1680377473583,2023-04-01T14:31:13.583,0.040,-0.553,-0.720,-1.627
1680377473603,2023-04-01T14:31:13.603,0.060,-0.652,-1.806,-0.976
1680377473623,2023-04-01T14:31:13.623,0.080,-0.572,-1.441,-1.048
1680377473643,2023-04-01T14:31:13.643,0.100,-0.286,-0.549,-1.338
1680377473663,2023-04-01T14:31:13.663,0.120,-0.126,-0.179,-1.582
1680377473683,2023-04-01T14:31:13.683,0.140,-0.030,0.088,-1.391
1680377473703,2023-04-01T14:31:13.703,0.160,-0.004,0.522,-0.770
1680377473723,2023-04-01T14:31:13.723,0.180,0.396,0.454,-0.107
1680377473743,2023-04-01T14:31:13.743,0.200,0.610,-0.072,0.072
1680377473763,2023-04-01T14:31:13.763,0.220,0.678,-0.636,0.248
1680377473783,2023-04-01T14:31:13.783,0.240,0.652,-0.732,0.423
1680377473803,2023-04-01T14:31:13.803,0.260,0.617,-0.457,0.610
1680377473823,2023-04-01T14:31:13.823,0.280,0.724,-0.122,0.568
1680377473843,2023-04-01T14:31:13.843,0.300,1.139,0.004,0.373
1680377473863,2023-04-01T14:31:13.863,0.320,1.220,-0.095,0.107
1680377473883,2023-04-01T14:31:13.883,0.340,0.640,-0.293,-0.130
1680377473903,2023-04-01T14:31:13.903,0.360,-0.168,-0.175,-0.232
1680377473923,2023-04-01T14:31:13.923,0.380,-0.537,0.164,-0.537
1680377473943,2023-04-01T14:31:13.943,0.400,-0.198,0.141,-0.918
1680377473963,2023-04-01T14:31:13.963,0.420,0.000,-0.187,-1.044
1680377473983,2023-04-01T14:31:13.983,0.440,-0.080,-1.075,-0.899
1680377474003,2023-04-01T14:31:14.003,0.460,-0.457,-1.951,-0.732
1680377474023,2023-04-01T14:31:14.023,0.480,-1.227,-1.837,-0.568
1680377474043,2023-04-01T14:31:14.043,0.500,-1.425,-1.109,-0.690
1680377474063,2023-04-01T14:31:14.063,0.520,-1.368,-1.143,-0.835
1680377474083,2023-04-01T14:31:14.083,0.540,-1.189,-1.978,-0.785
1680377474103,2023-04-01T14:31:14.103,0.560,-1.425,-2.214,-0.777
1680377474123,2023-04-01T14:31:14.123,0.580,-1.254,-1.277,-0.655
1680377474143,2023-04-01T14:31:14.143,0.600,-0.255,-0.213,-0.564
1680377474163,2023-04-01T14:31:14.163,0.620,1.421,0.263,-0.534
1680377474183,2023-04-01T14:31:14.183,0.640,2.980,0.137,-0.393
1680377474203,2023-04-01T14:31:14.203,0.660,3.639,-0.145,-0.171
1680377474223,2023-04-01T14:31:14.223,0.680,3.068,-0.591,0.038
1680377474243,2023-04-01T14:31:14.243,0.700,2.119,-0.831,-0.164
1680377474263,2023-04-01T14:31:14.263,0.720,0.995,-0.389,-0.595
1680377474283,2023-04-01T14:31:14.283,0.740,0.202,-0.183,-0.812
1680377474303,2023-04-01T14:31:14.303,0.760,-0.160,-0.393,-0.850
1680377474323,2023-04-01T14:31:14.323,0.780,-0.808,-0.682,-0.903
1680377474343,2023-04-01T14:31:14.343,0.800,-1.136,-0.659,-1.098
1680377474363,2023-04-01T14:31:14.363,0.820,-1.124,-0.011,-1.139
1680377474383,2023-04-01T14:31:14.383,0.840,-0.865,0.130,-0.930
1680377474403,2023-04-01T14:31:14.403,0.860,-0.286,-0.232,-0.877
1680377474423,2023-04-01T14:31:14.423,0.880,0.236,0.030,-0.838
1680377474443,2023-04-01T14:31:14.443,0.900,0.450,0.423,-0.724
1680377474463,2023-04-01T14:31:14.463,0.920,0.633,0.332,-0.808
1680377474483,2023-04-01T14:31:14.483,0.940,0.896,0.446,-0.896
1680377474503,2023-04-01T14:31:14.503,0.960,0.781,0.732,-1.056
1680377474523,2023-04-01T14:31:14.523,0.980,0.488,0.808,-1.200
1680377474543,2023-04-01T14:31:14.543,1.000,0.408,0.861,-1.273
1680377474563,2023-04-01T14:31:14.563,1.020,0.434,0.732,-1.300
1680377474583,2023-04-01T14:31:14.583,1.040,0.457,0.591,-1.029
1680377474603,2023-04-01T14:31:14.603,1.060,0.655,0.320,-0.796
1680377474623,2023-04-01T14:31:14.623,1.080,0.907,0.053,-0.511
1680377474643,2023-04-01T14:31:14.643,1.100,1.132,0.088,-0.339
1680377474663,2023-04-01T14:31:14.663,1.120,1.391,0.088,-0.431
1680377474683,2023-04-01T14:31:14.683,1.140,1.376,-0.095,-0.518
1680377474703,2023-04-01T14:31:14.703,1.160,0.644,-0.309,-0.335
1680377474723,2023-04-01T14:31:14.723,1.180,-0.099,-0.309,-0.309
1680377474743,2023-04-01T14:31:14.743,1.200,-0.499,0.282,-0.461
1680377474763,2023-04-01T14:31:14.763,1.220,-0.404,0.625,-0.762
1680377474783,2023-04-01T14:31:14.783,1.240,-0.145,0.526,-1.044
1680377474803,2023-04-01T14:31:14.803,1.260,0.271,0.373,-1.048
1680377474823,2023-04-01T14:31:14.823,1.280,0.461,0.282,-0.819
1680377474843,2023-04-01T14:31:14.843,1.300,0.301,0.011,-0.602
1680377474863,2023-04-01T14:31:14.863,1.320,0.191,-0.217,-0.675
1680377474883,2023-04-01T14:31:14.883,1.340,0.187,-0.499,-0.751
1680377474903,2023-04-01T14:31:14.903,1.360,0.152,-0.488,-0.747
1680377474923,2023-04-01T14:31:14.923,1.380,-0.042,-0.351,-0.831
1680377474943,2023-04-01T14:31:14.943,1.400,-0.305,-0.324,-0.808
1680377474963,2023-04-01T14:31:14.963,1.420,-0.057,-0.358,-0.522
1680377474983,2023-04-01T14:31:14.983,1.440,0.107,-0.019,-0.400
1680377475003,2023-04-01T14:31:15.003,1.460,0.663,-0.099,-0.488
1680377475023,2023-04-01T14:31:15.023,1.480,1.147,0.023,-0.774
1680377475043,2023-04-01T14:31:15.043,1.500,1.528,0.156,-0.953
1680377475063,2023-04-01T14:31:15.063,1.520,1.620,0.011,-0.941
1680377475083,2023-04-01T14:31:15.083,1.540,1.418,-0.156,-0.793
1680377475103,2023-04-01T14:31:15.103,1.560,1.071,-0.206,-0.579
1680377475123,2023-04-01T14:31:15.123,1.580,0.857,-0.225,-0.545
1680377475143,2023-04-01T14:31:15.143,1.600,0.663,-0.358,-0.633
1680377475163,2023-04-01T14:31:15.163,1.620,0.343,-0.518,-0.751
1680377475183,2023-04-01T14:31:15.183,1.640,0.282,-0.057,-0.796
1680377475203,2023-04-01T14:31:15.203,1.660,0.709,0.572,-0.892
1680377475223,2023-04-01T14:31:15.223,1.680,0.857,0.423,-0.930
1680377475243,2023-04-01T14:31:15.243,1.700,0.762,0.076,-0.877
1680377475263,2023-04-01T14:31:15.263,1.720,0.320,0.225,-1.098
1680377475283,2023-04-01T14:31:15.283,1.740,0.111,0.659,-1.235
1680377475303,2023-04-01T14:31:15.303,1.760,0.221,0.297,-1.246
1680377475323,2023-04-01T14:31:15.323,1.780,0.473,0.126,-1.456
1680377475343,2023-04-01T14:31:15.343,1.800,0.671,0.659,-1.368
1680377475363,2023-04-01T14:31:15.363,1.820,0.751,0.320,-1.193
1680377475383,2023-04-01T14:31:15.383,1.840,0.617,-0.225,-0.869
1680377475403,2023-04-01T14:31:15.403,1.860,0.488,-0.034,-0.777
1680377475423,2023-04-01T14:31:15.423,1.880,0.301,0.202,-0.728
1680377475443,2023-04-01T14:31:15.443,1.900,0.244,0.286,-0.697
1680377475463,2023-04-01T14:31:15.463,1.920,0.575,0.103,-0.823
1680377475483,2023-04-01T14:31:15.483,1.940,0.976,0.061,-0.842
1680377475503,2023-04-01T14:31:15.503,1.960,1.361,0.053,-0.724
1680377475523,2023-04-01T14:31:15.523,1.980,1.597,-0.194,-0.678
1680377475543,2023-04-01T14:31:15.543,2.000,1.391,-0.408,-0.434
1680377475563,2023-04-01T14:31:15.563,2.020,1.159,-0.282,-0.278
1680377475583,2023-04-01T14:31:15.583,2.040,0.648,0.050,-0.514
1680377475603,2023-04-01T14:31:15.603,2.060,0.404,0.248,-0.709
1680377475623,2023-04-01T14:31:15.623,2.080,0.229,0.621,-0.907
1680377475643,2023-04-01T14:31:15.643,2.100,0.332,0.659,-0.976
1680377475663,2023-04-01T14:31:15.663,2.120,0.332,0.248,-0.930
1680377475683,2023-04-01T14:31:15.683,2.140,0.278,-0.027,-0.713
1680377475703,2023-04-01T14:31:15.703,2.160,0.175,-0.232,-0.640
1680377475723,2023-04-01T14:31:15.723,2.180,0.309,-0.412,-0.716
1680377475743,2023-04-01T14:31:15.743,2.200,0.457,-0.240,-0.770
1680377475763,2023-04-01T14:31:15.763,2.220,0.572,0.313,-0.835
1680377475783,2023-04-01T14:31:15.783,2.240,0.724,0.514,-0.938
1680377475803,2023-04-01T14:31:15.803,2.260,0.827,0.335,-0.979
1680377475823,2023-04-01T14:31:15.823,2.280,0.995,0.019,-0.781
1680377475843,2023-04-01T14:31:15.843,2.300,0.968,-0.004,-0.686
1680377475863,2023-04-01T14:31:15.863,2.320,1.010,-0.080,-0.682
1680377475883,2023-04-01T14:31:15.883,2.340,1.094,0.111,-0.861
1680377475903,2023-04-01T14:31:15.903,2.360,1.117,0.274,-0.793
