epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1680377578999,2023-04-01T14:32:58.999,0.000,1.303,-0.530,-0.316
1680377579019,2023-04-01T14:32:59.019,0.020,1.330,-0.614,-0.495
1680377579039,2023-04-01T14:32:59.039,0.040,1.174,-0.556,-0.514
1680377579059,2023-04-01T14:32:59.059,0.060,1.326,-0.069,-0.473
1680377579079,2023-04-01T14:32:59.079,0.080,1.566,0.354,-0.606
1680377579099,2023-04-01T14:32:59.099,0.100,1.612,0.602,-0.659
1680377579119,2023-04-01T14:32:59.119,0.120,1.723,0.171,-0.514
1680377579139,2023-04-01T14:32:59.139,0.140,1.684,-0.473,-0.396
1680377579159,2023-04-01T14:32:59.159,0.160,1.372,-0.747,-0.282
1680377579179,2023-04-01T14:32:59.179,0.180,1.006,-0.857,-0.320
1680377579199,2023-04-01T14:32:59.199,0.200,0.827,-0.495,-0.503
1680377579219,2023-04-01T14:32:59.219,0.220,0.842,-0.111,-0.606
1680377579239,2023-04-01T14:32:59.239,0.240,1.063,0.053,-0.850
1680377579259,2023-04-01T14:32:59.259,0.260,1.067,-0.187,-0.854
1680377579279,2023-04-01T14:32:59.279,0.280,0.816,0.000,-0.804
1680377579299,2023-04-01T14:32:59.299,0.300,0.191,0.408,-0.671
1680377579319,2023-04-01T14:32:59.319,0.320,-0.461,0.335,-0.545
1680377579339,2023-04-01T14:32:59.339,0.340,-0.499,0.080,-0.476
1680377579359,2023-04-01T14:32:59.359,0.360,-0.366,-0.339,-0.366
1680377579379,2023-04-01T14:32:59.379,0.380,0.099,-0.751,-0.328
1680377579399,2023-04-01T14:32:59.399,0.400,0.655,-0.846,-0.366
1680377579419,2023-04-01T14:32:59.419,0.420,0.796,-1.082,-0.400
1680377579439,2023-04-01T14:32:59.439,0.440,0.446,-1.006,-0.358
1680377579459,2023-04-01T14:32:59.459,0.460,-0.152,-0.636,-0.206
1680377579479,2023-04-01T14:32:59.479,0.480,-0.377,-0.332,-0.297
1680377579499,2023-04-01T14:32:59.499,0.500,0.004,0.400,-0.556
1680377579519,2023-04-01T14:32:59.519,0.520,-0.046,0.896,-0.640
1680377579539,2023-04-01T14:32:59.539,0.540,0.023,0.019,-0.514
1680377579559,2023-04-01T14:32:59.559,0.560,0.072,-0.831,-0.141
1680377579579,2023-04-01T14:32:59.579,0.580,0.046,-1.726,0.522
1680377579599,2023-04-01T14:32:59.599,0.600,0.141,-2.938,1.166
1680377579619,2023-04-01T14:32:59.619,0.620,-0.076,-3.941,1.593
1680377579639,2023-04-01T14:32:59.639,0.640,0.229,-3.098,1.471
1680377579659,2023-04-01T14:32:59.659,0.660,0.850,-1.414,1.056
1680377579679,2023-04-01T14:32:59.679,0.680,1.368,-1.040,0.267
1680377579699,2023-04-01T14:32:59.699,0.700,1.768,-0.976,-0.423
1680377579719,2023-04-01T14:32:59.719,0.720,1.814,-0.465,-0.873
1680377579739,2023-04-01T14:32:59.739,0.740,1.345,-0.126,-0.865
1680377579759,2023-04-01T14:32:59.759,0.760,0.766,-0.210,-0.644
1680377579779,2023-04-01T14:32:59.779,0.780,0.636,-0.473,-0.396
1680377579799,2023-04-01T14:32:59.799,0.800,0.945,-0.572,-0.427
1680377579819,2023-04-01T14:32:59.819,0.820,1.540,-0.023,-0.366
1680377579839,2023-04-01T14:32:59.839,0.840,2.100,0.454,-0.450
1680377579859,2023-04-01T14:32:59.859,0.860,2.489,0.332,-0.602
1680377579879,2023-04-01T14:32:59.879,0.880,2.348,-0.400,-0.461
1680377579899,2023-04-01T14:32:59.899,0.900,2.207,-0.095,-0.164
1680377579919,2023-04-01T14:32:59.919,0.920,1.917,-0.038,-0.111
1680377579939,2023-04-01T14:32:59.939,0.940,1.547,-0.899,0.152
1680377579959,2023-04-01T14:32:59.959,0.960,1.265,-1.692,0.556
1680377579979,2023-04-01T14:32:59.979,0.980,1.852,-1.551,0.290
1680377579999,2023-04-01T14:32:59.999,1.000,2.927,0.038,-0.297
1680377580019,2023-04-01T14:33:00.019,1.020,3.792,2.005,-0.873
1680377580039,2023-04-01T14:33:00.039,1.040,4.002,2.999,-1.109
1680377580059,2023-04-01T14:33:00.059,1.060,3.666,3.018,-1.159
1680377580079,2023-04-01T14:33:00.079,1.080,2.702,2.336,-1.200
1680377580099,2023-04-01T14:33:00.099,1.100,1.212,1.326,-1.220
1680377580119,2023-04-01T14:33:00.119,1.120,-0.446,-0.133,-1.075
1680377580139,2023-04-01T14:33:00.139,1.140,-1.528,-1.143,-0.976
1680377580159,2023-04-01T14:33:00.159,1.160,-1.841,-1.162,-1.052
1680377580179,2023-04-01T14:33:00.179,1.180,-1.303,-0.793,-1.326
1680377580199,2023-04-01T14:33:00.199,1.200,-0.838,-0.454,-1.383
1680377580219,2023-04-01T14:33:00.219,1.220,-0.168,-1.071,-1.448
1680377580239,2023-04-01T14:33:00.239,1.240,0.290,-1.059,-1.239
1680377580259,2023-04-01T14:33:00.259,1.260,0.271,-0.850,-0.705
1680377580279,2023-04-01T14:33:00.279,1.280,0.404,-0.461,-0.351
1680377580299,2023-04-01T14:33:00.299,1.300,0.644,0.000,-0.160
1680377580319,2023-04-01T14:33:00.319,1.320,0.922,-0.149,-0.126
1680377580339,2023-04-01T14:33:00.339,1.340,1.120,-0.366,-0.183
1680377580359,2023-04-01T14:33:00.359,1.360,0.694,-0.568,-0.069
1680377580379,2023-04-01T14:33:00.379,1.380,0.335,-1.120,-0.072
1680377580399,2023-04-01T14:33:00.399,1.400,0.648,-0.629,-0.088
1680377580419,2023-04-01T14:33:00.419,1.420,1.090,-0.004,-0.152
1680377580439,2023-04-01T14:33:00.439,1.440,1.162,-0.069,-0.202
1680377580459,2023-04-01T14:33:00.459,1.460,1.094,-0.412,-0.335
1680377580479,2023-04-01T14:33:00.479,1.480,0.732,-0.324,-0.484
1680377580499,2023-04-01T14:33:00.499,1.500,-0.130,-0.469,-0.545
1680377580519,2023-04-01T14:33:00.519,1.520,-0.583,-0.888,-0.454
1680377580539,2023-04-01T14:33:00.539,1.540,-0.987,-1.048,-0.579
1680377580559,2023-04-01T14:33:00.559,1.560,-1.128,-1.018,-0.667
1680377580579,2023-04-01T14:33:00.579,1.580,-1.018,-0.629,-0.823
1680377580599,2023-04-01T14:33:00.599,1.600,-0.739,-0.347,-0.888
1680377580619,2023-04-01T14:33:00.619,1.620,-0.271,0.027,-0.892
1680377580639,2023-04-01T14:33:00.639,1.640,0.130,0.419,-0.888
1680377580659,2023-04-01T14:33:00.659,1.660,0.480,0.705,-0.945
1680377580679,2023-04-01T14:33:00.679,1.680,0.675,1.288,-1.071
1680377580699,2023-04-01T14:33:00.699,1.700,0.636,1.841,-1.460
1680377580719,2023-04-01T14:33:00.719,1.720,0.659,2.725,-1.966
1680377580739,2023-04-01T14:33:00.739,1.740,0.629,3.544,-2.325
1680377580759,2023-04-01T14:33:00.759,1.760,0.461,3.075,-2.382
1680377580779,2023-04-01T14:33:00.779,1.780,0.084,1.848,-1.944
1680377580799,2023-04-01T14:33:00.799,1.800,-0.202,-0.644,-0.732
1680377580819,2023-04-01T14:33:00.819,1.820,-0.682,-3.182,0.488
1680377580839,2023-04-01T14:33:00.839,1.840,-1.795,-5.236,1.623
1680377580859,2023-04-01T14:33:00.859,1.860,-1.902,-6.090,2.146
