epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1680987433194,2023-04-08T15:57:13.194,0.000,-5.271,1.071,-0.015
1680987433214,2023-04-08T15:57:13.214,0.020,-5.545,1.090,0.091
1680987433234,2023-04-08T15:57:13.234,0.040,-6.037,1.555,0.175
1680987433254,2023-04-08T15:57:13.254,0.060,-6.490,1.989,0.286
1680987433274,2023-04-08T15:57:13.274,0.080,-6.867,2.191,0.480
1680987433294,2023-04-08T15:57:13.294,0.100,-7.275,2.416,0.591
1680987433314,2023-04-08T15:57:13.314,0.120,-7.188,2.633,0.602
1680987433334,2023-04-08T15:57:13.334,0.140,-6.803,2.671,0.575
1680987433354,2023-04-08T15:57:13.354,0.160,-6.357,2.515,0.522
1680987433374,2023-04-08T15:57:13.374,0.180,-5.793,2.210,0.381
1680987433394,2023-04-08T15:57:13.394,0.200,-4.985,1.806,0.168
1680987433414,2023-04-08T15:57:13.414,0.220,-4.230,1.284,0.236
1680987433434,2023-04-08T15:57:13.434,0.240,-3.605,0.823,0.385
1680987433454,2023-04-08T15:57:13.454,0.260,-3.056,0.480,0.476
1680987433474,2023-04-08T15:57:13.474,0.280,-2.691,0.206,0.476
1680987433494,2023-04-08T15:57:13.494,0.300,-2.389,-0.015,0.423
1680987433514,2023-04-08T15:57:13.514,0.320,-2.161,-0.111,0.309
1680987433534,2023-04-08T15:57:13.534,0.340,-1.890,-0.194,0.240
1680987433554,2023-04-08T15:57:13.554,0.360,-1.341,-0.229,0.187
1680987433574,2023-04-08T15:57:13.574,0.380,-0.720,-0.335,0.050
1680987433594,2023-04-08T15:57:13.594,0.400,-0.202,-0.351,-0.072
1680987433614,2023-04-08T15:57:13.614,0.420,0.194,-0.145,0.034
1680987433634,2023-04-08T15:57:13.634,0.440,0.541,0.046,0.248
1680987433654,2023-04-08T15:57:13.654,0.460,0.617,0.126,0.351
1680987433674,2023-04-08T15:57:13.674,0.480,0.579,-0.091,0.267
1680987433694,2023-04-08T15:57:13.694,0.500,0.495,-0.339,0.095
1680987433714,2023-04-08T15:57:13.714,0.520,0.583,-0.427,0.004
1680987433734,2023-04-08T15:57:13.734,0.540,0.655,-0.461,-0.023
1680987433754,2023-04-08T15:57:13.754,0.560,0.743,-0.606,0.050
1680987433774,2023-04-08T15:57:13.774,0.580,1.018,-0.777,0.038
1680987433794,2023-04-08T15:57:13.794,0.600,0.911,-0.850,-0.015
1680987433814,2023-04-08T15:57:13.814,0.620,0.777,-0.865,-0.133
1680987433834,2023-04-08T15:57:13.834,0.640,0.713,-0.770,-0.278
1680987433854,2023-04-08T15:57:13.854,0.660,0.755,-0.865,-0.358
1680987433874,2023-04-08T15:57:13.874,0.680,0.964,-1.063,-0.415
1680987433894,2023-04-08T15:57:13.894,0.700,1.143,-0.979,-0.351
1680987433914,2023-04-08T15:57:13.914,0.720,1.136,-0.865,-0.427
1680987433934,2023-04-08T15:57:13.934,0.740,1.109,-0.793,-0.412
1680987433954,2023-04-08T15:57:13.954,0.760,1.063,-0.819,-0.267
1680987433974,2023-04-08T15:57:13.974,0.780,0.819,-0.789,-0.175
1680987433994,2023-04-08T15:57:13.994,0.800,0.690,-0.652,-0.164
1680987434014,2023-04-08T15:57:14.014,0.820,0.514,-0.415,-0.274
1680987434034,2023-04-08T15:57:14.034,0.840,0.373,-0.324,-0.393
1680987434054,2023-04-08T15:57:14.054,0.860,0.278,-0.412,-0.351
1680987434074,2023-04-08T15:57:14.074,0.880,0.316,-0.473,-0.210
1680987434094,2023-04-08T15:57:14.094,0.900,0.137,-0.469,-0.164
1680987434114,2023-04-08T15:57:14.114,0.920,0.050,-0.461,-0.179
1680987434134,2023-04-08T15:57:14.134,0.940,-0.038,-0.431,-0.179
1680987434154,2023-04-08T15:57:14.154,0.960,-0.244,-0.320,-0.240
1680987434174,2023-04-08T15:57:14.174,0.980,-0.282,-0.225,-0.282
1680987434194,2023-04-08T15:57:14.194,1.000,-0.259,-0.213,-0.404
1680987434214,2023-04-08T15:57:14.214,1.020,-0.347,-0.305,-0.373
1680987434234,2023-04-08T15:57:14.234,1.040,-0.377,-0.236,-0.301
1680987434254,2023-04-08T15:57:14.254,1.060,-0.393,-0.034,-0.198
1680987434274,2023-04-08T15:57:14.274,1.080,-0.495,0.210,-0.065
1680987434294,2023-04-08T15:57:14.294,1.100,-0.415,0.347,0.019
1680987434314,2023-04-08T15:57:14.314,1.120,-0.278,0.293,0.038
1680987434334,2023-04-08T15:57:14.334,1.140,-0.206,0.240,-0.015
1680987434354,2023-04-08T15:57:14.354,1.160,-0.019,0.236,-0.076
1680987434374,2023-04-08T15:57:14.374,1.180,0.126,0.194,0.023
1680987434394,2023-04-08T15:57:14.394,1.200,0.053,0.061,0.145
1680987434414,2023-04-08T15:57:14.414,1.220,0.149,-0.122,0.065
1680987434434,2023-04-08T15:57:14.434,1.240,0.122,-0.171,-0.069
1680987434454,2023-04-08T15:57:14.454,1.260,0.171,-0.271,-0.053
1680987434474,2023-04-08T15:57:14.474,1.280,0.301,-0.183,0.156
