epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1680987870280,2023-04-08T16:04:30.280,0.000,-2.081,1.037,1.806
1680987870300,2023-04-08T16:04:30.300,0.020,-2.012,0.949,1.684
1680987870320,2023-04-08T16:04:30.320,0.040,-1.681,1.181,1.239
1680987870340,2023-04-08T16:04:30.340,0.060,-1.677,1.223,0.903
1680987870360,2023-04-08T16:04:30.360,0.080,-1.825,1.235,0.614
1680987870380,2023-04-08T16:04:30.380,0.100,-1.688,1.208,0.503
1680987870400,2023-04-08T16:04:30.400,0.120,-1.124,1.117,0.636
1680987870420,2023-04-08T16:04:30.420,0.140,-0.255,0.941,1.002
1680987870440,2023-04-08T16:04:30.440,0.160,0.450,0.446,1.376
1680987870460,2023-04-08T16:04:30.460,0.180,1.002,0.229,1.471
1680987870480,2023-04-08T16:04:30.480,0.200,1.547,0.282,1.399
1680987870500,2023-04-08T16:04:30.500,0.220,2.100,0.301,1.178
1680987870520,2023-04-08T16:04:30.520,0.240,2.325,0.042,1.082
1680987870540,2023-04-08T16:04:30.540,0.260,2.191,-0.255,0.880
1680987870560,2023-04-08T16:04:30.560,0.280,2.397,-0.301,0.591
1680987870580,2023-04-08T16:04:30.580,0.300,2.195,-0.396,0.362
1680987870600,2023-04-08T16:04:30.600,0.320,1.776,-0.492,0.408
1680987870620,2023-04-08T16:04:30.620,0.340,1.418,-0.438,0.655
1680987870640,2023-04-08T16:04:30.640,0.360,1.059,-0.206,0.819
1680987870660,2023-04-08T16:04:30.660,0.380,1.006,0.179,0.865
1680987870680,2023-04-08T16:04:30.680,0.400,1.239,0.152,0.751
1680987870700,2023-04-08T16:04:30.700,0.420,1.452,-0.084,0.736
1680987870720,2023-04-08T16:04:30.720,0.440,1.749,-0.259,0.545
1680987870740,2023-04-08T16:04:30.740,0.460,1.875,-0.621,0.339
1680987870760,2023-04-08T16:04:30.760,0.480,1.913,-0.678,0.175
1680987870780,2023-04-08T16:04:30.780,0.500,1.883,-0.621,0.293
1680987870800,2023-04-08T16:04:30.800,0.520,1.867,-0.686,0.675
1680987870820,2023-04-08T16:04:30.820,0.540,1.650,-0.697,0.800
1680987870840,2023-04-08T16:04:30.840,0.560,1.429,-0.751,0.553
1680987870860,2023-04-08T16:04:30.860,0.580,1.292,-0.995,0.229
1680987870880,2023-04-08T16:04:30.880,0.600,0.907,-1.193,-0.042
1680987870900,2023-04-08T16:04:30.900,0.620,0.732,-1.197,-0.103
1680987870920,2023-04-08T16:04:30.920,0.640,0.362,-1.151,-0.069
1680987870940,2023-04-08T16:04:30.940,0.660,0.320,-1.239,0.057
1680987870960,2023-04-08T16:04:30.960,0.680,0.659,-1.528,0.019
1680987870980,2023-04-08T16:04:30.980,0.700,0.716,-1.524,-0.259
1680987871000,2023-04-08T16:04:31.000,0.720,0.884,-1.037,-0.217
1680987871020,2023-04-08T16:04:31.020,0.740,1.227,-0.396,0.141
1680987871040,2023-04-08T16:04:31.040,0.760,1.311,-0.412,0.434
1680987871060,2023-04-08T16:04:31.060,0.780,1.292,-0.713,0.274
1680987871080,2023-04-08T16:04:31.080,0.800,1.395,-0.869,0.027
1680987871100,2023-04-08T16:04:31.100,0.820,1.585,-0.854,-0.046
1680987871120,2023-04-08T16:04:31.120,0.840,1.684,-0.922,-0.027
1680987871140,2023-04-08T16:04:31.140,0.860,1.414,-1.098,-0.122
1680987871160,2023-04-08T16:04:31.160,0.880,1.193,-1.159,-0.290
1680987871180,2023-04-08T16:04:31.180,0.900,1.254,-1.311,-0.400
1680987871200,2023-04-08T16:04:31.200,0.920,1.128,-1.220,-0.408
1680987871220,2023-04-08T16:04:31.220,0.940,1.067,-0.998,-0.335
1680987871240,2023-04-08T16:04:31.240,0.960,1.326,-1.120,-0.373
1680987871260,2023-04-08T16:04:31.260,0.980,1.692,-1.178,-0.305
1680987871280,2023-04-08T16:04:31.280,1.000,1.894,-1.109,-0.198
1680987871300,2023-04-08T16:04:31.300,1.020,2.222,-0.972,-0.179
1680987871320,2023-04-08T16:04:31.320,1.040,2.721,-1.002,-0.232
