epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1681159129711,2023-04-10T15:38:49.711,0.000,-8.091,-1.220,-0.408
1681159129731,2023-04-10T15:38:49.731,0.020,-4.204,-1.871,-0.042
1681159129751,2023-04-10T15:38:49.751,0.040,-2.077,-2.622,-2.363
1681159129771,2023-04-10T15:38:49.771,0.060,-4.143,-0.896,-3.049
1681159129791,2023-04-10T15:38:49.791,0.080,-6.776,0.412,-2.759
1681159129811,2023-04-10T15:38:49.811,0.100,-8.491,-0.194,-3.392
1681159129831,2023-04-10T15:38:49.831,0.120,-10.095,-0.545,-4.543
1681159129851,2023-04-10T15:38:49.851,0.140,-11.593,0.027,-4.428
1681159129871,2023-04-10T15:38:49.871,0.160,-12.157,-0.473,-4.440
1681159129891,2023-04-10T15:38:49.891,0.180,-12.218,-1.227,-4.524
1681159129911,2023-04-10T15:38:49.911,0.200,-11.894,-1.578,-3.967
1681159129931,2023-04-10T15:38:49.931,0.220,-10.171,-2.104,-3.087
1681159129951,2023-04-10T15:38:49.951,0.240,-8.525,-1.616,-2.439
1681159129971,2023-04-10T15:38:49.971,0.260,-8.361,-1.170,-2.473
1681159129991,2023-04-10T15:38:49.991,0.280,-8.700,-1.677,-2.443
1681159130011,2023-04-10T15:38:50.011,0.300,-7.580,-1.284,-2.405
1681159130031,2023-04-10T15:38:50.031,0.320,-5.263,-0.553,-2.645
1681159130051,2023-04-10T15:38:50.051,0.340,-3.662,0.846,-2.576
1681159130071,2023-04-10T15:38:50.071,0.360,-3.300,1.147,-2.188
1681159130091,2023-04-10T15:38:50.091,0.380,-2.934,0.998,-2.031
1681159130111,2023-04-10T15:38:50.111,0.400,-2.820,0.476,-1.997
1681159130131,2023-04-10T15:38:50.131,0.420,-2.058,-0.621,-2.355
1681159130151,2023-04-10T15:38:50.151,0.440,-1.719,-0.998,-2.576
1681159130171,2023-04-10T15:38:50.171,0.460,-2.123,-0.781,-2.496
1681159130191,2023-04-10T15:38:50.191,0.480,-2.283,0.061,-2.035
1681159130211,2023-04-10T15:38:50.211,0.500,-2.279,0.655,-1.738
1681159130231,2023-04-10T15:38:50.231,0.520,-2.771,-0.381,-1.890
1681159130251,2023-04-10T15:38:50.251,0.540,-2.828,-0.221,-1.037
1681159130271,2023-04-10T15:38:50.271,0.560,-1.688,0.137,0.065
1681159130291,2023-04-10T15:38:50.291,0.580,-1.204,-0.282,-0.149
1681159130311,2023-04-10T15:38:50.311,0.600,-0.865,-0.804,-0.625
1681159130331,2023-04-10T15:38:50.331,0.620,0.179,-0.267,-0.663
1681159130351,2023-04-10T15:38:50.351,0.640,1.345,0.244,-0.636
1681159130371,2023-04-10T15:38:50.371,0.660,1.132,-0.015,-0.575
