epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1682790115209,2023-04-29T12:41:55.209,0.000,0.004,-0.171,0.777
1682790115229,2023-04-29T12:41:55.229,0.020,0.133,0.042,0.819
1682790115249,2023-04-29T12:41:55.249,0.040,0.206,0.152,0.957
1682790115269,2023-04-29T12:41:55.269,0.060,-0.156,-0.675,0.877
1682790115289,2023-04-29T12:41:55.289,0.080,-0.686,-0.911,0.621
1682790115309,2023-04-29T12:41:55.309,0.100,-0.267,-0.766,0.545
1682790115329,2023-04-29T12:41:55.329,0.120,-0.171,-0.583,0.389
1682790115349,2023-04-29T12:41:55.349,0.140,-0.617,-0.495,0.107
1682790115369,2023-04-29T12:41:55.369,0.160,-0.743,-0.873,-0.061
1682790115389,2023-04-29T12:41:55.389,0.180,-0.941,-0.877,-0.050
1682790115409,2023-04-29T12:41:55.409,0.200,-1.212,-0.827,0.046
1682790115429,2023-04-29T12:41:55.429,0.220,-1.048,-1.250,0.027
1682790115449,2023-04-29T12:41:55.449,0.240,-1.593,-1.879,-0.320
1682790115469,2023-04-29T12:41:55.469,0.260,-1.848,-1.955,-0.495
1682790115489,2023-04-29T12:41:55.489,0.280,-0.861,-1.399,-0.354
1682790115509,2023-04-29T12:41:55.509,0.300,-0.579,-1.101,-0.286
1682790115529,2023-04-29T12:41:55.529,0.320,-0.602,-1.117,-0.278
1682790115549,2023-04-29T12:41:55.549,0.340,-0.206,-0.629,0.004
1682790115569,2023-04-29T12:41:55.569,0.360,-0.179,-0.130,0.305
1682790115589,2023-04-29T12:41:55.589,0.380,-0.606,-0.518,-0.099
1682790115609,2023-04-29T12:41:55.609,0.400,-0.716,-0.713,-0.171
1682790115629,2023-04-29T12:41:55.629,0.420,0.918,-0.408,0.297
1682790115649,2023-04-29T12:41:55.649,0.440,2.024,0.061,0.370
1682790115669,2023-04-29T12:41:55.669,0.460,2.092,0.198,0.114
1682790115689,2023-04-29T12:41:55.689,0.480,1.886,-0.362,-0.099
1682790115709,2023-04-29T12:41:55.709,0.500,1.471,-0.713,-0.042
1682790115729,2023-04-29T12:41:55.729,0.520,0.979,-0.381,0.069
1682790115749,2023-04-29T12:41:55.749,0.540,0.373,-0.362,0.030
1682790115769,2023-04-29T12:41:55.769,0.560,-0.191,-0.518,-0.008
1682790115789,2023-04-29T12:41:55.789,0.580,-0.606,-0.629,-0.099
1682790115809,2023-04-29T12:41:55.809,0.600,-0.511,-0.732,0.004
1682790115829,2023-04-29T12:41:55.829,0.620,-0.305,-0.442,0.225
1682790115849,2023-04-29T12:41:55.849,0.640,0.297,0.034,0.461
1682790115869,2023-04-29T12:41:55.869,0.660,1.040,0.152,0.640
1682790115889,2023-04-29T12:41:55.889,0.680,0.423,0.225,0.530
1682790115909,2023-04-29T12:41:55.909,0.700,-0.297,-0.107,0.473
1682790115929,2023-04-29T12:41:55.929,0.720,-0.130,0.210,0.667
