epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1682789367104,2023-04-29T12:29:27.104,0.000,19.585,0.107,-9.322
1682789367124,2023-04-29T12:29:27.124,0.020,19.432,-1.540,-10.034
1682789367144,2023-04-29T12:29:27.144,0.040,20.789,-10.998,-11.665
1682789367164,2023-04-29T12:29:27.164,0.060,22.885,-17.275,-12.550
1682789367184,2023-04-29T12:29:27.184,0.080,24.478,-18.121,-11.993
1682789367204,2023-04-29T12:29:27.204,0.100,24.318,-19.676,-11.006
1682789367224,2023-04-29T12:29:27.224,0.120,23.037,-20.023,-9.992
1682789367244,2023-04-29T12:29:27.244,0.140,21.608,-20.648,-8.761
1682789367264,2023-04-29T12:29:27.264,0.160,21.635,-21.044,-6.479
1682789367284,2023-04-29T12:29:27.284,0.180,28.537,-11.467,-5.495
1682789367304,2023-04-29T12:29:27.304,0.200,26.250,-21.803,-5.198
1682789367324,2023-04-29T12:29:27.324,0.220,19.447,-30.617,-3.510
1682789367344,2023-04-29T12:29:27.344,0.240,20.850,-10.701,1.646
1682789367364,2023-04-29T12:29:27.364,0.260,22.405,9.295,7.671
1682789367384,2023-04-29T12:29:27.384,0.280,21.456,18.491,10.305
1682789367404,2023-04-29T12:29:27.404,0.300,20.755,25.164,12.691
1682789367424,2023-04-29T12:29:27.424,0.320,20.995,37.763,14.478
1682789367444,2023-04-29T12:29:27.444,0.340,25.221,54.318,16.829
1682789367464,2023-04-29T12:29:27.464,0.360,33.014,62.085,19.627
1682789367484,2023-04-29T12:29:27.484,0.380,34.714,59.802,20.957
1682789367504,2023-04-29T12:29:27.504,0.400,36.048,61.570,19.886
1682789367524,2023-04-29T12:29:27.524,0.420,38.026,59.508,25.915
1682789367544,2023-04-29T12:29:27.544,0.440,29.562,16.467,34.127
1682789367564,2023-04-29T12:29:27.564,0.460,14.497,-31.143,30.633
1682789367584,2023-04-29T12:29:27.584,0.480,2.172,-48.563,37.652
1682789367604,2023-04-29T12:29:27.604,0.500,-7.660,-55.145,49.947
1682789367624,2023-04-29T12:29:27.624,0.520,-17.847,-59.539,51.246
1682789367644,2023-04-29T12:29:27.644,0.540,-36.204,-48.342,49.364
