epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1682790509971,2023-04-29T12:48:29.971,0.000,-30.191,1.246,4.863
1682790509991,2023-04-29T12:48:29.991,0.020,-28.498,1.406,4.973
1682790510011,2023-04-29T12:48:30.011,0.040,-19.798,3.251,5.412
1682790510031,2023-04-29T12:48:30.031,0.060,-13.190,7.893,5.030
1682790510051,2023-04-29T12:48:30.051,0.080,-13.144,12.641,4.425
1682790510071,2023-04-29T12:48:30.071,0.100,-16.021,14.718,5.271
1682790510091,2023-04-29T12:48:30.091,0.120,-16.848,14.604,6.643
1682790510111,2023-04-29T12:48:30.111,0.140,-12.717,13.838,7.416
1682790510131,2023-04-29T12:48:30.131,0.160,-6.589,13.975,7.450
1682790510151,2023-04-29T12:48:30.151,0.180,-0.682,15.030,6.993
1682790510171,2023-04-29T12:48:30.171,0.200,6.764,17.043,6.067
1682790510191,2023-04-29T12:48:30.191,0.220,14.764,18.841,4.405
1682790510211,2023-04-29T12:48:30.211,0.240,21.848,14.386,3.155
1682790510231,2023-04-29T12:48:30.231,0.260,32.294,6.822,1.608
1682790510251,2023-04-29T12:48:30.251,0.280,40.427,0.252,-0.194
1682790510271,2023-04-29T12:48:30.271,0.300,39.367,-18.037,1.822
1682790510291,2023-04-29T12:48:30.291,0.320,32.748,-19.463,1.822
1682790510311,2023-04-29T12:48:30.311,0.340,31.265,-6.997,-1.364
1682790510331,2023-04-29T12:48:30.331,0.360,36.044,-5.171,-4.108
1682790510351,2023-04-29T12:48:30.351,0.380,36.380,-10.293,-4.566
1682790510371,2023-04-29T12:48:30.371,0.400,33.430,-11.143,-1.117
1682790510391,2023-04-29T12:48:30.391,0.420,29.870,-14.024,4.478
1682790510411,2023-04-29T12:48:30.411,0.440,25.240,-11.669,5.888
1682790510431,2023-04-29T12:48:30.431,0.460,21.555,-9.238,4.173
1682790510451,2023-04-29T12:48:30.451,0.480,19.120,-11.894,-2.584
1682790510471,2023-04-29T12:48:30.471,0.500,15.648,-10.579,-10.438
1682790510491,2023-04-29T12:48:30.491,0.520,12.896,-5.389,-13.114
1682790510511,2023-04-29T12:48:30.511,0.540,11.204,0.450,-13.030
1682790510531,2023-04-29T12:48:30.531,0.560,10.633,0.393,-10.000
1682790510551,2023-04-29T12:48:30.551,0.580,9.889,-0.179,-7.374
