epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1682788962773,2023-04-29T12:22:42.773,0.000,-21.814,9.284,-14.116
1682788962793,2023-04-29T12:22:42.793,0.020,-20.621,9.104,-14.356
1682788962813,2023-04-29T12:22:42.813,0.040,-19.973,8.670,-14.371
1682788962833,2023-04-29T12:22:42.833,0.060,-17.088,3.784,-13.754
1682788962853,2023-04-29T12:22:42.853,0.080,-13.140,-3.624,-12.275
1682788962873,2023-04-29T12:22:42.873,0.100,-8.681,-12.088,-10.297
1682788962893,2023-04-29T12:22:42.893,0.120,-0.553,-15.404,-8.822
1682788962913,2023-04-29T12:22:42.913,0.140,5.042,-9.143,-8.091
1682788962933,2023-04-29T12:22:42.933,0.160,4.150,-3.933,-8.144
1682788962953,2023-04-29T12:22:42.953,0.180,2.165,-2.481,-8.815
1682788962973,2023-04-29T12:22:42.973,0.200,2.843,-0.541,-10.065
1682788962993,2023-04-29T12:22:42.993,0.220,5.309,-1.181,-8.430
1682788963013,2023-04-29T12:22:43.013,0.240,5.290,-1.441,-5.290
1682788963033,2023-04-29T12:22:43.033,0.260,2.485,-0.899,-6.704
1682788963053,2023-04-29T12:22:43.053,0.280,2.454,0.107,-10.450
1682788963073,2023-04-29T12:22:43.073,0.300,5.095,10.640,-12.854
1682788963093,2023-04-29T12:22:43.093,0.320,2.188,9.074,-14.085
1682788963113,2023-04-29T12:22:43.113,0.340,-1.509,4.204,-11.402
1682788963133,2023-04-29T12:22:43.133,0.360,-0.896,-0.126,-6.021
1682788963153,2023-04-29T12:22:43.153,0.380,3.312,-2.275,0.800
1682788963173,2023-04-29T12:22:43.173,0.400,0.850,-3.750,4.188
1682788963193,2023-04-29T12:22:43.193,0.420,-6.189,-6.540,4.341
1682788963213,2023-04-29T12:22:43.213,0.440,-13.098,-7.058,3.963
1682788963233,2023-04-29T12:22:43.233,0.460,-16.494,-6.997,3.308
1682788963253,2023-04-29T12:22:43.253,0.480,-17.496,-9.127,2.729
1682788963273,2023-04-29T12:22:43.273,0.500,-19.409,-7.969,0.438
1682788963293,2023-04-29T12:22:43.293,0.520,-22.405,-8.960,-4.409
1682788963313,2023-04-29T12:22:43.313,0.540,-24.508,-7.877,-8.518
1682788963333,2023-04-29T12:22:43.333,0.560,-25.069,-0.507,-7.706
1682788963353,2023-04-29T12:22:43.353,0.580,-33.963,26.261,-6.589
1682788963373,2023-04-29T12:22:43.373,0.600,-45.427,15.179,-9.444
1682788963393,2023-04-29T12:22:43.393,0.620,-52.256,23.678,-11.658
1682788963413,2023-04-29T12:22:43.413,0.640,-28.498,30.838,-13.899
1682788963433,2023-04-29T12:22:43.433,0.660,-12.237,24.466,-9.989
1682788963453,2023-04-29T12:22:43.453,0.680,-24.345,18.022,-4.120
1682788963473,2023-04-29T12:22:43.473,0.700,-45.232,14.047,-3.960
1682788963493,2023-04-29T12:22:43.493,0.720,-34.787,16.768,-2.172
1682788963513,2023-04-29T12:22:43.513,0.740,-5.492,13.620,6.300
1682788963533,2023-04-29T12:22:43.533,0.760,12.290,11.380,12.889
1682788963553,2023-04-29T12:22:43.553,0.780,16.917,7.588,14.909
1682788963573,2023-04-29T12:22:43.573,0.800,12.527,3.354,16.101
1682788963593,2023-04-29T12:22:43.593,0.820,8.209,5.541,13.323
1682788963613,2023-04-29T12:22:43.613,0.840,9.790,8.167,7.500
1682788963633,2023-04-29T12:22:43.633,0.860,7.283,3.075,3.811
1682788963653,2023-04-29T12:22:43.653,0.880,3.506,-6.623,5.850
1682788963673,2023-04-29T12:22:43.673,0.900,9.032,-12.473,10.945
1682788963693,2023-04-29T12:22:43.693,0.920,14.367,-5.103,6.002
1682788963713,2023-04-29T12:22:43.713,0.940,13.815,-12.306,-3.373
1682788963733,2023-04-29T12:22:43.733,0.960,-1.658,-23.899,-0.934
1682788963753,2023-04-29T12:22:43.753,0.980,-33.277,15.629,-3.994
1682788963773,2023-04-29T12:22:43.773,1.000,-34.024,-7.656,-17.999
1682788963793,2023-04-29T12:22:43.793,1.020,1.875,-16.315,-25.633
1682788963813,2023-04-29T12:22:43.813,1.040,23.838,-16.040,-20.819
1682788963833,2023-04-29T12:22:43.833,1.060,12.931,-22.016,-13.495
1682788963853,2023-04-29T12:22:43.853,1.080,7.214,-17.637,-6.482
1682788963873,2023-04-29T12:22:43.873,1.100,18.678,-9.024,-0.842
1682788963893,2023-04-29T12:22:43.893,1.120,26.120,-11.010,0.511
1682788963913,2023-04-29T12:22:43.913,1.140,28.937,-13.384,0.343
1682788963933,2023-04-29T12:22:43.933,1.160,35.354,-9.055,0.869
1682788963953,2023-04-29T12:22:43.953,1.180,37.188,-9.040,1.669
1682788963973,2023-04-29T12:22:43.973,1.200,32.180,-4.375,2.633
1682788963993,2023-04-29T12:22:43.993,1.220,28.411,-0.648,4.325
1682788964013,2023-04-29T12:22:44.013,1.240,29.790,-0.553,6.101
1682788964033,2023-04-29T12:22:44.033,1.260,32.115,-2.530,6.787
1682788964053,2023-04-29T12:22:44.053,1.280,32.024,-6.402,5.854
1682788964073,2023-04-29T12:22:44.073,1.300,28.365,-6.505,6.441
1682788964093,2023-04-29T12:22:44.093,1.320,18.815,-1.361,6.269
1682788964113,2023-04-29T12:22:44.113,1.340,8.579,4.234,3.331
1682788964133,2023-04-29T12:22:44.133,1.360,3.941,5.023,1.040
1682788964153,2023-04-29T12:22:44.153,1.380,2.142,3.460,2.344
1682788964173,2023-04-29T12:22:44.173,1.400,-1.361,1.593,6.109
1682788964193,2023-04-29T12:22:44.193,1.420,-7.012,-4.794,9.230
1682788964213,2023-04-29T12:22:44.213,1.440,-14.367,-6.860,10.495
1682788964233,2023-04-29T12:22:44.233,1.460,-18.277,-7.172,12.176
1682788964253,2023-04-29T12:22:44.253,1.480,-16.658,-2.786,13.662
1682788964273,2023-04-29T12:22:44.273,1.500,-13.403,-2.668,11.147
1682788964293,2023-04-29T12:22:44.293,1.520,-7.866,3.830,5.175
1682788964313,2023-04-29T12:22:44.313,1.540,8.986,1.867,5.362
1682788964333,2023-04-29T12:22:44.333,1.560,18.407,-3.426,8.445
1682788964353,2023-04-29T12:22:44.353,1.580,24.154,-7.675,9.501
1682788964373,2023-04-29T12:22:44.373,1.600,22.927,-3.396,7.588
1682788964393,2023-04-29T12:22:44.393,1.620,8.864,1.791,3.815
1682788964413,2023-04-29T12:22:44.413,1.640,-3.296,6.147,2.104
1682788964433,2023-04-29T12:22:44.433,1.660,-2.576,6.197,2.313
1682788964453,2023-04-29T12:22:44.453,1.680,3.902,-0.899,4.680
1682788964473,2023-04-29T12:22:44.473,1.700,13.399,-7.504,9.352
1682788964493,2023-04-29T12:22:44.493,1.720,24.345,-9.897,16.079
1682788964513,2023-04-29T12:22:44.513,1.740,27.603,-6.361,20.434
1682788964533,2023-04-29T12:22:44.533,1.760,18.293,-2.218,20.831
1682788964553,2023-04-29T12:22:44.553,1.780,6.841,-3.377,18.338
1682788964573,2023-04-29T12:22:44.573,1.800,1.193,-2.580,17.081
1682788964593,2023-04-29T12:22:44.593,1.820,-0.701,1.402,17.481
1682788964613,2023-04-29T12:22:44.613,1.840,-5.358,4.192,16.414
1682788964633,2023-04-29T12:22:44.633,1.860,-11.631,4.741,13.662
1682788964653,2023-04-29T12:22:44.653,1.880,-15.111,3.163,11.502
1682788964673,2023-04-29T12:22:44.673,1.900,-12.557,-0.465,11.623
1682788964693,2023-04-29T12:22:44.693,1.920,-4.646,-1.524,12.736
1682788964713,2023-04-29T12:22:44.713,1.940,3.727,1.136,12.199
1682788964733,2023-04-29T12:22:44.733,1.960,8.571,0.183,10.831
1682788964753,2023-04-29T12:22:44.753,1.980,12.104,-3.441,10.888
1682788964773,2023-04-29T12:22:44.773,2.000,13.857,-5.793,10.339
1682788964793,2023-04-29T12:22:44.793,2.020,11.902,-7.546,8.438
1682788964813,2023-04-29T12:22:44.813,2.040,7.485,-7.934,7.123
