epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1682790283269,2023-04-29T12:44:43.269,0.000,26.258,10.587,0.812
1682790283289,2023-04-29T12:44:43.289,0.020,27.035,11.475,1.208
1682790283309,2023-04-29T12:44:43.309,0.040,28.632,15.400,3.552
1682790283329,2023-04-29T12:44:43.329,0.060,29.680,13.944,6.258
1682790283349,2023-04-29T12:44:43.349,0.080,30.934,5.221,8.140
1682790283369,2023-04-29T12:44:43.369,0.100,32.439,0.457,7.946
1682790283389,2023-04-29T12:44:43.389,0.120,34.924,3.060,6.486
1682790283409,2023-04-29T12:44:43.409,0.140,34.165,4.120,5.076
1682790283429,2023-04-29T12:44:43.429,0.160,34.783,-1.986,3.544
1682790283449,2023-04-29T12:44:43.449,0.180,38.377,-10.072,3.841
1682790283469,2023-04-29T12:44:43.469,0.200,38.384,-18.163,2.873
1682790283489,2023-04-29T12:44:43.489,0.220,34.970,-22.104,0.050
1682790283509,2023-04-29T12:44:43.509,0.240,31.315,-19.249,-5.564
1682790283529,2023-04-29T12:44:43.529,0.260,27.016,-15.621,-10.625
1682790283549,2023-04-29T12:44:43.549,0.280,18.289,-12.866,-14.352
1682790283569,2023-04-29T12:44:43.569,0.300,8.830,-15.301,-16.528
1682790283589,2023-04-29T12:44:43.589,0.320,-1.684,-20.724,-16.677
1682790283609,2023-04-29T12:44:43.609,0.340,-23.476,-27.771,-18.350
1682790283629,2023-04-29T12:44:43.629,0.360,-36.986,-42.622,-17.188
1682790283649,2023-04-29T12:44:43.649,0.380,-37.603,-56.620,-15.084
1682790283669,2023-04-29T12:44:43.669,0.400,-37.679,-59.085,-15.976
1682790283689,2023-04-29T12:44:43.689,0.420,-31.197,-49.973,-22.862
1682790283709,2023-04-29T12:44:43.709,0.440,-23.609,-35.438,-28.788
1682790283729,2023-04-29T12:44:43.729,0.460,-20.842,-29.680,-33.632
1682790283749,2023-04-29T12:44:43.749,0.480,-19.032,-32.256,-42.340
1682790283769,2023-04-29T12:44:43.769,0.500,-20.774,-40.709,-50.373
1682790283789,2023-04-29T12:44:43.789,0.520,-26.871,-48.251,-56.029
1682790283809,2023-04-29T12:44:43.809,0.540,-35.259,-51.357,-60.076
1682790283829,2023-04-29T12:44:43.829,0.560,-36.300,-44.013,-58.476
1682790283849,2023-04-29T12:44:43.849,0.580,-34.486,-18.277,-51.486
