epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1682788507516,2023-04-29T12:15:07.516,0.000,-10.553,16.517,-7.584
1682788507536,2023-04-29T12:15:07.536,0.020,-10.705,15.484,-7.245
1682788507556,2023-04-29T12:15:07.556,0.040,-12.001,6.799,-7.515
1682788507576,2023-04-29T12:15:07.576,0.060,-14.002,-3.979,-8.308
1682788507596,2023-04-29T12:15:07.596,0.080,-14.459,-6.509,-10.514
1682788507616,2023-04-29T12:15:07.616,0.100,-15.419,-0.690,-12.805
1682788507636,2023-04-29T12:15:07.636,0.120,-16.025,4.954,-15.267
1682788507656,2023-04-29T12:15:07.656,0.140,-13.670,11.650,-19.962
1682788507676,2023-04-29T12:15:07.676,0.160,-11.421,10.175,-18.155
1682788507696,2023-04-29T12:15:07.696,0.180,-11.776,-2.104,-17.664
1682788507716,2023-04-29T12:15:07.716,0.200,-13.129,-16.688,-17.896
1682788507736,2023-04-29T12:15:07.736,0.220,-14.729,-17.294,-18.651
1682788507756,2023-04-29T12:15:07.756,0.240,-18.293,-2.046,-16.543
1682788507776,2023-04-29T12:15:07.776,0.260,-19.162,5.564,-12.790
1682788507796,2023-04-29T12:15:07.796,0.280,-14.489,5.690,-7.889
1682788507816,2023-04-29T12:15:07.816,0.300,-8.296,8.720,0.278
1682788507836,2023-04-29T12:15:07.836,0.320,-1.669,7.416,8.255
1682788507856,2023-04-29T12:15:07.856,0.340,4.451,4.939,14.950
1682788507876,2023-04-29T12:15:07.876,0.360,7.988,8.110,22.016
1682788507896,2023-04-29T12:15:07.896,0.380,11.433,12.530,26.486
1682788507916,2023-04-29T12:15:07.916,0.400,16.784,5.030,21.071
1682788507936,2023-04-29T12:15:07.936,0.420,21.261,3.613,10.842
1682788507956,2023-04-29T12:15:07.956,0.440,20.705,6.860,14.642
1682788507976,2023-04-29T12:15:07.976,0.460,18.304,-3.731,17.565
1682788507996,2023-04-29T12:15:07.996,0.480,17.641,-19.131,18.510
1682788508016,2023-04-29T12:15:08.016,0.500,16.482,-30.191,16.547
1682788508036,2023-04-29T12:15:08.036,0.520,13.902,-30.960,9.909
1682788508056,2023-04-29T12:15:08.056,0.540,11.848,-22.824,1.963
1682788508076,2023-04-29T12:15:08.076,0.560,11.128,-12.588,-3.758
1682788508096,2023-04-29T12:15:08.096,0.580,10.686,-6.105,-4.306
1682788508116,2023-04-29T12:15:08.116,0.600,11.018,-3.777,-3.605
1682788508136,2023-04-29T12:15:08.136,0.620,10.979,-3.460,-3.689
1682788508156,2023-04-29T12:15:08.156,0.640,9.790,-3.392,-3.468
1682788508176,2023-04-29T12:15:08.176,0.660,8.304,-4.242,-2.809
1682788508196,2023-04-29T12:15:08.196,0.680,5.701,-5.038,-2.572
1682788508216,2023-04-29T12:15:08.216,0.700,2.698,-3.327,-2.675
1682788508236,2023-04-29T12:15:08.236,0.720,0.122,-0.278,-3.457
1682788508256,2023-04-29T12:15:08.256,0.740,-1.543,0.918,-2.691
1682788508276,2023-04-29T12:15:08.276,0.760,-3.014,0.164,-1.890
1682788508296,2023-04-29T12:15:08.296,0.780,-1.707,0.442,-2.283
1682788508316,2023-04-29T12:15:08.316,0.800,-1.330,-1.776,-1.334
1682788508336,2023-04-29T12:15:08.336,0.820,-3.498,-1.982,-0.823
1682788508356,2023-04-29T12:15:08.356,0.840,-5.171,2.893,-1.825
1682788508376,2023-04-29T12:15:08.376,0.860,-6.376,8.445,-2.462
1682788508396,2023-04-29T12:15:08.396,0.880,-7.111,9.497,-2.534
1682788508416,2023-04-29T12:15:08.416,0.900,-7.348,8.407,-2.550
1682788508436,2023-04-29T12:15:08.436,0.920,-7.805,5.648,-1.925
1682788508456,2023-04-29T12:15:08.456,0.940,-7.999,2.515,-1.856
1682788508476,2023-04-29T12:15:08.476,0.960,-7.595,2.454,-1.951
1682788508496,2023-04-29T12:15:08.496,0.980,-6.757,4.192,-2.778
1682788508516,2023-04-29T12:15:08.516,1.000,-6.330,7.172,-4.036
1682788508536,2023-04-29T12:15:08.536,1.020,-6.082,9.101,-3.921
1682788508556,2023-04-29T12:15:08.556,1.040,-5.614,7.908,-2.691
1682788508576,2023-04-29T12:15:08.576,1.060,-4.748,4.889,-1.563
1682788508596,2023-04-29T12:15:08.596,1.080,-3.548,1.315,-0.339
1682788508616,2023-04-29T12:15:08.616,1.100,-3.072,0.072,0.130
1682788508636,2023-04-29T12:15:08.636,1.120,-3.026,4.447,-0.995
1682788508656,2023-04-29T12:15:08.656,1.140,-2.626,9.318,-1.433
1682788508676,2023-04-29T12:15:08.676,1.160,-3.540,9.405,0.537
1682788508696,2023-04-29T12:15:08.696,1.180,-4.139,7.466,1.898
1682788508716,2023-04-29T12:15:08.716,1.200,-4.104,5.629,2.302
1682788508736,2023-04-29T12:15:08.736,1.220,-2.988,5.450,1.364
1682788508756,2023-04-29T12:15:08.756,1.240,-2.020,6.418,-0.442
1682788508776,2023-04-29T12:15:08.776,1.260,-1.635,5.755,-0.549
1682788508796,2023-04-29T12:15:08.796,1.280,-1.387,3.601,-0.465
1682788508816,2023-04-29T12:15:08.816,1.300,-1.079,5.347,-0.747
1682788508836,2023-04-29T12:15:08.836,1.320,-1.658,7.820,-1.524
