epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1682792880885,2023-04-29T13:28:00.885,0.000,1.079,0.473,-1.250
1682792880905,2023-04-29T13:28:00.905,0.020,0.945,0.210,-1.292
1682792880925,2023-04-29T13:28:00.925,0.040,0.606,0.263,-1.029
1682792880945,2023-04-29T13:28:00.945,0.060,0.541,0.507,-0.968
1682792880965,2023-04-29T13:28:00.965,0.080,0.309,0.785,-1.056
1682792880985,2023-04-29T13:28:00.985,0.100,0.419,0.488,-1.120
1682792881005,2023-04-29T13:28:01.005,0.120,0.812,0.133,-1.037
1682792881025,2023-04-29T13:28:01.025,0.140,1.143,0.057,-1.040
1682792881045,2023-04-29T13:28:01.045,0.160,1.418,0.320,-0.998
1682792881065,2023-04-29T13:28:01.065,0.180,1.490,0.629,-1.170
1682792881085,2023-04-29T13:28:01.085,0.200,1.543,0.930,-1.612
1682792881105,2023-04-29T13:28:01.105,0.220,1.482,1.643,-1.665
1682792881125,2023-04-29T13:28:01.125,0.240,1.071,1.418,-1.246
1682792881145,2023-04-29T13:28:01.145,0.260,0.880,0.351,-0.777
1682792881165,2023-04-29T13:28:01.165,0.280,1.098,-0.088,-0.701
1682792881185,2023-04-29T13:28:01.185,0.300,1.391,0.141,-1.006
1682792881205,2023-04-29T13:28:01.205,0.320,1.517,0.164,-1.300
1682792881225,2023-04-29T13:28:01.225,0.340,1.898,0.480,-1.509
1682792881245,2023-04-29T13:28:01.245,0.360,2.656,0.145,-1.803
1682792881265,2023-04-29T13:28:01.265,0.380,3.072,-0.290,-1.772
1682792881285,2023-04-29T13:28:01.285,0.400,3.243,-0.248,-1.761
1682792881305,2023-04-29T13:28:01.305,0.420,3.194,0.011,-2.100
1682792881325,2023-04-29T13:28:01.325,0.440,1.841,0.027,-2.504
1682792881345,2023-04-29T13:28:01.345,0.460,-0.568,-0.069,-2.679
1682792881365,2023-04-29T13:28:01.365,0.480,-0.598,0.404,-2.245
1682792881385,2023-04-29T13:28:01.385,0.500,-0.781,0.602,-1.540
1682792881405,2023-04-29T13:28:01.405,0.520,-0.793,0.145,-1.273
1682792881425,2023-04-29T13:28:01.425,0.540,-0.290,0.069,-0.823
1682792881445,2023-04-29T13:28:01.445,0.560,0.476,-0.415,-0.926
1682792881465,2023-04-29T13:28:01.465,0.580,1.768,-0.396,-0.896
1682792881485,2023-04-29T13:28:01.485,0.600,3.434,0.480,-0.400
1682792881505,2023-04-29T13:28:01.505,0.620,4.733,0.732,-0.351
1682792881525,2023-04-29T13:28:01.525,0.640,5.023,-0.232,-0.800
1682792881545,2023-04-29T13:28:01.545,0.660,4.371,-1.551,-0.972
1682792881565,2023-04-29T13:28:01.565,0.680,3.586,-0.888,-0.469
1682792881585,2023-04-29T13:28:01.585,0.700,2.934,0.103,-0.339
1682792881605,2023-04-29T13:28:01.605,0.720,2.694,-0.514,-0.709
1682792881625,2023-04-29T13:28:01.625,0.740,2.553,-1.113,-1.044
1682792881645,2023-04-29T13:28:01.645,0.760,2.504,-0.896,-1.216
1682792881665,2023-04-29T13:28:01.665,0.780,2.721,-0.286,-1.079
1682792881685,2023-04-29T13:28:01.685,0.800,2.942,0.206,-0.488
1682792881705,2023-04-29T13:28:01.705,0.820,3.014,0.556,0.088
1682792881725,2023-04-29T13:28:01.725,0.840,3.034,0.069,0.004
1682792881745,2023-04-29T13:28:01.745,0.860,3.175,0.267,-0.370
1682792881765,2023-04-29T13:28:01.765,0.880,3.556,0.221,-0.332
1682792881785,2023-04-29T13:28:01.785,0.900,4.909,-1.029,-0.027
1682792881805,2023-04-29T13:28:01.805,0.920,6.623,-2.782,0.046
1682792881825,2023-04-29T13:28:01.825,0.940,8.556,-3.941,0.301
1682792881845,2023-04-29T13:28:01.845,0.960,10.507,-2.969,0.610
1682792881865,2023-04-29T13:28:01.865,0.980,12.999,-2.885,0.793
1682792881885,2023-04-29T13:28:01.885,1.000,16.254,-3.098,1.059
1682792881905,2023-04-29T13:28:01.905,1.020,17.813,-2.100,2.450
1682792881925,2023-04-29T13:28:01.925,1.040,17.599,-0.252,4.303
1682792881945,2023-04-29T13:28:01.945,1.060,18.639,0.206,5.785
1682792881965,2023-04-29T13:28:01.965,1.080,24.966,0.861,7.336
1682792881985,2023-04-29T13:28:01.985,1.100,31.338,-1.780,10.560
