epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1682792236360,2023-04-29T13:17:16.360,0.000,2.146,-0.427,-2.188
1682792236380,2023-04-29T13:17:16.380,0.020,2.241,-0.450,-1.940
1682792236400,2023-04-29T13:17:16.400,0.040,2.233,-0.655,-1.433
1682792236420,2023-04-29T13:17:16.420,0.060,1.829,-1.120,-1.395
1682792236440,2023-04-29T13:17:16.440,0.080,1.509,-1.357,-1.482
1682792236460,2023-04-29T13:17:16.460,0.100,0.896,-1.120,-1.684
1682792236480,2023-04-29T13:17:16.480,0.120,0.431,-0.686,-1.864
1682792236500,2023-04-29T13:17:16.500,0.140,0.476,0.210,-1.940
1682792236520,2023-04-29T13:17:16.520,0.160,0.564,0.194,-1.997
1682792236540,2023-04-29T13:17:16.540,0.180,0.366,-0.099,-2.226
1682792236560,2023-04-29T13:17:16.560,0.200,-0.008,0.598,-2.542
1682792236580,2023-04-29T13:17:16.580,0.220,-0.373,1.204,-2.668
1682792236600,2023-04-29T13:17:16.600,0.240,-0.808,0.892,-2.847
1682792236620,2023-04-29T13:17:16.620,0.260,-0.736,0.530,-3.236
1682792236640,2023-04-29T13:17:16.640,0.280,-0.568,0.968,-3.632
1682792236660,2023-04-29T13:17:16.660,0.300,-0.694,2.081,-3.761
1682792236680,2023-04-29T13:17:16.680,0.320,-0.983,2.938,-3.529
1682792236700,2023-04-29T13:17:16.700,0.340,-0.800,3.163,-3.335
1682792236720,2023-04-29T13:17:16.720,0.360,-0.789,3.247,-3.201
1682792236740,2023-04-29T13:17:16.740,0.380,-1.433,3.369,-3.373
1682792236760,2023-04-29T13:17:16.760,0.400,-2.248,3.510,-3.605
1682792236780,2023-04-29T13:17:16.780,0.420,-2.824,3.079,-3.933
1682792236800,2023-04-29T13:17:16.800,0.440,-2.527,2.664,-3.861
1682792236820,2023-04-29T13:17:16.820,0.460,-2.222,4.063,-3.121
1682792236840,2023-04-29T13:17:16.840,0.480,-1.696,5.865,-2.717
1682792236860,2023-04-29T13:17:16.860,0.500,-0.918,6.715,-2.450
1682792236880,2023-04-29T13:17:16.880,0.520,-0.198,8.849,-2.130
1682792236900,2023-04-29T13:17:16.900,0.540,0.252,12.713,-1.917
1682792236920,2023-04-29T13:17:16.920,0.560,0.633,16.993,-2.043
1682792236940,2023-04-29T13:17:16.940,0.580,0.934,20.659,-2.027
1682792236960,2023-04-29T13:17:16.960,0.600,0.686,22.100,-1.704
1682792236980,2023-04-29T13:17:16.980,0.620,-0.252,21.437,-1.345
1682792237000,2023-04-29T13:17:17.000,0.640,-1.040,18.826,-0.823
1682792237020,2023-04-29T13:17:17.020,0.660,-1.524,17.207,0.332
1682792237040,2023-04-29T13:17:17.040,0.680,-1.623,19.802,2.188
1682792237060,2023-04-29T13:17:17.060,0.700,-1.441,26.616,4.303
1682792237080,2023-04-29T13:17:17.080,0.720,-1.585,33.720,6.551
1682792237100,2023-04-29T13:17:17.100,0.740,-1.048,40.640,8.575
1682792237120,2023-04-29T13:17:17.120,0.760,1.155,50.122,10.793
1682792237140,2023-04-29T13:17:17.140,0.780,2.370,61.631,13.880
1682792237160,2023-04-29T13:17:17.160,0.800,1.806,71.227,17.618
1682792237180,2023-04-29T13:17:17.180,0.820,-0.164,73.407,21.330
1682792237200,2023-04-29T13:17:17.200,0.840,-2.321,65.804,23.700
1682792237220,2023-04-29T13:17:17.220,0.860,-4.451,54.973,25.252
1682792237240,2023-04-29T13:17:17.240,0.880,-6.018,50.210,26.616
1682792237260,2023-04-29T13:17:17.260,0.900,-9.055,50.884,28.895
1682792237280,2023-04-29T13:17:17.280,0.920,-9.043,53.620,32.771
1682792237300,2023-04-29T13:17:17.300,0.940,-10.179,59.158,38.014
1682792237320,2023-04-29T13:17:17.320,0.960,-12.771,62.248,43.396
1682792237340,2023-04-29T13:17:17.340,0.980,-12.896,67.595,45.724
1682792237360,2023-04-29T13:17:17.360,1.000,-15.366,72.580,47.995
1682792237380,2023-04-29T13:17:17.380,1.020,-18.620,79.680,50.385
1682792237400,2023-04-29T13:17:17.400,1.040,-20.987,92.805,52.504
1682792237420,2023-04-29T13:17:17.420,1.060,-23.087,107.275,55.095
1682792237440,2023-04-29T13:17:17.440,1.080,-26.204,115.766,58.880
1682792237460,2023-04-29T13:17:17.460,1.100,-32.626,112.115,60.408
1682792237480,2023-04-29T13:17:17.480,1.120,-40.465,89.383,60.998
1682792237500,2023-04-29T13:17:17.500,1.140,-43.304,55.732,57.660
1682792237520,2023-04-29T13:17:17.520,1.160,-46.132,32.999,60.244
1682792237540,2023-04-29T13:17:17.540,1.180,-52.031,37.561,70.088
1682792237560,2023-04-29T13:17:17.560,1.200,-59.192,55.423,76.620
1682792237580,2023-04-29T13:17:17.580,1.220,-65.492,67.248,76.223
1682792237600,2023-04-29T13:17:17.600,1.240,-70.469,55.229,72.614
1682792237620,2023-04-29T13:17:17.620,1.260,-72.591,27.382,65.255
1682792237640,2023-04-29T13:17:17.640,1.280,-71.319,12.188,54.790
1682792237660,2023-04-29T13:17:17.660,1.300,-70.713,10.126,54.082
1682792237680,2023-04-29T13:17:17.680,1.320,-72.992,10.739,57.767
1682792237700,2023-04-29T13:17:17.700,1.340,-75.804,4.405,52.835
1682792237720,2023-04-29T13:17:17.720,1.360,-76.742,0.187,47.252
1682792237740,2023-04-29T13:17:17.740,1.380,-80.716,-6.441,46.764
1682792237760,2023-04-29T13:17:17.760,1.400,-91.246,-7.462,51.040
1682792237780,2023-04-29T13:17:17.780,1.420,-89.566,-2.256,45.168
1682792237800,2023-04-29T13:17:17.800,1.440,-82.786,2.919,48.365
1682792237820,2023-04-29T13:17:17.820,1.460,-80.724,10.263,49.619
1682792237840,2023-04-29T13:17:17.840,1.480,-75.229,5.503,43.559
1682792237860,2023-04-29T13:17:17.860,1.500,-67.771,-6.120,39.017
1682792237880,2023-04-29T13:17:17.880,1.520,-64.859,-16.589,39.630
1682792237900,2023-04-29T13:17:17.900,1.540,-63.018,-25.423,39.299
1682792237920,2023-04-29T13:17:17.920,1.560,-60.694,-25.408,38.937
1682792237940,2023-04-29T13:17:17.940,1.580,-59.577,-17.210,37.946
1682792237960,2023-04-29T13:17:17.960,1.600,-58.742,-9.470,34.512
1682792237980,2023-04-29T13:17:17.980,1.620,-59.585,3.662,33.121
1682792238000,2023-04-29T13:17:18.000,1.640,-61.113,9.165,31.547
1682792238020,2023-04-29T13:17:18.020,1.660,-59.447,-7.542,27.489
1682792238040,2023-04-29T13:17:18.040,1.680,-54.916,-24.234,26.258
1682792238060,2023-04-29T13:17:18.060,1.700,-47.626,-37.782,25.724
1682792238080,2023-04-29T13:17:18.080,1.720,-40.495,-48.430,25.972
1682792238100,2023-04-29T13:17:18.100,1.740,-35.042,-52.885,26.193
1682792238120,2023-04-29T13:17:18.120,1.760,-27.679,-51.181,27.725
1682792238140,2023-04-29T13:17:18.140,1.780,-23.247,-48.582,30.461
1682792238160,2023-04-29T13:17:18.160,1.800,-15.888,-37.721,39.992
1682792238180,2023-04-29T13:17:18.180,1.820,-15.987,-20.011,42.073
1682792238200,2023-04-29T13:17:18.200,1.840,-14.627,-18.678,38.453
1682792238220,2023-04-29T13:17:18.220,1.860,-12.207,-32.885,33.510
1682792238240,2023-04-29T13:17:18.240,1.880,-11.963,-38.643,28.281
1682792238260,2023-04-29T13:17:18.260,1.900,-14.093,-31.944,22.168
1682792238280,2023-04-29T13:17:18.280,1.920,-13.342,-20.400,17.389
1682792238300,2023-04-29T13:17:18.300,1.940,-6.677,-14.920,15.591
1682792238320,2023-04-29T13:17:18.320,1.960,-5.133,-13.308,13.620
1682792238340,2023-04-29T13:17:18.340,1.980,-6.597,-8.498,13.289
1682792238360,2023-04-29T13:17:18.360,2.000,-7.405,-9.356,12.694
1682792238380,2023-04-29T13:17:18.380,2.020,-7.645,-16.239,9.341
1682792238400,2023-04-29T13:17:18.400,2.040,-8.742,-16.101,6.399
1682792238420,2023-04-29T13:17:18.420,2.060,-4.402,-5.434,4.040
1682792238440,2023-04-29T13:17:18.440,2.080,2.024,6.563,-2.980
1682792238460,2023-04-29T13:17:18.460,2.100,3.925,17.176,-9.310
1682792238480,2023-04-29T13:17:18.480,2.120,2.420,20.610,-9.615
1682792238500,2023-04-29T13:17:18.500,2.140,-2.862,14.939,-2.782
1682792238520,2023-04-29T13:17:18.520,2.160,-5.549,7.054,4.394
1682792238540,2023-04-29T13:17:18.540,2.180,-1.258,4.108,3.876
1682792238560,2023-04-29T13:17:18.560,2.200,4.177,5.339,-1.585
1682792238580,2023-04-29T13:17:18.580,2.220,7.885,6.204,-5.732
1682792238600,2023-04-29T13:17:18.600,2.240,10.080,8.236,-5.484
1682792238620,2023-04-29T13:17:18.620,2.260,8.384,8.537,-2.500
1682792238640,2023-04-29T13:17:18.640,2.280,3.899,6.170,0.583
1682792238660,2023-04-29T13:17:18.660,2.300,1.623,4.615,2.386
1682792238680,2023-04-29T13:17:18.680,2.320,3.403,6.372,1.189
1682792238700,2023-04-29T13:17:18.700,2.340,4.577,7.877,-2.256
1682792238720,2023-04-29T13:17:18.720,2.360,3.262,7.576,-4.082
1682792238740,2023-04-29T13:17:18.740,2.380,0.713,6.418,-3.960
1682792238760,2023-04-29T13:17:18.760,2.400,-0.976,3.971,-2.492
1682792238780,2023-04-29T13:17:18.780,2.420,-1.589,-0.160,-0.259
1682792238800,2023-04-29T13:17:18.800,2.440,-2.824,-3.632,1.117
1682792238820,2023-04-29T13:17:18.820,2.460,-4.169,-2.534,1.806
1682792238840,2023-04-29T13:17:18.840,2.480,-4.451,0.480,0.785
1682792238860,2023-04-29T13:17:18.860,2.500,-4.489,1.986,-0.252
1682792238880,2023-04-29T13:17:18.880,2.520,-3.826,2.934,0.198
1682792238900,2023-04-29T13:17:18.900,2.540,-2.336,3.662,0.941
1682792238920,2023-04-29T13:17:18.920,2.560,-2.050,2.298,1.715
1682792238940,2023-04-29T13:17:18.940,2.580,-2.980,1.871,2.256
1682792238960,2023-04-29T13:17:18.960,2.600,-2.649,1.982,2.130
1682792238980,2023-04-29T13:17:18.980,2.620,-1.768,0.758,1.566
1682792239000,2023-04-29T13:17:19.000,2.640,-1.200,-0.122,0.457
1682792239020,2023-04-29T13:17:19.020,2.660,-0.575,0.575,-0.591
1682792239040,2023-04-29T13:17:19.040,2.680,-0.991,1.639,-0.274
1682792239060,2023-04-29T13:17:19.060,2.700,-1.307,1.197,0.366
1682792239080,2023-04-29T13:17:19.080,2.720,-1.139,0.305,0.377
1682792239100,2023-04-29T13:17:19.100,2.740,-0.213,0.236,-0.602
1682792239120,2023-04-29T13:17:19.120,2.760,0.709,0.072,-2.168
1682792239140,2023-04-29T13:17:19.140,2.780,1.368,-0.739,-3.476
1682792239160,2023-04-29T13:17:19.160,2.800,2.184,-1.280,-3.430
1682792239180,2023-04-29T13:17:19.180,2.820,3.159,-1.833,-3.384
1682792239200,2023-04-29T13:17:19.200,2.840,3.720,-2.877,-3.845
1682792239220,2023-04-29T13:17:19.220,2.860,3.822,-3.556,-4.303
1682792239240,2023-04-29T13:17:19.240,2.880,3.331,-3.167,-4.367
1682792239260,2023-04-29T13:17:19.260,2.900,2.881,-2.763,-4.139
1682792239280,2023-04-29T13:17:19.280,2.920,3.060,-2.973,-3.937
1682792239300,2023-04-29T13:17:19.300,2.940,3.232,-3.502,-4.150
1682792239320,2023-04-29T13:17:19.320,2.960,3.544,-3.906,-4.104
1682792239340,2023-04-29T13:17:19.340,2.980,4.063,-2.995,-3.994
1682792239360,2023-04-29T13:17:19.360,3.000,4.108,-1.643,-3.979
1682792239380,2023-04-29T13:17:19.380,3.020,3.807,-1.570,-3.887
1682792239400,2023-04-29T13:17:19.400,3.040,3.933,-1.864,-2.942
1682792239420,2023-04-29T13:17:19.420,3.060,3.891,-2.130,-2.031
1682792239440,2023-04-29T13:17:19.440,3.080,2.675,-2.069,-2.180
1682792239460,2023-04-29T13:17:19.460,3.100,1.936,-1.707,-2.222
1682792239480,2023-04-29T13:17:19.480,3.120,1.764,-1.227,-1.757
1682792239500,2023-04-29T13:17:19.500,3.140,1.669,-0.755,-1.227
1682792239520,2023-04-29T13:17:19.520,3.160,1.970,-0.370,-0.968
1682792239540,2023-04-29T13:17:19.540,3.180,1.726,-0.221,-0.663
1682792239560,2023-04-29T13:17:19.560,3.200,1.551,0.088,-0.217
1682792239580,2023-04-29T13:17:19.580,3.220,1.696,0.442,0.465
