epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1682792430369,2023-04-29T13:20:30.369,0.000,-12.317,-0.819,14.562
1682792430389,2023-04-29T13:20:30.389,0.020,-11.437,-1.166,14.531
1682792430409,2023-04-29T13:20:30.409,0.040,-9.973,-1.334,14.383
1682792430429,2023-04-29T13:20:30.429,0.060,-8.434,-1.536,14.181
1682792430449,2023-04-29T13:20:30.449,0.080,-8.239,-1.353,15.145
1682792430469,2023-04-29T13:20:30.469,0.100,-9.047,-0.960,17.607
1682792430489,2023-04-29T13:20:30.489,0.120,-11.101,-1.006,21.242
1682792430509,2023-04-29T13:20:30.509,0.140,-15.507,-0.869,25.232
1682792430529,2023-04-29T13:20:30.529,0.160,-22.557,-0.770,27.748
1682792430549,2023-04-29T13:20:30.549,0.180,-30.495,1.429,27.824
1682792430569,2023-04-29T13:20:30.569,0.200,-36.921,4.764,26.482
1682792430589,2023-04-29T13:20:30.589,0.220,-39.806,5.267,26.025
1682792430609,2023-04-29T13:20:30.609,0.240,-37.233,3.224,26.692
1682792430629,2023-04-29T13:20:30.629,0.260,-31.326,2.062,26.494
1682792430649,2023-04-29T13:20:30.649,0.280,-25.469,2.252,25.198
1682792430669,2023-04-29T13:20:30.669,0.300,-22.755,1.098,23.319
1682792430689,2023-04-29T13:20:30.689,0.320,-21.791,0.804,20.438
1682792430709,2023-04-29T13:20:30.709,0.340,-21.090,0.964,17.923
1682792430729,2023-04-29T13:20:30.729,0.360,-20.861,0.808,16.391
1682792430749,2023-04-29T13:20:30.749,0.380,-20.084,1.124,15.202
1682792430769,2023-04-29T13:20:30.769,0.400,-18.285,1.959,14.047
1682792430789,2023-04-29T13:20:30.789,0.420,-16.227,3.255,12.717
1682792430809,2023-04-29T13:20:30.809,0.440,-13.609,5.819,10.564
1682792430829,2023-04-29T13:20:30.829,0.460,-10.286,8.262,7.248
1682792430849,2023-04-29T13:20:30.849,0.480,-6.864,9.360,3.110
1682792430869,2023-04-29T13:20:30.869,0.500,-4.249,9.531,-1.730
1682792430889,2023-04-29T13:20:30.889,0.520,-2.180,11.010,-6.208
1682792430909,2023-04-29T13:20:30.909,0.540,0.145,12.988,-8.921
1682792430929,2023-04-29T13:20:30.929,0.560,2.732,14.665,-10.038
1682792430949,2023-04-29T13:20:30.949,0.580,8.194,16.117,-9.775
1682792430969,2023-04-29T13:20:30.969,0.600,20.652,21.886,-5.819
1682792430989,2023-04-29T13:20:30.989,0.620,19.272,20.899,4.280
1682792431009,2023-04-29T13:20:31.009,0.640,-0.255,6.094,12.572
1682792431029,2023-04-29T13:20:31.029,0.660,-18.918,4.611,6.806
1682792431049,2023-04-29T13:20:31.049,0.680,-27.329,6.258,2.119
1682792431069,2023-04-29T13:20:31.069,0.700,-23.685,-1.197,3.411
1682792431089,2023-04-29T13:20:31.089,0.720,-13.350,-3.720,5.705
1682792431109,2023-04-29T13:20:31.109,0.740,-6.189,-2.774,7.313
1682792431129,2023-04-29T13:20:31.129,0.760,-7.813,-0.785,8.777
1682792431149,2023-04-29T13:20:31.149,0.780,-13.479,3.083,10.450
1682792431169,2023-04-29T13:20:31.169,0.800,-12.904,7.767,11.273
1682792431189,2023-04-29T13:20:31.189,0.820,-13.449,13.190,11.334
1682792431209,2023-04-29T13:20:31.209,0.840,-22.039,14.188,10.972
1682792431229,2023-04-29T13:20:31.229,0.860,-26.086,8.960,6.776
1682792431249,2023-04-29T13:20:31.249,0.880,-22.961,0.960,-0.534
1682792431269,2023-04-29T13:20:31.269,0.900,-16.322,-2.580,-5.899
1682792431289,2023-04-29T13:20:31.289,0.920,-11.498,-2.279,-5.469
1682792431309,2023-04-29T13:20:31.309,0.940,-7.382,-1.200,-3.525
1682792431329,2023-04-29T13:20:31.329,0.960,-5.415,-0.065,-1.448
1682792431349,2023-04-29T13:20:31.349,0.980,-8.487,1.414,0.278
1682792431369,2023-04-29T13:20:31.369,1.000,-13.887,5.023,2.420
1682792431389,2023-04-29T13:20:31.389,1.020,-16.875,8.110,6.113
1682792431409,2023-04-29T13:20:31.409,1.040,-16.768,6.848,10.434
1682792431429,2023-04-29T13:20:31.429,1.060,-14.703,5.762,14.162
1682792431449,2023-04-29T13:20:31.449,1.080,-12.188,5.755,16.547
1682792431469,2023-04-29T13:20:31.469,1.100,-9.752,4.707,17.104
1682792431489,2023-04-29T13:20:31.489,1.120,-10.023,4.089,15.286
1682792431509,2023-04-29T13:20:31.509,1.140,-12.542,3.308,11.639
1682792431529,2023-04-29T13:20:31.529,1.160,-17.191,4.322,8.998
1682792431549,2023-04-29T13:20:31.549,1.180,-22.275,2.786,8.849
1682792431569,2023-04-29T13:20:31.569,1.200,-26.490,-2.172,9.989
1682792431589,2023-04-29T13:20:31.589,1.220,-28.929,-7.797,9.466
1682792431609,2023-04-29T13:20:31.609,1.240,-27.614,-7.565,7.988
1682792431629,2023-04-29T13:20:31.629,1.260,-25.187,-1.639,9.127
1682792431649,2023-04-29T13:20:31.649,1.280,-22.260,-0.694,12.336
1682792431669,2023-04-29T13:20:31.669,1.300,-17.405,-1.784,17.096
1682792431689,2023-04-29T13:20:31.689,1.320,-5.838,-1.101,20.008
1682792431709,2023-04-29T13:20:31.709,1.340,2.008,11.498,21.334
1682792431729,2023-04-29T13:20:31.729,1.360,5.979,17.774,22.683
