epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1682791064144,2023-04-29T12:57:44.144,0.000,0.602,-1.189,1.124
1682791064164,2023-04-29T12:57:44.164,0.020,0.305,-0.819,0.964
1682791064184,2023-04-29T12:57:44.184,0.040,0.675,-0.960,1.250
1682791064204,2023-04-29T12:57:44.204,0.060,0.713,-0.747,1.513
1682791064224,2023-04-29T12:57:44.224,0.080,0.400,-0.309,1.547
1682791064244,2023-04-29T12:57:44.244,0.100,0.335,-0.171,1.425
1682791064264,2023-04-29T12:57:44.264,0.120,0.332,-0.442,1.387
1682791064284,2023-04-29T12:57:44.284,0.140,0.232,-0.739,1.193
1682791064304,2023-04-29T12:57:44.304,0.160,0.332,-1.181,0.979
1682791064324,2023-04-29T12:57:44.324,0.180,0.716,-1.845,0.690
1682791064344,2023-04-29T12:57:44.344,0.200,1.185,-2.443,0.381
1682791064364,2023-04-29T12:57:44.364,0.220,1.307,-2.828,0.191
1682791064384,2023-04-29T12:57:44.384,0.240,1.002,-2.992,0.137
1682791064404,2023-04-29T12:57:44.404,0.260,0.659,-2.797,0.103
1682791064424,2023-04-29T12:57:44.424,0.280,0.781,-2.561,0.095
1682791064444,2023-04-29T12:57:44.444,0.300,1.223,-2.188,0.027
1682791064464,2023-04-29T12:57:44.464,0.320,1.197,-1.726,-0.225
1682791064484,2023-04-29T12:57:44.484,0.340,0.415,-2.752,-0.522
1682791064504,2023-04-29T12:57:44.504,0.360,-1.456,-5.316,-0.865
1682791064524,2023-04-29T12:57:44.524,0.380,-3.239,-7.626,-0.907
1682791064544,2023-04-29T12:57:44.544,0.400,-4.196,-7.450,-0.362
1682791064564,2023-04-29T12:57:44.564,0.420,-4.588,-5.370,0.808
1682791064584,2023-04-29T12:57:44.584,0.440,-3.053,-4.771,0.751
1682791064604,2023-04-29T12:57:44.604,0.460,-1.429,-2.584,0.282
1682791064624,2023-04-29T12:57:44.624,0.480,-1.174,0.309,-0.114
1682791064644,2023-04-29T12:57:44.644,0.500,-1.563,0.431,-0.918
1682791064664,2023-04-29T12:57:44.664,0.520,-1.018,-0.606,-1.460
1682791064684,2023-04-29T12:57:44.684,0.540,-0.385,-0.823,-1.505
1682791064704,2023-04-29T12:57:44.704,0.560,-0.286,-0.431,-1.635
1682791064724,2023-04-29T12:57:44.724,0.580,-0.099,0.328,-2.024
1682791064744,2023-04-29T12:57:44.744,0.600,0.141,1.147,-2.511
1682791064764,2023-04-29T12:57:44.764,0.620,0.191,1.662,-2.687
1682791064784,2023-04-29T12:57:44.784,0.640,0.328,1.536,-2.599
1682791064804,2023-04-29T12:57:44.804,0.660,0.945,0.907,-2.603
1682791064824,2023-04-29T12:57:44.824,0.680,1.711,1.357,-2.641
1682791064844,2023-04-29T12:57:44.844,0.700,1.986,1.932,-2.660
1682791064864,2023-04-29T12:57:44.864,0.720,1.818,2.405,-2.790
1682791064884,2023-04-29T12:57:44.884,0.740,1.856,2.565,-3.003
1682791064904,2023-04-29T12:57:44.904,0.760,2.496,2.119,-2.934
1682791064924,2023-04-29T12:57:44.924,0.780,3.106,1.665,-2.584
1682791064944,2023-04-29T12:57:44.944,0.800,2.988,1.223,-2.256
1682791064964,2023-04-29T12:57:44.964,0.820,2.306,0.800,-2.020
1682791064984,2023-04-29T12:57:44.984,0.840,1.608,0.640,-1.764
1682791065004,2023-04-29T12:57:45.004,0.860,1.345,0.865,-1.421
1682791065024,2023-04-29T12:57:45.024,0.880,1.307,1.383,-0.556
1682791065044,2023-04-29T12:57:45.044,0.900,0.941,1.749,0.076
1682791065064,2023-04-29T12:57:45.064,0.920,0.495,1.120,0.278
1682791065084,2023-04-29T12:57:45.084,0.940,0.366,0.191,0.267
1682791065104,2023-04-29T12:57:45.104,0.960,0.362,-0.053,0.877
1682791065124,2023-04-29T12:57:45.124,0.980,0.126,0.347,1.936
1682791065144,2023-04-29T12:57:45.144,1.000,-0.133,0.957,2.557
1682791065164,2023-04-29T12:57:45.164,1.020,-0.534,1.349,2.691
1682791065184,2023-04-29T12:57:45.184,1.040,-0.804,1.159,3.133
1682791065204,2023-04-29T12:57:45.204,1.060,-0.781,0.595,3.956
1682791065224,2023-04-29T12:57:45.224,1.080,0.008,-0.518,4.886
1682791065244,2023-04-29T12:57:45.244,1.100,0.770,-2.222,5.720
1682791065264,2023-04-29T12:57:45.264,1.120,1.258,-3.190,6.963
1682791065284,2023-04-29T12:57:45.284,1.140,1.864,-4.855,9.207
1682791065304,2023-04-29T12:57:45.304,1.160,1.631,-6.601,12.039
1682791065324,2023-04-29T12:57:45.324,1.180,0.899,-8.982,15.099
1682791065344,2023-04-29T12:57:45.344,1.200,-0.335,-10.697,19.192
1682791065364,2023-04-29T12:57:45.364,1.220,-3.411,-10.450,24.028
1682791065384,2023-04-29T12:57:45.384,1.240,-6.109,-8.060,29.177
