epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1682793441109,2023-04-29T13:37:21.109,0.000,-1.021,-7.687,-13.498
1682793441129,2023-04-29T13:37:21.129,0.020,-0.968,-8.026,-13.438
1682793441149,2023-04-29T13:37:21.149,0.040,0.473,-9.931,-10.610
1682793441169,2023-04-29T13:37:21.169,0.060,0.793,-12.519,-7.309
1682793441189,2023-04-29T13:37:21.189,0.080,0.640,-18.041,-4.882
1682793441209,2023-04-29T13:37:21.209,0.100,3.689,-25.716,-2.530
1682793441229,2023-04-29T13:37:21.229,0.120,9.886,-31.338,1.265
1682793441249,2023-04-29T13:37:21.249,0.140,16.380,-35.309,5.030
1682793441269,2023-04-29T13:37:21.269,0.160,21.467,-38.411,7.969
1682793441289,2023-04-29T13:37:21.289,0.180,25.335,-39.284,10.629
1682793441309,2023-04-29T13:37:21.309,0.200,28.060,-37.409,12.961
1682793441329,2023-04-29T13:37:21.329,0.220,29.497,-35.107,14.566
1682793441349,2023-04-29T13:37:21.349,0.240,30.652,-33.910,15.008
1682793441369,2023-04-29T13:37:21.369,0.260,31.627,-33.300,15.244
1682793441389,2023-04-29T13:37:21.389,0.280,31.227,-31.662,15.164
1682793441409,2023-04-29T13:37:21.409,0.300,29.893,-29.143,14.577
1682793441429,2023-04-29T13:37:21.429,0.320,26.993,-27.287,13.777
1682793441449,2023-04-29T13:37:21.449,0.340,23.605,-26.338,12.774
1682793441469,2023-04-29T13:37:21.469,0.360,20.057,-24.623,11.688
1682793441489,2023-04-29T13:37:21.489,0.380,16.883,-22.115,9.261
1682793441509,2023-04-29T13:37:21.509,0.400,14.009,-18.670,7.389
1682793441529,2023-04-29T13:37:21.529,0.420,11.608,-13.746,6.162
1682793441549,2023-04-29T13:37:21.549,0.440,9.245,-9.169,4.676
1682793441569,2023-04-29T13:37:21.569,0.460,6.654,-8.700,3.544
1682793441589,2023-04-29T13:37:21.589,0.480,4.051,-9.131,3.037
1682793441609,2023-04-29T13:37:21.609,0.500,1.707,-10.232,3.262
