epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1683907878365,2023-05-12T11:11:18.365,0.000,-0.438,0.160,0.133
1683907878385,2023-05-12T11:11:18.385,0.020,-0.282,0.324,0.091
1683907878405,2023-05-12T11:11:18.405,0.040,0.278,0.065,0.149
1683907878425,2023-05-12T11:11:18.425,0.060,0.171,0.236,0.072
1683907878445,2023-05-12T11:11:18.445,0.080,-0.229,0.274,-0.088
1683907878465,2023-05-12T11:11:18.465,0.100,-0.442,0.202,-0.111
1683907878485,2023-05-12T11:11:18.485,0.120,-0.480,0.286,0.095
1683907878505,2023-05-12T11:11:18.505,0.140,-0.751,0.343,0.320
1683907878525,2023-05-12T11:11:18.525,0.160,-0.884,0.347,0.248
1683907878545,2023-05-12T11:11:18.545,0.180,-0.827,0.602,0.267
1683907878565,2023-05-12T11:11:18.565,0.200,-0.770,0.393,0.621
1683907878585,2023-05-12T11:11:18.585,0.220,-0.816,-0.183,1.025
1683907878605,2023-05-12T11:11:18.605,0.240,-0.762,-0.069,1.040
1683907878625,2023-05-12T11:11:18.625,0.260,-0.518,0.061,1.086
1683907878645,2023-05-12T11:11:18.645,0.280,-0.492,0.152,1.101
1683907878665,2023-05-12T11:11:18.665,0.300,-0.736,0.095,0.838
1683907878685,2023-05-12T11:11:18.685,0.320,-0.701,0.358,0.686
1683907878705,2023-05-12T11:11:18.705,0.340,-0.587,-0.030,0.633
1683907878725,2023-05-12T11:11:18.725,0.360,-0.316,-0.244,0.514
1683907878745,2023-05-12T11:11:18.745,0.380,-0.396,-0.126,0.362
1683907878765,2023-05-12T11:11:18.765,0.400,-0.842,0.023,0.290
1683907878785,2023-05-12T11:11:18.785,0.420,-0.816,0.366,0.084
1683907878805,2023-05-12T11:11:18.805,0.440,-0.774,0.191,-0.015
1683907878825,2023-05-12T11:11:18.825,0.460,-0.400,0.232,0.118
1683907878845,2023-05-12T11:11:18.845,0.480,-0.065,0.008,0.248
1683907878865,2023-05-12T11:11:18.865,0.500,-0.229,-0.168,0.179
1683907878885,2023-05-12T11:11:18.885,0.520,-0.625,-0.042,0.263
1683907878905,2023-05-12T11:11:18.905,0.540,-0.598,-0.198,0.454
1683907878925,2023-05-12T11:11:18.925,0.560,-0.187,-0.114,0.682
1683907878945,2023-05-12T11:11:18.945,0.580,0.213,0.114,0.709
1683907878965,2023-05-12T11:11:18.965,0.600,-0.061,-0.095,0.518
1683907878985,2023-05-12T11:11:18.985,0.620,-0.293,-0.248,0.633
1683907879005,2023-05-12T11:11:19.005,0.640,0.069,-0.191,0.831
1683907879025,2023-05-12T11:11:19.025,0.660,0.080,-0.499,0.743
1683907879045,2023-05-12T11:11:19.045,0.680,0.301,-0.332,0.755
1683907879065,2023-05-12T11:11:19.065,0.700,0.774,-0.301,0.709
1683907879085,2023-05-12T11:11:19.085,0.720,0.781,-0.461,0.743
1683907879105,2023-05-12T11:11:19.105,0.740,0.808,-0.328,0.808
1683907879125,2023-05-12T11:11:19.125,0.760,0.328,-0.362,0.697
1683907879145,2023-05-12T11:11:19.145,0.780,0.023,0.042,0.549
1683907879165,2023-05-12T11:11:19.165,0.800,0.019,0.469,0.514
1683907879185,2023-05-12T11:11:19.185,0.820,-0.122,0.381,0.419
1683907879205,2023-05-12T11:11:19.205,0.840,-0.636,0.202,0.271
1683907879225,2023-05-12T11:11:19.225,0.860,-0.446,0.156,0.175
1683907879245,2023-05-12T11:11:19.245,0.880,0.137,-0.160,0.404
1683907879265,2023-05-12T11:11:19.265,0.900,0.011,-0.191,0.587
1683907879285,2023-05-12T11:11:19.285,0.920,-0.431,0.065,0.602
1683907879305,2023-05-12T11:11:19.305,0.940,-0.808,0.236,0.484
1683907879325,2023-05-12T11:11:19.325,0.960,-1.178,0.389,0.385
1683907879345,2023-05-12T11:11:19.345,0.980,-1.124,0.389,0.351
1683907879365,2023-05-12T11:11:19.365,1.000,-0.705,0.046,0.423
1683907879385,2023-05-12T11:11:19.385,1.020,-0.244,0.133,0.640
1683907879405,2023-05-12T11:11:19.405,1.040,-0.229,0.248,0.690
1683907879425,2023-05-12T11:11:19.425,1.060,-0.614,0.171,0.530
1683907879445,2023-05-12T11:11:19.445,1.080,-0.934,0.236,0.259
1683907879465,2023-05-12T11:11:19.465,1.100,-0.800,0.160,0.385
1683907879485,2023-05-12T11:11:19.485,1.120,-0.808,0.133,0.412
