epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1683911749744,2023-05-12T12:15:49.744,0.000,3.068,-1.307,0.549
1683911749764,2023-05-12T12:15:49.764,0.020,2.904,-1.227,0.271
1683911749784,2023-05-12T12:15:49.784,0.040,4.413,-1.250,1.040
1683911749804,2023-05-12T12:15:49.804,0.060,6.113,-1.117,1.978
1683911749824,2023-05-12T12:15:49.824,0.080,5.511,-1.574,2.321
1683911749844,2023-05-12T12:15:49.844,0.100,4.790,-3.498,2.660
1683911749864,2023-05-12T12:15:49.864,0.120,5.385,-3.979,3.060
1683911749884,2023-05-12T12:15:49.884,0.140,5.621,-1.471,3.075
1683911749904,2023-05-12T12:15:49.904,0.160,6.128,0.911,3.319
1683911749924,2023-05-12T12:15:49.924,0.180,6.395,0.530,3.239
1683911749944,2023-05-12T12:15:49.944,0.200,5.217,-0.476,2.664
1683911749964,2023-05-12T12:15:49.964,0.220,3.693,-1.341,1.932
1683911749984,2023-05-12T12:15:49.984,0.240,2.995,-3.902,1.227
1683911750004,2023-05-12T12:15:50.004,0.260,1.791,-5.724,0.781
1683911750024,2023-05-12T12:15:50.024,0.280,-0.171,-6.250,0.297
1683911750044,2023-05-12T12:15:50.044,0.300,-2.824,-6.410,-0.141
1683911750064,2023-05-12T12:15:50.064,0.320,-4.756,-7.652,-0.511
1683911750084,2023-05-12T12:15:50.084,0.340,-5.690,-7.889,-0.838
1683911750104,2023-05-12T12:15:50.104,0.360,-5.804,-5.736,-0.903
1683911750124,2023-05-12T12:15:50.124,0.380,-4.703,-5.046,-1.071
1683911750144,2023-05-12T12:15:50.144,0.400,-2.854,-5.808,-1.204
1683911750164,2023-05-12T12:15:50.164,0.420,-1.204,-4.699,-1.345
1683911750184,2023-05-12T12:15:50.184,0.440,-1.204,-2.264,-1.513
1683911750204,2023-05-12T12:15:50.204,0.460,-1.787,-2.081,-1.848
1683911750224,2023-05-12T12:15:50.224,0.480,-2.584,-3.060,-1.482
1683911750244,2023-05-12T12:15:50.244,0.500,-3.121,-1.479,0.091
1683911750264,2023-05-12T12:15:50.264,0.520,-4.116,3.239,1.559
1683911750284,2023-05-12T12:15:50.284,0.540,-4.466,5.309,1.410
1683911750304,2023-05-12T12:15:50.304,0.560,-2.809,5.301,0.831
1683911750324,2023-05-12T12:15:50.324,0.580,-0.492,5.419,0.274
1683911750344,2023-05-12T12:15:50.344,0.600,2.050,3.197,-0.221
1683911750364,2023-05-12T12:15:50.364,0.620,4.947,0.819,-0.636
1683911750384,2023-05-12T12:15:50.384,0.640,7.904,-0.255,-1.033
1683911750404,2023-05-12T12:15:50.404,0.660,11.151,-1.387,-2.016
1683911750424,2023-05-12T12:15:50.424,0.680,11.989,-1.018,-2.447
1683911750444,2023-05-12T12:15:50.444,0.700,10.960,1.406,-1.829
1683911750464,2023-05-12T12:15:50.464,0.720,9.184,3.697,-1.090
1683911750484,2023-05-12T12:15:50.484,0.740,8.594,5.080,-0.526
1683911750504,2023-05-12T12:15:50.504,0.760,8.476,5.857,-0.473
1683911750524,2023-05-12T12:15:50.524,0.780,8.407,7.180,-0.675
1683911750544,2023-05-12T12:15:50.544,0.800,8.937,9.287,-0.941
1683911750564,2023-05-12T12:15:50.564,0.820,9.566,8.331,-1.593
1683911750584,2023-05-12T12:15:50.584,0.840,11.178,6.136,-1.974
1683911750604,2023-05-12T12:15:50.604,0.860,13.361,3.575,-1.715
1683911750624,2023-05-12T12:15:50.624,0.880,14.367,1.361,-1.357
1683911750644,2023-05-12T12:15:50.644,0.900,14.356,1.067,-0.796
1683911750664,2023-05-12T12:15:50.664,0.920,13.415,1.974,0.263
1683911750684,2023-05-12T12:15:50.684,0.940,12.572,3.506,1.723
1683911750704,2023-05-12T12:15:50.704,0.960,11.132,5.781,2.885
1683911750724,2023-05-12T12:15:50.724,0.980,9.920,5.332,2.767
1683911750744,2023-05-12T12:15:50.744,1.000,9.367,3.731,1.986
1683911750764,2023-05-12T12:15:50.764,1.020,10.050,2.748,1.940
1683911750784,2023-05-12T12:15:50.784,1.040,10.309,3.681,2.081
1683911750804,2023-05-12T12:15:50.804,1.060,8.731,4.977,1.498
1683911750824,2023-05-12T12:15:50.824,1.080,7.683,4.055,0.168
1683911750844,2023-05-12T12:15:50.844,1.100,7.378,3.426,-0.911
1683911750864,2023-05-12T12:15:50.864,1.120,7.207,3.628,-0.313
1683911750884,2023-05-12T12:15:50.884,1.140,6.292,3.765,0.522
1683911750904,2023-05-12T12:15:50.904,1.160,5.122,2.942,0.152
1683911750924,2023-05-12T12:15:50.924,1.180,4.752,1.101,0.091
1683911750944,2023-05-12T12:15:50.944,1.200,4.333,0.690,0.911
1683911750964,2023-05-12T12:15:50.964,1.220,3.083,1.543,1.528
1683911750984,2023-05-12T12:15:50.984,1.240,1.841,0.991,1.517
1683911751004,2023-05-12T12:15:51.004,1.260,1.162,-0.248,1.292
1683911751024,2023-05-12T12:15:51.024,1.280,0.610,-0.793,1.280
1683911751044,2023-05-12T12:15:51.044,1.300,-0.107,-0.137,1.079
1683911751064,2023-05-12T12:15:51.064,1.320,-1.075,1.063,0.846
1683911751084,2023-05-12T12:15:51.084,1.340,-1.452,1.970,0.572
