epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1683913282001,2023-05-12T12:41:22.001,0.000,-1.940,-0.671,1.616
1683913282021,2023-05-12T12:41:22.021,0.020,-1.555,-0.511,1.856
1683913282041,2023-05-12T12:41:22.041,0.040,-0.141,0.221,2.237
1683913282061,2023-05-12T12:41:22.061,0.060,-0.061,2.649,2.790
1683913282081,2023-05-12T12:41:22.081,0.080,1.643,4.394,3.548
1683913282101,2023-05-12T12:41:22.101,0.100,3.563,4.619,3.468
1683913282121,2023-05-12T12:41:22.121,0.120,3.708,2.020,3.377
1683913282141,2023-05-12T12:41:22.141,0.140,4.855,-0.774,4.093
1683913282161,2023-05-12T12:41:22.161,0.160,5.751,-1.402,5.095
1683913282181,2023-05-12T12:41:22.181,0.180,5.332,-0.720,5.675
1683913282201,2023-05-12T12:41:22.201,0.200,4.840,-0.389,5.743
1683913282221,2023-05-12T12:41:22.221,0.220,4.063,-0.427,5.869
1683913282241,2023-05-12T12:41:22.241,0.240,4.398,-1.380,6.711
1683913282261,2023-05-12T12:41:22.261,0.260,5.793,-2.420,7.866
1683913282281,2023-05-12T12:41:22.281,0.280,5.225,-0.606,8.415
1683913282301,2023-05-12T12:41:22.301,0.300,4.085,1.803,8.236
1683913282321,2023-05-12T12:41:22.321,0.320,1.883,1.692,7.611
1683913282341,2023-05-12T12:41:22.341,0.340,0.305,2.976,7.248
1683913282361,2023-05-12T12:41:22.361,0.360,-0.644,3.415,6.650
1683913282381,2023-05-12T12:41:22.381,0.380,-0.918,1.166,6.578
1683913282401,2023-05-12T12:41:22.401,0.400,-1.181,1.353,7.066
1683913282421,2023-05-12T12:41:22.421,0.420,-2.271,3.125,6.803
1683913282441,2023-05-12T12:41:22.441,0.440,-2.229,1.494,6.296
1683913282461,2023-05-12T12:41:22.461,0.460,-2.104,0.118,5.861
1683913282481,2023-05-12T12:41:22.481,0.480,-3.095,1.574,5.553
1683913282501,2023-05-12T12:41:22.501,0.500,-4.032,2.565,5.271
1683913282521,2023-05-12T12:41:22.521,0.520,-4.459,2.233,4.714
1683913282541,2023-05-12T12:41:22.541,0.540,-5.141,1.700,3.502
1683913282561,2023-05-12T12:41:22.561,0.560,-5.705,1.627,2.546
