epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1683911063141,2023-05-12T12:04:23.141,0.000,57.005,-30.373,-49.276
1683911063161,2023-05-12T12:04:23.161,0.020,56.730,-31.189,-49.112
1683911063181,2023-05-12T12:04:23.181,0.040,52.443,-34.466,-49.840
1683911063201,2023-05-12T12:04:23.201,0.060,45.393,-36.120,-42.378
1683911063221,2023-05-12T12:04:23.221,0.080,38.003,-42.401,-28.811
1683911063241,2023-05-12T12:04:23.241,0.100,32.420,-49.455,-18.872
1683911063261,2023-05-12T12:04:23.261,0.120,29.066,-53.659,-11.330
1683911063281,2023-05-12T12:04:23.281,0.140,25.442,-53.308,-4.950
1683911063301,2023-05-12T12:04:23.301,0.160,22.275,-45.217,-1.208
1683911063321,2023-05-12T12:04:23.321,0.180,19.661,-38.571,0.621
1683911063341,2023-05-12T12:04:23.341,0.200,20.011,-32.550,2.081
1683911063361,2023-05-12T12:04:23.361,0.220,21.646,-27.096,0.187
1683911063381,2023-05-12T12:04:23.381,0.240,21.795,-30.225,-3.293
1683911063401,2023-05-12T12:04:23.401,0.260,18.369,-44.196,-5.636
1683911063421,2023-05-12T12:04:23.421,0.280,10.404,-72.687,-6.585
1683911063441,2023-05-12T12:04:23.441,0.300,0.701,-110.473,-5.640
1683911063461,2023-05-12T12:04:23.461,0.320,-7.828,-124.874,-5.137
1683911063481,2023-05-12T12:04:23.481,0.340,-12.984,-124.874,-6.357
1683911063501,2023-05-12T12:04:23.501,0.360,-13.308,-118.537,-7.561
1683911063521,2023-05-12T12:04:23.521,0.380,-11.753,-83.575,-8.285
1683911063541,2023-05-12T12:04:23.541,0.400,-8.758,-39.188,-9.169
1683911063561,2023-05-12T12:04:23.561,0.420,-4.573,-7.858,-7.176
1683911063581,2023-05-12T12:04:23.581,0.440,-2.332,8.129,-3.014
1683911063601,2023-05-12T12:04:23.601,0.460,-2.759,11.033,-1.616
1683911063621,2023-05-12T12:04:23.621,0.480,-3.552,3.498,-0.301
1683911063641,2023-05-12T12:04:23.641,0.500,-4.543,-5.179,0.617
1683911063661,2023-05-12T12:04:23.661,0.520,-4.543,-9.924,0.137
1683911063681,2023-05-12T12:04:23.681,0.540,-3.418,-9.813,-0.019
1683911063701,2023-05-12T12:04:23.701,0.560,-1.509,-4.760,0.034
1683911063721,2023-05-12T12:04:23.721,0.580,0.053,-0.884,-0.301
1683911063741,2023-05-12T12:04:23.741,0.600,0.713,-2.431,-0.575
1683911063761,2023-05-12T12:04:23.761,0.620,2.005,-9.386,-1.227
1683911063781,2023-05-12T12:04:23.781,0.640,3.418,-20.431,-2.252
1683911063801,2023-05-12T12:04:23.801,0.660,4.082,-33.605,-3.434
1683911063821,2023-05-12T12:04:23.821,0.680,4.223,-45.671,-5.499
1683911063841,2023-05-12T12:04:23.841,0.700,3.800,-52.024,-6.879
1683911063861,2023-05-12T12:04:23.861,0.720,4.322,-47.511,-8.079
1683911063881,2023-05-12T12:04:23.881,0.740,5.454,-36.044,-8.815
1683911063901,2023-05-12T12:04:23.901,0.760,5.831,-25.389,-8.594
1683911063921,2023-05-12T12:04:23.921,0.780,5.823,-19.859,-9.097
1683911063941,2023-05-12T12:04:23.941,0.800,6.204,-17.359,-9.264
1683911063961,2023-05-12T12:04:23.961,0.820,7.656,-13.537,-8.167
1683911063981,2023-05-12T12:04:23.981,0.840,9.066,-7.988,-6.079
1683911064001,2023-05-12T12:04:24.001,0.860,10.625,-0.171,-2.858
1683911064021,2023-05-12T12:04:24.021,0.880,10.156,10.553,2.210
1683911064041,2023-05-12T12:04:24.041,0.900,8.575,26.261,5.362
1683911064061,2023-05-12T12:04:24.061,0.920,7.100,43.742,7.424
1683911064081,2023-05-12T12:04:24.081,0.940,5.236,55.114,9.139
1683911064101,2023-05-12T12:04:24.101,0.960,2.946,60.640,9.002
1683911064121,2023-05-12T12:04:24.121,0.980,-1.399,63.422,10.069
1683911064141,2023-05-12T12:04:24.141,1.000,-13.060,57.637,13.941
1683911064161,2023-05-12T12:04:24.161,1.020,-32.073,30.549,19.413
1683911064181,2023-05-12T12:04:24.181,1.040,-47.656,-16.566,34.238
1683911064201,2023-05-12T12:04:24.201,1.060,-53.624,-23.533,66.627
1683911064221,2023-05-12T12:04:24.221,1.080,-56.231,22.511,112.683
1683911064241,2023-05-12T12:04:24.241,1.100,-63.803,56.620,124.874
1683911064261,2023-05-12T12:04:24.261,1.120,-74.714,51.799,124.760
1683911064281,2023-05-12T12:04:24.281,1.140,-83.773,38.228,124.527
1683911064301,2023-05-12T12:04:24.301,1.160,-84.855,73.830,124.874
1683911064321,2023-05-12T12:04:24.321,1.180,-82.332,124.874,124.874
1683911064341,2023-05-12T12:04:24.341,1.200,-67.809,124.874,124.870
1683911064361,2023-05-12T12:04:24.361,1.220,-56.970,124.051,124.874
1683911064381,2023-05-12T12:04:24.381,1.240,-41.326,124.794,124.874
1683911064401,2023-05-12T12:04:24.401,1.260,-29.043,124.874,124.874
1683911064421,2023-05-12T12:04:24.421,1.280,-16.978,124.405,124.874
1683911064441,2023-05-12T12:04:24.441,1.300,0.210,109.996,124.874
1683911064461,2023-05-12T12:04:24.461,1.320,15.126,90.370,124.874
1683911064481,2023-05-12T12:04:24.481,1.340,33.354,83.819,124.874
1683911064501,2023-05-12T12:04:24.501,1.360,53.228,81.890,124.874
1683911064521,2023-05-12T12:04:24.521,1.380,66.536,73.613,124.874
1683911064541,2023-05-12T12:04:24.541,1.400,71.806,57.165,124.874
1683911064561,2023-05-12T12:04:24.561,1.420,72.473,38.213,124.874
1683911064581,2023-05-12T12:04:24.581,1.440,71.326,32.774,124.874
1683911064601,2023-05-12T12:04:24.601,1.460,70.938,50.008,124.874
1683911064621,2023-05-12T12:04:24.621,1.480,63.678,65.934,124.874
1683911064641,2023-05-12T12:04:24.641,1.500,48.697,57.287,124.874
1683911064661,2023-05-12T12:04:24.661,1.520,37.725,32.222,121.604
1683911064681,2023-05-12T12:04:24.681,1.540,36.753,8.388,97.755
1683911064701,2023-05-12T12:04:24.701,1.560,37.146,-8.296,70.042
1683911064721,2023-05-12T12:04:24.721,1.580,35.320,-12.443,50.743
1683911064741,2023-05-12T12:04:24.741,1.600,37.626,-1.162,35.796
1683911064761,2023-05-12T12:04:24.761,1.620,44.600,16.860,23.125
1683911064781,2023-05-12T12:04:24.781,1.640,47.542,32.107,15.991
1683911064801,2023-05-12T12:04:24.801,1.660,42.683,43.643,11.002
1683911064821,2023-05-12T12:04:24.821,1.680,32.675,37.199,5.804
1683911064841,2023-05-12T12:04:24.841,1.700,6.547,-30.774,-3.312
1683911064861,2023-05-12T12:04:24.861,1.720,-21.856,-85.995,-12.363
1683911064881,2023-05-12T12:04:24.881,1.740,-25.122,-38.579,-8.765
1683911064901,2023-05-12T12:04:24.901,1.760,-17.515,-10.960,-8.133
1683911064921,2023-05-12T12:04:24.921,1.780,3.815,-11.143,9.165
1683911064941,2023-05-12T12:04:24.941,1.800,1.441,19.912,-30.431
1683911064961,2023-05-12T12:04:24.961,1.820,-29.790,21.212,-82.180
1683911064981,2023-05-12T12:04:24.981,1.840,-49.036,-5.610,-36.380
1683911065001,2023-05-12T12:04:25.001,1.860,-56.494,-23.689,-8.918
1683911065021,2023-05-12T12:04:25.021,1.880,-53.906,-41.159,-10.457
1683911065041,2023-05-12T12:04:25.041,1.900,-49.992,-52.618,-9.920
1683911065061,2023-05-12T12:04:25.061,1.920,-43.864,-55.484,-9.558
1683911065081,2023-05-12T12:04:25.081,1.940,-32.359,-46.803,-10.118
1683911065101,2023-05-12T12:04:25.101,1.960,-23.281,-35.476,-10.819
1683911065121,2023-05-12T12:04:25.121,1.980,-18.518,-23.529,-9.779
1683911065141,2023-05-12T12:04:25.141,2.000,-11.200,-14.074,-8.407
1683911065161,2023-05-12T12:04:25.161,2.020,-4.101,-8.548,-6.627
1683911065181,2023-05-12T12:04:25.181,2.040,-1.212,-8.979,-5.705
1683911065201,2023-05-12T12:04:25.201,2.060,-0.979,-10.126,-6.387
1683911065221,2023-05-12T12:04:25.221,2.080,-1.052,-6.402,-4.444
1683911065241,2023-05-12T12:04:25.241,2.100,-0.964,-3.266,-2.622
1683911065261,2023-05-12T12:04:25.261,2.120,-1.475,-2.614,-0.903
1683911065281,2023-05-12T12:04:25.281,2.140,-2.367,-4.806,-0.072
1683911065301,2023-05-12T12:04:25.301,2.160,-2.706,-9.592,-0.419
