epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1683912721790,2023-05-12T12:32:01.790,0.000,5.107,-6.319,3.605
1683912721810,2023-05-12T12:32:01.810,0.020,5.171,-6.528,3.826
1683912721830,2023-05-12T12:32:01.830,0.040,6.989,-3.990,4.825
1683912721850,2023-05-12T12:32:01.850,0.060,8.971,-0.183,4.497
1683912721870,2023-05-12T12:32:01.870,0.080,10.023,-1.784,3.472
1683912721890,2023-05-12T12:32:01.890,0.100,11.006,-3.861,3.323
1683912721910,2023-05-12T12:32:01.910,0.120,11.635,-7.264,3.563
1683912721930,2023-05-12T12:32:01.930,0.140,9.771,-9.867,4.512
1683912721950,2023-05-12T12:32:01.950,0.160,6.402,-8.620,5.545
1683912721970,2023-05-12T12:32:01.970,0.180,3.357,-5.030,5.400
1683912721990,2023-05-12T12:32:01.990,0.200,1.399,-1.993,3.487
1683912722010,2023-05-12T12:32:02.010,0.220,0.465,-3.426,1.189
1683912722030,2023-05-12T12:32:02.030,0.240,0.804,-6.784,0.541
1683912722050,2023-05-12T12:32:02.050,0.260,1.014,-7.332,0.964
1683912722070,2023-05-12T12:32:02.070,0.280,0.983,-9.665,0.602
1683912722090,2023-05-12T12:32:02.090,0.300,1.688,-13.739,-0.042
1683912722110,2023-05-12T12:32:02.110,0.320,3.418,-13.540,-0.644
1683912722130,2023-05-12T12:32:02.130,0.340,4.829,-14.897,-1.959
1683912722150,2023-05-12T12:32:02.150,0.360,5.339,-18.540,-2.576
1683912722170,2023-05-12T12:32:02.170,0.380,5.130,-19.779,-2.062
1683912722190,2023-05-12T12:32:02.190,0.400,5.976,-18.357,-1.894
1683912722210,2023-05-12T12:32:02.210,0.420,7.058,-19.470,-3.026
1683912722230,2023-05-12T12:32:02.230,0.440,8.205,-22.123,-4.284
1683912722250,2023-05-12T12:32:02.250,0.460,10.964,-24.204,-4.215
1683912722270,2023-05-12T12:32:02.270,0.480,14.741,-25.686,-3.285
1683912722290,2023-05-12T12:32:02.290,0.500,13.826,-23.380,-3.239
1683912722310,2023-05-12T12:32:02.310,0.520,11.684,-20.389,-4.558
1683912722330,2023-05-12T12:32:02.330,0.540,9.668,-22.344,-5.084
1683912722350,2023-05-12T12:32:02.350,0.560,9.089,-20.972,-5.534
1683912722370,2023-05-12T12:32:02.370,0.580,10.575,-18.159,-6.235
1683912722390,2023-05-12T12:32:02.390,0.600,10.591,-16.551,-6.345
1683912722410,2023-05-12T12:32:02.410,0.620,7.904,-14.840,-7.401
1683912722430,2023-05-12T12:32:02.430,0.640,5.812,-13.182,-9.070
1683912722450,2023-05-12T12:32:02.450,0.660,4.284,-12.058,-10.415
1683912722470,2023-05-12T12:32:02.470,0.680,4.150,-9.196,-10.926
