epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1683919151309,2023-05-12T14:19:11.309,0.000,-1.288,-0.381,0.682
1683919151329,2023-05-12T14:19:11.329,0.020,-1.197,-0.480,0.831
1683919151349,2023-05-12T14:19:11.349,0.040,-0.171,-0.267,2.020
1683919151369,2023-05-12T14:19:11.369,0.060,0.736,0.381,2.127
1683919151389,2023-05-12T14:19:11.389,0.080,0.716,1.159,0.587
1683919151409,2023-05-12T14:19:11.409,0.100,0.328,0.431,-0.171
1683919151429,2023-05-12T14:19:11.429,0.120,0.816,-1.402,0.465
1683919151449,2023-05-12T14:19:11.449,0.140,1.646,-1.913,0.446
1683919151469,2023-05-12T14:19:11.469,0.160,1.120,-0.964,-0.751
1683919151489,2023-05-12T14:19:11.489,0.180,0.160,-1.254,-0.739
1683919151509,2023-05-12T14:19:11.509,0.200,0.812,-2.008,0.793
1683919151529,2023-05-12T14:19:11.529,0.220,2.077,-1.208,1.220
1683919151549,2023-05-12T14:19:11.549,0.240,2.005,-0.648,-0.111
1683919151569,2023-05-12T14:19:11.569,0.260,1.387,-1.079,-0.484
1683919151589,2023-05-12T14:19:11.589,0.280,1.463,-0.629,0.770
1683919151609,2023-05-12T14:19:11.609,0.300,1.216,-0.274,1.117
1683919151629,2023-05-12T14:19:11.629,0.320,1.189,0.381,0.473
1683919151649,2023-05-12T14:19:11.649,0.340,1.155,0.945,0.583
1683919151669,2023-05-12T14:19:11.669,0.360,0.335,-0.255,0.617
1683919151689,2023-05-12T14:19:11.689,0.380,-0.545,-1.410,-0.152
1683919151709,2023-05-12T14:19:11.709,0.400,0.099,-0.819,-0.080
1683919151729,2023-05-12T14:19:11.729,0.420,1.658,0.610,1.006
1683919151749,2023-05-12T14:19:11.749,0.440,1.993,0.690,1.563
1683919151769,2023-05-12T14:19:11.769,0.460,0.065,-0.564,-0.187
1683919151789,2023-05-12T14:19:11.789,0.480,-1.265,-1.033,-1.479
1683919151809,2023-05-12T14:19:11.809,0.500,-0.183,-0.896,-0.347
1683919151829,2023-05-12T14:19:11.829,0.520,0.549,-1.052,1.376
1683919151849,2023-05-12T14:19:11.849,0.540,0.061,-0.111,1.307
1683919151869,2023-05-12T14:19:11.869,0.560,-0.690,0.960,0.091
1683919151889,2023-05-12T14:19:11.889,0.580,-0.495,0.111,0.457
1683919151909,2023-05-12T14:19:11.909,0.600,-0.366,-1.524,1.330
1683919151929,2023-05-12T14:19:11.929,0.620,-0.354,-1.418,0.869
1683919151949,2023-05-12T14:19:11.949,0.640,-0.316,0.343,0.225
1683919151969,2023-05-12T14:19:11.969,0.660,0.412,1.269,0.873
1683919151989,2023-05-12T14:19:11.989,0.680,0.171,0.122,1.048
1683919152009,2023-05-12T14:19:12.009,0.700,-1.528,-1.368,-0.072
1683919152029,2023-05-12T14:19:12.029,0.720,-2.252,-1.334,-0.332
1683919152049,2023-05-12T14:19:12.049,0.740,0.069,-0.111,0.827
1683919152069,2023-05-12T14:19:12.069,0.760,2.119,0.877,1.433
1683919152089,2023-05-12T14:19:12.089,0.780,0.892,0.118,0.736
1683919152109,2023-05-12T14:19:12.109,0.800,-1.002,-1.479,-0.057
1683919152129,2023-05-12T14:19:12.129,0.820,-0.957,-0.724,-0.027
1683919152149,2023-05-12T14:19:12.149,0.840,0.488,0.633,0.343
1683919152169,2023-05-12T14:19:12.169,0.860,0.705,0.206,0.777
1683919152189,2023-05-12T14:19:12.189,0.880,0.095,-1.235,1.117
1683919152209,2023-05-12T14:19:12.209,0.900,-0.469,-1.418,1.063
1683919152229,2023-05-12T14:19:12.229,0.920,-0.293,-0.351,0.575
1683919152249,2023-05-12T14:19:12.249,0.940,-0.011,-0.133,0.324
1683919152269,2023-05-12T14:19:12.269,0.960,-0.122,-0.522,0.579
1683919152289,2023-05-12T14:19:12.289,0.980,-0.419,-0.762,0.812
1683919152309,2023-05-12T14:19:12.309,1.000,-0.351,-0.850,0.697
