epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1683920278307,2023-05-12T14:37:58.307,0.000,0.583,0.232,0.473
1683920278327,2023-05-12T14:37:58.327,0.020,0.137,-0.046,0.339
1683920278347,2023-05-12T14:37:58.347,0.040,0.434,0.495,0.812
1683920278367,2023-05-12T14:37:58.367,0.060,0.732,0.221,1.402
1683920278387,2023-05-12T14:37:58.387,0.080,0.469,-0.534,1.143
1683920278407,2023-05-12T14:37:58.407,0.100,0.240,-1.128,0.518
1683920278427,2023-05-12T14:37:58.427,0.120,0.389,-0.675,0.507
1683920278447,2023-05-12T14:37:58.447,0.140,0.934,-0.202,1.345
1683920278467,2023-05-12T14:37:58.467,0.160,0.770,-0.030,1.845
1683920278487,2023-05-12T14:37:58.487,0.180,0.175,-0.244,1.200
1683920278507,2023-05-12T14:37:58.507,0.200,-0.099,-0.621,0.450
1683920278527,2023-05-12T14:37:58.527,0.220,-0.099,-0.595,0.667
1683920278547,2023-05-12T14:37:58.547,0.240,0.293,-0.720,1.505
1683920278567,2023-05-12T14:37:58.567,0.260,0.084,-0.930,1.380
1683920278587,2023-05-12T14:37:58.587,0.280,-0.358,-0.568,0.770
1683920278607,2023-05-12T14:37:58.607,0.300,-0.385,-0.320,0.774
1683920278627,2023-05-12T14:37:58.627,0.320,0.438,-0.800,1.368
1683920278647,2023-05-12T14:37:58.647,0.340,0.480,-0.671,1.780
1683920278667,2023-05-12T14:37:58.667,0.360,0.240,-0.663,1.585
1683920278687,2023-05-12T14:37:58.687,0.380,0.213,-1.136,1.383
1683920278707,2023-05-12T14:37:58.707,0.400,0.564,-1.303,1.623
1683920278727,2023-05-12T14:37:58.727,0.420,0.621,-1.242,1.452
1683920278747,2023-05-12T14:37:58.747,0.440,0.297,-1.395,1.048
1683920278767,2023-05-12T14:37:58.767,0.460,-0.179,-0.636,0.869
1683920278787,2023-05-12T14:37:58.787,0.480,0.034,0.183,1.326
1683920278807,2023-05-12T14:37:58.807,0.500,0.808,0.107,1.216
1683920278827,2023-05-12T14:37:58.827,0.520,0.968,-0.899,0.408
1683920278847,2023-05-12T14:37:58.847,0.540,0.293,-1.162,0.027
1683920278867,2023-05-12T14:37:58.867,0.560,-0.633,0.126,0.446
1683920278887,2023-05-12T14:37:58.887,0.580,-0.194,1.749,0.816
1683920278907,2023-05-12T14:37:58.907,0.600,0.587,1.197,0.587
1683920278927,2023-05-12T14:37:58.927,0.620,1.307,-1.006,0.446
1683920278947,2023-05-12T14:37:58.947,0.640,1.532,-1.825,0.964
1683920278967,2023-05-12T14:37:58.967,0.660,1.056,-1.216,1.578
1683920278987,2023-05-12T14:37:58.987,0.680,0.606,-0.343,2.256
1683920279007,2023-05-12T14:37:59.007,0.700,0.431,0.000,2.454
1683920279027,2023-05-12T14:37:59.027,0.720,1.155,-1.120,2.256
1683920279047,2023-05-12T14:37:59.047,0.740,1.593,-2.046,2.344
1683920279067,2023-05-12T14:37:59.067,0.760,1.071,-3.159,2.340
1683920279087,2023-05-12T14:37:59.087,0.780,0.023,-2.428,2.313
1683920279107,2023-05-12T14:37:59.107,0.800,-0.514,-0.023,2.576
1683920279127,2023-05-12T14:37:59.127,0.820,0.118,0.526,2.679
1683920279147,2023-05-12T14:37:59.147,0.840,-0.183,-1.033,2.329
1683920279167,2023-05-12T14:37:59.167,0.860,-2.435,-2.542,2.073
1683920279187,2023-05-12T14:37:59.187,0.880,-3.053,-2.591,2.012
1683920279207,2023-05-12T14:37:59.207,0.900,-2.374,-2.416,2.290
1683920279227,2023-05-12T14:37:59.227,0.920,-2.378,-3.049,2.839
1683920279247,2023-05-12T14:37:59.247,0.940,-3.072,-2.767,2.816
1683920279267,2023-05-12T14:37:59.267,0.960,-3.281,-1.925,2.180
1683920279287,2023-05-12T14:37:59.287,0.980,-2.706,-2.264,1.292
1683920279307,2023-05-12T14:37:59.307,1.000,-1.974,-3.117,0.934
1683920279327,2023-05-12T14:37:59.327,1.020,-1.513,-2.184,1.284
1683920279347,2023-05-12T14:37:59.347,1.040,-0.229,-0.530,1.684
1683920279367,2023-05-12T14:37:59.367,1.060,1.105,0.137,1.319
1683920279387,2023-05-12T14:37:59.387,1.080,1.620,0.088,0.911
1683920279407,2023-05-12T14:37:59.407,1.100,0.873,-0.484,0.991
1683920279427,2023-05-12T14:37:59.427,1.120,-0.141,-0.957,1.117
1683920279447,2023-05-12T14:37:59.447,1.140,0.206,-0.930,1.094
1683920279467,2023-05-12T14:37:59.467,1.160,0.225,-0.114,0.987
1683920279487,2023-05-12T14:37:59.487,1.180,-0.156,0.358,0.903
1683920279507,2023-05-12T14:37:59.507,1.200,-0.633,-0.667,0.766
1683920279527,2023-05-12T14:37:59.527,1.220,-1.978,-3.487,1.059
1683920279547,2023-05-12T14:37:59.547,1.240,-3.186,-6.947,1.913
1683920279567,2023-05-12T14:37:59.567,1.260,-3.704,-3.392,1.944
1683920279587,2023-05-12T14:37:59.587,1.280,-2.191,0.103,1.200
1683920279607,2023-05-12T14:37:59.607,1.300,0.286,1.010,0.084
1683920279627,2023-05-12T14:37:59.627,1.320,0.831,1.585,-0.103
1683920279647,2023-05-12T14:37:59.647,1.340,0.175,0.286,0.701
1683920279667,2023-05-12T14:37:59.667,1.360,-0.099,-0.522,0.572
1683920279687,2023-05-12T14:37:59.687,1.380,0.122,-0.293,-0.282
1683920279707,2023-05-12T14:37:59.707,1.400,0.743,0.377,0.088
1683920279727,2023-05-12T14:37:59.727,1.420,0.701,0.107,1.021
1683920279747,2023-05-12T14:37:59.747,1.440,-0.271,-0.103,0.808
1683920279767,2023-05-12T14:37:59.767,1.460,-0.305,-0.503,0.099
1683920279787,2023-05-12T14:37:59.787,1.480,0.888,-0.568,0.004
1683920279807,2023-05-12T14:37:59.807,1.500,1.246,0.095,0.587
1683920279827,2023-05-12T14:37:59.827,1.520,0.579,-0.381,1.037
1683920279847,2023-05-12T14:37:59.847,1.540,-0.252,-1.059,0.179
1683920279867,2023-05-12T14:37:59.867,1.560,-0.499,-1.227,-0.461
1683920279887,2023-05-12T14:37:59.887,1.580,0.004,0.225,0.156
1683920279907,2023-05-12T14:37:59.907,1.600,-0.171,0.842,1.258
1683920279927,2023-05-12T14:37:59.927,1.620,-0.091,-0.027,1.212
1683920279947,2023-05-12T14:37:59.947,1.640,0.053,-1.242,0.015
1683920279967,2023-05-12T14:37:59.967,1.660,-0.164,-2.073,-0.103
1683920279987,2023-05-12T14:37:59.987,1.680,-0.568,-0.614,0.450
1683920280007,2023-05-12T14:38:00.007,1.700,-1.124,0.804,-0.008
1683920280027,2023-05-12T14:38:00.027,1.720,-0.591,1.090,-0.213
1683920280047,2023-05-12T14:38:00.047,1.740,0.111,1.082,0.457
1683920280067,2023-05-12T14:38:00.067,1.760,0.137,0.446,0.774
1683920280087,2023-05-12T14:38:00.087,1.780,-0.793,-0.968,-0.137
1683920280107,2023-05-12T14:38:00.107,1.800,-0.183,-1.059,-0.819
1683920280127,2023-05-12T14:38:00.127,1.820,0.587,0.316,-0.332
1683920280147,2023-05-12T14:38:00.147,1.840,0.046,1.330,0.179
1683920280167,2023-05-12T14:38:00.167,1.860,-0.907,1.441,-0.072
1683920280187,2023-05-12T14:38:00.187,1.880,-0.076,1.479,-0.408
1683920280207,2023-05-12T14:38:00.207,1.900,1.585,0.095,0.229
1683920280227,2023-05-12T14:38:00.227,1.920,1.742,-1.677,1.231
1683920280247,2023-05-12T14:38:00.247,1.940,-0.297,-0.732,0.827
1683920280267,2023-05-12T14:38:00.267,1.960,-0.667,1.025,-0.202
1683920280287,2023-05-12T14:38:00.287,1.980,1.296,1.155,-0.530
1683920280307,2023-05-12T14:38:00.307,2.000,1.452,0.354,-0.130
1683920280327,2023-05-12T14:38:00.327,2.020,0.164,-0.293,0.305
1683920280347,2023-05-12T14:38:00.347,2.040,0.107,0.027,-0.290
1683920280367,2023-05-12T14:38:00.367,2.060,1.383,0.271,-1.273
1683920280387,2023-05-12T14:38:00.387,2.080,2.054,1.502,-1.361
1683920280407,2023-05-12T14:38:00.407,2.100,2.180,1.665,-0.697
1683920280427,2023-05-12T14:38:00.427,2.120,1.867,0.877,-0.495
1683920280447,2023-05-12T14:38:00.447,2.140,1.448,0.480,-1.113
1683920280467,2023-05-12T14:38:00.467,2.160,2.123,0.461,-1.265
1683920280487,2023-05-12T14:38:00.487,2.180,3.037,0.899,0.252
1683920280507,2023-05-12T14:38:00.507,2.200,2.039,0.884,1.338
1683920280527,2023-05-12T14:38:00.527,2.220,0.621,0.354,0.057
1683920280547,2023-05-12T14:38:00.547,2.240,1.147,-0.141,-1.185
1683920280567,2023-05-12T14:38:00.567,2.260,2.534,0.678,-0.846
1683920280587,2023-05-12T14:38:00.587,2.280,2.854,1.627,0.164
1683920280607,2023-05-12T14:38:00.607,2.300,2.119,1.486,0.015
1683920280627,2023-05-12T14:38:00.627,2.320,0.987,0.408,-0.709
1683920280647,2023-05-12T14:38:00.647,2.340,1.220,0.225,-0.907
1683920280667,2023-05-12T14:38:00.667,2.360,1.841,0.953,-0.252
1683920280687,2023-05-12T14:38:00.687,2.380,1.383,0.553,0.252
1683920280707,2023-05-12T14:38:00.707,2.400,-0.111,-0.206,-0.271
1683920280727,2023-05-12T14:38:00.727,2.420,-0.011,-0.648,-0.987
1683920280747,2023-05-12T14:38:00.747,2.440,1.162,-0.046,-0.553
1683920280767,2023-05-12T14:38:00.767,2.460,0.625,0.686,0.675
1683920280787,2023-05-12T14:38:00.787,2.480,-0.370,0.225,0.503
1683920280807,2023-05-12T14:38:00.807,2.500,-0.694,0.164,-0.633
1683920280827,2023-05-12T14:38:00.827,2.520,0.404,0.842,-1.037
1683920280847,2023-05-12T14:38:00.847,2.540,1.315,0.347,-0.381
1683920280867,2023-05-12T14:38:00.867,2.560,0.080,0.130,-0.095
1683920280887,2023-05-12T14:38:00.887,2.580,-1.044,-0.290,-0.743
1683920280907,2023-05-12T14:38:00.907,2.600,-0.713,-0.069,-1.189
1683920280927,2023-05-12T14:38:00.927,2.620,-0.541,0.732,-0.896
1683920280947,2023-05-12T14:38:00.947,2.640,-1.124,0.335,-0.514
1683920280967,2023-05-12T14:38:00.967,2.660,-1.543,-0.133,-0.591
1683920280987,2023-05-12T14:38:00.987,2.680,-0.415,-0.259,-0.347
1683920281007,2023-05-12T14:38:01.007,2.700,0.572,0.732,0.122
1683920281027,2023-05-12T14:38:01.027,2.720,0.857,1.551,-0.164
1683920281047,2023-05-12T14:38:01.047,2.740,1.296,1.120,-0.922
1683920281067,2023-05-12T14:38:01.067,2.760,1.681,0.019,-0.633
1683920281087,2023-05-12T14:38:01.087,2.780,1.033,-0.602,0.076
1683920281107,2023-05-12T14:38:01.107,2.800,0.202,-0.088,-0.393
1683920281127,2023-05-12T14:38:01.127,2.820,0.511,0.175,-1.124
1683920281147,2023-05-12T14:38:01.147,2.840,1.570,0.221,-0.690
1683920281167,2023-05-12T14:38:01.167,2.860,1.494,0.461,-0.042
1683920281187,2023-05-12T14:38:01.187,2.880,-0.309,0.152,-0.187
