epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1683923824624,2023-05-12T15:37:04.624,0.000,-6.684,2.683,1.543
1683923824644,2023-05-12T15:37:04.644,0.020,-6.944,3.171,1.482
1683923824664,2023-05-12T15:37:04.664,0.040,-6.376,3.095,1.738
1683923824684,2023-05-12T15:37:04.684,0.060,-5.812,2.687,1.997
1683923824704,2023-05-12T15:37:04.704,0.080,-5.210,2.188,1.997
1683923824724,2023-05-12T15:37:04.724,0.100,-4.600,1.848,1.894
1683923824744,2023-05-12T15:37:04.744,0.120,-3.914,1.734,1.658
1683923824764,2023-05-12T15:37:04.764,0.140,-3.380,1.715,1.460
1683923824784,2023-05-12T15:37:04.784,0.160,-2.870,1.345,1.258
1683923824804,2023-05-12T15:37:04.804,0.180,-2.542,0.941,1.155
1683923824824,2023-05-12T15:37:04.824,0.200,-2.637,0.880,1.178
1683923824844,2023-05-12T15:37:04.844,0.220,-2.683,1.037,1.128
1683923824864,2023-05-12T15:37:04.864,0.240,-2.698,1.220,1.235
1683923824884,2023-05-12T15:37:04.884,0.260,-2.702,1.155,1.361
1683923824904,2023-05-12T15:37:04.904,0.280,-2.500,1.025,1.414
1683923824924,2023-05-12T15:37:04.924,0.300,-2.298,0.998,1.467
1683923824944,2023-05-12T15:37:04.944,0.320,-1.974,0.873,1.414
1683923824964,2023-05-12T15:37:04.964,0.340,-1.261,0.583,1.269
1683923824984,2023-05-12T15:37:04.984,0.360,-0.419,0.084,1.010
1683923825004,2023-05-12T15:37:05.004,0.380,0.587,-0.442,0.705
1683923825024,2023-05-12T15:37:05.024,0.400,1.905,-1.086,0.457
1683923825044,2023-05-12T15:37:05.044,0.420,3.064,-1.601,0.274
1683923825064,2023-05-12T15:37:05.064,0.440,4.158,-1.875,0.027
1683923825084,2023-05-12T15:37:05.084,0.460,5.050,-2.237,-0.130
1683923825104,2023-05-12T15:37:05.104,0.480,5.800,-2.611,-0.088
1683923825124,2023-05-12T15:37:05.124,0.500,6.090,-2.698,0.042
1683923825144,2023-05-12T15:37:05.144,0.520,6.052,-2.550,0.069
1683923825164,2023-05-12T15:37:05.164,0.540,6.082,-2.618,-0.244
1683923825184,2023-05-12T15:37:05.184,0.560,6.402,-2.744,-0.591
1683923825204,2023-05-12T15:37:05.204,0.580,6.452,-2.367,-0.819
1683923825224,2023-05-12T15:37:05.224,0.600,6.139,-2.378,-1.025
1683923825244,2023-05-12T15:37:05.244,0.620,5.598,-2.546,-1.258
1683923825264,2023-05-12T15:37:05.264,0.640,4.943,-2.382,-1.444
1683923825284,2023-05-12T15:37:05.284,0.660,4.375,-2.069,-1.433
1683923825304,2023-05-12T15:37:05.304,0.680,4.002,-1.810,-1.117
1683923825324,2023-05-12T15:37:05.324,0.700,3.586,-1.658,-0.835
1683923825344,2023-05-12T15:37:05.344,0.720,2.931,-1.524,-0.747
1683923825364,2023-05-12T15:37:05.364,0.740,2.001,-1.239,-0.686
1683923825384,2023-05-12T15:37:05.384,0.760,1.223,-0.724,-0.434
1683923825404,2023-05-12T15:37:05.404,0.780,0.381,-0.343,-0.133
1683923825424,2023-05-12T15:37:05.424,0.800,-0.446,-0.004,0.069
1683923825444,2023-05-12T15:37:05.444,0.820,-1.307,0.373,0.130
1683923825464,2023-05-12T15:37:05.464,0.840,-2.081,0.705,0.099
1683923825484,2023-05-12T15:37:05.484,0.860,-2.271,0.774,0.137
1683923825504,2023-05-12T15:37:05.504,0.880,-2.237,0.728,0.156
1683923825524,2023-05-12T15:37:05.524,0.900,-2.340,0.728,0.122
1683923825544,2023-05-12T15:37:05.544,0.920,-2.374,0.663,0.160
1683923825564,2023-05-12T15:37:05.564,0.940,-2.130,0.694,0.069
1683923825584,2023-05-12T15:37:05.584,0.960,-2.024,0.682,-0.008
1683923825604,2023-05-12T15:37:05.604,0.980,-2.142,0.644,-0.004
1683923825624,2023-05-12T15:37:05.624,1.000,-2.180,0.583,-0.076
1683923825644,2023-05-12T15:37:05.644,1.020,-1.856,0.393,-0.236
1683923825664,2023-05-12T15:37:05.664,1.040,-1.326,0.179,-0.175
1683923825684,2023-05-12T15:37:05.684,1.060,-0.842,0.137,-0.130
1683923825704,2023-05-12T15:37:05.704,1.080,-0.633,0.019,-0.091
1683923825724,2023-05-12T15:37:05.724,1.100,-0.465,-0.118,-0.084
1683923825744,2023-05-12T15:37:05.744,1.120,-0.290,-0.145,-0.179
1683923825764,2023-05-12T15:37:05.764,1.140,-0.591,-0.065,-0.099
1683923825784,2023-05-12T15:37:05.784,1.160,-0.827,-0.084,-0.053
1683923825804,2023-05-12T15:37:05.804,1.180,-0.899,0.080,-0.046
1683923825824,2023-05-12T15:37:05.824,1.200,-0.694,0.137,0.004
1683923825844,2023-05-12T15:37:05.844,1.220,-0.332,-0.130,0.084
1683923825864,2023-05-12T15:37:05.864,1.240,-0.213,-0.194,0.011
1683923825884,2023-05-12T15:37:05.884,1.260,-0.370,0.004,-0.027
1683923825904,2023-05-12T15:37:05.904,1.280,-0.465,-0.034,-0.080
1683923825924,2023-05-12T15:37:05.924,1.300,-0.465,-0.191,-0.149
1683923825944,2023-05-12T15:37:05.944,1.320,-0.183,-0.320,-0.179
1683923825964,2023-05-12T15:37:05.964,1.340,-0.015,-0.385,-0.301
1683923825984,2023-05-12T15:37:05.984,1.360,0.244,-0.446,-0.450
1683923826004,2023-05-12T15:37:06.004,1.380,0.549,-0.629,-0.404
1683923826024,2023-05-12T15:37:06.024,1.400,0.564,-0.732,-0.252
1683923826044,2023-05-12T15:37:06.044,1.420,0.503,-0.602,-0.221
1683923826064,2023-05-12T15:37:06.064,1.440,-0.023,-0.476,-0.362
1683923826084,2023-05-12T15:37:06.084,1.460,-0.305,-0.335,-0.507
1683923826104,2023-05-12T15:37:06.104,1.480,-0.457,-0.236,-0.476
1683923826124,2023-05-12T15:37:06.124,1.500,-0.701,-0.198,-0.457
1683923826144,2023-05-12T15:37:06.144,1.520,-0.987,-0.046,-0.473
1683923826164,2023-05-12T15:37:06.164,1.540,-1.029,0.103,-0.389
1683923826184,2023-05-12T15:37:06.184,1.560,-0.827,0.072,-0.507
1683923826204,2023-05-12T15:37:06.204,1.580,-0.667,-0.084,-0.579
1683923826224,2023-05-12T15:37:06.224,1.600,-0.595,-0.164,-0.553
1683923826244,2023-05-12T15:37:06.244,1.620,-0.575,-0.271,-0.602
1683923826264,2023-05-12T15:37:06.264,1.640,-0.564,-0.175,-0.602
1683923826284,2023-05-12T15:37:06.284,1.660,-0.625,0.076,-0.511
1683923826304,2023-05-12T15:37:06.304,1.680,-0.785,0.145,-0.446
1683923826324,2023-05-12T15:37:06.324,1.700,-0.938,0.099,-0.373
1683923826344,2023-05-12T15:37:06.344,1.720,-0.819,0.042,-0.328
