epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1683924332849,2023-05-12T15:45:32.849,0.000,3.350,1.345,-1.719
1683924332869,2023-05-12T15:45:32.869,0.020,3.369,1.593,-2.157
1683924332889,2023-05-12T15:45:32.889,0.040,4.558,2.961,-2.275
1683924332909,2023-05-12T15:45:32.909,0.060,5.983,3.213,-2.683
1683924332929,2023-05-12T15:45:32.929,0.080,6.848,3.544,-3.266
1683924332949,2023-05-12T15:45:32.949,0.100,7.001,4.912,-3.464
1683924332969,2023-05-12T15:45:32.969,0.120,6.151,3.434,-2.893
1683924332989,2023-05-12T15:45:32.989,0.140,5.335,0.888,-2.344
1683924333009,2023-05-12T15:45:33.009,0.160,4.935,0.202,-1.700
1683924333029,2023-05-12T15:45:33.029,0.180,5.221,0.892,-1.951
1683924333049,2023-05-12T15:45:33.049,0.200,6.018,1.105,-2.485
1683924333069,2023-05-12T15:45:33.069,0.220,6.479,1.917,-2.999
1683924333089,2023-05-12T15:45:33.089,0.240,6.654,3.418,-3.331
1683924333109,2023-05-12T15:45:33.109,0.260,6.860,4.181,-3.338
1683924333129,2023-05-12T15:45:33.129,0.280,8.659,1.231,-3.944
1683924333149,2023-05-12T15:45:33.149,0.300,14.447,-4.562,-6.174
1683924333169,2023-05-12T15:45:33.169,0.320,25.210,-6.871,-11.711
1683924333189,2023-05-12T15:45:33.189,0.340,38.594,1.894,-19.958
1683924333209,2023-05-12T15:45:33.209,0.360,50.976,15.838,-29.089
1683924333229,2023-05-12T15:45:33.229,0.380,61.905,21.551,-38.007
1683924333249,2023-05-12T15:45:33.249,0.400,71.467,15.202,-48.941
1683924333269,2023-05-12T15:45:33.269,0.420,78.072,7.740,-63.373
1683924333289,2023-05-12T15:45:33.289,0.440,79.779,15.324,-79.451
1683924333309,2023-05-12T15:45:33.309,0.460,77.153,43.418,-94.718
1683924333329,2023-05-12T15:45:33.329,0.480,71.818,80.911,-105.713
1683924333349,2023-05-12T15:45:33.349,0.500,67.294,101.429,-112.290
1683924333369,2023-05-12T15:45:33.369,0.520,71.174,66.723,-118.121
1683924333389,2023-05-12T15:45:33.389,0.540,67.416,-9.665,-124.550
1683924333409,2023-05-12T15:45:33.409,0.560,52.283,-68.274,-124.874
1683924333429,2023-05-12T15:45:33.429,0.580,34.249,-74.478,-124.787
1683924333449,2023-05-12T15:45:33.449,0.600,20.926,-44.093,-124.859
1683924333469,2023-05-12T15:45:33.469,0.620,10.781,-25.236,-124.874
1683924333489,2023-05-12T15:45:33.489,0.640,-2.710,-21.688,-124.874
1683924333509,2023-05-12T15:45:33.509,0.660,-15.743,-8.277,-124.874
1683924333529,2023-05-12T15:45:33.529,0.680,-25.865,8.266,-123.316
1683924333549,2023-05-12T15:45:33.549,0.700,-33.121,15.095,-112.252
1683924333569,2023-05-12T15:45:33.569,0.720,-37.752,9.234,-100.949
1683924333589,2023-05-12T15:45:33.589,0.740,-40.720,-4.177,-93.167
1683924333609,2023-05-12T15:45:33.609,0.760,-41.319,-2.660,-85.442
1683924333629,2023-05-12T15:45:33.629,0.780,-20.179,66.612,-52.393
1683924333649,2023-05-12T15:45:33.649,0.800,25.137,124.874,-17.214
1683924333669,2023-05-12T15:45:33.669,0.820,20.286,53.034,1.711
1683924333689,2023-05-12T15:45:33.689,0.840,-4.364,-8.906,12.496
1683924333709,2023-05-12T15:45:33.709,0.860,-13.678,-0.404,3.537
1683924333729,2023-05-12T15:45:33.729,0.880,-10.964,22.245,-0.255
1683924333749,2023-05-12T15:45:33.749,0.900,-5.655,40.072,-1.315
1683924333769,2023-05-12T15:45:33.769,0.920,-0.598,68.780,-0.938
1683924333789,2023-05-12T15:45:33.789,0.940,3.354,79.680,-2.713
1683924333809,2023-05-12T15:45:33.809,0.960,6.582,34.428,-2.584
1683924333829,2023-05-12T15:45:33.829,0.980,4.813,-14.486,2.073
1683924333849,2023-05-12T15:45:33.849,1.000,1.936,-22.191,2.401
1683924333869,2023-05-12T15:45:33.869,1.020,2.492,-1.421,0.480
1683924333889,2023-05-12T15:45:33.889,1.040,4.261,20.736,0.976
1683924333909,2023-05-12T15:45:33.909,1.060,6.235,26.966,2.748
1683924333929,2023-05-12T15:45:33.929,1.080,8.304,20.892,4.684
1683924333949,2023-05-12T15:45:33.949,1.100,7.515,10.537,5.991
1683924333969,2023-05-12T15:45:33.969,1.120,4.436,0.278,5.499
1683924333989,2023-05-12T15:45:33.989,1.140,0.777,-1.239,3.880
1683924334009,2023-05-12T15:45:34.009,1.160,-0.114,7.355,2.862
1683924334029,2023-05-12T15:45:34.029,1.180,-0.423,19.775,2.561
1683924334049,2023-05-12T15:45:34.049,1.200,0.320,26.521,2.439
1683924334069,2023-05-12T15:45:34.069,1.220,3.338,18.114,2.115
1683924334089,2023-05-12T15:45:34.089,1.240,3.155,2.912,1.966
1683924334109,2023-05-12T15:45:34.109,1.260,-0.583,-6.753,1.391
1683924334129,2023-05-12T15:45:34.129,1.280,-2.149,-4.817,1.101
1683924334149,2023-05-12T15:45:34.149,1.300,-1.269,4.825,0.892
1683924334169,2023-05-12T15:45:34.169,1.320,0.587,11.326,-0.141
1683924334189,2023-05-12T15:45:34.189,1.340,2.843,8.445,-1.338
1683924334209,2023-05-12T15:45:34.209,1.360,2.748,2.832,-1.673
1683924334229,2023-05-12T15:45:34.229,1.380,1.117,0.553,-1.429
1683924334249,2023-05-12T15:45:34.249,1.400,0.332,1.505,-1.353
1683924334269,2023-05-12T15:45:34.269,1.420,0.194,2.999,-1.098
1683924334289,2023-05-12T15:45:34.289,1.440,0.229,3.224,-0.655
1683924334309,2023-05-12T15:45:34.309,1.460,0.526,2.264,-0.084
1683924334329,2023-05-12T15:45:34.329,1.480,0.675,-0.857,-0.126
1683924334349,2023-05-12T15:45:34.349,1.500,0.198,-1.284,-0.404
1683924334369,2023-05-12T15:45:34.369,1.520,-0.210,1.098,-0.434
1683924334389,2023-05-12T15:45:34.389,1.540,-0.877,3.384,-0.545
1683924334409,2023-05-12T15:45:34.409,1.560,-1.181,2.233,-0.949
1683924334429,2023-05-12T15:45:34.429,1.580,-1.265,-1.021,-1.448
1683924334449,2023-05-12T15:45:34.449,1.600,-1.551,-3.030,-1.643
1683924334469,2023-05-12T15:45:34.469,1.620,-2.054,-3.018,-2.005
1683924334489,2023-05-12T15:45:34.489,1.640,-2.359,-2.550,-2.321
1683924334509,2023-05-12T15:45:34.509,1.660,-2.774,-1.837,-2.374
1683924334529,2023-05-12T15:45:34.529,1.680,-2.927,-2.508,-2.534
1683924334549,2023-05-12T15:45:34.549,1.700,-2.477,-4.596,-2.725
1683924334569,2023-05-12T15:45:34.569,1.720,-2.081,-5.816,-2.626
1683924334589,2023-05-12T15:45:34.589,1.740,-1.860,-5.564,-2.447
1683924334609,2023-05-12T15:45:34.609,1.760,-1.669,-4.775,-2.340
1683924334629,2023-05-12T15:45:34.629,1.780,-1.662,-3.796,-2.188
1683924334649,2023-05-12T15:45:34.649,1.800,-1.429,-3.674,-2.130
1683924334669,2023-05-12T15:45:34.669,1.820,-0.926,-4.447,-2.081
1683924334689,2023-05-12T15:45:34.689,1.840,-0.907,-4.889,-2.107
1683924334709,2023-05-12T15:45:34.709,1.860,-1.025,-4.158,-2.005
1683924334729,2023-05-12T15:45:34.729,1.880,-0.739,-2.367,-1.829
1683924334749,2023-05-12T15:45:34.749,1.900,-0.385,-0.968,-1.986
1683924334769,2023-05-12T15:45:34.769,1.920,-0.404,-0.168,-1.890
1683924334789,2023-05-12T15:45:34.789,1.940,-0.297,-0.084,-1.490
1683924334809,2023-05-12T15:45:34.809,1.960,-0.259,-0.789,-1.399
1683924334829,2023-05-12T15:45:34.829,1.980,-0.324,-2.218,-1.643
1683924334849,2023-05-12T15:45:34.849,2.000,-0.781,-2.576,-1.909
1683924334869,2023-05-12T15:45:34.869,2.020,-1.315,-1.852,-2.062
1683924334889,2023-05-12T15:45:34.889,2.040,-1.242,-1.738,-2.207
1683924334909,2023-05-12T15:45:34.909,2.060,-1.254,-1.806,-2.218
1683924334929,2023-05-12T15:45:34.929,2.080,-1.338,-1.585,-2.123
1683924334949,2023-05-12T15:45:34.949,2.100,-0.869,-2.649,-1.951
1683924334969,2023-05-12T15:45:34.969,2.120,-0.728,-2.370,-1.692
1683924334989,2023-05-12T15:45:34.989,2.140,-0.625,-1.204,-1.593
1683924335009,2023-05-12T15:45:35.009,2.160,-0.404,-0.884,-1.406
1683924335029,2023-05-12T15:45:35.029,2.180,-0.293,-0.648,-1.170
1683924335049,2023-05-12T15:45:35.049,2.200,-0.244,-0.454,-0.998
1683924335069,2023-05-12T15:45:35.069,2.220,-0.217,-1.151,-1.162
1683924335089,2023-05-12T15:45:35.089,2.240,-0.385,-1.452,-1.277
1683924335109,2023-05-12T15:45:35.109,2.260,-0.610,-1.227,-1.139
1683924335129,2023-05-12T15:45:35.129,2.280,-0.530,-1.338,-1.113
1683924335149,2023-05-12T15:45:35.149,2.300,-0.667,-1.479,-1.357
1683924335169,2023-05-12T15:45:35.169,2.320,-0.979,-1.448,-1.479
1683924335189,2023-05-12T15:45:35.189,2.340,-1.010,-1.806,-1.608
1683924335209,2023-05-12T15:45:35.209,2.360,-0.892,-1.932,-1.673
1683924335229,2023-05-12T15:45:35.229,2.380,-0.926,-2.039,-1.764
1683924335249,2023-05-12T15:45:35.249,2.400,-0.743,-1.848,-1.673
1683924335269,2023-05-12T15:45:35.269,2.420,-0.221,-1.612,-1.517
1683924335289,2023-05-12T15:45:35.289,2.440,-0.008,-1.315,-1.280
1683924335309,2023-05-12T15:45:35.309,2.460,0.019,-1.067,-1.246
1683924335329,2023-05-12T15:45:35.329,2.480,-0.141,-1.139,-1.280
1683924335349,2023-05-12T15:45:35.349,2.500,-0.530,-1.261,-1.368
1683924335369,2023-05-12T15:45:35.369,2.520,-0.938,-1.040,-1.589
1683924335389,2023-05-12T15:45:35.389,2.540,-0.709,-1.166,-1.658
1683924335409,2023-05-12T15:45:35.409,2.560,-0.499,-1.532,-1.631
1683924335429,2023-05-12T15:45:35.429,2.580,-0.777,-1.254,-1.673
1683924335449,2023-05-12T15:45:35.449,2.600,-0.896,-1.521,-1.711
