epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1683742737427,2023-05-10T13:18:57.427,0.000,-0.099,0.282,-1.528
1683742737447,2023-05-10T13:18:57.447,0.020,0.564,0.160,-1.235
1683742737467,2023-05-10T13:18:57.467,0.040,0.461,0.309,-0.918
1683742737487,2023-05-10T13:18:57.487,0.060,0.743,0.701,-0.621
1683742737507,2023-05-10T13:18:57.507,0.080,0.789,0.766,-0.610
1683742737527,2023-05-10T13:18:57.527,0.100,0.709,0.785,-0.610
1683742737547,2023-05-10T13:18:57.547,0.120,0.720,0.949,-0.511
1683742737567,2023-05-10T13:18:57.567,0.140,1.143,1.155,-0.305
1683742737587,2023-05-10T13:18:57.587,0.160,1.566,0.945,-0.107
1683742737607,2023-05-10T13:18:57.607,0.180,1.673,0.492,0.050
1683742737627,2023-05-10T13:18:57.627,0.200,1.780,0.370,0.202
1683742737647,2023-05-10T13:18:57.647,0.220,1.963,0.393,0.263
1683742737667,2023-05-10T13:18:57.667,0.240,1.757,0.316,0.244
1683742737687,2023-05-10T13:18:57.687,0.260,1.345,0.335,0.210
1683742737707,2023-05-10T13:18:57.707,0.280,1.361,0.442,0.290
1683742737727,2023-05-10T13:18:57.727,0.300,1.380,0.469,0.313
1683742737747,2023-05-10T13:18:57.747,0.320,1.277,0.221,0.324
1683742737767,2023-05-10T13:18:57.767,0.340,1.326,-0.099,0.286
1683742737787,2023-05-10T13:18:57.787,0.360,1.113,-0.118,0.198
1683742737807,2023-05-10T13:18:57.807,0.380,0.888,-0.103,0.156
1683742737827,2023-05-10T13:18:57.827,0.400,0.671,-0.286,0.145
1683742737847,2023-05-10T13:18:57.847,0.420,0.629,-0.385,0.114
1683742737867,2023-05-10T13:18:57.867,0.440,0.633,-0.419,0.027
1683742737887,2023-05-10T13:18:57.887,0.460,0.507,-0.461,-0.149
1683742737907,2023-05-10T13:18:57.907,0.480,0.625,-0.457,-0.217
1683742737927,2023-05-10T13:18:57.927,0.500,0.751,-0.572,-0.133
1683742737947,2023-05-10T13:18:57.947,0.520,0.598,-0.774,-0.316
1683742737967,2023-05-10T13:18:57.967,0.540,0.556,-0.663,-0.373
1683742737987,2023-05-10T13:18:57.987,0.560,0.400,-0.393,-0.286
1683742738007,2023-05-10T13:18:58.007,0.580,0.332,-0.225,-0.358
1683742738027,2023-05-10T13:18:58.027,0.600,0.290,-0.583,-0.400
1683742738047,2023-05-10T13:18:58.047,0.620,0.248,-0.850,-0.377
1683742738067,2023-05-10T13:18:58.067,0.640,0.324,-0.755,-0.450
1683742738087,2023-05-10T13:18:58.087,0.660,0.518,-0.957,-0.526
1683742738107,2023-05-10T13:18:58.107,0.680,0.968,-1.364,-0.697
1683742738127,2023-05-10T13:18:58.127,0.700,0.877,-1.059,-1.212
1683742738147,2023-05-10T13:18:58.147,0.720,0.225,-0.095,-1.368
1683742738167,2023-05-10T13:18:58.167,0.740,0.004,0.553,-1.223
1683742738187,2023-05-10T13:18:58.187,0.760,0.171,0.621,-0.926
1683742738207,2023-05-10T13:18:58.207,0.780,-0.107,0.248,-0.583
1683742738227,2023-05-10T13:18:58.227,0.800,-0.236,0.187,-0.381
1683742738247,2023-05-10T13:18:58.247,0.820,0.065,0.194,-0.328
1683742738267,2023-05-10T13:18:58.267,0.840,0.633,0.015,-0.492
1683742738287,2023-05-10T13:18:58.287,0.860,0.926,0.061,-0.625
1683742738307,2023-05-10T13:18:58.307,0.880,0.903,0.377,-0.709
1683742738327,2023-05-10T13:18:58.327,0.900,1.223,0.819,-0.461
1683742738347,2023-05-10T13:18:58.347,0.920,1.334,0.777,-0.347
1683742738367,2023-05-10T13:18:58.367,0.940,1.037,0.671,-0.381
1683742738387,2023-05-10T13:18:58.387,0.960,0.671,1.021,-0.335
1683742738407,2023-05-10T13:18:58.407,0.980,0.537,1.460,-0.263
1683742738427,2023-05-10T13:18:58.427,1.000,0.514,1.486,-0.187
1683742738447,2023-05-10T13:18:58.447,1.020,0.598,1.273,-0.118
1683742738467,2023-05-10T13:18:58.467,1.040,0.766,1.162,-0.027
1683742738487,2023-05-10T13:18:58.487,1.060,0.873,1.021,0.046
1683742738507,2023-05-10T13:18:58.507,1.080,0.774,0.713,0.004
1683742738527,2023-05-10T13:18:58.527,1.100,0.545,0.438,-0.038
1683742738547,2023-05-10T13:18:58.547,1.120,0.648,0.690,-0.145
1683742738567,2023-05-10T13:18:58.567,1.140,0.739,1.204,-0.164
1683742738587,2023-05-10T13:18:58.587,1.160,0.838,1.490,0.008
1683742738607,2023-05-10T13:18:58.607,1.180,0.941,1.269,0.095
1683742738627,2023-05-10T13:18:58.627,1.200,1.021,1.010,0.072
1683742738647,2023-05-10T13:18:58.647,1.220,1.132,1.025,-0.057
1683742738667,2023-05-10T13:18:58.667,1.240,1.227,1.155,-0.137
1683742738687,2023-05-10T13:18:58.687,1.260,1.402,1.132,-0.084
1683742738707,2023-05-10T13:18:58.707,1.280,1.532,1.029,-0.084
1683742738727,2023-05-10T13:18:58.727,1.300,1.437,1.048,-0.057
1683742738747,2023-05-10T13:18:58.747,1.320,1.239,0.892,0.015
1683742738767,2023-05-10T13:18:58.767,1.340,0.979,0.534,0.111
1683742738787,2023-05-10T13:18:58.787,1.360,0.884,0.412,0.072
1683742738807,2023-05-10T13:18:58.807,1.380,0.972,0.328,-0.038
1683742738827,2023-05-10T13:18:58.827,1.400,0.930,0.137,-0.152
1683742738847,2023-05-10T13:18:58.847,1.420,0.842,-0.091,-0.385
1683742738867,2023-05-10T13:18:58.867,1.440,1.021,-0.065,-0.556
1683742738887,2023-05-10T13:18:58.887,1.460,1.322,-0.080,-0.709
1683742738907,2023-05-10T13:18:58.907,1.480,1.261,-0.457,-0.857
1683742738927,2023-05-10T13:18:58.927,1.500,0.804,-0.663,-0.998
1683742738947,2023-05-10T13:18:58.947,1.520,0.739,-0.591,-1.044
1683742738967,2023-05-10T13:18:58.967,1.540,0.934,-0.446,-1.109
1683742738987,2023-05-10T13:18:58.987,1.560,0.842,-0.595,-1.212
1683742739007,2023-05-10T13:18:59.007,1.580,0.743,-0.804,-1.273
1683742739027,2023-05-10T13:18:59.027,1.600,0.686,-0.537,-1.391
1683742739047,2023-05-10T13:18:59.047,1.620,0.857,-0.545,-1.402
1683742739067,2023-05-10T13:18:59.067,1.640,1.223,-0.751,-1.696
1683742739087,2023-05-10T13:18:59.087,1.660,1.231,-0.114,-2.012
