epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1684349017660,2023-05-17T13:43:37.660,0.000,15.743,-14.230,-17.870
1684349017680,2023-05-17T13:43:37.680,0.020,16.547,-14.699,-17.805
1684349017700,2023-05-17T13:43:37.700,0.040,16.966,-16.787,-17.565
1684349017720,2023-05-17T13:43:37.720,0.060,15.488,-18.720,-17.694
1684349017740,2023-05-17T13:43:37.740,0.080,15.412,-21.220,-16.764
1684349017760,2023-05-17T13:43:37.760,0.100,16.601,-21.730,-14.844
1684349017780,2023-05-17T13:43:37.780,0.120,18.632,-25.130,-13.491
1684349017800,2023-05-17T13:43:37.800,0.140,21.749,-26.372,-15.130
1684349017820,2023-05-17T13:43:37.820,0.160,23.979,-22.637,-16.437
1684349017840,2023-05-17T13:43:37.840,0.180,22.622,-15.286,-17.923
1684349017860,2023-05-17T13:43:37.860,0.200,21.220,-9.188,-18.948
1684349017880,2023-05-17T13:43:37.880,0.220,26.174,-9.360,-24.104
1684349017900,2023-05-17T13:43:37.900,0.240,34.005,-11.048,-32.710
1684349017920,2023-05-17T13:43:37.920,0.260,39.200,1.292,-41.658
1684349017940,2023-05-17T13:43:37.940,0.280,40.499,33.476,-50.835
1684349017960,2023-05-17T13:43:37.960,0.300,32.538,62.332,-53.510
1684349017980,2023-05-17T13:43:37.980,0.320,16.094,61.845,-41.406
1684349018000,2023-05-17T13:43:38.000,0.340,14.840,22.195,-31.456
1684349018020,2023-05-17T13:43:38.020,0.360,22.043,-10.991,-22.786
1684349018040,2023-05-17T13:43:38.040,0.380,19.627,-18.495,-13.605
1684349018060,2023-05-17T13:43:38.060,0.400,11.982,-17.412,-9.219
1684349018080,2023-05-17T13:43:38.080,0.420,7.207,-16.963,-8.963
1684349018100,2023-05-17T13:43:38.100,0.440,4.737,-14.764,-9.352
1684349018120,2023-05-17T13:43:38.120,0.460,1.025,-12.915,-7.633
1684349018140,2023-05-17T13:43:38.140,0.480,0.309,-11.231,-6.456
1684349018160,2023-05-17T13:43:38.160,0.500,0.038,-7.039,-6.540
1684349018180,2023-05-17T13:43:38.180,0.520,0.511,-4.249,-5.579
1684349018200,2023-05-17T13:43:38.200,0.540,1.273,-2.309,-4.958
1684349018220,2023-05-17T13:43:38.220,0.560,3.125,-2.119,-4.428
1684349018240,2023-05-17T13:43:38.240,0.580,3.857,-1.540,-2.443
1684349018260,2023-05-17T13:43:38.260,0.600,3.918,-0.709,-0.850
1684349018280,2023-05-17T13:43:38.280,0.620,4.943,-1.254,0.476
1684349018300,2023-05-17T13:43:38.300,0.640,6.063,-2.176,0.739
1684349018320,2023-05-17T13:43:38.320,0.660,6.421,-5.720,1.845
1684349018340,2023-05-17T13:43:38.340,0.680,5.244,-9.623,2.752
1684349018360,2023-05-17T13:43:38.360,0.700,3.632,-13.399,2.142
1684349018380,2023-05-17T13:43:38.380,0.720,1.292,-17.862,3.998
1684349018400,2023-05-17T13:43:38.400,0.740,-0.640,-25.743,5.610
1684349018420,2023-05-17T13:43:38.420,0.760,-5.381,-31.486,6.528
1684349018440,2023-05-17T13:43:38.440,0.780,-9.074,-35.762,4.379
1684349018460,2023-05-17T13:43:38.460,0.800,-10.945,-36.242,6.463
1684349018480,2023-05-17T13:43:38.480,0.820,-14.154,-40.930,10.659
1684349018500,2023-05-17T13:43:38.500,0.840,-13.255,-38.129,11.231
1684349018520,2023-05-17T13:43:38.520,0.860,-14.047,-22.035,9.268
1684349018540,2023-05-17T13:43:38.540,0.880,-8.388,-26.029,12.843
1684349018560,2023-05-17T13:43:38.560,0.900,0.434,-35.053,18.026
1684349018580,2023-05-17T13:43:38.580,0.920,4.665,-32.588,16.658
1684349018600,2023-05-17T13:43:38.600,0.940,4.642,-34.150,21.273
1684349018620,2023-05-17T13:43:38.620,0.960,8.548,-27.912,24.680
1684349018640,2023-05-17T13:43:38.640,0.980,8.792,-2.107,17.355
1684349018660,2023-05-17T13:43:38.660,1.000,6.002,3.807,17.062
1684349018680,2023-05-17T13:43:38.680,1.020,5.770,1.696,14.428
1684349018700,2023-05-17T13:43:38.700,1.040,4.733,2.416,9.909
1684349018720,2023-05-17T13:43:38.720,1.060,1.650,4.242,4.970
1684349018740,2023-05-17T13:43:38.740,1.080,-0.667,3.011,-0.156
1684349018760,2023-05-17T13:43:38.760,1.100,-1.143,0.240,-3.811
1684349018780,2023-05-17T13:43:38.780,1.120,-1.109,-1.688,-5.903
1684349018800,2023-05-17T13:43:38.800,1.140,0.015,-3.148,-6.940
1684349018820,2023-05-17T13:43:38.820,1.160,1.117,-2.942,-7.222
1684349018840,2023-05-17T13:43:38.840,1.180,2.348,-1.845,-7.523
1684349018860,2023-05-17T13:43:38.860,1.200,3.712,-1.410,-8.045
1684349018880,2023-05-17T13:43:38.880,1.220,4.783,-1.189,-7.572
